Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NCCD86,48.19,"1,007.10","1,007.10","1,007.10","1,007.10","1,007.10",25.00,"1,007.00","25,177.50",1,0.10,0.00,0.01,0.00,0.00,-,-,"1,026.00",984.90,09_01_2021
NCCD86,51.41,972.20,972.20,972.20,972.20,972.20,25.00,978.10,"24,305.00",1,-5.90,0.00,-0.60,0.00,0.00,-,-,"1,026.00",972.20,11_14_2021
NCCD86,49.30,975.00,975.00,975.00,975.00,975.00,25.00,972.20,"24,375.00",1,2.80,0.00,0.29,0.00,0.00,-,-,"1,026.00",972.20,11_16_2021
NCCD86,50.47,976.20,976.20,975.00,975.00,975.60,50.00,975.00,"48,780.00",2,0.00,1.20,0.00,0.12,-0.06,-,-,"1,026.00",972.20,11_22_2021
NCCD86,45.25,980.00,980.00,980.00,980.00,980.00,50.00,975.00,"49,000.00",1,5.00,0.00,0.51,0.00,0.00,-,-,"1,026.00",972.20,11_25_2021
NCCD86,58.63,980.00,980.00,980.00,980.00,980.00,50.00,975.00,"49,000.00",1,5.00,0.00,0.51,0.00,0.00,-,-,"1,026.00",972.20,11_26_2021
NCCD86,58.63,980.00,980.00,980.00,980.00,980.00,50.00,975.00,"49,000.00",1,5.00,0.00,0.51,0.00,0.00,-,-,"1,026.00",972.20,11_27_2021
NCCD86,55.73,976.00,976.00,976.00,976.00,976.00,25.00,980.00,"24,400.00",1,-4.00,0.00,-0.41,0.00,0.00,-,-,"1,026.00",972.20,11_28_2021
NCCD86,51.91,976.00,976.00,976.00,976.00,976.00,35.00,976.00,"34,160.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,026.00",972.20,11_29_2021
NCCD86,48.60,971.10,971.10,971.10,971.10,971.10,25.00,976.00,"24,277.50",1,-4.90,0.00,-0.50,0.00,0.00,-,-,"1,026.00",971.10,12_08_2021
NCCD86,41.48,972.10,972.10,972.10,972.10,972.10,25.00,971.10,"24,302.50",1,1.00,0.00,0.10,0.00,0.00,-,-,"1,026.00",971.10,12_12_2021
NCCD86,36.24,972.70,972.70,972.70,972.70,972.70,20.00,972.10,"19,454.00",1,0.60,0.00,0.06,0.00,0.00,-,-,"1,026.00",971.10,12_20_2021
NCCD86,43.93,990.00,990.00,990.00,990.00,990.00,100.00,972.70,"99,000.00",1,17.30,0.00,1.78,0.00,0.00,-,-,"1,026.00",971.10,12_27_2021
NCCD86,56.11,970.20,970.20,970.20,970.20,970.20,25.00,990.00,"24,255.00",1,-19.80,0.00,-2.00,0.00,0.00,-,-,"1,026.00",970.20,12_28_2021
NCCD86,48.74,989.60,"1,000.00",989.60,"1,000.00",999.44,"1,115.00",970.20,"1,114,380.00",4,29.80,10.40,3.07,1.05,0.06,-,-,"1,026.00",970.20,01_02_2022
