Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NFS,42.34,700.00,724.00,690.00,690.00,699.03,"21,967.00",705.00,"15,355,640.70",182,-15.00,34.00,-2.13,4.93,-1.31,456.02,395.70,806.00,170.00,09_01_2021
NFS,52.84,610.00,612.00,587.20,591.00,599.46,"20,634.00",599.00,"12,369,303.90",124,-8.00,24.80,-1.34,4.22,-1.43,540.23,463.13,806.00,199.00,11_03_2021
NFS,52.22,610.00,612.00,587.20,591.00,599.46,"20,634.00",599.00,"12,369,303.90",124,-8.00,24.80,-1.34,4.22,-1.43,540.23,463.13,806.00,199.00,11_05_2021
NFS,52.22,610.00,612.00,587.20,591.00,599.46,"20,634.00",599.00,"12,369,303.90",124,-8.00,24.80,-1.34,4.22,-1.43,540.23,463.13,806.00,199.00,11_06_2021
NFS,52.22,610.00,612.00,587.20,591.00,599.46,"20,634.00",599.00,"12,369,303.90",124,-8.00,24.80,-1.34,4.22,-1.43,540.23,463.13,806.00,199.00,11_07_2021
NFS,53.01,592.00,615.00,592.00,600.00,604.31,"18,373.00",591.00,"11,102,945.80",151,9.00,23.00,1.52,3.89,-0.72,542.69,464.69,806.00,199.00,11_08_2021
NFS,55.98,612.00,612.00,575.00,584.00,588.17,"26,713.00",600.00,"15,711,803.00",202,-16.00,37.00,-2.67,6.43,-0.71,545.07,466.27,806.00,199.00,11_09_2021
NFS,52.21,612.00,612.00,575.00,584.00,588.17,"26,713.00",600.00,"15,711,803.00",202,-16.00,37.00,-2.67,6.43,-0.71,545.07,466.27,806.00,199.00,11_10_2021
NFS,50.16,575.00,584.00,565.00,565.00,571.64,"32,003.00",584.00,"18,294,046.20",207,-19.00,19.00,-3.25,3.36,-1.17,547.23,467.64,806.00,199.00,11_11_2021
NFS,47.63,575.00,584.00,565.00,565.00,571.64,"32,003.00",584.00,"18,294,046.20",207,-19.00,19.00,-3.25,3.36,-1.17,547.23,467.64,806.00,199.00,11_12_2021
NFS,47.63,575.00,584.00,565.00,565.00,571.64,"32,003.00",584.00,"18,294,046.20",207,-19.00,19.00,-3.25,3.36,-1.17,547.23,467.64,806.00,199.00,11_13_2021
NFS,45.58,564.00,587.00,561.00,570.00,576.83,"13,673.00",565.00,"7,887,036.00",114,5.00,26.00,0.88,4.63,-1.20,549.43,469.05,806.00,199.00,11_14_2021
NFS,42.06,581.00,594.90,581.00,587.00,588.23,"17,200.00",570.00,"10,117,609.40",137,17.00,13.90,2.98,2.39,-0.21,551.74,470.58,806.00,199.00,11_15_2021
NFS,45.00,590.00,632.40,578.00,620.00,599.34,"22,636.00",587.00,"13,566,550.20",177,33.00,54.40,5.62,9.41,3.33,554.20,472.34,806.00,199.00,11_16_2021
NFS,53.09,632.00,636.00,611.10,611.10,625.31,"26,856.00",620.00,"16,793,417.70",203,-8.90,24.90,-1.44,4.07,-2.33,556.55,474.09,806.00,199.00,11_17_2021
NFS,56.71,599.00,620.00,590.00,593.00,599.24,"16,478.00",611.10,"9,874,325.50",134,-18.10,30.00,-2.96,5.08,-1.05,558.48,475.73,806.00,199.00,11_18_2021
NFS,50.13,599.00,620.00,590.00,593.00,599.24,"16,478.00",611.10,"9,874,325.50",134,-18.10,30.00,-2.96,5.08,-1.05,558.48,475.73,806.00,199.00,11_19_2021
NFS,50.13,599.00,620.00,590.00,593.00,599.24,"16,478.00",611.10,"9,874,325.50",134,-18.10,30.00,-2.96,5.08,-1.05,558.48,475.73,806.00,199.00,11_20_2021
NFS,45.43,581.20,616.00,581.20,599.00,598.90,"13,072.00",593.00,"7,828,776.20",117,6.00,34.80,1.01,5.99,0.02,560.17,477.42,806.00,199.00,11_21_2021
NFS,44.01,600.00,602.00,585.00,594.50,591.43,"11,910.00",599.00,"7,043,942.90",125,-4.50,17.00,-0.75,2.91,0.52,561.49,479.10,806.00,199.00,11_22_2021
NFS,39.73,594.00,605.00,566.00,579.00,577.13,"19,608.00",594.50,"11,316,387.10",186,-15.50,39.00,-2.61,6.89,0.32,562.65,480.67,806.00,199.00,11_23_2021
NFS,41.89,567.70,597.00,560.00,580.00,575.91,"12,398.00",579.00,"7,140,098.50",106,1.00,37.00,0.17,6.61,0.71,563.88,482.27,806.00,199.00,11_24_2021
NFS,41.43,590.00,623.00,571.00,596.00,598.76,"27,980.00",580.00,"16,753,233.30",227,16.00,52.00,2.76,9.11,-0.46,565.34,483.96,806.00,199.00,11_25_2021
