Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NGPL,47.29,"1,044.00","1,051.00","1,000.00","1,009.00","1,020.68","73,690.00","1,025.00","75,213,585.40",876,-16.00,51.00,-1.56,5.10,-1.16,508.71,417.24,"1,397.00",129.00,09_01_2021
NGPL,64.98,818.00,849.00,800.00,807.00,813.79,"63,086.00",802.00,"51,338,796.90",426,5.00,49.00,0.62,6.13,-0.84,665.81,524.62,"1,397.00",202.00,11_03_2021
NGPL,55.68,818.00,849.00,800.00,807.00,813.79,"63,086.00",802.00,"51,338,796.90",426,5.00,49.00,0.62,6.13,-0.84,665.81,524.62,"1,397.00",202.00,11_05_2021
NGPL,55.68,818.00,849.00,800.00,807.00,813.79,"63,086.00",802.00,"51,338,796.90",426,5.00,49.00,0.62,6.13,-0.84,665.81,524.62,"1,397.00",202.00,11_06_2021
NGPL,55.68,818.00,849.00,800.00,807.00,813.79,"63,086.00",802.00,"51,338,796.90",426,5.00,49.00,0.62,6.13,-0.84,665.81,524.62,"1,397.00",202.00,11_07_2021
NGPL,56.47,823.10,841.00,795.00,805.50,810.12,"51,816.00",807.00,"41,977,086.80",294,-1.50,46.00,-0.19,5.79,-0.57,670.12,527.69,"1,397.00",202.00,11_08_2021
NGPL,52.25,795.00,797.00,740.10,755.00,766.25,"118,255.00",805.50,"90,612,415.00",730,-50.50,56.90,-6.27,7.69,-1.49,674.06,530.54,"1,397.00",202.00,11_09_2021
NGPL,52.55,795.00,797.00,740.10,755.00,766.25,"118,255.00",805.50,"90,612,415.00",730,-50.50,56.90,-6.27,7.69,-1.49,674.06,530.54,"1,397.00",202.00,11_10_2021
NGPL,50.50,739.90,760.00,715.00,725.00,733.84,"52,396.00",755.00,"38,450,532.50",476,-30.00,45.00,-3.97,6.29,-1.22,677.75,533.20,"1,397.00",202.00,11_11_2021
NGPL,45.31,739.90,760.00,715.00,725.00,733.84,"52,396.00",755.00,"38,450,532.50",476,-30.00,45.00,-3.97,6.29,-1.22,677.75,533.20,"1,397.00",202.00,11_12_2021
NGPL,45.31,739.90,760.00,715.00,725.00,733.84,"52,396.00",755.00,"38,450,532.50",476,-30.00,45.00,-3.97,6.29,-1.22,677.75,533.20,"1,397.00",202.00,11_13_2021
NGPL,43.26,725.00,797.50,700.70,768.00,753.87,"90,279.00",725.00,"68,058,626.90",717,43.00,96.80,5.93,13.81,1.84,681.68,536.12,"1,397.00",202.00,11_14_2021
NGPL,47.88,783.30,813.90,743.50,769.00,767.31,"165,313.00",768.00,"126,845,848.80",791,1.00,70.40,0.13,9.47,0.22,685.49,539.07,"1,397.00",202.00,11_15_2021
NGPL,55.48,753.70,783.00,753.70,771.00,773.64,"57,215.00",769.00,"44,263,546.20",382,2.00,29.30,0.26,3.89,-0.34,689.27,542.04,"1,397.00",202.00,11_16_2021
NGPL,49.74,755.60,801.80,755.60,784.00,782.08,"67,602.00",771.00,"52,870,064.20",423,13.00,46.20,1.69,6.11,0.25,693.22,545.09,"1,397.00",202.00,11_17_2021
NGPL,53.56,768.40,783.00,750.00,762.00,764.40,"77,037.00",784.00,"58,887,183.20",504,-22.00,33.00,-2.81,4.40,-0.32,696.85,547.96,"1,397.00",202.00,11_18_2021
NGPL,49.11,768.40,783.00,750.00,762.00,764.40,"77,037.00",784.00,"58,887,183.20",504,-22.00,33.00,-2.81,4.40,-0.32,696.85,547.96,"1,397.00",202.00,11_19_2021
NGPL,49.11,768.40,783.00,750.00,762.00,764.40,"77,037.00",784.00,"58,887,183.20",504,-22.00,33.00,-2.81,4.40,-0.32,696.85,547.96,"1,397.00",202.00,11_20_2021
NGPL,44.41,762.00,776.20,745.00,746.00,757.94,"45,924.00",762.00,"34,807,436.20",348,-16.00,31.20,-2.10,4.19,-1.60,700.15,550.80,"1,397.00",208.00,11_21_2021
NGPL,42.32,746.00,760.90,744.00,748.00,751.50,"37,662.00",746.00,"28,303,149.50",382,2.00,16.90,0.27,2.27,-0.47,703.68,553.64,"1,397.00",208.00,11_22_2021
NGPL,45.87,748.00,750.00,718.00,730.00,732.11,"50,664.00",748.00,"37,091,784.00",489,-18.00,32.00,-2.41,4.46,-0.29,707.05,556.35,"1,397.00",210.00,11_23_2021
NGPL,44.88,718.40,760.00,695.80,730.00,718.21,"124,878.00",730.00,"89,688,829.90",594,0.00,64.20,0.00,9.23,1.61,710.32,559.07,"1,397.00",210.00,11_24_2021
NGPL,51.09,743.90,743.90,716.00,716.00,726.32,"39,776.00",730.00,"28,889,993.30",300,-14.00,27.90,-1.92,3.90,-1.44,713.36,561.72,"1,397.00",210.00,11_25_2021
