Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NHDL,45.71,682.00,682.00,632.00,650.00,652.18,"14,274.00",670.00,"9,309,214.10",159,-20.00,50.00,-2.99,7.91,-0.34,450.73,383.54,840.00,140.00,09_01_2021
NHDL,64.15,596.70,608.60,560.00,583.00,575.47,"16,005.00",585.00,"9,210,354.20",139,-2.00,48.60,-0.34,8.68,1.29,519.27,450.19,840.00,218.00,11_03_2021
NHDL,57.88,596.70,608.60,560.00,583.00,575.47,"16,005.00",585.00,"9,210,354.20",139,-2.00,48.60,-0.34,8.68,1.29,519.27,450.19,840.00,218.00,11_05_2021
NHDL,57.88,596.70,608.60,560.00,583.00,575.47,"16,005.00",585.00,"9,210,354.20",139,-2.00,48.60,-0.34,8.68,1.29,519.27,450.19,840.00,218.00,11_06_2021
NHDL,57.88,596.70,608.60,560.00,583.00,575.47,"16,005.00",585.00,"9,210,354.20",139,-2.00,48.60,-0.34,8.68,1.29,519.27,450.19,840.00,218.00,11_07_2021
NHDL,58.66,583.00,600.00,565.00,582.00,585.95,"9,828.00",583.00,"5,758,719.60",95,-1.00,35.00,-0.17,6.19,-0.68,521.09,452.07,840.00,218.00,11_08_2021
NHDL,56.30,572.00,582.00,524.00,561.20,547.72,"23,900.00",582.00,"13,090,420.60",179,-20.80,58.00,-3.57,11.07,2.40,522.84,453.81,840.00,218.00,11_09_2021
NHDL,58.09,572.00,582.00,524.00,561.20,547.72,"23,900.00",582.00,"13,090,420.60",179,-20.80,58.00,-3.57,11.07,2.40,522.84,453.81,840.00,218.00,11_10_2021
NHDL,56.04,550.00,555.00,528.30,529.00,534.94,"12,602.00",561.20,"6,741,262.30",142,-32.20,26.70,-5.74,5.05,-1.12,524.31,455.37,840.00,218.00,11_11_2021
NHDL,48.48,550.00,555.00,528.30,529.00,534.94,"12,602.00",561.20,"6,741,262.30",142,-32.20,26.70,-5.74,5.05,-1.12,524.31,455.37,840.00,218.00,11_12_2021
