Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NHPC,53.81,443.40,456.00,435.00,437.00,444.39,"235,097.00",443.40,"104,474,793.00","1,279",-6.40,21.00,-1.44,4.83,-1.69,263.85,218.77,530.90,56.00,09_01_2021
NHPC,60.57,434.20,442.00,422.00,422.00,427.45,"121,287.00",426.00,"51,844,554.30",520,-4.00,20.00,-0.94,4.74,-1.29,347.07,283.19,530.90,109.00,11_03_2021
NHPC,50.69,434.20,442.00,422.00,422.00,427.45,"121,287.00",426.00,"51,844,554.30",520,-4.00,20.00,-0.94,4.74,-1.29,347.07,283.19,530.90,109.00,11_05_2021
NHPC,50.69,434.20,442.00,422.00,422.00,427.45,"121,287.00",426.00,"51,844,554.30",520,-4.00,20.00,-0.94,4.74,-1.29,347.07,283.19,530.90,109.00,11_06_2021
NHPC,50.69,434.20,442.00,422.00,422.00,427.45,"121,287.00",426.00,"51,844,554.30",520,-4.00,20.00,-0.94,4.74,-1.29,347.07,283.19,530.90,109.00,11_07_2021
NHPC,51.48,429.00,450.00,424.00,439.00,441.47,"349,189.00",422.00,"154,158,019.90","1,241",17.00,26.00,4.03,6.13,-0.56,349.36,284.84,530.90,109.00,11_08_2021
NHPC,59.52,447.70,456.00,424.00,428.50,435.88,"480,612.00",439.00,"209,487,431.80","1,681",-10.50,32.00,-2.39,7.55,-1.72,351.59,286.41,530.90,109.00,11_09_2021
NHPC,60.33,447.70,456.00,424.00,428.50,435.88,"480,612.00",439.00,"209,487,431.80","1,681",-10.50,32.00,-2.39,7.55,-1.72,351.59,286.41,530.90,109.00,11_10_2021
NHPC,58.28,429.00,430.00,411.70,415.00,419.77,"235,016.00",428.50,"98,652,680.50",982,-13.50,18.30,-3.15,4.44,-1.15,353.72,287.94,530.90,109.00,11_11_2021
NHPC,44.59,429.00,430.00,411.70,415.00,419.77,"235,016.00",428.50,"98,652,680.50",982,-13.50,18.30,-3.15,4.44,-1.15,353.72,287.94,530.90,109.00,11_12_2021
NHPC,44.59,429.00,430.00,411.70,415.00,419.77,"235,016.00",428.50,"98,652,680.50",982,-13.50,18.30,-3.15,4.44,-1.15,353.72,287.94,530.90,109.00,11_13_2021
NHPC,42.54,423.00,429.00,412.00,416.00,420.49,"166,310.00",415.00,"69,932,363.90",672,1.00,17.00,0.24,4.13,-1.08,355.84,289.47,530.90,109.00,11_14_2021
NHPC,42.09,424.30,431.00,420.10,424.50,425.44,"200,830.00",416.00,"85,441,673.90",606,8.50,10.90,2.04,2.59,-0.22,357.98,291.08,530.90,109.00,11_15_2021
NHPC,47.81,430.00,464.00,427.00,463.00,451.10,"674,397.00",424.50,"304,219,799.60","2,761",38.50,37.00,9.07,8.67,2.57,360.35,292.90,530.90,109.00,11_16_2021
NHPC,62.69,472.20,481.00,454.00,457.00,469.84,"559,998.00",463.00,"263,112,219.20","2,111",-6.00,27.00,-1.30,5.95,-2.81,362.71,294.69,530.90,109.00,11_17_2021
NHPC,66.01,466.10,484.00,442.10,444.00,457.39,"421,159.00",457.00,"192,634,917.20","1,905",-13.00,41.90,-2.84,9.48,-3.02,364.91,296.40,530.90,109.00,11_18_2021
NHPC,60.29,466.10,484.00,442.10,444.00,457.39,"421,159.00",457.00,"192,634,917.20","1,905",-13.00,41.90,-2.84,9.48,-3.02,364.91,296.40,530.90,109.00,11_19_2021
NHPC,60.29,466.10,484.00,442.10,444.00,457.39,"421,159.00",457.00,"192,634,917.20","1,905",-13.00,41.90,-2.84,9.48,-3.02,364.91,296.40,530.90,109.00,11_20_2021
NHPC,55.59,444.00,466.00,444.00,458.90,456.25,"522,626.00",444.00,"238,450,482.30","1,630",14.90,22.00,3.36,4.95,0.58,367.08,298.19,530.90,109.00,11_21_2021
NHPC,56.22,468.00,471.00,455.60,460.50,462.39,"254,519.00",458.90,"117,686,305.70",893,1.60,15.40,0.35,3.38,-0.41,369.21,300.00,530.90,109.00,11_22_2021
NHPC,46.04,461.00,462.00,443.00,448.00,449.95,"271,416.00",460.50,"122,124,781.80","1,004",-12.50,19.00,-2.71,4.29,-0.44,371.25,301.73,530.90,109.00,11_23_2021
NHPC,44.64,440.00,453.80,436.00,448.00,445.92,"314,491.00",448.00,"140,236,547.80","1,270",0.00,17.80,0.00,4.08,0.47,373.28,303.40,530.90,109.00,11_24_2021
NHPC,48.46,450.00,453.00,440.00,440.00,444.31,"162,459.00",448.00,"72,181,861.60",632,-8.00,13.00,-1.79,2.95,-0.98,375.27,305.02,530.90,109.00,11_25_2021
NHPC,40.92,450.00,453.00,440.00,440.00,444.31,"162,459.00",448.00,"72,181,861.60",632,-8.00,13.00,-1.79,2.95,-0.98,375.27,305.02,530.90,109.00,11_26_2021
NHPC,40.92,450.00,453.00,440.00,440.00,444.31,"162,459.00",448.00,"72,181,861.60",632,-8.00,13.00,-1.79,2.95,-0.98,375.27,305.02,530.90,109.00,11_27_2021
NHPC,38.02,431.20,441.00,407.00,409.00,422.65,"540,878.00",440.00,"228,599,675.60","1,747",-31.00,34.00,-7.05,8.35,-3.34,376.89,306.48,530.90,109.00,11_28_2021
NHPC,42.86,409.00,430.00,402.00,412.00,414.45,"364,830.00",409.00,"151,203,446.50","1,309",3.00,28.00,0.73,6.97,-0.59,378.37,307.96,530.90,109.00,11_29_2021
NHPC,40.62,405.00,427.00,405.00,421.00,416.66,"182,298.00",412.00,"75,956,641.80",754,9.00,22.00,2.18,5.43,1.03,379.76,309.42,530.90,109.00,11_30_2021
NHPC,36.74,429.40,429.40,417.00,417.00,422.45,"201,525.00",421.00,"85,134,946.20",709,-4.00,12.40,-0.95,2.97,-1.31,381.24,310.91,530.90,109.00,12_01_2021
