Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NIB,49.99,405.00,405.00,367.70,367.70,369.10,"9,320.00",408.49,"3,440,017.90",143,-40.79,37.30,-9.99,10.14,-0.38,470.26,454.34,405.00,367.70,05_30_2022
NIB,24.61,360.40,360.40,331.00,331.00,331.28,"12,666.00",367.70,"4,196,020.40",166,-36.70,29.40,-9.98,8.88,-0.09,469.47,453.87,405.00,331.00,05_31_2022
NIB,25.98,324.40,324.40,297.90,307.00,303.77,"399,556.00",331.00,"121,373,009.20","2,053",-24.00,26.50,-7.25,8.90,1.05,468.45,453.24,405.00,297.90,06_01_2022
NIB,34.90,300.90,308.90,299.00,299.10,301.61,"87,488.00",307.00,"26,386,961.50",760,-7.90,9.90,-2.57,3.31,-0.84,467.38,452.59,405.00,297.90,06_02_2022
NIB,28.72,301.00,301.00,287.00,287.00,291.45,"107,746.00",299.10,"31,402,932.70",823,-12.10,14.00,-4.05,4.88,-1.55,466.18,451.84,405.00,287.00,06_03_2022
NIB,32.70,301.00,301.00,287.00,287.00,291.45,"107,746.00",299.10,"31,402,932.70",823,-12.10,14.00,-4.05,4.88,-1.55,466.18,451.84,405.00,287.00,06_04_2022
NIB,32.70,301.00,301.00,287.00,287.00,291.45,"107,746.00",299.10,"31,402,932.70",823,-12.10,14.00,-4.05,4.88,-1.55,466.18,451.84,405.00,287.00,06_05_2022
NIB,32.28,287.00,293.00,279.30,287.00,286.53,"91,258.00",287.00,"26,148,581.92",665,0.00,13.70,0.00,4.91,0.16,464.91,451.10,405.00,279.30,06_06_2022
NIB,35.42,285.00,286.90,274.00,274.10,277.35,"71,679.00",287.00,"19,880,047.10",553,-12.90,12.90,-4.49,4.71,-1.19,463.16,450.28,405.00,274.00,06_07_2022
NIB,35.00,276.00,279.00,264.80,275.50,271.25,"174,787.00",274.10,"47,410,730.70",900,1.40,14.20,0.51,5.36,1.54,461.12,449.46,405.00,264.80,06_08_2022
NIB,42.43,277.00,279.90,271.10,271.10,275.10,"65,391.00",275.50,"17,989,230.03",521,-4.40,8.80,-1.60,3.25,-1.48,459.20,448.63,405.00,264.80,06_09_2022
NIB,37.79,270.00,270.00,262.00,265.00,263.88,"160,736.00",271.10,"42,414,593.90",853,-6.10,8.00,-2.25,3.05,0.42,457.25,447.74,405.00,262.00,06_10_2022
NIB,40.19,270.00,270.00,262.00,265.00,263.88,"160,736.00",271.10,"42,414,593.90",853,-6.10,8.00,-2.25,3.05,0.42,457.25,447.74,405.00,262.00,06_11_2022
NIB,40.19,270.00,270.00,262.00,265.00,263.88,"160,736.00",271.10,"42,414,593.90",853,-6.10,8.00,-2.25,3.05,0.42,457.25,447.74,405.00,262.00,06_12_2022
NIB,45.42,270.30,278.40,262.00,267.00,268.42,"67,227.00",265.00,"18,044,822.20",545,2.00,16.40,0.75,6.26,-0.53,455.34,446.84,405.00,262.00,11_22_2022
NIB,41.41,267.00,270.00,260.00,262.00,262.08,"35,294.00",267.00,"9,249,855.80",285,-5.00,10.00,-1.87,3.85,-0.03,453.62,445.91,405.00,260.00,11_23_2022
NIB,38.59,260.00,263.00,258.00,259.70,259.82,"56,171.00",262.00,"14,594,456.20",312,-2.30,5.00,-0.88,1.94,-0.05,451.76,444.97,405.00,258.00,11_24_2022
NIB,39.53,260.00,263.00,258.00,259.70,259.82,"56,171.00",262.00,"14,594,456.20",312,-2.30,5.00,-0.88,1.94,-0.05,451.76,444.97,405.00,258.00,11_25_2022
NIB,39.53,260.00,263.00,258.00,259.70,259.82,"56,171.00",262.00,"14,594,456.20",312,-2.30,5.00,-0.88,1.94,-0.05,451.76,444.97,405.00,258.00,11_26_2022
NIB,42.98,258.00,261.00,255.20,257.80,257.50,"45,459.00",259.70,"11,705,825.60",339,-1.90,5.80,-0.73,2.27,0.12,449.92,444.07,405.00,255.20,11_27_2022
NIB,42.99,260.40,261.90,257.10,257.90,259.07,"38,362.00",257.80,"9,938,428.60",260,0.10,4.80,0.04,1.87,-0.45,448.15,443.18,405.00,255.20,11_28_2022
NIB,43.71,263.00,263.00,255.80,257.00,256.83,"23,271.00",257.90,"5,976,634.80",210,-0.90,7.20,-0.35,2.81,0.07,446.32,442.29,405.00,255.20,11_29_2022
