Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NIBD84,0.00,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,0.00,"25,000.00",1,"1,000.00",0.00,0.00,0.00,0.00,-,-,"1,000.00","1,000.00",11_24_2021
NIBD84,49.55,980.00,980.00,980.00,980.00,980.00,300.00,"1,000.00","294,000.00",1,-20.00,0.00,-2.00,0.00,0.00,-,-,"1,000.00",980.00,11_28_2021
NIBD84,43.56,960.40,960.40,940.30,950.00,951.68,"1,200.00",980.00,"1,142,019.50",19,-30.00,20.10,-3.06,2.14,-0.18,-,-,"1,000.00",940.30,11_29_2021
NIBD84,43.22,950.00,950.00,945.10,946.00,947.43,475.00,950.00,"450,027.50",11,-4.00,4.90,-0.42,0.52,-0.15,-,-,"1,000.00",940.30,11_30_2021
NIBD84,39.39,945.00,950.00,943.70,950.00,947.99,405.00,946.00,"383,936.50",9,4.00,6.30,0.42,0.67,0.21,-,-,"1,000.00",940.30,12_01_2021
NIBD84,36.96,943.80,944.10,940.00,940.00,941.73,150.00,950.00,"141,260.00",6,-10.00,4.10,-1.05,0.44,-0.18,-,-,"1,000.00",940.00,12_05_2021
NIBD84,34.08,942.00,942.00,940.30,940.30,941.15,50.00,940.00,"47,057.50",2,0.30,1.70,0.03,0.18,-0.09,-,-,"1,000.00",940.00,12_06_2021
NIBD84,42.88,941.30,945.10,941.30,945.10,944.66,215.00,940.30,"203,101.50",6,4.80,3.80,0.51,0.40,0.05,-,-,"1,000.00",940.00,12_07_2021
NIBD84,46.26,942.50,945.00,942.50,943.50,943.95,275.00,945.10,"259,587.50",5,-1.60,2.50,-0.17,0.27,-0.05,-,-,"1,000.00",940.00,12_08_2021
NIBD84,44.85,945.00,945.00,943.00,943.00,944.73,185.00,943.50,"174,775.00",6,-0.50,2.00,-0.05,0.21,-0.18,-,-,"1,000.00",940.00,12_09_2021
NIBD84,45.25,945.00,945.00,943.00,943.00,944.73,185.00,943.50,"174,775.00",6,-0.50,2.00,-0.05,0.21,-0.18,-,-,"1,000.00",940.00,12_10_2021
NIBD84,45.25,945.00,945.00,943.00,943.00,944.73,185.00,943.50,"174,775.00",6,-0.50,2.00,-0.05,0.21,-0.18,-,-,"1,000.00",940.00,12_11_2021
NIBD84,44.60,942.10,942.10,942.00,942.00,942.05,100.00,943.00,"94,205.00",4,-1.00,0.10,-0.11,0.01,-0.01,-,-,"1,000.00",940.00,12_12_2021
NIBD84,39.57,941.00,950.00,941.00,941.40,942.86,230.00,942.00,"216,857.50",7,-0.60,9.00,-0.06,0.96,-0.15,-,-,"1,000.00",940.00,12_13_2021
NIBD84,45.32,940.30,945.00,940.30,945.00,944.86,825.00,941.40,"779,507.50",2,3.60,4.70,0.38,0.50,0.02,-,-,"1,000.00",940.00,12_15_2021
NIBD84,50.27,942.60,943.10,942.60,943.10,942.85,50.00,945.00,"47,142.50",2,-1.90,0.50,-0.20,0.05,0.03,-,-,"1,000.00",940.00,12_22_2021
NIBD84,41.99,941.60,942.40,941.60,942.40,942.14,175.00,943.10,"164,875.00",6,-0.70,0.80,-0.07,0.08,0.03,-,-,"1,000.00",940.00,12_23_2021
NIBD84,46.70,941.60,942.40,941.60,942.40,942.14,175.00,943.10,"164,875.00",6,-0.70,0.80,-0.07,0.08,0.03,-,-,"1,000.00",940.00,12_24_2021
NIBD84,46.70,941.60,942.40,941.60,942.40,942.14,175.00,943.10,"164,875.00",6,-0.70,0.80,-0.07,0.08,0.03,-,-,"1,000.00",940.00,12_25_2021
NIBD84,45.07,941.70,941.70,941.50,941.50,941.60,100.00,942.40,"94,160.00",4,-0.90,0.20,-0.10,0.02,-0.01,-,-,"1,000.00",940.00,12_26_2021
NIBD84,44.19,937.10,938.10,937.00,938.10,937.40,75.00,941.50,"70,305.00",3,-3.40,1.10,-0.36,0.12,0.07,-,-,"1,000.00",937.00,12_27_2021
NIBD84,42.34,936.10,936.20,933.00,933.00,935.30,210.00,938.10,"196,412.50",9,-5.10,3.20,-0.54,0.34,-0.25,-,-,"1,000.00",933.00,12_28_2021
NIBD84,45.14,930.00,930.00,930.00,930.00,930.00,30.00,933.00,"27,900.00",1,-3.00,0.00,-0.32,0.00,0.00,-,-,"1,000.00",930.00,12_29_2021
NIBD84,39.21,930.00,930.00,930.00,930.00,930.00,30.00,933.00,"27,900.00",1,-3.00,0.00,-0.32,0.00,0.00,-,-,"1,000.00",930.00,12_30_2021
NIBD84,39.21,930.00,930.00,930.00,930.00,930.00,30.00,933.00,"27,900.00",1,-3.00,0.00,-0.32,0.00,0.00,-,-,"1,000.00",930.00,12_31_2021
NIBD84,39.21,930.00,930.00,930.00,930.00,930.00,30.00,933.00,"27,900.00",1,-3.00,0.00,-0.32,0.00,0.00,-,-,"1,000.00",930.00,01_01_2022
NIBD84,40.75,933.20,933.20,931.20,931.20,932.54,125.00,930.00,"116,567.50",6,1.20,2.00,0.13,0.21,-0.14,-,-,"1,000.00",930.00,01_02_2022
NIBD84,47.23,940.00,940.00,932.30,932.50,935.91,180.00,931.20,"168,464.00",11,1.30,7.70,0.14,0.83,-0.37,-,-,"1,000.00",930.00,01_03_2022
NIBD84,50.53,931.00,931.00,930.90,930.90,930.94,40.00,932.50,"37,237.50",2,-1.60,0.10,-0.17,0.01,0.00,-,-,"1,000.00",930.00,01_05_2022
NIBD84,45.17,930.20,931.00,930.20,930.60,930.58,105.00,930.90,"97,711.00",4,-0.30,0.80,-0.03,0.09,0.00,-,-,"1,000.00",930.00,01_06_2022
NIBD84,50.96,930.20,931.00,930.20,930.60,930.58,105.00,930.90,"97,711.00",4,-0.30,0.80,-0.03,0.09,0.00,-,-,"1,000.00",930.00,01_07_2022
NIBD84,50.96,930.20,931.00,930.20,930.60,930.58,105.00,930.90,"97,711.00",4,-0.30,0.80,-0.03,0.09,0.00,-,-,"1,000.00",930.00,01_08_2022
NIBD84,51.44,930.70,943.50,925.00,943.50,930.25,190.00,930.60,"176,748.00",9,12.90,18.50,1.39,2.00,1.40,-,-,"1,000.00",925.00,01_09_2022
NIBD84,59.84,930.60,949.10,930.10,949.10,940.67,90.00,943.50,"84,660.50",5,5.60,19.00,0.59,2.04,0.89,-,-,"1,000.00",925.00,01_10_2022
NIBD84,58.21,968.00,985.00,968.00,985.00,976.50,100.00,949.10,"97,650.00",3,35.90,17.00,3.78,1.76,0.86,-,-,"1,000.00",925.00,01_11_2022
NIBD84,66.30,965.30,965.30,965.30,965.30,965.30,10.00,985.00,"9,653.00",1,-19.70,0.00,-2.00,0.00,0.00,-,-,"1,000.00",925.00,01_23_2022
NIBD84,49.54,946.00,946.00,946.00,946.00,946.00,25.00,965.30,"23,650.00",1,-19.30,0.00,-2.00,0.00,0.00,-,-,"1,000.00",925.00,02_23_2022
NIBD84,40.32,927.10,927.10,852.40,852.40,873.17,170.00,946.00,"148,439.00",13,-93.60,74.70,-9.89,8.76,-2.44,-,-,"1,000.00",852.40,04_24_2022
NIBD84,29.65,852.40,852.40,849.20,850.00,850.31,130.00,852.40,"110,540.50",6,-2.40,3.20,-0.28,0.38,-0.04,-,-,"1,000.00",849.20,04_25_2022
NIBD84,30.10,848.50,849.20,848.50,848.80,848.82,100.00,850.00,"84,882.00",7,-1.20,0.70,-0.14,0.08,0.00,-,-,"1,000.00",848.50,04_26_2022
NIBD84,28.91,848.30,848.30,848.20,848.20,848.27,75.00,848.80,"63,620.00",5,-0.60,0.10,-0.07,0.01,-0.01,-,-,"1,000.00",848.20,04_27_2022
NIBD84,25.75,850.00,850.10,850.00,850.00,850.02,75.00,848.20,"63,751.50",4,1.80,0.10,0.21,0.01,0.00,-,-,"1,000.00",848.20,04_28_2022
NIBD84,37.76,850.00,850.10,850.00,850.00,850.02,75.00,848.20,"63,751.50",4,1.80,0.10,0.21,0.01,0.00,-,-,"1,000.00",848.20,04_29_2022
NIBD84,37.76,850.00,850.10,850.00,850.00,850.02,75.00,848.20,"63,751.50",4,1.80,0.10,0.21,0.01,0.00,-,-,"1,000.00",848.20,04_30_2022
NIBD84,37.76,850.00,850.10,850.00,850.00,850.02,75.00,848.20,"63,751.50",4,1.80,0.10,0.21,0.01,0.00,-,-,"1,000.00",848.20,05_01_2022
NIBD84,39.16,850.00,850.20,850.00,850.20,850.04,125.00,850.00,"106,255.00",3,0.20,0.20,0.02,0.02,0.02,-,-,"1,000.00",848.20,05_02_2022
NIBD84,43.67,850.00,850.20,850.00,850.20,850.04,125.00,850.00,"106,255.00",3,0.20,0.20,0.02,0.02,0.02,-,-,"1,000.00",848.20,05_03_2022
NIBD84,42.76,848.70,848.70,848.60,848.60,848.66,25.00,850.20,"21,216.50",2,-1.60,0.10,-0.19,0.01,-0.01,-,-,"1,000.00",848.20,05_04_2022
NIBD84,36.04,848.40,848.40,848.30,848.30,848.36,25.00,848.60,"21,209.00",2,-0.30,0.10,-0.04,0.01,-0.01,-,-,"1,000.00",848.20,05_05_2022
NIBD84,34.67,848.40,848.40,848.30,848.30,848.36,25.00,848.60,"21,209.00",2,-0.30,0.10,-0.04,0.01,-0.01,-,-,"1,000.00",848.20,05_06_2022
NIBD84,34.67,848.40,848.40,848.30,848.30,848.36,25.00,848.60,"21,209.00",2,-0.30,0.10,-0.04,0.01,-0.01,-,-,"1,000.00",848.20,05_07_2022
NIBD84,34.67,850.00,850.00,850.00,850.00,850.00,50.00,848.30,"42,500.00",1,1.70,0.00,0.20,0.00,0.00,-,-,"1,000.00",848.20,05_08_2022
NIBD84,38.44,848.50,848.50,848.50,848.50,848.50,15.00,850.00,"12,727.50",1,-1.50,0.00,-0.18,0.00,0.00,-,-,"1,000.00",848.20,05_09_2022
NIBD84,33.90,850.00,850.00,848.20,848.20,849.13,50.00,848.50,"42,456.50",3,-0.30,1.80,-0.04,0.21,-0.11,-,-,"1,000.00",848.20,05_10_2022
NIBD84,40.45,848.50,850.00,847.20,848.00,848.55,195.00,848.20,"165,468.00",7,-0.20,2.80,-0.02,0.33,-0.07,-,-,"1,000.00",847.20,05_11_2022
NIBD84,44.07,848.20,848.20,847.90,847.90,848.08,25.00,848.00,"21,202.00",2,-0.10,0.30,-0.01,0.04,-0.02,-,-,"1,000.00",847.20,05_12_2022
