Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NIBLGF,0.00,10.00,10.00,9.00,9.00,9.09,"6,800.00",10.00,"61,839.00",27,-1.00,1.00,-10.00,11.11,-1.04,0.00,0.00,10.00,9.00,04_27_2023
NIBLGF,31.59,10.00,10.00,9.00,9.00,9.09,"6,800.00",10.00,"61,839.00",27,-1.00,1.00,-10.00,11.11,-1.04,0.00,0.00,10.00,9.00,04_28_2023
NIBLGF,31.59,10.00,10.00,9.00,9.00,9.09,"6,800.00",10.00,"61,839.00",27,-1.00,1.00,-10.00,11.11,-1.04,0.00,0.00,10.00,9.00,04_29_2023
NIBLGF,31.59,8.83,8.83,8.10,8.20,8.46,"14,350.00",9.00,"121,457.00",61,-0.80,0.73,-8.89,9.01,-3.22,0.00,0.00,10.00,8.10,04_30_2023
NIBLGF,24.38,8.83,8.83,8.10,8.20,8.46,"14,350.00",9.00,"121,457.00",61,-0.80,0.73,-8.89,9.01,-3.22,0.00,0.00,10.00,8.10,05_01_2023
NIBLGF,25.37,8.04,8.19,7.61,8.04,8.04,"7,100.00",8.20,"57,094.00",25,-0.16,0.58,-1.95,7.62,-0.02,0.00,0.00,10.00,7.61,05_02_2023
NIBLGF,23.53,8.00,8.00,7.45,7.61,7.78,"2,450.00",8.04,"19,061.00",17,-0.43,0.55,-5.35,7.38,-2.23,0.00,0.00,10.00,7.45,05_03_2023
NIBLGF,18.55,7.60,8.37,7.19,8.36,7.73,"8,587.00",7.61,"66,387.94",33,0.75,1.18,9.86,16.41,7.52,0.00,0.00,10.00,7.19,05_04_2023
NIBLGF,24.41,7.60,8.37,7.19,8.36,7.73,"8,587.00",7.61,"66,387.94",33,0.75,1.18,9.86,16.41,7.52,0.00,0.00,10.00,7.19,05_05_2023
NIBLGF,24.41,7.60,8.37,7.19,8.36,7.73,"8,587.00",7.61,"66,387.94",33,0.75,1.18,9.86,16.41,7.52,0.00,0.00,10.00,7.19,05_06_2023
NIBLGF,24.41,8.20,8.20,7.88,7.98,7.94,"2,500.00",8.36,"19,860.00",17,-0.38,0.32,-4.55,4.06,0.45,0.00,0.00,10.00,7.19,05_07_2023
NIBLGF,26.60,7.87,8.37,7.59,8.37,7.79,"4,450.00",7.98,"34,684.75",18,0.39,0.78,4.89,10.28,6.88,0.00,0.00,10.00,7.19,05_08_2023
NIBLGF,36.38,8.21,8.21,7.90,8.14,8.05,"4,225.00",8.37,"34,031.75",17,-0.23,0.31,-2.75,3.92,1.05,0.00,0.00,10.00,7.19,05_09_2023
NIBLGF,37.90,7.98,8.00,7.68,7.93,7.89,"3,050.00",8.14,"24,066.50",17,-0.21,0.32,-2.58,4.17,0.50,0.00,0.00,10.00,7.19,05_10_2023
NIBLGF,23.94,7.78,7.89,7.63,7.89,7.81,"3,400.00",7.93,"26,548.00",9,-0.04,0.26,-0.50,3.41,1.04,0.00,0.00,10.00,7.19,05_11_2023
NIBLGF,32.06,7.78,7.89,7.63,7.89,7.81,"3,400.00",7.93,"26,548.00",9,-0.04,0.26,-0.50,3.41,1.04,0.00,0.00,10.00,7.19,05_12_2023
NIBLGF,32.06,7.78,7.89,7.63,7.89,7.81,"3,400.00",7.93,"26,548.00",9,-0.04,0.26,-0.50,3.41,1.04,0.00,0.00,10.00,7.19,05_13_2023
NIBLGF,32.06,7.89,7.89,7.40,7.59,7.64,"3,975.00",7.89,"30,372.00",12,-0.30,0.49,-3.80,6.62,-0.67,0.00,0.00,10.00,7.19,05_14_2023
NIBLGF,22.26,7.74,8.34,7.74,8.34,7.94,"6,250.00",7.59,"49,647.75",14,0.75,0.60,9.88,7.75,4.75,0.00,0.00,10.00,7.19,05_15_2023
NIBLGF,39.95,8.49,8.65,7.87,7.87,8.31,"6,345.00",8.34,"52,700.35",19,-0.47,0.78,-5.64,9.91,-5.54,0.00,0.00,10.00,7.19,05_16_2023
NIBLGF,36.28,7.80,8.29,7.45,8.29,7.70,"2,675.00",7.87,"20,607.25",14,0.42,0.84,5.34,11.28,7.07,0.00,0.00,10.00,7.19,05_17_2023
NIBLGF,38.07,8.14,8.15,7.99,8.03,8.12,"12,000.00",8.29,"97,447.50",18,-0.26,0.16,-3.14,2.00,-1.13,0.00,0.00,10.00,7.19,05_18_2023
NIBLGF,47.16,8.14,8.15,7.99,8.03,8.12,"12,000.00",8.29,"97,447.50",18,-0.26,0.16,-3.14,2.00,-1.13,0.00,0.00,10.00,7.19,05_19_2023
NIBLGF,47.16,8.14,8.15,7.99,8.03,8.12,"12,000.00",8.29,"97,447.50",18,-0.26,0.16,-3.14,2.00,-1.13,0.00,0.00,10.00,7.19,05_20_2023
NIBLGF,47.16,8.18,8.45,8.18,8.19,8.35,"3,800.00",8.03,"31,722.00",7,0.16,0.27,1.99,3.30,-1.93,0.00,0.00,10.00,7.19,05_21_2023
NIBLGF,33.79,8.04,8.18,8.04,8.04,8.07,"1,600.00",8.19,"12,907.00",8,-0.15,0.14,-1.83,1.74,-0.33,0.00,0.00,10.00,7.19,05_22_2023
NIBLGF,39.08,8.04,8.52,7.90,8.33,8.20,"4,100.00",8.04,"33,605.00",20,0.29,0.62,3.61,7.85,1.60,0.00,0.00,10.00,7.19,05_23_2023
NIBLGF,46.88,8.17,8.17,8.04,8.14,8.08,"1,200.00",8.33,"9,698.00",8,-0.19,0.13,-2.28,1.62,0.72,0.00,0.00,10.00,7.19,05_24_2023
NIBLGF,45.56,8.17,8.17,8.04,8.14,8.08,"1,200.00",8.33,"9,698.00",8,-0.19,0.13,-2.28,1.62,0.72,0.00,0.00,10.00,7.19,05_25_2023
NIBLGF,45.56,8.17,8.17,8.04,8.14,8.08,"1,200.00",8.33,"9,698.00",8,-0.19,0.13,-2.28,1.62,0.72,0.00,0.00,10.00,7.19,05_26_2023
NIBLGF,45.56,8.17,8.17,8.04,8.14,8.08,"1,200.00",8.33,"9,698.00",8,-0.19,0.13,-2.28,1.62,0.72,0.00,0.00,10.00,7.19,05_27_2023
NIBLGF,48.31,7.98,8.29,7.94,8.29,8.10,"3,600.00",8.14,"29,170.00",18,0.15,0.35,1.84,4.41,2.26,0.00,0.00,10.00,7.19,05_28_2023
NIBLGF,50.50,7.98,8.29,7.94,8.29,8.10,"3,600.00",8.14,"29,170.00",18,0.15,0.35,1.84,4.41,2.26,0.00,0.00,10.00,7.19,05_29_2023
NIBLGF,50.80,8.13,8.29,7.99,8.00,8.15,"10,200.00",8.29,"83,171.25",23,-0.29,0.30,-3.50,3.75,-1.93,0.00,0.00,10.00,7.19,05_30_2023
NIBLGF,-,8.00,8.16,7.90,8.16,8.01,"2,350.00",8.00,"18,823.00",11,0.16,0.26,2.00,3.29,1.84,0.00,0.00,10.00,7.19,05_31_2023
NIBLGF,-,8.00,8.17,8.00,8.17,8.13,500.00,8.16,"4,067.00",5,0.01,0.17,0.12,2.13,0.44,0.00,0.00,10.00,7.19,06_01_2023
NIBLGF,37.77,8.00,8.17,8.00,8.17,8.13,500.00,8.16,"4,067.00",5,0.01,0.17,0.12,2.13,0.44,0.00,0.00,10.00,7.19,06_02_2023
NIBLGF,37.77,8.00,8.17,8.00,8.17,8.13,500.00,8.16,"4,067.00",5,0.01,0.17,0.12,2.13,0.44,0.00,0.00,10.00,7.19,06_03_2023
NIBLGF,-,8.20,8.32,8.00,8.32,8.06,"3,825.00",8.17,"30,812.50",12,0.15,0.32,1.84,4.00,3.18,0.00,0.00,10.00,7.19,06_04_2023
NIBLGF,-,8.47,8.79,8.43,8.43,8.53,"2,025.00",8.32,"17,278.45",8,0.11,0.36,1.32,4.27,-1.22,0.00,0.00,10.00,7.19,06_05_2023
NIBLGF,-,8.27,8.51,7.80,8.51,7.98,"5,050.00",8.43,"40,286.50",18,0.08,0.71,0.95,9.10,6.26,0.00,0.00,10.00,7.19,06_06_2023
NIBLGF,-,8.35,8.35,8.05,8.21,8.19,"1,000.00",8.51,"8,192.00",8,-0.30,0.30,-3.53,3.73,0.22,0.00,0.00,10.00,7.19,06_07_2023
