Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NIBLPF,50.44,11.60,12.21,11.55,11.97,12.04,"66,290.00",11.75,"798,140.11",24,0.22,0.66,1.87,5.71,-0.59,14.00,13.00,20.68,8.20,09_01_2021
NIBLPF,43.49,10.75,11.28,10.70,11.28,11.04,"27,466.00",10.70,"303,151.74",15,0.58,0.58,5.42,5.42,2.15,13.53,13.08,20.68,9.49,11_03_2021
NIBLPF,55.75,10.75,11.28,10.70,11.28,11.04,"27,466.00",10.70,"303,151.74",15,0.58,0.58,5.42,5.42,2.15,13.53,13.08,20.68,9.49,11_05_2021
NIBLPF,55.75,10.75,11.28,10.70,11.28,11.04,"27,466.00",10.70,"303,151.74",15,0.58,0.58,5.42,5.42,2.15,13.53,13.08,20.68,9.49,11_06_2021
NIBLPF,55.75,10.75,11.28,10.70,11.28,11.04,"27,466.00",10.70,"303,151.74",15,0.58,0.58,5.42,5.42,2.15,13.53,13.08,20.68,9.49,11_07_2021
NIBLPF,56.54,11.28,11.35,11.13,11.13,11.18,"20,000.00",11.28,"223,525.00",5,-0.15,0.22,-1.33,1.98,-0.42,13.52,13.09,20.68,9.58,11_08_2021
NIBLPF,53.25,10.91,11.00,10.70,11.00,10.95,"13,528.00",11.13,"148,181.83",10,-0.13,0.30,-1.17,2.80,0.42,13.51,13.08,20.68,9.58,11_09_2021
NIBLPF,56.72,10.91,11.00,10.70,11.00,10.95,"13,528.00",11.13,"148,181.83",10,-0.13,0.30,-1.17,2.80,0.42,13.51,13.08,20.68,9.58,11_10_2021
NIBLPF,54.67,10.80,11.01,10.60,10.65,10.79,"14,272.00",11.00,"153,924.84",9,-0.35,0.41,-3.18,3.87,-1.27,13.50,13.08,20.68,9.70,11_11_2021
NIBLPF,40.73,10.80,11.01,10.60,10.65,10.79,"14,272.00",11.00,"153,924.84",9,-0.35,0.41,-3.18,3.87,-1.27,13.50,13.08,20.68,9.70,11_12_2021
NIBLPF,40.73,10.80,11.01,10.60,10.65,10.79,"14,272.00",11.00,"153,924.84",9,-0.35,0.41,-3.18,3.87,-1.27,13.50,13.08,20.68,9.70,11_13_2021
NIBLPF,38.68,10.70,10.91,10.50,10.50,10.55,"34,114.00",10.65,"359,737.60",15,-0.15,0.41,-1.41,3.90,-0.43,13.48,13.08,20.68,9.70,11_14_2021
NIBLPF,44.10,10.50,10.61,10.36,10.36,10.39,"47,470.00",10.50,"493,187.30",14,-0.14,0.25,-1.33,2.41,-0.28,13.46,13.08,20.68,9.70,11_15_2021
NIBLPF,45.25,10.50,11.35,10.50,10.61,10.65,"23,660.00",10.36,"251,977.70",17,0.25,0.85,2.41,8.10,-0.38,13.44,13.07,20.68,9.70,11_16_2021
NIBLPF,41.19,10.82,11.00,10.41,10.61,10.64,"82,171.00",10.61,"874,386.86",27,0.00,0.59,0.00,5.67,-0.29,13.42,13.07,20.68,9.70,11_17_2021
NIBLPF,54.84,10.40,10.61,10.40,10.46,10.49,"83,448.00",10.61,"875,774.30",24,-0.15,0.21,-1.41,2.02,-0.33,13.41,13.07,20.68,9.70,11_18_2021
NIBLPF,48.17,10.40,10.61,10.40,10.46,10.49,"83,448.00",10.61,"875,774.30",24,-0.15,0.21,-1.41,2.02,-0.33,13.41,13.07,20.68,9.70,11_19_2021
NIBLPF,48.17,10.40,10.61,10.40,10.46,10.49,"83,448.00",10.61,"875,774.30",24,-0.15,0.21,-1.41,2.02,-0.33,13.41,13.07,20.68,9.70,11_20_2021
NIBLPF,43.47,10.66,10.66,10.35,10.35,10.45,"6,763.00",10.46,"70,652.05",6,-0.11,0.31,-1.05,3.00,-0.94,13.39,13.06,20.68,9.70,11_21_2021
NIBLPF,39.86,10.29,11.19,10.16,11.05,10.63,"16,570.00",10.35,"176,065.15",21,0.70,1.03,6.76,10.14,3.84,13.37,13.06,20.68,9.70,11_22_2021
NIBLPF,50.05,11.14,11.14,10.44,10.47,10.64,"17,905.00",11.05,"190,596.00",23,-0.58,0.70,-5.25,6.70,-1.67,13.35,13.05,20.68,9.70,11_23_2021
NIBLPF,40.98,10.28,10.42,10.28,10.42,10.31,"9,496.00",10.47,"97,873.22",9,-0.05,0.14,-0.48,1.36,1.09,13.33,13.04,20.68,9.70,11_24_2021
NIBLPF,47.61,10.30,10.60,10.30,10.59,10.50,"4,904.00",10.42,"51,479.85",7,0.17,0.30,1.63,2.91,0.87,13.31,13.03,20.68,9.70,11_25_2021
NIBLPF,54.27,10.30,10.60,10.30,10.59,10.50,"4,904.00",10.42,"51,479.85",7,0.17,0.30,1.63,2.91,0.87,13.31,13.03,20.68,9.70,11_26_2021
NIBLPF,54.27,10.30,10.60,10.30,10.59,10.50,"4,904.00",10.42,"51,479.85",7,0.17,0.30,1.63,2.91,0.87,13.31,13.03,20.68,9.70,11_27_2021
NIBLPF,51.37,10.40,10.40,10.23,10.40,10.40,"3,545.00",10.59,"36,851.00",4,-0.19,0.17,-1.79,1.66,0.05,13.28,13.02,20.68,9.70,11_28_2021
NIBLPF,33.66,10.60,10.60,10.39,10.40,10.43,"2,470.00",10.40,"25,759.85",4,0.00,0.21,0.00,2.02,-0.28,13.26,13.01,20.68,9.70,11_29_2021
NIBLPF,43.23,10.40,10.40,10.00,10.13,10.14,"69,700.00",10.40,"706,810.40",28,-0.27,0.40,-2.60,4.00,-0.11,13.23,12.99,20.68,9.70,11_30_2021
NIBLPF,47.68,10.02,10.42,10.02,10.42,10.23,"13,110.00",10.13,"134,171.43",6,0.29,0.40,2.86,3.99,1.78,13.20,12.98,20.68,9.70,12_01_2021
NIBLPF,44.05,10.30,10.62,10.00,10.21,10.13,"57,458.00",10.42,"582,308.10",24,-0.21,0.62,-2.02,6.20,0.74,13.16,12.97,20.68,9.70,12_02_2021
NIBLPF,47.73,10.30,10.62,10.00,10.21,10.13,"57,458.00",10.42,"582,308.10",24,-0.21,0.62,-2.02,6.20,0.74,13.16,12.97,20.68,9.70,12_03_2021
NIBLPF,47.73,10.30,10.62,10.00,10.21,10.13,"57,458.00",10.42,"582,308.10",24,-0.21,0.62,-2.02,6.20,0.74,13.16,12.97,20.68,9.70,12_04_2021
NIBLPF,46.83,10.30,10.30,10.05,10.05,10.08,"43,103.00",10.21,"434,655.30",16,-0.16,0.25,-1.57,2.49,-0.34,13.13,12.96,20.68,9.70,12_05_2021
NIBLPF,41.56,9.86,10.02,9.86,10.02,9.92,"13,998.00",10.05,"138,844.28",11,-0.03,0.16,-0.30,1.62,1.01,13.10,12.95,20.68,9.70,12_06_2021
NIBLPF,46.28,9.83,10.41,9.83,10.41,10.30,"43,564.00",10.02,"448,769.58",15,0.39,0.58,3.89,5.90,1.04,13.07,12.94,20.68,9.70,12_07_2021
NIBLPF,51.11,10.21,10.25,10.01,10.01,10.06,"50,758.00",10.41,"510,409.23",14,-0.40,0.24,-3.84,2.40,-0.46,13.03,12.93,20.68,9.70,12_08_2021
NIBLPF,46.95,10.10,10.10,9.86,9.86,9.90,"21,090.00",10.01,"208,830.00",8,-0.15,0.24,-1.50,2.43,-0.42,12.99,12.91,20.68,9.70,12_09_2021
NIBLPF,40.73,10.10,10.10,9.86,9.86,9.90,"21,090.00",10.01,"208,830.00",8,-0.15,0.24,-1.50,2.43,-0.42,12.99,12.91,20.68,9.70,12_10_2021
NIBLPF,40.73,10.10,10.10,9.86,9.86,9.90,"21,090.00",10.01,"208,830.00",8,-0.15,0.24,-1.50,2.43,-0.42,12.99,12.91,20.68,9.70,12_11_2021
NIBLPF,40.08,9.95,10.00,9.79,9.89,9.85,"69,525.00",9.86,"685,066.75",24,0.03,0.21,0.30,2.15,0.37,12.95,12.90,20.68,9.70,12_12_2021
NIBLPF,43.81,9.89,10.03,9.30,10.03,9.52,"106,177.00",9.89,"1,010,616.79",31,0.14,0.73,1.42,7.85,5.10,12.91,12.89,20.68,9.30,12_13_2021
NIBLPF,38.35,10.23,10.23,9.83,10.13,9.98,"62,078.00",10.03,"619,755.16",12,0.10,0.40,1.00,4.07,1.45,12.87,12.88,20.68,9.30,12_14_2021
NIBLPF,54.44,10.00,10.12,9.35,9.80,9.48,"173,580.00",10.13,"1,645,852.38",32,-0.33,0.77,-3.26,8.24,3.25,12.83,12.87,20.68,9.30,12_15_2021
NIBLPF,49.03,9.61,9.99,9.61,9.75,9.76,"31,925.00",9.80,"311,604.25",17,-0.05,0.38,-0.51,3.95,-0.11,12.79,12.85,20.68,9.30,12_16_2021
NIBLPF,41.31,9.61,9.99,9.61,9.75,9.76,"31,925.00",9.80,"311,604.25",17,-0.05,0.38,-0.51,3.95,-0.11,12.79,12.85,20.68,9.30,12_17_2021
NIBLPF,41.31,9.61,9.99,9.61,9.75,9.76,"31,925.00",9.80,"311,604.25",17,-0.05,0.38,-0.51,3.95,-0.11,12.79,12.85,20.68,9.30,12_18_2021
NIBLPF,41.31,9.61,9.99,9.61,9.75,9.76,"31,925.00",9.80,"311,604.25",17,-0.05,0.38,-0.51,3.95,-0.11,12.79,12.85,20.68,9.30,12_19_2021
NIBLPF,38.62,9.58,9.79,9.56,9.56,9.62,"45,220.00",9.75,"434,835.62",26,-0.19,0.23,-1.95,2.41,-0.59,12.75,12.83,20.68,9.30,12_20_2021
NIBLPF,33.20,9.75,9.94,9.64,9.64,9.78,"10,761.00",9.56,"105,195.64",19,0.08,0.30,0.84,3.11,-1.41,12.71,12.82,20.68,9.30,12_21_2021
NIBLPF,39.13,9.46,9.85,9.46,9.85,9.75,"8,525.00",9.64,"83,096.75",8,0.21,0.39,2.18,4.12,1.04,12.67,12.81,20.68,9.30,12_22_2021
NIBLPF,45.79,9.85,9.86,9.67,9.73,9.73,"119,475.00",9.85,"1,162,999.75",20,-0.12,0.19,-1.22,1.96,-0.04,12.63,12.80,20.68,9.30,12_23_2021
NIBLPF,51.18,9.85,9.86,9.67,9.73,9.73,"119,475.00",9.85,"1,162,999.75",20,-0.12,0.19,-1.22,1.96,-0.04,12.63,12.80,20.68,9.30,12_24_2021
NIBLPF,51.18,9.85,9.86,9.67,9.73,9.73,"119,475.00",9.85,"1,162,999.75",20,-0.12,0.19,-1.22,1.96,-0.04,12.63,12.80,20.68,9.30,12_25_2021
NIBLPF,49.55,9.73,9.92,9.73,9.85,9.82,"35,450.00",9.73,"347,945.20",17,0.12,0.19,1.23,1.95,0.35,12.59,12.78,20.68,9.30,12_26_2021
NIBLPF,50.84,9.86,9.90,9.52,9.63,9.66,"34,106.00",9.85,"329,532.66",20,-0.22,0.38,-2.23,3.99,-0.33,12.55,12.77,20.68,9.30,12_27_2021
NIBLPF,46.92,9.54,9.79,9.53,9.58,9.60,"74,402.00",9.63,"713,960.91",24,-0.05,0.26,-0.52,2.73,-0.17,12.51,12.75,20.68,9.30,12_28_2021
NIBLPF,44.70,9.76,9.85,9.60,9.85,9.76,"59,358.00",9.58,"579,318.68",16,0.27,0.25,2.82,2.60,0.92,12.47,12.74,20.68,9.30,12_29_2021
NIBLPF,54.34,9.76,9.85,9.60,9.85,9.76,"59,358.00",9.58,"579,318.68",16,0.27,0.25,2.82,2.60,0.92,12.47,12.74,20.68,9.30,12_30_2021
NIBLPF,54.34,9.76,9.85,9.60,9.85,9.76,"59,358.00",9.58,"579,318.68",16,0.27,0.25,2.82,2.60,0.92,12.47,12.74,20.68,9.30,12_31_2021
NIBLPF,54.34,9.76,9.85,9.60,9.85,9.76,"59,358.00",9.58,"579,318.68",16,0.27,0.25,2.82,2.60,0.92,12.47,12.74,20.68,9.30,01_01_2022
NIBLPF,55.88,9.85,9.90,9.71,9.87,9.76,"13,253.00",9.85,"129,315.65",9,0.02,0.19,0.20,1.96,1.14,12.43,12.72,20.68,9.30,01_02_2022
NIBLPF,48.13,9.99,10.05,9.90,10.00,10.00,"82,217.00",9.87,"822,225.00",25,0.13,0.15,1.32,1.52,-0.01,12.39,12.71,20.68,9.30,01_03_2022
NIBLPF,60.36,10.00,10.41,10.00,10.18,10.32,"64,123.00",10.00,"661,908.42",29,0.18,0.41,1.80,4.10,-1.40,12.35,12.70,20.68,9.30,01_04_2022
NIBLPF,57.38,10.00,10.08,10.00,10.08,10.06,"17,500.00",10.18,"176,098.00",6,-0.10,0.08,-0.98,0.80,0.17,12.31,12.69,20.68,9.30,01_05_2022
NIBLPF,52.57,10.27,10.28,10.09,10.20,10.18,"9,472.00",10.08,"96,463.16",10,0.12,0.19,1.19,1.88,0.16,12.27,12.67,20.68,9.30,01_06_2022
