Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NIBPO,50.38,395.00,395.00,395.00,395.00,395.00,10.00,403.00,"3,950.00",1,-8.00,0.00,-1.99,0.00,0.00,411.16,395.95,395.00,395.00,05_30_2022
NIBPO,36.98,387.10,387.10,355.50,355.50,363.98,140.00,395.00,"50,957.00",6,-39.50,31.60,-10.00,8.89,-2.38,411.10,395.94,395.00,355.50,05_31_2022
NIBPO,25.35,348.40,348.40,320.00,320.00,332.38,60.00,355.50,"19,943.00",6,-35.50,28.40,-9.99,8.88,-3.87,410.71,395.72,395.00,320.00,06_02_2022
NIBPO,24.62,313.60,313.60,289.40,289.40,299.40,60.00,320.00,"17,964.00",5,-30.60,24.20,-9.56,8.36,-3.46,410.03,395.34,395.00,289.40,06_03_2022
NIBPO,23.86,313.60,313.60,289.40,289.40,299.40,60.00,320.00,"17,964.00",5,-30.60,24.20,-9.56,8.36,-3.46,410.03,395.34,395.00,289.40,06_04_2022
NIBPO,23.86,313.60,313.60,289.40,289.40,299.40,60.00,320.00,"17,964.00",5,-30.60,24.20,-9.56,8.36,-3.46,410.03,395.34,395.00,289.40,06_05_2022
NIBPO,23.43,283.70,283.70,260.50,260.50,260.66,"4,467.00",289.40,"1,164,375.50",19,-28.90,23.20,-9.99,8.91,-0.06,408.90,394.80,395.00,260.50,06_06_2022
NIBPO,25.45,255.30,255.30,234.50,236.00,236.20,"54,219.00",260.50,"12,806,590.50",97,-24.50,20.80,-9.40,8.87,-0.09,407.54,394.12,395.00,234.50,06_07_2022
NIBPO,26.76,240.00,252.70,230.00,252.70,235.26,"61,940.00",236.00,"14,572,312.20",120,16.70,22.70,7.08,9.87,6.90,406.04,393.45,395.00,230.00,06_08_2022
NIBPO,34.16,247.70,247.70,236.00,236.00,238.81,"17,497.00",252.70,"4,178,426.80",40,-16.70,11.70,-6.61,4.96,-1.19,404.37,392.73,395.00,230.00,06_09_2022
NIBPO,31.47,233.00,242.50,227.60,242.50,231.42,"50,038.00",236.00,"11,579,984.30",89,6.50,14.90,2.75,6.55,4.57,402.76,392.08,395.00,227.60,06_10_2022
NIBPO,40.01,233.00,242.50,227.60,242.50,231.42,"50,038.00",236.00,"11,579,984.30",89,6.50,14.90,2.75,6.55,4.57,402.76,392.08,395.00,227.60,06_11_2022
NIBPO,40.01,233.00,242.50,227.60,242.50,231.42,"50,038.00",236.00,"11,579,984.30",89,6.50,14.90,2.75,6.55,4.57,402.76,392.08,395.00,227.60,06_12_2022
NIBPO,43.97,237.70,237.70,233.00,234.90,235.12,"3,586.00",242.50,"843,148.50",6,-7.60,4.70,-3.13,2.02,-0.09,401.12,391.38,395.00,227.60,11_23_2022
NIBPO,40.20,230.30,234.00,230.00,234.00,231.30,"3,601.00",234.90,"832,895.20",10,-0.90,4.00,-0.38,1.74,1.16,399.55,390.64,395.00,227.60,11_24_2022
NIBPO,35.82,230.30,234.00,230.00,234.00,231.30,"3,601.00",234.90,"832,895.20",10,-0.90,4.00,-0.38,1.74,1.16,399.55,390.64,395.00,227.60,11_25_2022
NIBPO,35.82,230.30,234.00,230.00,234.00,231.30,"3,601.00",234.90,"832,895.20",10,-0.90,4.00,-0.38,1.74,1.16,399.55,390.64,395.00,227.60,11_26_2022
NIBPO,39.27,230.10,230.10,229.00,229.90,229.63,"5,730.00",234.00,"1,315,753.00",12,-4.10,1.10,-1.75,0.48,0.12,398.00,389.86,395.00,227.60,11_27_2022
NIBPO,40.53,229.90,231.80,227.50,231.80,228.89,"16,123.00",229.90,"3,690,449.70",24,1.90,4.30,0.83,1.89,1.25,396.34,389.15,395.00,227.50,11_28_2022
NIBPO,45.15,227.30,229.00,226.00,228.80,226.93,"23,185.00",231.80,"5,261,386.50",26,-3.00,3.00,-1.29,1.33,0.82,394.69,388.42,395.00,226.00,11_29_2022
NIBPO,45.59,233.30,233.30,226.00,227.10,227.01,"126,794.00",228.80,"28,783,739.50",19,-1.70,7.30,-0.74,3.23,0.04,393.17,387.65,395.00,226.00,11_30_2022
NIBPO,47.04,231.00,231.60,226.90,231.60,230.51,"5,000.00",227.10,"1,152,531.50",12,4.50,4.70,1.98,2.07,0.47,391.55,386.93,395.00,226.00,12_01_2022
NIBPO,40.48,231.00,231.60,226.90,231.60,230.51,"5,000.00",227.10,"1,152,531.50",12,4.50,4.70,1.98,2.07,0.47,391.55,386.93,395.00,226.00,12_02_2022
NIBPO,40.48,231.00,231.60,226.90,231.60,230.51,"5,000.00",227.10,"1,152,531.50",12,4.50,4.70,1.98,2.07,0.47,391.55,386.93,395.00,226.00,12_03_2022
NIBPO,41.80,232.00,236.00,229.20,233.70,234.17,"18,019.00",231.60,"4,219,456.60",25,2.10,6.80,0.91,2.97,-0.20,389.85,386.21,395.00,226.00,12_04_2022
NIBPO,44.17,231.10,233.80,231.10,231.40,231.59,"6,837.00",233.70,"1,583,401.80",12,-2.30,2.70,-0.98,1.17,-0.08,388.15,385.49,395.00,226.00,12_05_2022
NIBPO,44.31,231.00,235.50,227.00,227.30,230.90,"22,147.00",231.40,"5,113,748.50",42,-4.10,8.50,-1.77,3.74,-1.58,386.28,384.72,395.00,226.00,12_06_2022
NIBPO,44.96,222.80,226.00,214.10,226.00,219.50,142.00,227.30,"31,168.40",9,-1.30,11.90,-0.57,5.56,2.88,384.27,383.95,395.00,214.10,12_07_2022
NIBPO,32.63,222.80,226.00,214.10,226.00,219.50,142.00,227.30,"31,168.40",9,-1.30,11.90,-0.57,5.56,2.88,384.27,383.95,395.00,214.10,12_08_2022
NIBPO,32.63,222.80,226.00,214.10,226.00,219.50,142.00,227.30,"31,168.40",9,-1.30,11.90,-0.57,5.56,2.88,384.27,383.95,395.00,214.10,12_09_2022
NIBPO,32.63,222.80,226.00,214.10,226.00,219.50,142.00,227.30,"31,168.40",9,-1.30,11.90,-0.57,5.56,2.88,384.27,383.95,395.00,214.10,12_10_2022
NIBPO,34.04,221.60,221.60,221.60,221.60,221.60,20.00,226.00,"4,432.00",1,-4.40,0.00,-1.95,0.00,0.00,382.33,383.17,395.00,214.10,12_11_2022
NIBPO,33.44,225.00,225.00,220.50,220.50,222.00,300.00,221.60,"66,600.00",2,-1.10,4.50,-0.50,2.04,-0.68,380.55,382.35,395.00,214.10,12_12_2022
NIBPO,32.84,216.10,216.10,211.80,211.80,212.16,120.00,220.50,"25,459.00",3,-8.70,4.30,-3.95,2.03,-0.17,378.57,381.49,395.00,211.80,12_13_2022
NIBPO,30.87,207.60,211.00,207.00,208.00,209.72,"6,329.00",211.80,"1,327,295.40",13,-3.80,4.00,-1.79,1.93,-0.83,376.47,380.66,395.00,207.00,12_14_2022
NIBPO,34.06,211.00,211.00,207.00,207.00,208.37,"2,825.00",208.00,"588,635.00",7,-1.00,4.00,-0.48,1.93,-0.66,374.45,379.82,395.00,207.00,12_15_2022
NIBPO,33.20,211.00,211.00,207.00,207.00,208.37,"2,825.00",208.00,"588,635.00",7,-1.00,4.00,-0.48,1.93,-0.66,374.45,379.82,395.00,207.00,12_16_2022
NIBPO,33.20,211.00,211.00,207.00,207.00,208.37,"2,825.00",208.00,"588,635.00",7,-1.00,4.00,-0.48,1.93,-0.66,374.45,379.82,395.00,207.00,12_17_2022
NIBPO,32.97,207.00,207.00,202.90,202.90,203.43,"1,316.00",207.00,"267,712.00",4,-4.10,4.10,-1.98,2.02,-0.26,372.43,378.94,395.00,202.90,12_18_2022
NIBPO,24.09,206.90,210.00,201.20,207.00,204.80,"8,783.00",202.90,"1,798,747.20",15,4.10,8.80,2.02,4.37,1.06,370.49,378.09,395.00,201.20,12_19_2022
NIBPO,37.97,206.00,206.00,200.00,204.00,201.12,"5,392.00",207.00,"1,084,436.70",8,-3.00,6.00,-1.45,3.00,1.41,368.57,377.21,395.00,200.00,12_20_2022
NIBPO,36.92,205.00,208.00,205.00,206.00,206.02,"6,337.00",204.00,"1,305,572.00",9,2.00,3.00,0.98,1.46,-0.01,366.59,376.32,395.00,200.00,12_21_2022
NIBPO,38.44,201.90,204.00,200.00,204.00,202.25,"4,741.00",206.00,"958,845.00",11,-2.00,4.00,-0.97,2.00,0.86,364.57,375.45,395.00,200.00,12_22_2022
NIBPO,37.27,201.90,204.00,200.00,204.00,202.25,"4,741.00",206.00,"958,845.00",11,-2.00,4.00,-0.97,2.00,0.86,364.57,375.45,395.00,200.00,12_23_2022
NIBPO,37.27,201.90,204.00,200.00,204.00,202.25,"4,741.00",206.00,"958,845.00",11,-2.00,4.00,-0.97,2.00,0.86,364.57,375.45,395.00,200.00,12_24_2022
NIBPO,37.27,201.90,204.00,200.00,204.00,202.25,"4,741.00",206.00,"958,845.00",11,-2.00,4.00,-0.97,2.00,0.86,364.57,375.45,395.00,200.00,12_25_2022
NIBPO,37.10,206.00,214.90,206.00,214.90,209.74,"5,795.00",204.00,"1,215,418.80",13,10.90,8.90,5.34,4.32,2.40,362.64,374.65,395.00,200.00,12_26_2022
NIBPO,43.12,216.00,227.80,216.00,224.00,220.43,"20,731.00",214.90,"4,569,665.50",23,9.10,11.80,4.23,5.46,1.60,360.63,373.90,395.00,200.00,12_27_2022
NIBPO,51.08,220.00,224.00,220.00,224.00,220.62,71.00,224.00,"15,664.00",2,0.00,4.00,0.00,1.82,1.51,358.62,373.12,395.00,200.00,12_28_2022
