Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NICA,53.19,920.00,927.00,905.10,912.00,914.52,"104,201.00",914.00,"95,293,840.60",984,-2.00,21.90,-0.22,2.42,-0.28,932.91,907.94,"1,085.00",569.00,09_01_2021
NICA,47.73,886.00,886.00,866.00,869.90,870.18,"62,379.00",869.00,"54,281,106.60",413,0.90,20.00,0.10,2.31,-0.03,922.43,915.49,"1,085.00",605.00,11_03_2021
NICA,48.08,886.00,886.00,866.00,869.90,870.18,"62,379.00",869.00,"54,281,106.60",413,0.90,20.00,0.10,2.31,-0.03,922.43,915.49,"1,085.00",605.00,11_05_2021
NICA,48.08,886.00,886.00,866.00,869.90,870.18,"62,379.00",869.00,"54,281,106.60",413,0.90,20.00,0.10,2.31,-0.03,922.43,915.49,"1,085.00",605.00,11_06_2021
NICA,48.08,886.00,886.00,866.00,869.90,870.18,"62,379.00",869.00,"54,281,106.60",413,0.90,20.00,0.10,2.31,-0.03,922.43,915.49,"1,085.00",605.00,11_07_2021
NICA,48.87,860.00,880.00,856.00,856.00,866.28,"53,173.00",869.90,"46,062,799.00",340,-13.90,24.00,-1.60,2.80,-1.20,922.18,915.37,"1,085.00",605.00,11_08_2021
NICA,47.43,860.00,860.00,830.00,839.00,838.09,"100,951.00",856.00,"84,606,433.90",566,-17.00,30.00,-1.99,3.61,0.11,921.80,915.18,"1,085.00",605.00,11_09_2021
NICA,47.28,860.00,860.00,830.00,839.00,838.09,"100,951.00",856.00,"84,606,433.90",566,-17.00,30.00,-1.99,3.61,0.11,921.80,915.18,"1,085.00",605.00,11_10_2021
NICA,45.23,825.10,841.50,824.00,824.00,827.78,"60,792.00",839.00,"50,322,602.80",435,-15.00,17.50,-1.79,2.12,-0.46,921.24,914.82,"1,085.00",605.00,11_11_2021
NICA,42.45,825.10,841.50,824.00,824.00,827.78,"60,792.00",839.00,"50,322,602.80",435,-15.00,17.50,-1.79,2.12,-0.46,921.24,914.82,"1,085.00",605.00,11_12_2021
NICA,42.45,825.10,841.50,824.00,824.00,827.78,"60,792.00",839.00,"50,322,602.80",435,-15.00,17.50,-1.79,2.12,-0.46,921.24,914.82,"1,085.00",605.00,11_13_2021
NICA,40.40,825.00,835.00,813.10,825.50,825.67,"40,711.00",824.00,"33,613,694.60",300,1.50,21.90,0.18,2.69,-0.02,920.68,914.47,"1,085.00",605.00,11_14_2021
NICA,39.75,817.00,833.00,817.00,824.90,825.35,"46,501.00",825.50,"38,379,665.70",302,-0.60,16.00,-0.07,1.96,-0.05,920.17,914.14,"1,085.00",605.00,11_15_2021
NICA,40.98,825.00,870.00,820.00,870.00,847.39,"104,559.00",824.90,"88,602,632.60",521,45.10,50.00,5.47,6.10,2.60,920.01,914.04,"1,085.00",605.00,11_16_2021
NICA,61.34,880.00,897.00,862.00,875.00,875.36,"143,618.00",870.00,"125,718,149.70",808,5.00,35.00,0.57,4.06,-0.04,919.77,914.03,"1,085.00",605.00,11_17_2021
NICA,61.92,874.00,874.00,845.90,854.00,855.74,"86,241.00",875.00,"73,799,771.50",443,-21.00,28.10,-2.40,3.32,-0.20,919.33,913.68,"1,085.00",605.00,11_18_2021
NICA,59.93,874.00,874.00,845.90,854.00,855.74,"86,241.00",875.00,"73,799,771.50",443,-21.00,28.10,-2.40,3.32,-0.20,919.33,913.68,"1,085.00",605.00,11_19_2021
NICA,59.93,874.00,874.00,845.90,854.00,855.74,"86,241.00",875.00,"73,799,771.50",443,-21.00,28.10,-2.40,3.32,-0.20,919.33,913.68,"1,085.00",605.00,11_20_2021
NICA,55.23,870.00,870.00,836.00,840.00,840.09,"51,751.00",854.00,"43,475,291.10",348,-14.00,34.00,-1.64,4.07,-0.01,918.79,913.21,"1,085.00",605.00,11_21_2021
NICA,46.87,855.00,860.00,832.10,850.00,846.77,"38,185.00",840.00,"32,333,813.50",270,10.00,27.90,1.19,3.35,0.38,918.33,912.80,"1,085.00",605.00,11_22_2021
NICA,37.96,850.00,856.00,825.00,836.00,830.39,"64,274.00",850.00,"53,372,258.00",394,-14.00,31.00,-1.65,3.76,0.67,917.75,912.10,"1,085.00",605.00,11_23_2021
NICA,39.98,836.00,836.00,821.70,831.00,825.62,"96,252.00",836.00,"79,467,348.90",445,-5.00,14.30,-0.60,1.74,0.65,916.77,911.41,"1,085.00",605.00,11_24_2021
NICA,44.20,825.00,843.00,825.00,842.00,838.46,"81,644.00",831.00,"68,455,000.10",357,11.00,18.00,1.32,2.18,0.42,916.10,910.99,"1,085.00",605.00,11_25_2021
NICA,52.97,825.00,843.00,825.00,842.00,838.46,"81,644.00",831.00,"68,455,000.10",357,11.00,18.00,1.32,2.18,0.42,916.10,910.99,"1,085.00",605.00,11_26_2021
NICA,52.97,825.00,843.00,825.00,842.00,838.46,"81,644.00",831.00,"68,455,000.10",357,11.00,18.00,1.32,2.18,0.42,916.10,910.99,"1,085.00",605.00,11_27_2021
NICA,50.07,835.00,835.00,813.00,817.00,818.53,"66,398.00",842.00,"54,348,808.40",558,-25.00,22.00,-2.97,2.71,-0.19,915.32,910.39,"1,085.00",608.00,11_28_2021
