Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NICAD8182,49.63,980.20,980.20,980.20,980.20,980.20,20.00,961.00,"19,604.00",1,19.20,0.00,2.00,0.00,0.00,-,-,"1,049.00",961.00,11_03_2021
NICAD8182,46.29,980.20,980.20,980.20,980.20,980.20,20.00,961.00,"19,604.00",1,19.20,0.00,2.00,0.00,0.00,-,-,"1,049.00",961.00,11_05_2021
NICAD8182,46.29,980.20,980.20,980.20,980.20,980.20,20.00,961.00,"19,604.00",1,19.20,0.00,2.00,0.00,0.00,-,-,"1,049.00",961.00,11_06_2021
NICAD8182,46.29,980.20,980.20,980.20,980.20,980.20,20.00,961.00,"19,604.00",1,19.20,0.00,2.00,0.00,0.00,-,-,"1,049.00",961.00,11_07_2021
NICAD8182,38.39,960.60,960.60,960.60,960.60,960.60,50.00,980.20,"48,030.00",1,-19.60,0.00,-2.00,0.00,0.00,-,-,"1,049.00",960.60,12_02_2021
NICAD8182,37.14,960.60,960.60,960.60,960.60,960.60,50.00,980.20,"48,030.00",1,-19.60,0.00,-2.00,0.00,0.00,-,-,"1,049.00",960.60,12_03_2021
NICAD8182,37.14,960.60,960.60,960.60,960.60,960.60,50.00,980.20,"48,030.00",1,-19.60,0.00,-2.00,0.00,0.00,-,-,"1,049.00",960.60,12_04_2021
NICAD8182,28.78,960.10,960.10,960.10,960.10,960.10,30.00,960.60,"28,803.00",1,-0.50,0.00,-0.05,0.00,0.00,-,-,"1,049.00",960.10,12_20_2021
NICAD8182,35.93,960.20,960.20,960.20,960.20,960.20,25.00,960.10,"24,005.00",1,0.10,0.00,0.01,0.00,0.00,-,-,"1,049.00",960.10,12_27_2021
NICAD8182,48.80,979.40,979.40,979.40,979.40,979.40,50.00,960.20,"48,970.00",1,19.20,0.00,2.00,0.00,0.00,-,-,"1,049.00",960.10,01_04_2022
NICAD8182,52.34,998.90,998.90,998.90,998.90,998.90,50.00,979.40,"49,945.00",1,19.50,0.00,1.99,0.00,0.00,-,-,"1,049.00",960.10,01_09_2022
NICAD8182,57.74,980.10,980.10,979.00,979.00,979.57,150.00,998.90,"146,935.00",3,-19.90,1.10,-1.99,0.11,-0.06,-,-,"1,049.00",960.10,01_10_2022
NICAD8182,64.86,961.60,961.60,961.60,961.60,961.60,25.00,979.00,"24,040.00",1,-17.40,0.00,-1.78,0.00,0.00,-,-,"1,049.00",960.10,01_12_2022
NICAD8182,54.14,960.30,960.30,960.30,960.30,960.30,30.00,961.60,"28,809.00",1,-1.30,0.00,-0.14,0.00,0.00,-,-,"1,049.00",960.10,01_13_2022
