Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NICAP,28.03,438.00,438.00,438.00,438.00,438.00,"6,708.00",438.00,"2,938,104.00",1,0.00,0.00,0.00,0.00,0.00,-,-,505.00,438.00,04_27_2022
NICAP,30.95,393.00,393.00,393.00,393.00,393.00,"41,130.00",393.00,"16,164,090.00",2,0.00,0.00,0.00,0.00,0.00,-,-,505.00,393.00,08_07_2022
NICAP,35.64,385.20,385.20,385.20,385.20,385.20,"160,336.00",393.00,"61,761,427.20",2,-7.80,0.00,-1.98,0.00,0.00,-,-,505.00,385.20,08_08_2022
NICAP,33.95,385.20,385.20,385.20,385.20,430.00,"2,000.00",385.20,"860,000.00",2,0.00,0.00,0.00,0.00,-11.63,-,-,505.00,385.20,10_17_2022
NICAP,25.27,385.20,385.20,385.20,385.20,430.00,"2,000.00",385.20,"860,000.00",2,0.00,0.00,0.00,0.00,-11.63,-,-,505.00,385.20,10_18_2022
NICAP,24.05,385.20,385.20,385.20,385.20,435.00,"1,000.00",385.20,"435,000.00",1,0.00,0.00,0.00,0.00,-12.93,-,-,505.00,385.20,10_20_2022
NICAP,25.27,385.20,385.20,385.20,385.20,435.00,"1,000.00",385.20,"435,000.00",1,0.00,0.00,0.00,0.00,-12.93,-,-,505.00,385.20,10_21_2022
NICAP,25.27,385.20,385.20,385.20,385.20,435.00,"1,000.00",385.20,"435,000.00",1,0.00,0.00,0.00,0.00,-12.93,-,-,505.00,385.20,10_22_2022
NICAP,25.27,331.30,331.30,331.30,331.30,331.30,"69,275.00",338.00,"22,950,807.50",1,-6.70,0.00,-1.98,0.00,0.00,-,-,505.00,331.30,10_23_2022
NICAP,31.59,331.30,331.30,331.30,331.30,331.30,"69,275.00",338.00,"22,950,807.50",1,-6.70,0.00,-1.98,0.00,0.00,-,-,505.00,331.30,10_24_2022
NICAP,31.59,331.30,331.30,331.30,331.30,331.30,"69,275.00",338.00,"22,950,807.50",1,-6.70,0.00,-1.98,0.00,0.00,-,-,505.00,331.30,10_25_2022
NICAP,31.59,331.30,331.30,331.30,331.30,331.30,"69,275.00",338.00,"22,950,807.50",1,-6.70,0.00,-1.98,0.00,0.00,-,-,505.00,331.30,10_26_2022
NICAP,31.59,331.30,331.30,331.30,331.30,331.30,"69,275.00",338.00,"22,950,807.50",1,-6.70,0.00,-1.98,0.00,0.00,-,-,505.00,331.30,10_27_2022
NICAP,31.59,331.30,331.30,331.30,331.30,331.30,"69,275.00",338.00,"22,950,807.50",1,-6.70,0.00,-1.98,0.00,0.00,-,-,505.00,331.30,10_28_2022
NICAP,31.59,331.30,331.30,331.30,331.30,331.30,"69,275.00",338.00,"22,950,807.50",1,-6.70,0.00,-1.98,0.00,0.00,-,-,505.00,331.30,10_29_2022
NICAP,31.59,331.30,331.30,331.30,331.30,331.30,"69,275.00",338.00,"22,950,807.50",1,-6.70,0.00,-1.98,0.00,0.00,-,-,505.00,331.30,10_30_2022
NICAP,39.30,331.30,331.30,331.30,331.30,450.00,"1,000.00",331.30,"450,000.00",1,0.00,0.00,0.00,0.00,-35.83,-,-,438.00,331.30,11_28_2022
NICAP,-,396.00,396.00,396.00,396.00,396.00,"1,000.00",331.30,"396,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,396.00,331.30,06_22_2023
NICAP,38.45,396.00,396.00,396.00,396.00,396.00,"1,000.00",331.30,"396,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,396.00,331.30,06_23_2023
NICAP,38.45,396.00,396.00,396.00,396.00,396.00,"1,000.00",331.30,"396,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,396.00,331.30,06_24_2023
