Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NICD83/84,54.20,"1,010.10","1,020.00","1,010.10","1,020.00","1,012.08",125.00,"1,020.00","126,510.00",2,0.00,9.90,0.00,0.98,0.78,-,-,"1,123.00","1,004.00",11_03_2021
NICD83/84,53.30,"1,010.10","1,020.00","1,010.10","1,020.00","1,012.08",125.00,"1,020.00","126,510.00",2,0.00,9.90,0.00,0.98,0.78,-,-,"1,123.00","1,004.00",11_05_2021
NICD83/84,53.30,"1,010.10","1,020.00","1,010.10","1,020.00","1,012.08",125.00,"1,020.00","126,510.00",2,0.00,9.90,0.00,0.98,0.78,-,-,"1,123.00","1,004.00",11_06_2021
NICD83/84,53.30,"1,010.10","1,020.00","1,010.10","1,020.00","1,012.08",125.00,"1,020.00","126,510.00",2,0.00,9.90,0.00,0.98,0.78,-,-,"1,123.00","1,004.00",11_07_2021
NICD83/84,55.50,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",300.00,"1,020.00","310,500.00",1,15.00,0.00,1.47,0.00,0.00,-,-,"1,123.00","1,004.00",11_09_2021
NICD83/84,67.41,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",300.00,"1,020.00","310,500.00",1,15.00,0.00,1.47,0.00,0.00,-,-,"1,123.00","1,004.00",11_10_2021
NICD83/84,65.36,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",200.00,"1,035.00","207,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,123.00","1,004.00",11_11_2021
NICD83/84,66.20,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",200.00,"1,035.00","207,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,123.00","1,004.00",11_12_2021
NICD83/84,66.20,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",200.00,"1,035.00","207,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,123.00","1,004.00",11_13_2021
NICD83/84,65.10,"1,015.00","1,015.00","1,015.00","1,015.00","1,015.00",30.00,"1,035.00","30,450.00",1,-20.00,0.00,-1.93,0.00,0.00,-,-,"1,123.00","1,004.00",11_17_2021
NICD83/84,49.29,"1,002.20","1,002.20","1,001.80","1,001.80","1,002.00",50.00,"1,015.00","50,100.00",2,-13.20,0.40,-1.30,0.04,-0.02,-,-,"1,123.00","1,001.80",11_28_2021
NICD83/84,45.72,"1,001.30","1,001.30","1,001.20","1,001.20","1,001.25",50.00,"1,001.80","50,062.50",2,-0.60,0.10,-0.06,0.01,0.00,-,-,"1,123.00","1,001.20",11_29_2021
NICD83/84,38.97,"1,001.60","1,001.60","1,001.60","1,001.60","1,001.60",25.00,"1,001.20","25,040.00",1,0.40,0.00,0.04,0.00,0.00,-,-,"1,123.00","1,001.20",12_02_2021
NICD83/84,38.05,"1,001.60","1,001.60","1,001.60","1,001.60","1,001.60",25.00,"1,001.20","25,040.00",1,0.40,0.00,0.04,0.00,0.00,-,-,"1,123.00","1,001.20",12_03_2021
NICD83/84,38.05,"1,001.60","1,001.60","1,001.60","1,001.60","1,001.60",25.00,"1,001.20","25,040.00",1,0.40,0.00,0.04,0.00,0.00,-,-,"1,123.00","1,001.20",12_04_2021
NICD83/84,37.15,"1,000.20","1,000.20",999.10,999.10,999.39,500.00,"1,001.60","499,695.00",6,-2.50,1.10,-0.25,0.11,-0.03,-,-,"1,123.00",999.10,12_05_2021
NICD83/84,45.43,"1,002.00","1,002.00","1,002.00","1,002.00","1,002.00",30.00,999.10,"30,060.00",1,2.90,0.00,0.29,0.00,0.00,-,-,"1,123.00",999.10,12_22_2021
NICD83/84,44.22,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",50.00,"1,002.00","50,500.00",1,8.00,0.00,0.80,0.00,0.00,-,-,"1,123.00",999.10,12_26_2021
NICD83/84,50.55,"1,015.00","1,015.00","1,015.00","1,015.00","1,015.00",25.00,"1,010.00","25,375.00",1,5.00,0.00,0.50,0.00,0.00,-,-,"1,123.00",999.10,12_28_2021
NICD83/84,51.45,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.00,0.00,-,-,"1,123.00",999.10,01_02_2022
NICD83/84,50.17,"1,020.00","1,020.00","1,020.00","1,020.00","1,020.00",650.00,"1,000.00","663,000.00",1,20.00,0.00,2.00,0.00,0.00,-,-,"1,123.00",999.10,01_05_2022
NICD83/84,61.21,"1,005.00","1,005.00","1,005.00","1,005.00","1,005.00",30.00,"1,020.00","30,150.00",1,-15.00,0.00,-1.47,0.00,0.00,-,-,"1,123.00",999.10,01_06_2022
NICD83/84,38.56,"1,005.00","1,005.00","1,005.00","1,005.00","1,005.00",30.00,"1,020.00","30,150.00",1,-15.00,0.00,-1.47,0.00,0.00,-,-,"1,123.00",999.10,01_07_2022
NICD83/84,38.56,"1,005.00","1,005.00","1,005.00","1,005.00","1,005.00",30.00,"1,020.00","30,150.00",1,-15.00,0.00,-1.47,0.00,0.00,-,-,"1,123.00",999.10,01_08_2022
NICD83/84,46.17,"1,005.00","1,005.00",995.00,995.00,"1,000.06",85.00,"1,005.00","85,005.00",3,-10.00,10.00,-1.00,1.01,-0.51,-,-,"1,123.00",995.00,01_16_2022
NICD83/84,49.74,990.00,990.00,990.00,990.00,990.00,25.00,995.00,"24,750.00",1,-5.00,0.00,-0.50,0.00,0.00,-,-,"1,123.00",990.00,01_19_2022
NICD83/84,53.58,"1,000.00","1,001.00","1,000.00","1,001.00","1,000.75",100.00,990.00,"100,075.00",2,11.00,1.00,1.11,0.10,0.02,-,-,"1,123.00",990.00,01_20_2022
NICD83/84,50.47,"1,000.00","1,001.00","1,000.00","1,001.00","1,000.75",100.00,990.00,"100,075.00",2,11.00,1.00,1.11,0.10,0.02,-,-,"1,123.00",990.00,01_21_2022
NICD83/84,50.47,"1,000.00","1,001.00","1,000.00","1,001.00","1,000.75",100.00,990.00,"100,075.00",2,11.00,1.00,1.11,0.10,0.02,-,-,"1,123.00",990.00,01_22_2022
