Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NICFC,0.00,10.00,10.00,9.81,10.00,9.94,"2,100.00",0.00,"20,866.00",12,10.00,0.19,0.00,1.94,0.64,-,-,10.00,9.81,09_12_2022
NICFC,34.62,9.81,9.81,9.00,9.00,9.12,"16,900.00",10.00,"154,177.00",67,-1.00,0.81,-10.00,9.00,-1.37,-,-,10.00,9.00,09_14_2022
NICFC,30.24,8.82,8.82,8.10,8.28,8.27,"14,670.00",9.00,"121,282.70",71,-0.72,0.72,-8.00,8.89,0.15,-,-,10.00,8.10,09_15_2022
NICFC,29.28,8.12,8.24,7.97,8.10,8.11,"15,500.00",8.28,"125,755.70",31,-0.18,0.27,-2.17,3.39,-0.16,-,-,10.00,7.97,09_16_2022
NICFC,29.05,8.12,8.24,7.97,8.10,8.11,"15,500.00",8.28,"125,755.70",31,-0.18,0.27,-2.17,3.39,-0.16,-,-,10.00,7.97,09_17_2022
NICFC,27.13,8.10,8.16,8.10,8.10,8.13,"5,160.00",8.10,"41,960.50",38,0.00,0.06,0.00,0.74,-0.39,-,-,10.00,7.97,09_18_2022
NICFC,21.32,8.10,8.16,8.10,8.10,8.13,"5,160.00",8.10,"41,960.50",38,0.00,0.06,0.00,0.74,-0.39,-,-,10.00,7.97,09_19_2022
NICFC,21.70,7.95,8.26,7.95,8.00,8.04,"3,300.00",8.10,"26,544.00",33,-0.10,0.31,-1.23,3.90,-0.55,-,-,10.00,7.95,09_20_2022
NICFC,25.88,7.84,8.58,7.84,7.98,8.01,"5,400.00",8.00,"43,245.00",43,-0.02,0.74,-0.25,9.44,-0.36,-,-,10.00,7.84,09_21_2022
NICFC,34.94,7.83,8.00,7.83,8.00,7.91,"3,020.00",7.98,"23,891.00",23,0.02,0.17,0.25,2.17,1.11,-,-,10.00,7.83,09_22_2022
NICFC,33.84,7.83,8.00,7.83,8.00,7.91,"3,020.00",7.98,"23,891.00",23,0.02,0.17,0.25,2.17,1.11,-,-,10.00,7.83,09_23_2022
NICFC,33.84,7.83,8.00,7.83,8.00,7.91,"3,020.00",7.98,"23,891.00",23,0.02,0.17,0.25,2.17,1.11,-,-,10.00,7.83,09_24_2022
NICFC,31.69,8.02,8.02,7.77,7.80,7.84,"2,800.00",8.00,"21,947.00",17,-0.20,0.25,-2.50,3.22,-0.49,-,-,10.00,7.77,09_25_2022
NICFC,29.02,8.02,8.02,7.77,7.80,7.84,"2,800.00",8.00,"21,947.00",17,-0.20,0.25,-2.50,3.22,-0.49,-,-,10.00,7.77,09_26_2022
NICFC,29.77,7.65,7.86,7.65,7.74,7.77,"2,975.00",7.80,"23,121.50",20,-0.06,0.21,-0.77,2.75,-0.41,-,-,10.00,7.65,09_27_2022
NICFC,31.74,7.59,7.73,7.30,7.60,7.57,"2,100.00",7.74,"15,897.00",12,-0.14,0.43,-1.81,5.89,0.39,-,-,10.00,7.30,09_28_2022
NICFC,30.63,7.59,7.71,7.59,7.70,7.66,800.00,7.60,"6,130.00",7,0.10,0.12,1.32,1.58,0.49,-,-,10.00,7.30,09_29_2022
NICFC,28.22,7.59,7.71,7.59,7.70,7.66,800.00,7.60,"6,130.00",7,0.10,0.12,1.32,1.58,0.49,-,-,10.00,7.30,09_30_2022
NICFC,28.22,7.59,7.71,7.59,7.70,7.66,800.00,7.60,"6,130.00",7,0.10,0.12,1.32,1.58,0.49,-,-,10.00,7.30,10_01_2022
NICFC,28.22,7.59,7.71,7.59,7.70,7.66,800.00,7.60,"6,130.00",7,0.10,0.12,1.32,1.58,0.49,-,-,10.00,7.30,10_02_2022
NICFC,28.22,7.59,7.71,7.59,7.70,7.66,800.00,7.60,"6,130.00",7,0.10,0.12,1.32,1.58,0.49,-,-,10.00,7.30,10_03_2022
NICFC,28.22,7.59,7.71,7.59,7.70,7.66,800.00,7.60,"6,130.00",7,0.10,0.12,1.32,1.58,0.49,-,-,10.00,7.30,10_04_2022
NICFC,28.22,7.59,7.71,7.59,7.70,7.66,800.00,7.60,"6,130.00",7,0.10,0.12,1.32,1.58,0.49,-,-,10.00,7.30,10_05_2022
NICFC,28.22,7.59,7.71,7.59,7.70,7.66,800.00,7.60,"6,130.00",7,0.10,0.12,1.32,1.58,0.49,-,-,10.00,7.30,10_06_2022
NICFC,28.22,7.59,7.71,7.59,7.70,7.66,800.00,7.60,"6,130.00",7,0.10,0.12,1.32,1.58,0.49,-,-,10.00,7.30,10_07_2022
NICFC,28.22,7.59,7.71,7.59,7.70,7.66,800.00,7.60,"6,130.00",7,0.10,0.12,1.32,1.58,0.49,-,-,10.00,7.30,10_08_2022
NICFC,31.01,7.59,7.77,7.59,7.65,7.65,"3,100.00",7.70,"23,720.00",21,-0.05,0.18,-0.65,2.37,-0.02,-,-,10.00,7.30,10_09_2022
NICFC,38.38,7.65,7.90,7.65,7.90,7.76,"1,800.00",7.65,"13,965.00",12,0.25,0.25,3.27,3.27,1.79,-,-,10.00,7.30,10_10_2022
NICFC,38.30,7.76,8.21,7.76,8.19,8.04,"3,800.00",7.90,"30,558.00",18,0.29,0.45,3.67,5.80,1.81,-,-,10.00,7.30,10_11_2022
NICFC,44.17,8.03,8.19,7.89,8.00,8.03,"6,475.00",8.19,"52,015.93",9,-0.19,0.30,-2.32,3.80,-0.42,-,-,10.00,7.30,10_12_2022
NICFC,43.93,7.85,8.22,7.85,8.06,7.91,"2,775.00",8.00,"21,942.25",10,0.06,0.37,0.75,4.71,1.90,-,-,10.00,7.30,10_13_2022
NICFC,41.84,7.85,8.22,7.85,8.06,7.91,"2,775.00",8.00,"21,942.25",10,0.06,0.37,0.75,4.71,1.90,-,-,10.00,7.30,10_14_2022
NICFC,41.84,7.85,8.22,7.85,8.06,7.91,"2,775.00",8.00,"21,942.25",10,0.06,0.37,0.75,4.71,1.90,-,-,10.00,7.30,10_15_2022
NICFC,41.96,7.90,7.91,7.90,7.91,7.90,750.00,8.06,"5,926.00",6,-0.15,0.01,-1.86,0.13,0.11,-,-,10.00,7.30,10_16_2022
NICFC,34.56,7.80,8.01,7.80,7.90,7.89,"2,900.00",7.91,"22,890.14",22,-0.01,0.21,-0.13,2.69,0.09,-,-,10.00,7.30,10_17_2022
NICFC,34.85,7.80,8.01,7.80,7.90,7.89,"2,900.00",7.91,"22,890.14",22,-0.01,0.21,-0.13,2.69,0.09,-,-,10.00,7.30,10_18_2022
NICFC,34.04,7.80,8.05,7.80,7.90,7.91,"2,600.00",7.90,"20,564.00",18,0.00,0.25,0.00,3.21,-0.12,-,-,10.00,7.30,10_19_2022
NICFC,35.10,7.90,8.00,7.86,8.00,7.97,"1,700.00",7.90,"13,556.00",7,0.10,0.14,1.27,1.78,0.32,-,-,10.00,7.30,10_20_2022
NICFC,35.12,7.90,8.00,7.86,8.00,7.97,"1,700.00",7.90,"13,556.00",7,0.10,0.14,1.27,1.78,0.32,-,-,10.00,7.30,10_21_2022
NICFC,35.12,7.90,8.00,7.86,8.00,7.97,"1,700.00",7.90,"13,556.00",7,0.10,0.14,1.27,1.78,0.32,-,-,10.00,7.30,10_22_2022
NICFC,35.12,7.86,8.00,7.86,7.90,7.88,"1,300.00",8.00,"10,244.00",12,-0.10,0.14,-1.25,1.78,0.25,-,-,10.00,7.30,10_23_2022
NICFC,34.62,7.86,8.00,7.86,7.90,7.88,"1,300.00",8.00,"10,244.00",12,-0.10,0.14,-1.25,1.78,0.25,-,-,10.00,7.30,10_24_2022
NICFC,34.62,7.86,8.00,7.86,7.90,7.88,"1,300.00",8.00,"10,244.00",12,-0.10,0.14,-1.25,1.78,0.25,-,-,10.00,7.30,10_25_2022
NICFC,34.62,7.86,8.00,7.86,7.90,7.88,"1,300.00",8.00,"10,244.00",12,-0.10,0.14,-1.25,1.78,0.25,-,-,10.00,7.30,10_26_2022
NICFC,34.62,7.86,8.00,7.86,7.90,7.88,"1,300.00",8.00,"10,244.00",12,-0.10,0.14,-1.25,1.78,0.25,-,-,10.00,7.30,10_27_2022
NICFC,34.62,7.86,8.00,7.86,7.90,7.88,"1,300.00",8.00,"10,244.00",12,-0.10,0.14,-1.25,1.78,0.25,-,-,10.00,7.30,10_28_2022
NICFC,34.62,7.86,8.00,7.86,7.90,7.88,"1,300.00",8.00,"10,244.00",12,-0.10,0.14,-1.25,1.78,0.25,-,-,10.00,7.30,10_29_2022
