Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NICL,47.28,"1,000.00","1,008.00",985.00,985.30,993.38,"28,417.00",989.00,"28,228,979.50",306,-3.70,23.00,-0.37,2.34,-0.82,943.73,874.28,"1,294.00",529.00,09_01_2021
NICL,60.87,924.90,924.90,892.90,896.00,902.65,"11,362.00",908.00,"10,255,888.00",109,-12.00,32.00,-1.32,3.58,-0.74,946.43,909.03,"1,294.00",542.00,11_03_2021
NICL,55.05,924.90,924.90,892.90,896.00,902.65,"11,362.00",908.00,"10,255,888.00",109,-12.00,32.00,-1.32,3.58,-0.74,946.43,909.03,"1,294.00",542.00,11_05_2021
NICL,55.05,924.90,924.90,892.90,896.00,902.65,"11,362.00",908.00,"10,255,888.00",109,-12.00,32.00,-1.32,3.58,-0.74,946.43,909.03,"1,294.00",542.00,11_06_2021
NICL,55.05,924.90,924.90,892.90,896.00,902.65,"11,362.00",908.00,"10,255,888.00",109,-12.00,32.00,-1.32,3.58,-0.74,946.43,909.03,"1,294.00",542.00,11_07_2021
NICL,55.83,905.00,905.00,870.00,870.00,880.14,"12,435.00",896.00,"10,944,487.90",131,-26.00,35.00,-2.90,4.02,-1.17,947.14,909.02,"1,294.00",544.00,11_08_2021
NICL,51.06,858.00,870.00,822.00,838.00,842.71,"20,934.00",870.00,"17,641,279.70",214,-32.00,48.00,-3.68,5.84,-0.56,947.62,908.48,"1,294.00",545.00,11_09_2021
NICL,48.06,858.00,870.00,822.00,838.00,842.71,"20,934.00",870.00,"17,641,279.70",214,-32.00,48.00,-3.68,5.84,-0.56,947.62,908.48,"1,294.00",545.00,11_10_2021
NICL,46.01,822.10,840.00,810.00,810.00,815.77,"13,867.00",838.00,"11,312,257.10",180,-28.00,30.00,-3.34,3.70,-0.71,947.83,907.92,"1,294.00",549.00,11_11_2021
NICL,43.63,822.10,840.00,810.00,810.00,815.77,"13,867.00",838.00,"11,312,257.10",180,-28.00,30.00,-3.34,3.70,-0.71,947.83,907.92,"1,294.00",549.00,11_12_2021
NICL,43.63,822.10,840.00,810.00,810.00,815.77,"13,867.00",838.00,"11,312,257.10",180,-28.00,30.00,-3.34,3.70,-0.71,947.83,907.92,"1,294.00",549.00,11_13_2021
NICL,41.58,796.00,826.00,784.10,815.00,807.24,"12,103.00",810.00,"9,769,978.30",123,5.00,41.90,0.62,5.34,0.95,948.03,907.55,"1,294.00",549.00,11_14_2021
NICL,42.00,831.00,834.00,818.00,825.00,824.87,"8,368.00",815.00,"6,902,473.10",98,10.00,16.00,1.23,1.96,0.02,948.33,907.27,"1,294.00",549.00,11_15_2021
NICL,41.28,826.00,845.00,826.00,845.00,832.56,"12,882.00",825.00,"10,725,061.70",123,20.00,19.00,2.42,2.30,1.47,948.75,907.15,"1,294.00",549.00,11_16_2021
