Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NICLBSL,47.49,"1,455.10","1,500.00","1,455.10","1,473.00","1,479.54","13,843.00","1,464.00","20,481,328.60",503,9.00,44.90,0.61,3.09,-0.44,"1,498.01",-,"2,037.00",780.00,09_01_2021
NICLBSL,64.66,"1,300.00","1,369.90","1,300.00","1,311.00","1,321.97","17,452.00","1,301.00","23,071,036.30",308,10.00,69.90,0.77,5.38,-0.84,"1,501.52",-,"2,037.00",780.00,11_03_2021
NICLBSL,62.10,"1,300.00","1,369.90","1,300.00","1,311.00","1,321.97","17,452.00","1,301.00","23,071,036.30",308,10.00,69.90,0.77,5.38,-0.84,"1,501.52",-,"2,037.00",780.00,11_05_2021
NICLBSL,62.10,"1,300.00","1,369.90","1,300.00","1,311.00","1,321.97","17,452.00","1,301.00","23,071,036.30",308,10.00,69.90,0.77,5.38,-0.84,"1,501.52",-,"2,037.00",780.00,11_06_2021
NICLBSL,62.10,"1,300.00","1,369.90","1,300.00","1,311.00","1,321.97","17,452.00","1,301.00","23,071,036.30",308,10.00,69.90,0.77,5.38,-0.84,"1,501.52",-,"2,037.00",780.00,11_07_2021
NICLBSL,62.89,"1,311.00","1,337.00","1,285.00","1,286.00","1,293.16","14,052.00","1,311.00","18,171,539.60",380,-25.00,52.00,-1.91,4.05,-0.56,"1,497.06",-,"2,037.00",780.00,11_08_2021
NICLBSL,46.70,"1,301.00","1,301.00","1,220.00","1,231.00","1,240.55","15,371.00","1,286.00","19,068,449.00",372,-55.00,81.00,-4.28,6.64,-0.78,"1,492.58",-,"2,037.00",780.00,11_09_2021
NICLBSL,44.04,"1,301.00","1,301.00","1,220.00","1,231.00","1,240.55","15,371.00","1,286.00","19,068,449.00",372,-55.00,81.00,-4.28,6.64,-0.78,"1,492.58",-,"2,037.00",780.00,11_10_2021
NICLBSL,41.99,"1,207.00","1,233.00","1,185.00","1,185.00","1,196.45","13,472.00","1,231.00","16,118,622.60",364,-46.00,48.00,-3.74,4.05,-0.97,"1,487.62",-,"2,037.00",780.00,11_11_2021
NICLBSL,41.38,"1,207.00","1,233.00","1,185.00","1,185.00","1,196.45","13,472.00","1,231.00","16,118,622.60",364,-46.00,48.00,-3.74,4.05,-0.97,"1,487.62",-,"2,037.00",780.00,11_12_2021
NICLBSL,41.38,"1,207.00","1,233.00","1,185.00","1,185.00","1,196.45","13,472.00","1,231.00","16,118,622.60",364,-46.00,48.00,-3.74,4.05,-0.97,"1,487.62",-,"2,037.00",780.00,11_13_2021
NICLBSL,39.33,"1,185.00","1,199.00","1,162.00","1,181.00","1,182.81","9,489.00","1,185.00","11,223,643.50",284,-4.00,37.00,-0.34,3.18,-0.15,"1,482.63",-,"2,037.00",780.00,11_14_2021
NICLBSL,39.10,"1,204.00","1,210.00","1,186.00","1,199.00","1,197.62","8,677.00","1,181.00","10,391,787.50",299,18.00,24.00,1.52,2.02,0.11,"1,477.84",-,"2,037.00",780.00,11_15_2021
NICLBSL,40.31,"1,177.00","1,306.40","1,177.00","1,276.00","1,238.10","16,780.00","1,199.00","20,775,269.70",498,77.00,129.40,6.42,10.99,2.97,"1,473.71",-,"2,037.00",780.00,11_16_2021
NICLBSL,52.12,"1,280.00","1,327.50","1,280.00","1,291.00","1,306.12","31,637.00","1,276.00","41,321,609.50",612,15.00,47.50,1.18,3.71,-1.17,"1,469.55",-,"2,037.00",780.00,11_17_2021
