Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NICLPO,50.35,366.00,366.00,366.00,366.00,366.00,"1,000.00",366.00,"366,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,629.00,292.00,12_22_2021
NICLPO,36.73,366.00,366.00,366.00,366.00,325.00,"35,000.00",366.00,"11,375,000.00",1,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,09_28_2022
NICLPO,46.16,366.00,366.00,366.00,366.00,325.00,"138,000.00",366.00,"44,850,000.00",5,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,09_29_2022
NICLPO,30.04,366.00,366.00,366.00,366.00,325.00,"138,000.00",366.00,"44,850,000.00",5,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,09_30_2022
NICLPO,30.04,366.00,366.00,366.00,366.00,325.00,"138,000.00",366.00,"44,850,000.00",5,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_01_2022
NICLPO,30.04,366.00,366.00,366.00,366.00,325.00,"138,000.00",366.00,"44,850,000.00",5,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_02_2022
NICLPO,30.04,366.00,366.00,366.00,366.00,325.00,"138,000.00",366.00,"44,850,000.00",5,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_03_2022
NICLPO,30.04,366.00,366.00,366.00,366.00,325.00,"138,000.00",366.00,"44,850,000.00",5,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_04_2022
NICLPO,30.04,366.00,366.00,366.00,366.00,325.00,"138,000.00",366.00,"44,850,000.00",5,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_05_2022
NICLPO,30.04,366.00,366.00,366.00,366.00,325.00,"138,000.00",366.00,"44,850,000.00",5,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_06_2022
NICLPO,30.04,366.00,366.00,366.00,366.00,325.00,"138,000.00",366.00,"44,850,000.00",5,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_07_2022
NICLPO,30.04,366.00,366.00,366.00,366.00,325.00,"138,000.00",366.00,"44,850,000.00",5,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_08_2022
NICLPO,32.83,366.00,366.00,366.00,366.00,325.00,"3,100.00",366.00,"1,007,500.00",26,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_09_2022
NICLPO,24.65,366.00,366.00,366.00,366.00,325.00,"186,500.00",366.00,"60,612,500.00",16,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_10_2022
NICLPO,36.85,366.00,366.00,366.00,366.00,325.00,"1,100.00",366.00,"357,500.00",7,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_23_2022
NICLPO,28.81,366.00,366.00,366.00,366.00,325.00,"1,100.00",366.00,"357,500.00",7,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_24_2022
NICLPO,28.81,366.00,366.00,366.00,366.00,325.00,"1,100.00",366.00,"357,500.00",7,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_25_2022
NICLPO,28.81,366.00,366.00,366.00,366.00,325.00,"1,100.00",366.00,"357,500.00",7,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_26_2022
NICLPO,28.81,366.00,366.00,366.00,366.00,325.00,"1,100.00",366.00,"357,500.00",7,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_27_2022
NICLPO,28.81,366.00,366.00,366.00,366.00,325.00,"1,100.00",366.00,"357,500.00",7,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_28_2022
NICLPO,28.81,366.00,366.00,366.00,366.00,325.00,"1,100.00",366.00,"357,500.00",7,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_29_2022
NICLPO,28.81,366.00,366.00,366.00,366.00,325.00,"1,100.00",366.00,"357,500.00",7,0.00,0.00,0.00,0.00,11.20,-,-,366.00,366.00,10_30_2022
NICLPO,33.88,325.00,325.00,325.00,325.00,325.00,200.00,325.00,"65,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,366.00,325.00,11_15_2022
NICLPO,28.84,350.00,350.00,350.00,350.00,350.00,140.00,325.00,"49,000.00",1,25.00,0.00,7.69,0.00,0.00,-,-,366.00,325.00,11_23_2022
NICLPO,31.49,366.00,366.00,366.00,366.00,325.00,200.00,366.00,"65,000.00",1,0.00,0.00,0.00,0.00,11.20,-,-,366.00,325.00,11_29_2022
NICLPO,30.42,366.00,366.00,366.00,366.00,325.00,200.00,366.00,"65,000.00",2,0.00,0.00,0.00,0.00,11.20,-,-,366.00,325.00,12_12_2022
NICLPO,24.82,366.00,366.00,366.00,366.00,325.00,100.00,366.00,"32,500.00",1,0.00,0.00,0.00,0.00,11.20,-,-,366.00,325.00,12_15_2022
NICLPO,33.14,366.00,366.00,366.00,366.00,325.00,100.00,366.00,"32,500.00",1,0.00,0.00,0.00,0.00,11.20,-,-,366.00,325.00,12_16_2022
NICLPO,33.14,366.00,366.00,366.00,366.00,325.00,100.00,366.00,"32,500.00",1,0.00,0.00,0.00,0.00,11.20,-,-,366.00,325.00,12_17_2022
