Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NICSF,65.83,9.62,9.99,9.62,9.62,9.91,"30,870.00",9.80,"305,913.00",25,-0.18,0.37,-1.84,3.85,-3.01,-,-,10.10,9.01,11_03_2021
NICSF,51.94,9.62,9.99,9.62,9.62,9.91,"30,870.00",9.80,"305,913.00",25,-0.18,0.37,-1.84,3.85,-3.01,-,-,10.10,9.01,11_05_2021
NICSF,51.94,9.62,9.99,9.62,9.62,9.91,"30,870.00",9.80,"305,913.00",25,-0.18,0.37,-1.84,3.85,-3.01,-,-,10.10,9.01,11_06_2021
NICSF,51.94,9.62,9.99,9.62,9.62,9.91,"30,870.00",9.80,"305,913.00",25,-0.18,0.37,-1.84,3.85,-3.01,-,-,10.10,9.01,11_07_2021
NICSF,52.73,9.60,9.94,9.60,9.74,9.79,"11,500.00",9.62,"112,548.00",30,0.12,0.34,1.25,3.54,-0.48,-,-,10.10,9.01,11_08_2021
NICSF,56.58,9.65,9.95,9.60,9.60,9.78,"7,500.00",9.74,"73,336.00",21,-0.14,0.35,-1.44,3.65,-1.86,-,-,10.10,9.01,11_09_2021
NICSF,45.07,9.65,9.95,9.60,9.60,9.78,"7,500.00",9.74,"73,336.00",21,-0.14,0.35,-1.44,3.65,-1.86,-,-,10.10,9.01,11_10_2021
NICSF,43.02,9.60,9.80,9.60,9.60,9.68,"23,324.00",9.60,"225,708.40",42,0.00,0.20,0.00,2.08,-0.80,-,-,10.10,9.01,11_11_2021
NICSF,47.41,9.60,9.80,9.60,9.60,9.68,"23,324.00",9.60,"225,708.40",42,0.00,0.20,0.00,2.08,-0.80,-,-,10.10,9.01,11_12_2021
NICSF,47.41,9.60,9.80,9.60,9.60,9.68,"23,324.00",9.60,"225,708.40",42,0.00,0.20,0.00,2.08,-0.80,-,-,10.10,9.01,11_13_2021
NICSF,45.36,9.45,9.70,9.45,9.51,9.58,"4,700.00",9.60,"45,014.00",13,-0.09,0.25,-0.94,2.65,-0.71,-,-,10.10,9.01,11_14_2021
NICSF,40.15,9.35,9.77,9.32,9.58,9.54,"12,450.00",9.51,"118,724.00",34,0.07,0.45,0.74,4.83,0.46,-,-,10.10,9.01,11_15_2021
NICSF,43.82,9.50,9.70,9.44,9.70,9.58,"11,270.00",9.58,"107,988.00",32,0.12,0.26,1.25,2.75,1.22,-,-,10.10,9.01,11_16_2021
NICSF,58.95,9.53,9.70,9.51,9.55,9.54,"5,438.00",9.70,"51,902.72",20,-0.15,0.19,-1.55,2.00,0.06,-,-,10.10,9.01,11_17_2021
NICSF,39.86,9.36,9.68,9.36,9.68,9.42,"13,362.00",9.55,"125,893.44",26,0.13,0.32,1.36,3.42,2.67,-,-,10.10,9.01,11_18_2021
NICSF,61.50,9.36,9.68,9.36,9.68,9.42,"13,362.00",9.55,"125,893.44",26,0.13,0.32,1.36,3.42,2.67,-,-,10.10,9.01,11_19_2021
NICSF,61.50,9.36,9.68,9.36,9.68,9.42,"13,362.00",9.55,"125,893.44",26,0.13,0.32,1.36,3.42,2.67,-,-,10.10,9.01,11_20_2021
NICSF,56.80,9.55,9.55,9.49,9.49,9.50,"5,000.00",9.68,"47,475.00",22,-0.19,0.06,-1.96,0.63,-0.05,-,-,10.10,9.01,11_21_2021
NICSF,36.78,9.50,9.69,9.49,9.49,9.55,"9,950.00",9.49,"95,036.50",25,0.00,0.20,0.00,2.11,-0.65,-,-,10.10,9.01,11_22_2021
NICSF,40.89,9.39,9.50,9.38,9.41,9.43,"17,023.00",9.49,"160,584.97",44,-0.08,0.12,-0.84,1.28,-0.25,-,-,10.10,9.01,11_23_2021
NICSF,43.69,9.31,9.59,9.26,9.29,9.35,"10,600.00",9.41,"99,162.00",26,-0.12,0.33,-1.28,3.56,-0.70,-,-,10.10,9.01,11_24_2021
NICSF,42.50,9.29,9.48,9.29,9.31,9.40,"21,200.00",9.29,"199,338.00",22,0.02,0.19,0.22,2.05,-1.00,-,-,10.10,9.01,11_25_2021
NICSF,46.58,9.29,9.48,9.29,9.31,9.40,"21,200.00",9.29,"199,338.00",22,0.02,0.19,0.22,2.05,-1.00,-,-,10.10,9.01,11_26_2021
NICSF,46.58,9.29,9.48,9.29,9.31,9.40,"21,200.00",9.29,"199,338.00",22,0.02,0.19,0.22,2.05,-1.00,-,-,10.10,9.01,11_27_2021
NICSF,43.68,9.25,9.44,9.25,9.27,9.29,"4,700.00",9.31,"43,676.00",26,-0.04,0.19,-0.43,2.05,-0.25,-,-,10.10,9.01,11_28_2021
NICSF,37.15,9.15,9.38,9.15,9.20,9.21,"15,600.00",9.27,"143,635.00",35,-0.07,0.23,-0.76,2.51,-0.08,-,-,10.10,9.01,11_29_2021
NICSF,41.85,9.20,9.38,9.20,9.38,9.35,"17,300.00",9.20,"161,769.00",19,0.18,0.18,1.96,1.96,0.31,-,-,10.10,9.01,11_30_2021
NICSF,57.23,9.39,9.50,9.22,9.50,9.44,"10,320.00",9.38,"97,425.00",8,0.12,0.28,1.28,3.04,0.63,-,-,10.10,9.01,12_01_2021
NICSF,55.10,9.32,9.32,9.20,9.25,9.23,"4,400.00",9.50,"40,622.00",20,-0.25,0.12,-2.63,1.30,0.19,-,-,10.10,9.01,12_02_2021
NICSF,46.12,9.32,9.32,9.20,9.25,9.23,"4,400.00",9.50,"40,622.00",20,-0.25,0.12,-2.63,1.30,0.19,-,-,10.10,9.01,12_03_2021
NICSF,46.12,9.32,9.32,9.20,9.25,9.23,"4,400.00",9.50,"40,622.00",20,-0.25,0.12,-2.63,1.30,0.19,-,-,10.10,9.01,12_04_2021
NICSF,45.22,9.30,9.30,9.07,9.07,9.17,"36,950.00",9.25,"338,917.28",27,-0.18,0.23,-1.95,2.54,-1.13,-,-,10.10,9.01,12_05_2021
NICSF,49.13,9.25,9.25,9.00,9.06,9.11,"16,400.00",9.07,"149,411.50",36,-0.01,0.25,-0.11,2.78,-0.56,-,-,10.10,9.00,12_06_2021
NICSF,40.76,8.89,9.20,8.89,9.05,9.13,"5,967.00",9.06,"54,476.02",19,-0.01,0.31,-0.11,3.49,-0.88,-,-,10.10,8.89,12_07_2021
NICSF,35.47,8.90,9.10,8.90,9.03,9.00,"8,860.00",9.05,"79,731.00",24,-0.02,0.20,-0.22,2.25,0.34,-,-,10.10,8.89,12_08_2021
NICSF,39.52,9.00,9.10,8.88,9.00,8.97,"8,400.00",9.03,"75,343.30",21,-0.03,0.22,-0.33,2.48,0.34,-,-,10.10,8.88,12_09_2021
NICSF,43.26,9.00,9.10,8.88,9.00,8.97,"8,400.00",9.03,"75,343.30",21,-0.03,0.22,-0.33,2.48,0.34,-,-,10.10,8.88,12_10_2021
NICSF,43.26,9.00,9.10,8.88,9.00,8.97,"8,400.00",9.03,"75,343.30",21,-0.03,0.22,-0.33,2.48,0.34,-,-,10.10,8.88,12_11_2021
NICSF,42.61,8.95,9.10,8.91,8.91,8.98,"24,066.00",9.00,"216,179.75",25,-0.09,0.19,-1.00,2.13,-0.82,-,-,10.10,8.88,12_12_2021
