Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NIFRA,49.17,428.00,442.60,427.00,431.00,432.17,"189,142.00",428.00,"81,740,592.80","2,739",3.00,15.60,0.70,3.65,-0.27,524.03,-,726.00,340.00,09_01_2021
NIFRA,45.76,345.00,352.00,345.00,349.00,348.78,"71,443.00",349.70,"24,918,182.40",920,-0.70,7.00,-0.20,2.03,0.06,459.07,-,726.00,326.00,11_03_2021
NIFRA,50.73,345.00,352.00,345.00,349.00,348.78,"71,443.00",349.70,"24,918,182.40",920,-0.70,7.00,-0.20,2.03,0.06,459.07,-,726.00,326.00,11_05_2021
NIFRA,50.73,345.00,352.00,345.00,349.00,348.78,"71,443.00",349.70,"24,918,182.40",920,-0.70,7.00,-0.20,2.03,0.06,459.07,-,726.00,326.00,11_06_2021
NIFRA,50.73,345.00,352.00,345.00,349.00,348.78,"71,443.00",349.70,"24,918,182.40",920,-0.70,7.00,-0.20,2.03,0.06,459.07,-,726.00,326.00,11_07_2021
NIFRA,51.52,355.90,375.00,355.00,372.00,367.47,"253,551.00",349.00,"93,173,559.50","2,686",23.00,20.00,6.59,5.63,1.22,457.74,-,726.00,326.00,11_08_2021
NIFRA,66.40,372.00,385.00,362.60,374.00,375.49,"242,919.00",372.00,"91,212,904.60","2,492",2.00,22.40,0.54,6.18,-0.40,456.46,-,726.00,326.00,11_09_2021
NIFRA,64.94,372.00,385.00,362.60,374.00,375.49,"242,919.00",372.00,"91,212,904.60","2,492",2.00,22.40,0.54,6.18,-0.40,456.46,-,726.00,326.00,11_10_2021
NIFRA,62.89,370.00,375.00,360.00,361.00,365.58,"114,346.00",374.00,"41,803,145.70","1,356",-13.00,15.00,-3.48,4.17,-1.27,455.01,-,726.00,326.00,11_11_2021
NIFRA,56.36,370.00,375.00,360.00,361.00,365.58,"114,346.00",374.00,"41,803,145.70","1,356",-13.00,15.00,-3.48,4.17,-1.27,455.01,-,726.00,326.00,11_12_2021
NIFRA,56.36,370.00,375.00,360.00,361.00,365.58,"114,346.00",374.00,"41,803,145.70","1,356",-13.00,15.00,-3.48,4.17,-1.27,455.01,-,726.00,326.00,11_13_2021
NIFRA,54.31,368.20,375.50,355.00,355.00,360.43,"118,795.00",361.00,"42,817,631.50","1,603",-6.00,20.50,-1.66,5.77,-1.53,453.50,-,726.00,326.00,11_14_2021
NIFRA,57.32,355.00,365.80,355.00,355.80,358.49,"83,297.00",355.00,"29,861,448.30","1,266",0.80,10.80,0.23,3.04,-0.76,452.01,-,726.00,326.00,11_15_2021
NIFRA,43.82,350.00,367.20,350.00,358.00,357.65,"76,190.00",355.80,"27,249,470.50","1,213",2.20,17.20,0.62,4.91,0.10,450.57,483.29,726.00,326.00,11_16_2021
NIFRA,41.95,365.00,370.00,360.10,361.50,362.27,"113,811.00",358.00,"41,230,625.90","1,505",3.50,9.90,0.98,2.75,-0.21,449.02,483.22,726.00,326.00,11_17_2021
NIFRA,54.00,361.00,365.00,356.10,357.00,360.11,"114,092.00",361.50,"41,085,428.70","1,389",-4.50,8.90,-1.24,2.50,-0.87,447.45,482.92,726.00,326.00,11_18_2021
NIFRA,52.52,361.00,365.00,356.10,357.00,360.11,"114,092.00",361.50,"41,085,428.70","1,389",-4.50,8.90,-1.24,2.50,-0.87,447.45,482.92,726.00,326.00,11_19_2021
NIFRA,52.52,361.00,365.00,356.10,357.00,360.11,"114,092.00",361.50,"41,085,428.70","1,389",-4.50,8.90,-1.24,2.50,-0.87,447.45,482.92,726.00,326.00,11_20_2021
NIFRA,47.82,360.00,364.00,354.00,355.40,356.85,"86,458.00",357.00,"30,852,835.00","1,459",-1.60,10.00,-0.45,2.82,-0.41,445.88,482.38,726.00,326.00,11_21_2021
NIFRA,43.82,355.00,363.00,353.00,358.90,358.39,"128,568.00",355.40,"46,077,460.70","1,770",3.50,10.00,0.98,2.83,0.14,444.39,481.61,726.00,326.00,11_22_2021
NIFRA,48.22,358.90,361.00,351.90,353.00,353.95,"84,926.00",358.90,"30,059,724.90","1,409",-5.90,9.10,-1.64,2.59,-0.27,442.85,480.54,726.00,326.00,11_23_2021
NIFRA,41.15,360.00,360.00,350.00,358.00,355.50,"204,852.00",353.00,"72,824,729.30","2,890",5.00,10.00,1.42,2.86,0.70,441.35,479.20,726.00,326.00,11_24_2021
NIFRA,51.98,338.10,338.10,332.00,335.00,335.50,"131,504.00",335.00,"44,119,898.60","1,623",3.52,6.10,1.06,1.84,-0.15,439.68,477.39,726.00,326.00,11_25_2021
NIFRA,44.67,338.10,338.10,332.00,335.00,335.50,"131,504.00",335.00,"44,119,898.60","1,623",3.52,6.10,1.06,1.84,-0.15,439.68,477.39,726.00,326.00,11_26_2021
NIFRA,44.67,338.10,338.10,332.00,335.00,335.50,"131,504.00",335.00,"44,119,898.60","1,623",3.52,6.10,1.06,1.84,-0.15,439.68,477.39,726.00,326.00,11_27_2021
NIFRA,41.77,336.00,336.00,313.60,321.00,323.01,"177,279.00",335.00,"57,263,121.40","1,839",-14.00,22.40,-4.18,7.14,-0.63,437.90,475.87,726.00,313.60,11_28_2021
NIFRA,42.96,321.00,321.00,316.00,316.20,318.04,"81,228.00",321.00,"25,833,711.80","1,179",-4.80,5.00,-1.50,1.58,-0.58,436.12,474.51,726.00,313.60,11_29_2021
NIFRA,38.86,317.00,320.00,308.00,312.50,312.86,"91,375.00",316.20,"28,587,449.70","1,205",-3.70,12.00,-1.17,3.90,-0.11,434.31,473.23,726.00,308.00,11_30_2021
NIFRA,38.51,310.00,316.10,310.00,313.60,314.19,"77,321.00",312.50,"24,293,555.80",948,1.10,6.10,0.35,1.97,-0.19,432.54,472.15,726.00,308.00,12_01_2021
NIFRA,40.33,307.40,316.00,307.40,310.00,311.29,"71,495.00",313.60,"22,255,686.30","1,023",-3.60,8.60,-1.15,2.80,-0.42,430.75,470.93,726.00,307.40,12_02_2021
NIFRA,43.66,307.40,316.00,307.40,310.00,311.29,"71,495.00",313.60,"22,255,686.30","1,023",-3.60,8.60,-1.15,2.80,-0.42,430.75,470.93,726.00,307.40,12_03_2021
NIFRA,43.66,307.40,316.00,307.40,310.00,311.29,"71,495.00",313.60,"22,255,686.30","1,023",-3.60,8.60,-1.15,2.80,-0.42,430.75,470.93,726.00,307.40,12_04_2021
NIFRA,42.76,316.20,316.20,297.10,299.00,302.06,"148,968.00",310.00,"44,997,179.20","1,590",-11.00,19.10,-3.55,6.43,-1.02,428.87,469.73,726.00,297.10,12_05_2021
NIFRA,43.58,299.00,302.00,288.00,298.10,295.65,"158,263.00",299.00,"46,789,993.30","1,642",-0.90,14.00,-0.30,4.86,0.82,426.91,468.56,726.00,288.00,12_06_2021
NIFRA,45.94,300.00,313.00,290.00,297.00,301.36,"148,038.00",298.10,"44,613,257.20","1,410",-1.10,23.00,-0.37,7.93,-1.47,424.57,467.15,726.00,288.00,12_07_2021
NIFRA,45.49,298.00,301.00,290.00,293.60,294.96,"70,229.00",297.00,"20,714,986.50",866,-3.40,11.00,-1.14,3.79,-0.46,422.25,465.77,726.00,288.00,12_08_2021
NIFRA,41.04,293.60,298.70,290.50,296.00,294.02,"68,966.00",293.60,"20,277,505.20",897,2.40,8.20,0.82,2.82,0.67,420.04,464.46,726.00,288.00,12_09_2021
NIFRA,43.68,293.60,298.70,290.50,296.00,294.02,"68,966.00",293.60,"20,277,505.20",897,2.40,8.20,0.82,2.82,0.67,420.04,464.46,726.00,288.00,12_10_2021
NIFRA,43.68,293.60,298.70,290.50,296.00,294.02,"68,966.00",293.60,"20,277,505.20",897,2.40,8.20,0.82,2.82,0.67,420.04,464.46,726.00,288.00,12_11_2021
NIFRA,43.03,299.00,299.00,284.20,284.20,289.42,"146,644.00",296.00,"42,441,236.80","1,293",-11.80,14.80,-3.99,5.21,-1.84,417.84,463.09,726.00,284.20,12_12_2021
NIFRA,41.49,279.00,280.00,268.50,270.10,272.86,"134,542.00",284.20,"36,710,854.40","1,451",-14.10,11.50,-4.96,4.28,-1.02,415.58,461.68,726.00,268.50,12_13_2021
NIFRA,40.02,275.00,291.00,275.00,290.00,284.12,"57,731.00",270.10,"16,402,365.00",650,19.90,16.00,7.37,5.82,2.03,413.52,460.31,726.00,268.50,12_14_2021
NIFRA,43.35,295.80,310.00,285.00,291.90,298.45,"174,205.00",290.00,"51,992,335.30","1,871",1.90,25.00,0.66,8.77,-2.25,411.37,458.97,726.00,268.50,12_15_2021
NIFRA,46.30,297.60,297.70,286.20,289.00,290.58,"74,886.00",291.90,"21,760,492.90",819,-2.90,11.50,-0.99,4.02,-0.55,409.29,457.63,726.00,268.50,12_16_2021
NIFRA,45.11,297.60,297.70,286.20,289.00,290.58,"74,886.00",291.90,"21,760,492.90",819,-2.90,11.50,-0.99,4.02,-0.55,409.29,457.63,726.00,268.50,12_17_2021
NIFRA,45.11,297.60,297.70,286.20,289.00,290.58,"74,886.00",291.90,"21,760,492.90",819,-2.90,11.50,-0.99,4.02,-0.55,409.29,457.63,726.00,268.50,12_18_2021
NIFRA,45.11,297.60,297.70,286.20,289.00,290.58,"74,886.00",291.90,"21,760,492.90",819,-2.90,11.50,-0.99,4.02,-0.55,409.29,457.63,726.00,268.50,12_19_2021
NIFRA,42.42,288.00,292.50,284.00,289.00,287.82,"51,655.00",289.00,"14,867,363.30",760,0.00,8.50,0.00,2.99,0.41,407.25,456.32,726.00,268.50,12_20_2021
NIFRA,44.04,289.00,294.60,287.00,291.00,290.04,"52,346.00",289.00,"15,182,489.90",836,2.00,7.60,0.69,2.65,0.33,405.26,455.00,726.00,268.50,12_21_2021
NIFRA,44.14,290.00,301.00,290.00,301.00,297.83,"100,683.00",291.00,"29,986,888.50",995,10.00,11.00,3.44,3.79,1.05,403.41,453.76,726.00,268.50,12_22_2021
NIFRA,50.42,301.00,307.00,296.80,302.00,302.23,"116,170.00",301.00,"35,110,575.00","1,011",1.00,10.20,0.33,3.44,-0.08,401.68,452.44,726.00,268.50,12_23_2021
NIFRA,54.39,301.00,307.00,296.80,302.00,302.23,"116,170.00",301.00,"35,110,575.00","1,011",1.00,10.20,0.33,3.44,-0.08,401.68,452.44,726.00,268.50,12_24_2021
NIFRA,54.39,301.00,307.00,296.80,302.00,302.23,"116,170.00",301.00,"35,110,575.00","1,011",1.00,10.20,0.33,3.44,-0.08,401.68,452.44,726.00,268.50,12_25_2021
NIFRA,52.76,302.00,310.00,300.00,302.00,303.21,"77,040.00",302.00,"23,359,208.70","1,059",0.00,10.00,0.00,3.33,-0.40,399.83,450.89,726.00,268.50,12_26_2021
NIFRA,50.74,304.90,307.90,292.00,293.00,296.68,"83,592.00",302.00,"24,800,074.10",934,-9.00,15.90,-2.98,5.45,-1.26,398.00,449.14,726.00,268.50,12_27_2021
NIFRA,49.17,290.00,294.90,284.00,291.90,290.48,"78,749.00",293.00,"22,874,797.30",885,-1.10,10.90,-0.38,3.84,0.49,396.19,447.40,726.00,268.50,12_28_2021
NIFRA,40.45,290.00,293.50,289.00,291.00,291.26,"51,602.00",291.90,"15,029,644.80",661,-0.90,4.50,-0.31,1.56,-0.09,394.35,445.72,726.00,268.50,12_29_2021
