Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NIL,46.43,"1,461.00","1,485.00","1,446.00","1,446.00","1,460.54","33,112.00","1,461.00","48,361,382.20",395,-15.00,39.00,-1.03,2.70,-1.01,"1,579.95","1,523.90","1,900.00",766.00,09_01_2021
NIL,60.12,"1,400.00","1,400.00","1,348.00","1,350.00","1,360.96","9,060.00","1,375.00","12,330,333.20",120,-25.00,52.00,-1.82,3.86,-0.81,"1,468.20","1,530.19","1,900.00",800.00,11_03_2021
NIL,56.48,"1,400.00","1,400.00","1,348.00","1,350.00","1,360.96","9,060.00","1,375.00","12,330,333.20",120,-25.00,52.00,-1.82,3.86,-0.81,"1,468.20","1,530.19","1,900.00",800.00,11_05_2021
NIL,56.48,"1,400.00","1,400.00","1,348.00","1,350.00","1,360.96","9,060.00","1,375.00","12,330,333.20",120,-25.00,52.00,-1.82,3.86,-0.81,"1,468.20","1,530.19","1,900.00",800.00,11_06_2021
NIL,56.48,"1,400.00","1,400.00","1,348.00","1,350.00","1,360.96","9,060.00","1,375.00","12,330,333.20",120,-25.00,52.00,-1.82,3.86,-0.81,"1,468.20","1,530.19","1,900.00",800.00,11_07_2021
NIL,57.27,"1,350.00","1,350.00","1,324.00","1,324.00","1,335.35","13,401.00","1,350.00","17,895,040.10",227,-26.00,26.00,-1.93,1.96,-0.86,"1,465.43","1,529.14","1,900.00",800.00,11_08_2021
NIL,50.12,"1,301.00","1,319.90","1,275.00","1,280.00","1,288.40","26,492.00","1,324.00","34,132,381.20",382,-44.00,44.90,-3.32,3.52,-0.66,"1,462.52","1,527.44","1,900.00",807.00,11_09_2021
NIL,50.99,"1,301.00","1,319.90","1,275.00","1,280.00","1,288.40","26,492.00","1,324.00","34,132,381.20",382,-44.00,44.90,-3.32,3.52,-0.66,"1,462.52","1,527.44","1,900.00",807.00,11_10_2021
NIL,48.94,"1,255.00","1,281.00","1,251.00","1,254.00","1,260.43","15,495.00","1,280.00","19,530,431.20",272,-26.00,30.00,-2.03,2.40,-0.51,"1,459.22","1,525.59","1,900.00",821.00,11_11_2021
NIL,45.52,"1,255.00","1,281.00","1,251.00","1,254.00","1,260.43","15,495.00","1,280.00","19,530,431.20",272,-26.00,30.00,-2.03,2.40,-0.51,"1,459.22","1,525.59","1,900.00",821.00,11_12_2021
NIL,45.52,"1,255.00","1,281.00","1,251.00","1,254.00","1,260.43","15,495.00","1,280.00","19,530,431.20",272,-26.00,30.00,-2.03,2.40,-0.51,"1,459.22","1,525.59","1,900.00",821.00,11_13_2021
NIL,43.47,"1,236.00","1,270.00","1,235.00","1,245.00","1,252.58","16,726.00","1,254.00","20,950,722.60",204,-9.00,35.00,-0.72,2.83,-0.61,"1,455.73","1,523.88","1,900.00",825.00,11_14_2021
NIL,44.77,"1,269.00","1,279.00","1,255.00","1,263.00","1,264.52","8,397.00","1,245.00","10,618,145.90",162,18.00,24.00,1.45,1.91,-0.12,"1,452.43","1,522.20","1,900.00",825.00,11_15_2021
NIL,42.68,"1,263.00","1,269.00","1,240.00","1,260.00","1,258.83","27,664.00","1,263.00","34,824,312.70",368,-3.00,29.00,-0.24,2.34,0.09,"1,449.20","1,520.41","1,900.00",825.00,11_16_2021
NIL,47.93,"1,260.00","1,280.00","1,250.00","1,250.00","1,256.42","18,615.00","1,260.00","23,388,190.50",304,-10.00,30.00,-0.79,2.40,-0.51,"1,445.47","1,517.92","1,900.00",825.00,11_17_2021
NIL,55.85,"1,237.00","1,251.00","1,228.00","1,229.00","1,239.90","17,174.00","1,250.00","21,293,977.30",244,-21.00,23.00,-1.68,1.87,-0.89,"1,441.67","1,514.58","1,900.00",825.00,11_18_2021
NIL,46.11,"1,237.00","1,251.00","1,228.00","1,229.00","1,239.90","17,174.00","1,250.00","21,293,977.30",244,-21.00,23.00,-1.68,1.87,-0.89,"1,441.67","1,514.58","1,900.00",825.00,11_19_2021
NIL,46.11,"1,237.00","1,251.00","1,228.00","1,229.00","1,239.90","17,174.00","1,250.00","21,293,977.30",244,-21.00,23.00,-1.68,1.87,-0.89,"1,441.67","1,514.58","1,900.00",825.00,11_20_2021
NIL,41.41,"1,230.00","1,240.00","1,219.00","1,230.00","1,225.74","16,080.00","1,229.00","19,709,968.70",250,1.00,21.00,0.08,1.72,0.35,"1,437.86","1,511.28","1,900.00",980.00,11_21_2021
NIL,41.31,"1,225.00","1,259.00","1,225.00","1,244.00","1,247.85","11,981.00","1,230.00","14,950,505.80",191,14.00,34.00,1.14,2.78,-0.31,"1,434.11","1,508.24","1,900.00",980.00,11_22_2021
NIL,41.17,"1,267.00","1,267.00","1,212.00","1,222.00","1,225.61","12,616.00","1,244.00","15,462,269.30",198,-22.00,55.00,-1.77,4.54,-0.30,"1,430.27","1,505.16","1,900.00",980.00,11_23_2021
NIL,41.27,"1,212.10","1,226.00","1,202.00","1,217.00","1,212.17","17,229.00","1,222.00","20,884,470.30",209,-5.00,24.00,-0.41,2.00,0.40,"1,426.19","1,502.18","1,900.00",980.00,11_24_2021
NIL,44.29,"1,225.00","1,239.00","1,210.00","1,211.00","1,217.17","6,188.00","1,217.00","7,531,841.80",128,-6.00,29.00,-0.49,2.40,-0.51,"1,421.81","1,499.39","1,900.00","1,050.00",11_25_2021
NIL,47.37,"1,225.00","1,239.00","1,210.00","1,211.00","1,217.17","6,188.00","1,217.00","7,531,841.80",128,-6.00,29.00,-0.49,2.40,-0.51,"1,421.81","1,499.39","1,900.00","1,050.00",11_26_2021
NIL,47.37,"1,225.00","1,239.00","1,210.00","1,211.00","1,217.17","6,188.00","1,217.00","7,531,841.80",128,-6.00,29.00,-0.49,2.40,-0.51,"1,421.81","1,499.39","1,900.00","1,050.00",11_27_2021
NIL,44.47,"1,186.80","1,213.80","1,139.10","1,179.00","1,174.96","32,861.00","1,211.00","38,610,392.30",437,-32.00,74.70,-2.64,6.56,0.34,"1,417.29","1,496.47","1,900.00","1,050.00",11_28_2021
NIL,46.68,"1,157.00","1,195.50","1,143.00","1,155.00","1,162.38","15,966.00","1,179.00","18,558,560.40",214,-24.00,52.50,-2.04,4.59,-0.64,"1,412.79","1,493.12","1,900.00","1,050.00",11_29_2021
NIL,44.74,"1,144.00","1,164.80","1,140.10","1,159.00","1,149.60","13,088.00","1,155.00","15,046,006.20",198,4.00,24.70,0.35,2.17,0.81,"1,408.38","1,489.81","1,900.00","1,057.00",11_30_2021
NIL,43.63,"1,182.00","1,182.00","1,155.00","1,161.00","1,163.33","6,560.00","1,159.00","7,631,466.00",136,2.00,27.00,0.17,2.34,-0.20,"1,404.11","1,486.86","1,900.00","1,057.00",12_01_2021
NIL,44.01,"1,184.00","1,184.00","1,119.30","1,125.00","1,131.74","17,598.00","1,161.00","19,916,367.00",294,-36.00,64.70,-3.10,5.78,-0.60,"1,399.62","1,483.61","1,900.00","1,057.00",12_02_2021
NIL,47.13,"1,184.00","1,184.00","1,119.30","1,125.00","1,131.74","17,598.00","1,161.00","19,916,367.00",294,-36.00,64.70,-3.10,5.78,-0.60,"1,399.62","1,483.61","1,900.00","1,057.00",12_03_2021
NIL,47.13,"1,184.00","1,184.00","1,119.30","1,125.00","1,131.74","17,598.00","1,161.00","19,916,367.00",294,-36.00,64.70,-3.10,5.78,-0.60,"1,399.62","1,483.61","1,900.00","1,057.00",12_04_2021
NIL,46.23,"1,109.10","1,125.00","1,075.00","1,076.00","1,091.46","28,654.00","1,125.00","31,274,619.30",416,-49.00,50.00,-4.36,4.65,-1.44,"1,394.67","1,480.39","1,900.00","1,057.00",12_05_2021
NIL,45.75,"1,076.00","1,095.00","1,030.00","1,069.90","1,060.03","25,489.00","1,076.00","27,019,033.70",356,-6.10,65.00,-0.57,6.31,0.92,"1,389.61","1,477.20","1,900.00","1,030.00",12_06_2021
NIL,45.86,"1,091.20","1,120.00","1,065.00","1,065.00","1,088.90","17,758.00","1,069.90","19,336,730.10",292,-4.90,55.00,-0.46,5.16,-2.24,"1,384.63","1,473.67","1,900.00","1,030.00",12_07_2021
NIL,42.07,"1,075.00","1,075.00","1,035.00","1,037.00","1,051.25","13,916.00","1,065.00","14,629,149.40",209,-28.00,40.00,-2.63,3.86,-1.37,"1,379.35","1,470.15","1,900.00","1,030.00",12_08_2021
NIL,39.81,"1,037.00","1,053.00","1,029.00","1,042.00","1,036.92","8,631.00","1,037.00","8,949,661.30",137,5.00,24.00,0.48,2.33,0.49,"1,373.72","1,466.80","1,900.00","1,029.00",12_09_2021
NIL,41.22,"1,037.00","1,053.00","1,029.00","1,042.00","1,036.92","8,631.00","1,037.00","8,949,661.30",137,5.00,24.00,0.48,2.33,0.49,"1,373.72","1,466.80","1,900.00","1,029.00",12_10_2021
NIL,41.22,"1,037.00","1,053.00","1,029.00","1,042.00","1,036.92","8,631.00","1,037.00","8,949,661.30",137,5.00,24.00,0.48,2.33,0.49,"1,373.72","1,466.80","1,900.00","1,029.00",12_11_2021
NIL,40.57,"1,042.10","1,045.00",994.70,996.00,"1,009.76","15,551.00","1,042.00","15,702,853.90",245,-46.00,50.30,-4.41,5.06,-1.38,"1,367.72","1,463.29","1,900.00",994.70,12_12_2021
NIL,37.70,996.00,996.00,955.00,956.00,967.30,"22,197.00",996.00,"21,471,048.20",326,-40.00,41.00,-4.02,4.29,-1.18,"1,361.49","1,459.84","1,900.00",955.00,12_13_2021
NIL,40.20,974.00,"1,017.00",973.10,"1,017.00",994.60,"5,622.00",956.00,"5,591,622.70",114,61.00,43.90,6.38,4.51,2.20,"1,355.87","1,456.79","1,900.00",955.00,12_14_2021
