Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NIMB,0.00,232.20,232.20,213.20,216.00,216.90,"276,758.00",0.00,"60,028,868.90","1,298",216.00,19.00,0.00,8.91,-0.42,0.00,0.00,232.20,213.20,02_23_2023
NIMB,37.10,232.20,232.20,213.20,216.00,216.90,"276,758.00",236.85,"60,028,868.90","1,298",-20.85,19.00,-8.80,8.91,-0.42,0.00,0.00,232.20,213.20,02_24_2023
NIMB,37.10,232.20,232.20,213.20,216.00,216.90,"276,758.00",236.85,"60,028,868.90","1,298",-20.85,19.00,-8.80,8.91,-0.42,0.00,0.00,232.20,213.20,02_25_2023
NIMB,32.93,212.00,212.00,204.00,207.50,206.45,"129,624.00",216.00,"26,760,453.20",712,-8.50,8.00,-3.94,3.92,0.51,0.00,0.00,232.20,204.00,02_26_2023
NIMB,24.25,207.00,210.60,203.10,206.00,204.71,"88,701.00",207.50,"18,158,254.80",495,-1.50,7.50,-0.72,3.69,0.62,0.00,0.00,232.20,203.10,02_27_2023
NIMB,22.28,206.00,207.00,203.20,203.70,203.84,"62,491.00",206.00,"12,738,254.90",378,-2.30,3.80,-1.12,1.87,-0.07,0.00,0.00,232.20,203.10,02_28_2023
NIMB,21.78,205.00,205.90,203.70,204.00,204.20,"41,099.00",203.70,"8,392,332.10",287,0.30,2.20,0.15,1.08,-0.10,0.00,0.00,232.20,203.10,03_01_2023
NIMB,22.33,207.80,207.80,200.00,200.50,202.02,"57,048.00",204.00,"11,525,044.80",396,-3.50,7.80,-1.72,3.90,-0.76,0.00,0.00,232.20,200.00,03_02_2023
NIMB,24.69,207.80,207.80,200.00,200.50,202.02,"57,048.00",204.00,"11,525,044.80",396,-3.50,7.80,-1.72,3.90,-0.76,0.00,0.00,232.20,200.00,03_03_2023
NIMB,24.69,207.80,207.80,200.00,200.50,202.02,"57,048.00",204.00,"11,525,044.80",396,-3.50,7.80,-1.72,3.90,-0.76,0.00,0.00,232.20,200.00,03_04_2023
NIMB,24.69,202.00,202.00,197.10,197.50,199.19,"78,195.00",200.50,"15,576,014.80",450,-3.00,4.90,-1.50,2.49,-0.86,0.00,0.00,232.20,197.10,03_05_2023
NIMB,32.14,202.00,202.00,197.10,197.50,199.19,"78,195.00",200.50,"15,576,014.80",450,-3.00,4.90,-1.50,2.49,-0.86,0.00,0.00,232.20,197.10,03_06_2023
NIMB,30.83,196.10,199.80,196.10,197.00,197.86,"40,001.00",197.50,"7,914,615.10",324,-0.50,3.70,-0.25,1.89,-0.44,0.00,0.00,232.20,196.10,03_07_2023
NIMB,31.06,196.10,199.80,196.10,197.00,197.86,"40,001.00",197.50,"7,914,615.10",324,-0.50,3.70,-0.25,1.89,-0.44,0.00,0.00,232.20,196.10,03_08_2023
NIMB,29.50,199.50,202.90,199.20,201.20,200.86,"67,668.00",197.00,"13,592,062.70",389,4.20,3.70,2.13,1.86,0.17,0.00,0.00,232.20,196.10,03_09_2023
NIMB,37.92,199.50,202.90,199.20,201.20,200.86,"67,668.00",197.00,"13,592,062.70",389,4.20,3.70,2.13,1.86,0.17,0.00,0.00,232.20,196.10,03_10_2023
NIMB,37.92,199.50,202.90,199.20,201.20,200.86,"67,668.00",197.00,"13,592,062.70",389,4.20,3.70,2.13,1.86,0.17,0.00,0.00,232.20,196.10,03_11_2023
NIMB,37.92,204.00,204.00,196.00,198.20,198.41,"58,923.00",201.20,"11,691,012.50",398,-3.00,8.00,-1.49,4.08,-0.11,0.00,0.00,232.20,196.00,03_12_2023
NIMB,35.14,196.10,198.50,195.10,197.00,196.19,"45,952.00",198.20,"9,015,160.30",285,-1.20,3.40,-0.61,1.74,0.41,0.00,0.00,232.20,195.10,03_13_2023
NIMB,34.38,200.90,200.90,195.00,195.00,195.76,"57,432.00",197.00,"11,243,144.40",358,-2.00,5.90,-1.02,3.03,-0.39,0.00,0.00,232.20,195.00,03_14_2023
NIMB,37.25,197.00,197.00,192.60,193.20,193.57,"58,388.00",195.00,"11,302,234.20",328,-1.80,4.40,-0.92,2.28,-0.19,0.00,0.00,232.20,192.60,03_15_2023
NIMB,32.20,192.00,193.00,190.60,192.00,191.88,"55,926.00",193.20,"10,731,353.60",322,-1.20,2.40,-0.62,1.26,0.06,0.00,0.00,232.20,190.60,03_16_2023
NIMB,37.00,192.00,193.00,190.60,192.00,191.88,"55,926.00",193.20,"10,731,353.60",322,-1.20,2.40,-0.62,1.26,0.06,0.00,0.00,232.20,190.60,03_17_2023
NIMB,37.00,192.00,193.00,190.60,192.00,191.88,"55,926.00",193.20,"10,731,353.60",322,-1.20,2.40,-0.62,1.26,0.06,0.00,0.00,232.20,190.60,03_18_2023
NIMB,37.00,192.10,193.00,189.70,190.90,190.73,"72,137.00",192.00,"13,758,464.90",382,-1.10,3.30,-0.57,1.74,0.09,0.00,0.00,232.20,189.70,03_19_2023
NIMB,36.06,192.00,194.00,190.20,191.40,191.86,"41,833.00",190.90,"8,025,938.10",308,0.50,3.80,0.26,2.00,-0.24,0.00,0.00,232.20,189.70,03_20_2023
NIMB,35.54,192.00,194.00,190.20,191.40,191.86,"41,833.00",190.90,"8,025,938.10",308,0.50,3.80,0.26,2.00,-0.24,0.00,0.00,232.20,189.70,03_21_2023
NIMB,36.97,194.50,194.50,190.00,191.50,191.13,"51,533.00",191.40,"9,849,554.60",337,0.10,4.50,0.05,2.37,0.19,0.00,0.00,232.20,189.70,03_22_2023
NIMB,36.86,191.00,193.80,188.50,192.00,191.02,"55,968.00",191.50,"10,691,172.40",390,0.50,5.30,0.26,2.81,0.51,0.00,0.00,232.20,188.50,03_23_2023
NIMB,38.11,191.00,193.80,188.50,192.00,191.02,"55,968.00",191.50,"10,691,172.40",390,0.50,5.30,0.26,2.81,0.51,0.00,0.00,232.20,188.50,03_24_2023
NIMB,38.11,191.00,193.80,188.50,192.00,191.02,"55,968.00",191.50,"10,691,172.40",390,0.50,5.30,0.26,2.81,0.51,0.00,0.00,232.20,188.50,03_25_2023
NIMB,38.11,193.00,193.00,186.20,187.90,187.88,"85,585.00",192.00,"16,079,760.10",498,-4.10,6.80,-2.14,3.65,0.01,0.00,0.00,232.20,186.20,03_26_2023
NIMB,38.08,189.00,190.70,184.30,188.30,187.51,"62,229.00",187.90,"11,668,533.20",384,0.40,6.40,0.21,3.47,0.42,0.00,0.00,232.20,184.30,03_27_2023
NIMB,40.26,191.00,193.00,187.20,191.00,190.95,"39,108.00",188.30,"7,467,494.60",286,2.70,5.80,1.43,3.10,0.03,0.00,0.00,232.20,184.30,03_28_2023
NIMB,40.34,190.00,191.90,186.00,191.40,188.36,"74,551.00",191.00,"14,042,749.00",364,0.40,5.90,0.21,3.17,1.59,0.00,0.00,232.20,184.30,03_29_2023
NIMB,41.10,189.00,191.00,187.30,187.50,188.31,"74,624.00",191.40,"14,052,794.50",336,-3.90,3.70,-2.04,1.98,-0.43,0.00,0.00,232.20,184.30,03_30_2023
NIMB,40.19,189.00,191.00,187.30,187.50,188.31,"74,624.00",191.40,"14,052,794.50",336,-3.90,3.70,-2.04,1.98,-0.43,0.00,0.00,232.20,184.30,03_31_2023
NIMB,40.19,189.00,191.00,187.30,187.50,188.31,"74,624.00",191.40,"14,052,794.50",336,-3.90,3.70,-2.04,1.98,-0.43,0.00,0.00,232.20,184.30,04_01_2023
NIMB,40.19,191.20,191.20,183.00,184.90,185.88,"74,001.00",187.50,"13,755,187.80",444,-2.60,8.20,-1.39,4.48,-0.53,0.00,0.00,232.20,183.00,04_02_2023
NIMB,35.93,184.00,186.00,182.00,184.00,182.82,"98,341.00",184.90,"17,978,397.30",436,-0.90,4.00,-0.49,2.20,0.64,0.00,0.00,232.20,182.00,04_03_2023
NIMB,44.49,185.00,190.00,184.60,185.00,185.73,"42,409.00",186.50,"7,876,751.60",300,-1.50,5.40,-0.80,2.93,-0.40,0.00,0.00,232.20,177.00,04_17_2023
NIMB,27.72,183.00,188.00,182.60,185.00,183.99,"68,139.00",185.00,"12,536,848.70",353,0.00,5.40,0.00,2.96,0.55,0.00,0.00,232.20,177.00,04_19_2023
NIMB,35.71,184.10,186.00,181.50,184.00,183.92,"48,699.00",185.00,"8,956,758.70",272,-1.00,4.50,-0.54,2.48,0.04,0.00,0.00,232.20,177.00,04_20_2023
NIMB,36.52,184.10,186.00,181.50,184.00,183.92,"48,699.00",185.00,"8,956,758.70",272,-1.00,4.50,-0.54,2.48,0.04,0.00,0.00,232.20,177.00,04_21_2023
NIMB,36.52,184.10,186.00,181.50,184.00,183.92,"48,699.00",185.00,"8,956,758.70",272,-1.00,4.50,-0.54,2.48,0.04,0.00,0.00,232.20,177.00,04_22_2023
NIMB,36.52,187.60,187.60,180.10,181.00,181.33,"80,139.00",184.00,"14,531,664.00",375,-3.00,7.50,-1.63,4.16,-0.18,0.00,0.00,232.20,177.00,04_23_2023
NIMB,32.99,181.90,183.00,180.00,182.50,181.79,"48,384.00",181.00,"8,795,838.40",214,1.50,3.00,0.83,1.67,0.39,0.00,0.00,232.20,177.00,04_24_2023
NIMB,31.39,180.20,184.70,180.20,183.80,182.86,"37,663.00",182.50,"6,887,161.90",202,1.30,4.50,0.71,2.50,0.51,0.00,0.00,232.20,177.00,04_25_2023
NIMB,36.38,185.00,186.00,182.40,184.00,184.12,"89,370.00",183.80,"16,454,727.70",335,0.20,3.60,0.11,1.97,-0.06,0.00,0.00,232.20,177.00,04_26_2023
NIMB,43.76,187.00,187.00,182.10,183.50,183.95,"34,985.00",184.00,"6,435,512.50",200,-0.50,4.90,-0.27,2.69,-0.25,0.00,0.00,232.20,177.00,04_27_2023
NIMB,40.96,187.00,187.00,182.10,183.50,183.95,"34,985.00",184.00,"6,435,512.50",200,-0.50,4.90,-0.27,2.69,-0.25,0.00,0.00,232.20,177.00,04_28_2023
