Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NIMBPO,-,107.10,111.30,107.10,111.30,109.20,30.00,105.00,"3,276.00",3,6.30,4.20,6.00,3.92,1.89,0.00,0.00,111.30,107.10,03_20_2023
NIMBPO,32.83,107.10,111.30,107.10,111.30,109.20,30.00,105.00,"3,276.00",3,6.30,4.20,6.00,3.92,1.89,0.00,0.00,111.30,107.10,03_21_2023
NIMBPO,34.26,113.50,122.40,113.50,122.40,117.98,50.00,111.30,"5,899.00",5,11.10,8.90,9.97,7.84,3.61,0.00,0.00,122.40,107.10,03_22_2023
NIMBPO,45.58,124.80,134.60,124.80,134.60,129.70,"10,030.00",122.40,"1,300,891.00",6,12.20,9.80,9.97,7.85,3.64,0.00,0.00,134.60,107.10,03_23_2023
NIMBPO,46.42,124.80,134.60,124.80,134.60,129.70,"10,030.00",122.40,"1,300,891.00",6,12.20,9.80,9.97,7.85,3.64,0.00,0.00,134.60,107.10,03_24_2023
NIMBPO,46.42,124.80,134.60,124.80,134.60,129.70,"10,030.00",122.40,"1,300,891.00",6,12.20,9.80,9.97,7.85,3.64,0.00,0.00,134.60,107.10,03_25_2023
NIMBPO,46.42,137.20,148.00,137.20,148.00,143.92,140.00,134.60,"20,149.00",7,13.40,10.80,9.96,7.87,2.76,0.00,0.00,148.00,107.10,03_26_2023
NIMBPO,37.83,150.90,162.80,150.90,162.80,162.08,"8,017.00",148.00,"1,299,431.40",24,14.80,11.90,10.00,7.89,0.44,0.00,0.00,162.80,107.10,03_27_2023
NIMBPO,50.16,166.00,169.00,163.00,166.20,166.05,"27,095.00",162.80,"4,499,126.20",45,3.40,6.00,2.09,3.68,0.09,0.00,0.00,169.00,107.10,03_28_2023
NIMBPO,51.28,169.50,169.50,163.70,166.00,165.23,"4,654.00",166.20,"768,990.00",19,-0.20,5.80,-0.12,3.54,0.46,0.00,0.00,169.50,107.10,03_29_2023
NIMBPO,39.59,163.20,166.80,163.00,163.50,164.89,"3,234.00",166.00,"533,244.00",14,-2.50,3.80,-1.51,2.33,-0.85,0.00,0.00,169.50,107.10,03_30_2023
NIMBPO,32.91,163.20,166.80,163.00,163.50,164.89,"3,234.00",166.00,"533,244.00",14,-2.50,3.80,-1.51,2.33,-0.85,0.00,0.00,169.50,107.10,03_31_2023
