Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NLBBL,49.74,"1,510.00","1,511.00","1,466.00","1,498.00","1,487.51","12,637.00","1,500.00","18,797,681.00",122,-2.00,45.00,-0.13,3.07,0.70,"1,642.54","1,507.16","1,885.00",700.00,09_01_2021
NLBBL,52.56,"1,500.00","1,500.00","1,460.00","1,475.00","1,475.19","7,073.00","1,473.00","10,434,002.00",73,2.00,40.00,0.14,2.74,-0.01,"1,571.73","1,558.64","1,885.00",784.00,11_03_2021
NLBBL,49.57,"1,500.00","1,500.00","1,460.00","1,475.00","1,475.19","7,073.00","1,473.00","10,434,002.00",73,2.00,40.00,0.14,2.74,-0.01,"1,571.73","1,558.64","1,885.00",784.00,11_05_2021
NLBBL,49.57,"1,500.00","1,500.00","1,460.00","1,475.00","1,475.19","7,073.00","1,473.00","10,434,002.00",73,2.00,40.00,0.14,2.74,-0.01,"1,571.73","1,558.64","1,885.00",784.00,11_06_2021
NLBBL,49.57,"1,500.00","1,500.00","1,460.00","1,475.00","1,475.19","7,073.00","1,473.00","10,434,002.00",73,2.00,40.00,0.14,2.74,-0.01,"1,571.73","1,558.64","1,885.00",784.00,11_07_2021
NLBBL,50.36,"1,499.00","1,499.00","1,463.00","1,463.00","1,472.35","3,516.00","1,475.00","5,176,792.00",47,-12.00,36.00,-0.81,2.46,-0.64,"1,569.32","1,558.99","1,885.00",784.00,11_08_2021
NLBBL,45.88,"1,440.00","1,460.00","1,390.00","1,416.00","1,409.05","9,323.00","1,463.00","13,136,553.00",117,-47.00,70.00,-3.21,5.04,0.49,"1,566.45","1,558.55","1,885.00",787.00,11_09_2021
NLBBL,47.33,"1,440.00","1,460.00","1,390.00","1,416.00","1,409.05","9,323.00","1,463.00","13,136,553.00",117,-47.00,70.00,-3.21,5.04,0.49,"1,566.45","1,558.55","1,885.00",787.00,11_10_2021
NLBBL,45.28,"1,416.00","1,428.00","1,388.00","1,390.00","1,399.64","3,093.00","1,416.00","4,329,077.00",59,-26.00,40.00,-1.84,2.88,-0.69,"1,563.03","1,558.25","1,885.00",787.00,11_11_2021
NLBBL,39.80,"1,416.00","1,428.00","1,388.00","1,390.00","1,399.64","3,093.00","1,416.00","4,329,077.00",59,-26.00,40.00,-1.84,2.88,-0.69,"1,563.03","1,558.25","1,885.00",787.00,11_12_2021
NLBBL,39.80,"1,416.00","1,428.00","1,388.00","1,390.00","1,399.64","3,093.00","1,416.00","4,329,077.00",59,-26.00,40.00,-1.84,2.88,-0.69,"1,563.03","1,558.25","1,885.00",787.00,11_13_2021
NLBBL,37.75,"1,365.00","1,400.00","1,365.00","1,392.00","1,382.24","4,365.00","1,390.00","6,033,488.40",60,2.00,35.00,0.14,2.56,0.70,"1,559.30","1,558.39","1,885.00",787.00,11_14_2021
NLBBL,40.20,"1,419.00","1,422.90","1,396.00","1,419.00","1,408.92","5,292.00","1,392.00","7,456,027.00",68,27.00,26.90,1.94,1.93,0.71,"1,555.70","1,558.66","1,885.00",787.00,11_15_2021
NLBBL,42.33,"1,425.00","1,429.00","1,400.10","1,429.00","1,416.34","4,886.00","1,419.00","6,920,232.00",64,10.00,28.90,0.70,2.06,0.89,"1,552.45","1,559.13","1,885.00",787.00,11_16_2021
