Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NLG,47.33,"1,040.00","1,079.00","1,040.00","1,047.00","1,053.14","11,237.00","1,037.50","11,834,176.50",181,9.50,39.00,0.92,3.75,-0.59,"1,183.23","1,100.07","1,422.00",675.00,09_01_2021
NLG,58.78,970.00,974.00,960.00,974.00,964.96,"8,997.00",969.00,"8,681,721.10",90,5.00,14.00,0.52,1.46,0.93,"1,111.94","1,115.83","1,422.00",675.00,11_03_2021
NLG,57.70,970.00,974.00,960.00,974.00,964.96,"8,997.00",969.00,"8,681,721.10",90,5.00,14.00,0.52,1.46,0.93,"1,111.94","1,115.83","1,422.00",675.00,11_05_2021
NLG,57.70,970.00,974.00,960.00,974.00,964.96,"8,997.00",969.00,"8,681,721.10",90,5.00,14.00,0.52,1.46,0.93,"1,111.94","1,115.83","1,422.00",675.00,11_06_2021
NLG,57.70,970.00,974.00,960.00,974.00,964.96,"8,997.00",969.00,"8,681,721.10",90,5.00,14.00,0.52,1.46,0.93,"1,111.94","1,115.83","1,422.00",675.00,11_07_2021
NLG,58.49,955.00,973.90,955.00,972.00,960.84,"3,879.00",974.00,"3,727,091.50",49,-2.00,18.90,-0.21,1.98,1.15,"1,110.61","1,115.18","1,422.00",675.00,11_08_2021
NLG,53.23,960.00,968.00,914.20,952.00,935.58,"10,739.00",972.00,"10,047,175.60",120,-20.00,53.80,-2.06,5.88,1.72,"1,109.03","1,113.82","1,422.00",675.00,11_09_2021
NLG,51.98,960.00,968.00,914.20,952.00,935.58,"10,739.00",972.00,"10,047,175.60",120,-20.00,53.80,-2.06,5.88,1.72,"1,109.03","1,113.82","1,422.00",675.00,11_10_2021
NLG,49.93,935.00,945.00,912.10,944.00,927.32,"9,527.00",952.00,"8,834,621.70",121,-8.00,32.90,-0.84,3.61,1.77,"1,107.32","1,112.57","1,422.00",675.00,11_11_2021
NLG,45.54,935.00,945.00,912.10,944.00,927.32,"9,527.00",952.00,"8,834,621.70",121,-8.00,32.90,-0.84,3.61,1.77,"1,107.32","1,112.57","1,422.00",675.00,11_12_2021
NLG,45.54,935.00,945.00,912.10,944.00,927.32,"9,527.00",952.00,"8,834,621.70",121,-8.00,32.90,-0.84,3.61,1.77,"1,107.32","1,112.57","1,422.00",675.00,11_13_2021
NLG,43.49,925.20,934.00,910.00,917.00,921.05,"4,700.00",944.00,"4,328,930.60",59,-27.00,24.00,-2.86,2.64,-0.44,"1,105.34","1,111.17","1,422.00",675.00,11_14_2021
NLG,40.66,935.00,945.00,921.00,945.00,929.32,"6,048.00",917.00,"5,620,523.50",55,28.00,24.00,3.05,2.61,1.66,"1,103.69","1,110.07","1,422.00",675.00,11_15_2021
NLG,42.45,928.00,945.00,907.90,936.00,932.87,"7,227.00",945.00,"6,741,837.30",81,-9.00,37.10,-0.95,4.09,0.33,"1,101.90","1,109.05","1,422.00",675.00,11_16_2021
NLG,42.76,925.00,954.00,925.00,936.00,935.95,"7,225.00",936.00,"6,762,216.20",134,0.00,29.00,0.00,3.14,0.01,"1,099.66","1,108.05","1,422.00",675.00,11_17_2021
NLG,44.11,920.00,930.00,916.00,917.00,920.05,"6,958.00",936.00,"6,401,679.80",121,-19.00,14.00,-2.03,1.53,-0.33,"1,097.32","1,106.68","1,422.00",675.00,11_18_2021
NLG,47.60,920.00,930.00,916.00,917.00,920.05,"6,958.00",936.00,"6,401,679.80",121,-19.00,14.00,-2.03,1.53,-0.33,"1,097.32","1,106.68","1,422.00",675.00,11_19_2021
NLG,47.60,920.00,930.00,916.00,917.00,920.05,"6,958.00",936.00,"6,401,679.80",121,-19.00,14.00,-2.03,1.53,-0.33,"1,097.32","1,106.68","1,422.00",675.00,11_20_2021
NLG,42.90,911.00,915.00,899.00,915.00,904.13,"7,849.00",917.00,"7,096,512.60",123,-2.00,16.00,-0.22,1.78,1.19,"1,094.98","1,105.31","1,422.00",675.00,11_21_2021
NLG,40.78,897.00,965.40,897.00,919.00,919.84,"12,198.00",915.00,"11,220,246.70",138,4.00,68.40,0.44,7.63,-0.09,"1,092.80","1,104.03","1,422.00",675.00,11_22_2021
NLG,44.57,910.00,920.00,889.00,901.00,905.77,"16,677.00",919.00,"15,105,606.50",126,-18.00,31.00,-1.96,3.49,-0.53,"1,090.54","1,102.66","1,422.00",675.00,11_23_2021
NLG,45.71,884.10,900.00,867.00,897.90,884.03,"5,093.00",901.00,"4,502,383.10",67,-3.10,33.00,-0.34,3.81,1.54,"1,088.21","1,101.45","1,422.00",675.00,11_24_2021
NLG,41.45,890.00,894.00,870.00,890.00,881.49,"9,383.00",897.90,"8,271,037.10",102,-7.90,24.00,-0.88,2.76,0.96,"1,085.68","1,100.29","1,422.00",675.00,11_25_2021
NLG,44.02,890.00,894.00,870.00,890.00,881.49,"9,383.00",897.90,"8,271,037.10",102,-7.90,24.00,-0.88,2.76,0.96,"1,085.68","1,100.29","1,422.00",675.00,11_26_2021
NLG,44.02,890.00,894.00,870.00,890.00,881.49,"9,383.00",897.90,"8,271,037.10",102,-7.90,24.00,-0.88,2.76,0.96,"1,085.68","1,100.29","1,422.00",675.00,11_27_2021
NLG,41.12,873.00,890.00,843.80,858.00,860.43,"9,230.00",890.00,"7,941,773.00",150,-32.00,46.20,-3.60,5.48,-0.28,"1,082.93","1,098.60","1,422.00",675.00,11_28_2021
NLG,40.44,858.00,859.60,841.00,850.00,849.33,"6,767.00",858.00,"5,747,430.00",95,-8.00,18.60,-0.93,2.21,0.08,"1,080.03","1,096.97","1,422.00",675.00,11_29_2021
NLG,38.88,860.00,860.00,820.00,848.00,831.58,"5,447.00",850.00,"4,529,638.00",91,-2.00,40.00,-0.24,4.88,1.94,"1,076.82","1,095.52","1,422.00",675.00,11_30_2021
NLG,37.83,835.00,849.00,832.00,840.00,840.11,"2,195.00",848.00,"1,844,038.00",41,-8.00,17.00,-0.94,2.04,-0.01,"1,073.88","1,093.96","1,422.00",675.00,12_01_2021
NLG,39.47,840.00,840.00,812.00,829.80,819.31,"7,840.00",840.00,"6,423,423.10",112,-10.20,28.00,-1.21,3.45,1.26,"1,070.92","1,092.13","1,422.00",675.00,12_02_2021
NLG,46.91,840.00,840.00,812.00,829.80,819.31,"7,840.00",840.00,"6,423,423.10",112,-10.20,28.00,-1.21,3.45,1.26,"1,070.92","1,092.13","1,422.00",675.00,12_03_2021
NLG,46.91,840.00,840.00,812.00,829.80,819.31,"7,840.00",840.00,"6,423,423.10",112,-10.20,28.00,-1.21,3.45,1.26,"1,070.92","1,092.13","1,422.00",675.00,12_04_2021
NLG,46.01,815.00,819.00,795.00,809.90,803.01,"8,230.00",829.80,"6,608,805.20",111,-19.90,24.00,-2.40,3.02,0.85,"1,067.76","1,090.41","1,422.00",675.00,12_05_2021
NLG,44.12,802.00,825.00,780.00,825.00,800.48,"13,295.00",809.90,"10,642,378.60",136,15.10,45.00,1.86,5.77,2.97,"1,064.43","1,088.87","1,422.00",675.00,12_06_2021
NLG,48.79,825.00,840.00,802.60,835.30,815.00,"11,904.00",825.00,"9,701,701.10",102,10.30,37.40,1.25,4.66,2.43,"1,060.65","1,087.28","1,422.00",675.00,12_07_2021
NLG,50.68,819.00,819.00,792.00,798.00,801.13,"4,037.00",835.30,"3,234,155.20",80,-37.30,27.00,-4.47,3.41,-0.39,"1,056.16","1,085.56","1,422.00",675.00,12_08_2021
NLG,41.01,785.50,797.00,757.00,780.10,772.73,"11,885.00",798.00,"9,183,912.20",137,-17.90,40.00,-2.24,5.28,0.94,"1,051.26","1,083.86","1,422.00",675.00,12_09_2021
NLG,45.27,785.50,797.00,757.00,780.10,772.73,"11,885.00",798.00,"9,183,912.20",137,-17.90,40.00,-2.24,5.28,0.94,"1,051.26","1,083.86","1,422.00",675.00,12_10_2021
NLG,45.27,785.50,797.00,757.00,780.10,772.73,"11,885.00",798.00,"9,183,912.20",137,-17.90,40.00,-2.24,5.28,0.94,"1,051.26","1,083.86","1,422.00",675.00,12_11_2021
