Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NLIC,50.99,"1,822.00","1,864.00","1,816.00","1,827.00","1,835.79","64,801.00","1,822.00","118,960,936.00","1,392",5.00,48.00,0.27,2.64,-0.48,"2,032.10","2,130.22","3,000.00","1,336.00",09_01_2021
NLIC,49.13,"1,710.00","1,735.00","1,700.00","1,700.00","1,705.00","29,988.00","1,701.00","51,129,490.80",549,-1.00,35.00,-0.06,2.06,-0.29,"1,901.02","1,980.28","3,000.00","1,403.00",11_03_2021
NLIC,48.17,"1,710.00","1,735.00","1,700.00","1,700.00","1,705.00","29,988.00","1,701.00","51,129,490.80",549,-1.00,35.00,-0.06,2.06,-0.29,"1,901.02","1,980.28","3,000.00","1,403.00",11_05_2021
NLIC,48.17,"1,710.00","1,735.00","1,700.00","1,700.00","1,705.00","29,988.00","1,701.00","51,129,490.80",549,-1.00,35.00,-0.06,2.06,-0.29,"1,901.02","1,980.28","3,000.00","1,403.00",11_06_2021
NLIC,48.17,"1,710.00","1,735.00","1,700.00","1,700.00","1,705.00","29,988.00","1,701.00","51,129,490.80",549,-1.00,35.00,-0.06,2.06,-0.29,"1,901.02","1,980.28","3,000.00","1,403.00",11_07_2021
NLIC,48.95,"1,705.00","1,719.00","1,685.00","1,690.00","1,702.08","20,702.00","1,700.00","35,236,507.90",380,-10.00,34.00,-0.59,2.02,-0.71,"1,898.20","1,977.10","3,000.00","1,403.00",11_08_2021
NLIC,48.44,"1,700.00","1,700.00","1,658.20","1,665.00","1,673.85","27,577.00","1,690.00","46,159,682.60",574,-25.00,41.80,-1.48,2.52,-0.53,"1,895.28","1,973.51","3,000.00","1,420.00",11_09_2021
NLIC,46.80,"1,700.00","1,700.00","1,658.20","1,665.00","1,673.85","27,577.00","1,690.00","46,159,682.60",574,-25.00,41.80,-1.48,2.52,-0.53,"1,895.28","1,973.51","3,000.00","1,420.00",11_10_2021
NLIC,44.75,"1,651.00","1,660.00","1,622.00","1,629.00","1,631.41","40,177.00","1,665.00","65,545,092.50",695,-36.00,38.00,-2.16,2.34,-0.15,"1,891.92","1,969.35","3,000.00","1,487.00",11_11_2021
NLIC,46.69,"1,651.00","1,660.00","1,622.00","1,629.00","1,631.41","40,177.00","1,665.00","65,545,092.50",695,-36.00,38.00,-2.16,2.34,-0.15,"1,891.92","1,969.35","3,000.00","1,487.00",11_12_2021
NLIC,46.69,"1,651.00","1,660.00","1,622.00","1,629.00","1,631.41","40,177.00","1,665.00","65,545,092.50",695,-36.00,38.00,-2.16,2.34,-0.15,"1,891.92","1,969.35","3,000.00","1,487.00",11_13_2021
NLIC,44.64,"1,633.00","1,633.00","1,600.40","1,615.00","1,618.17","28,766.00","1,629.00","46,548,206.90",512,-14.00,32.60,-0.86,2.04,-0.20,"1,888.16","1,965.17","3,000.00","1,519.00",11_14_2021
NLIC,43.55,"1,582.80","1,650.00","1,582.80","1,608.00","1,614.50","35,703.00","1,615.00","57,642,372.90",719,-7.00,67.20,-0.43,4.25,-0.40,"1,884.41","1,960.97","3,000.00","1,519.00",11_15_2021
NLIC,45.50,"1,580.00","1,605.00","1,551.00","1,603.00","1,588.53","98,117.00","1,608.00","155,862,132.80","1,709",-5.00,54.00,-0.31,3.48,0.90,"1,880.56","1,956.96","3,000.00","1,519.00",11_16_2021
NLIC,48.79,"1,610.00","1,632.00","1,598.00","1,599.00","1,607.08","53,860.00","1,603.00","86,557,546.20",843,-4.00,34.00,-0.25,2.13,-0.51,"1,876.38","1,953.17","3,000.00","1,519.00",11_17_2021
