Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NLICL,46.98,"1,165.00","1,182.00","1,137.00","1,138.00","1,152.14","22,908.00","1,150.00","26,393,197.00",273,-12.00,45.00,-1.04,3.96,-1.24,"1,194.81","1,186.35","1,411.00",718.00,09_01_2021
NLICL,59.42,"1,059.00","1,070.00","1,045.00","1,054.00","1,054.67","20,418.00","1,045.00","21,534,292.50",187,9.00,25.00,0.86,2.39,-0.06,"1,149.13","1,160.98","1,411.00",762.00,11_03_2021
NLICL,58.93,"1,059.00","1,070.00","1,045.00","1,054.00","1,054.67","20,418.00","1,045.00","21,534,292.50",187,9.00,25.00,0.86,2.39,-0.06,"1,149.13","1,160.98","1,411.00",762.00,11_05_2021
NLICL,58.93,"1,059.00","1,070.00","1,045.00","1,054.00","1,054.67","20,418.00","1,045.00","21,534,292.50",187,9.00,25.00,0.86,2.39,-0.06,"1,149.13","1,160.98","1,411.00",762.00,11_06_2021
NLICL,58.93,"1,059.00","1,070.00","1,045.00","1,054.00","1,054.67","20,418.00","1,045.00","21,534,292.50",187,9.00,25.00,0.86,2.39,-0.06,"1,149.13","1,160.98","1,411.00",762.00,11_07_2021
NLICL,59.71,"1,063.00","1,066.00","1,040.00","1,047.00","1,052.13","14,735.00","1,054.00","15,503,109.90",114,-7.00,26.00,-0.66,2.50,-0.49,"1,148.49","1,159.74","1,411.00",762.00,11_08_2021
NLICL,54.64,"1,030.00","1,034.00",990.00,"1,000.00","1,002.53","25,710.00","1,047.00","25,775,159.00",202,-47.00,44.00,-4.49,4.44,-0.25,"1,147.55","1,157.80","1,411.00",770.00,11_09_2021
NLICL,49.29,"1,030.00","1,034.00",990.00,"1,000.00","1,002.53","25,710.00","1,047.00","25,775,159.00",202,-47.00,44.00,-4.49,4.44,-0.25,"1,147.55","1,157.80","1,411.00",770.00,11_10_2021
NLICL,47.24,990.00,"1,004.00",965.00,972.00,977.44,"11,240.00","1,000.00","10,986,459.50",136,-28.00,39.00,-2.80,4.04,-0.56,"1,146.30","1,155.75","1,411.00",796.00,11_11_2021
NLICL,43.06,990.00,"1,004.00",965.00,972.00,977.44,"11,240.00","1,000.00","10,986,459.50",136,-28.00,39.00,-2.80,4.04,-0.56,"1,146.30","1,155.75","1,411.00",796.00,11_12_2021
