Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NLICLP,47.95,591.00,591.00,591.00,591.00,591.00,"5,647.00",591.00,"3,337,377.00",1,0.00,0.00,0.00,0.00,0.00,-,-,636.00,591.00,02_24_2022
NLICLP,41.28,591.00,591.00,591.00,591.00,591.00,"5,647.00",591.00,"3,337,377.00",1,0.00,0.00,0.00,0.00,0.00,-,-,636.00,591.00,02_25_2022
NLICLP,41.28,591.00,591.00,591.00,591.00,591.00,"5,647.00",591.00,"3,337,377.00",1,0.00,0.00,0.00,0.00,0.00,-,-,636.00,591.00,02_26_2022
NLICLP,41.13,591.00,591.00,591.00,591.00,402.75,"47,942.00",591.00,"19,308,445.00",7,0.00,0.00,0.00,0.00,31.85,-,-,636.00,591.00,03_02_2022
NLICLP,48.45,591.00,591.00,591.00,591.00,402.75,"47,942.00",591.00,"19,308,445.00",7,0.00,0.00,0.00,0.00,31.85,-,-,636.00,591.00,03_03_2022
NLICLP,48.45,591.00,591.00,591.00,591.00,402.75,"47,942.00",591.00,"19,308,445.00",7,0.00,0.00,0.00,0.00,31.85,-,-,636.00,591.00,03_04_2022
NLICLP,48.45,591.00,591.00,591.00,591.00,402.75,"47,942.00",591.00,"19,308,445.00",7,0.00,0.00,0.00,0.00,31.85,-,-,636.00,591.00,03_05_2022
NLICLP,43.41,591.00,591.00,591.00,591.00,437.86,"32,430.00",591.00,"14,199,873.00",2,0.00,0.00,0.00,0.00,25.91,-,-,636.00,591.00,03_07_2022
NLICLP,39.32,591.00,591.00,591.00,591.00,437.86,"32,430.00",591.00,"14,199,873.00",2,0.00,0.00,0.00,0.00,25.91,-,-,636.00,591.00,03_08_2022
NLICLP,37.52,300.00,300.00,300.00,300.00,100.00,"6,162.00",300.00,"616,200.00",1,0.00,0.00,0.00,0.00,66.67,-,-,636.00,300.00,09_14_2022
NLICLP,27.34,311.70,311.70,305.50,305.50,308.60,"13,693.00",300.00,"4,225,656.70",2,5.50,6.20,1.83,2.03,-1.01,-,-,591.00,300.00,11_16_2022
NLICLP,28.92,299.40,299.40,299.40,299.40,299.40,"13,693.00",299.40,"4,099,684.20",1,-6.10,0.00,-2.00,0.00,0.00,-,-,591.00,299.40,11_17_2022
NLICLP,28.79,299.40,299.40,299.40,299.40,299.40,"13,693.00",299.40,"4,099,684.20",1,-6.10,0.00,-2.00,0.00,0.00,-,-,591.00,299.40,11_18_2022
NLICLP,28.79,299.40,299.40,299.40,299.40,299.40,"13,693.00",299.40,"4,099,684.20",1,-6.10,0.00,-2.00,0.00,0.00,-,-,591.00,299.40,11_19_2022
NLICLP,28.79,299.40,299.40,299.40,299.40,299.40,"13,693.00",299.40,"4,099,684.20",1,-6.10,0.00,-2.00,0.00,0.00,-,-,591.00,299.40,11_20_2022
NLICLP,28.79,299.40,299.40,299.40,299.40,299.40,"13,693.00",299.40,"4,099,684.20",1,-6.10,0.00,-2.00,0.00,0.00,-,-,591.00,299.40,11_21_2022
NLICLP,31.71,293.50,293.50,293.50,293.50,293.50,"18,257.00",299.40,"5,358,429.50",1,-5.90,0.00,-1.97,0.00,0.00,-,-,591.00,293.50,11_22_2022
