Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NLO,42.68,247.80,252.70,247.80,252.70,252.51,255.00,243.00,"64,389.50",2,9.70,4.90,3.99,1.98,0.08,-,-,316.00,247.80,03_06_2022
NLO,26.56,252.70,252.70,272.70,252.70,255.20,6.00,252.70,"1,531.20",2,0.00,-20.00,0.00,-7.33,-0.99,-,-,316.00,247.80,05_10_2022
NLO,19.20,252.70,252.70,252.70,252.70,257.60,3.00,252.70,772.80,1,0.00,0.00,0.00,0.00,-1.94,-,-,316.00,247.80,05_11_2022
NLO,15.85,252.70,252.70,252.70,252.70,256.00,8.00,252.70,"2,048.00",1,0.00,0.00,0.00,0.00,-1.31,-,-,252.70,247.80,09_04_2022
NLO,16.54,257.70,257.70,257.70,257.70,257.70,36.00,252.70,"9,277.20",1,5.00,0.00,1.98,0.00,0.00,-,-,257.70,247.80,09_13_2022
NLO,26.95,262.80,262.80,262.80,262.80,262.80,10.00,257.70,"2,628.00",1,5.10,0.00,1.98,0.00,0.00,-,-,262.80,247.80,09_16_2022
NLO,28.07,262.80,262.80,262.80,262.80,262.80,10.00,257.70,"2,628.00",1,5.10,0.00,1.98,0.00,0.00,-,-,262.80,247.80,09_17_2022
NLO,26.15,268.00,273.30,268.00,273.30,270.65,20.00,262.80,"5,413.00",2,10.50,5.30,4.00,1.98,0.97,-,-,273.30,247.80,09_18_2022
NLO,29.86,268.00,273.30,268.00,273.30,270.65,20.00,262.80,"5,413.00",2,10.50,5.30,4.00,1.98,0.97,-,-,273.30,247.80,09_19_2022
NLO,31.89,278.70,284.20,278.70,284.20,283.60,91.00,273.30,"25,807.20",2,10.90,5.50,3.99,1.97,0.21,-,-,284.20,247.80,09_29_2022
NLO,31.88,278.70,284.20,278.70,284.20,283.60,91.00,273.30,"25,807.20",2,10.90,5.50,3.99,1.97,0.21,-,-,284.20,247.80,09_30_2022
NLO,31.88,278.70,284.20,278.70,284.20,283.60,91.00,273.30,"25,807.20",2,10.90,5.50,3.99,1.97,0.21,-,-,284.20,247.80,10_01_2022
NLO,31.88,278.70,284.20,278.70,284.20,283.60,91.00,273.30,"25,807.20",2,10.90,5.50,3.99,1.97,0.21,-,-,284.20,247.80,10_02_2022
NLO,31.88,278.70,284.20,278.70,284.20,283.60,91.00,273.30,"25,807.20",2,10.90,5.50,3.99,1.97,0.21,-,-,284.20,247.80,10_03_2022
NLO,31.88,278.70,284.20,278.70,284.20,283.60,91.00,273.30,"25,807.20",2,10.90,5.50,3.99,1.97,0.21,-,-,284.20,247.80,10_04_2022
NLO,31.88,278.70,284.20,278.70,284.20,283.60,91.00,273.30,"25,807.20",2,10.90,5.50,3.99,1.97,0.21,-,-,284.20,247.80,10_05_2022
NLO,31.88,278.70,284.20,278.70,284.20,283.60,91.00,273.30,"25,807.20",2,10.90,5.50,3.99,1.97,0.21,-,-,284.20,247.80,10_06_2022
NLO,31.88,278.70,284.20,278.70,284.20,283.60,91.00,273.30,"25,807.20",2,10.90,5.50,3.99,1.97,0.21,-,-,284.20,247.80,10_07_2022
NLO,31.88,278.70,284.20,278.70,284.20,283.60,91.00,273.30,"25,807.20",2,10.90,5.50,3.99,1.97,0.21,-,-,284.20,247.80,10_08_2022
NLO,41.37,231.90,241.20,231.90,241.20,240.46,188.00,227.36,"45,205.60",3,13.84,9.30,6.09,4.01,0.31,-,-,284.20,231.90,11_28_2022
NLO,37.20,241.20,241.20,241.20,241.20,236.50,9.00,241.20,"2,128.50",1,0.00,0.00,0.00,0.00,1.95,-,-,284.20,231.90,12_11_2022
NLO,35.75,246.00,246.00,246.00,246.00,246.00,10.00,241.20,"2,460.00",1,4.80,0.00,1.99,0.00,0.00,0.00,0.00,284.20,231.90,02_01_2023
NLO,32.40,255.90,255.90,255.90,255.90,254.00,1.00,255.90,254.00,1,0.00,0.00,0.00,0.00,0.74,0.00,0.00,284.20,231.90,05_23_2023
NLO,-,255.90,255.90,255.90,255.90,250.80,1.00,255.90,250.80,1,0.00,0.00,0.00,0.00,1.99,0.00,0.00,284.20,231.90,06_11_2023
