Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NMB,50.48,448.00,452.00,439.10,446.50,446.85,"112,030.00",444.00,"50,060,116.40",953,2.50,12.90,0.56,2.94,-0.08,441.90,439.93,517.00,379.00,09_01_2021
NMB,61.21,417.00,418.00,413.00,416.10,415.39,"78,596.00",415.00,"32,648,367.30",453,1.10,5.00,0.27,1.21,0.17,440.32,436.74,517.00,379.00,11_03_2021
NMB,60.56,417.00,418.00,413.00,416.10,415.39,"78,596.00",415.00,"32,648,367.30",453,1.10,5.00,0.27,1.21,0.17,440.32,436.74,517.00,379.00,11_05_2021
NMB,60.56,417.00,418.00,413.00,416.10,415.39,"78,596.00",415.00,"32,648,367.30",453,1.10,5.00,0.27,1.21,0.17,440.32,436.74,517.00,379.00,11_06_2021
NMB,60.56,417.00,418.00,413.00,416.10,415.39,"78,596.00",415.00,"32,648,367.30",453,1.10,5.00,0.27,1.21,0.17,440.32,436.74,517.00,379.00,11_07_2021
NMB,61.35,420.00,424.40,412.50,414.00,415.49,"46,299.00",416.10,"19,236,918.90",344,-2.10,11.90,-0.50,2.88,-0.36,440.34,436.66,517.00,379.00,11_08_2021
NMB,53.88,413.00,414.00,404.00,404.10,407.60,"77,287.00",414.00,"31,502,138.10",451,-9.90,10.00,-2.39,2.48,-0.87,440.26,436.53,517.00,379.00,11_09_2021
NMB,48.04,413.00,414.00,404.00,404.10,407.60,"77,287.00",414.00,"31,502,138.10",451,-9.90,10.00,-2.39,2.48,-0.87,440.26,436.53,517.00,379.00,11_10_2021
NMB,45.99,405.00,405.00,393.00,399.00,399.06,"58,943.00",404.10,"23,521,701.40",480,-5.10,12.00,-1.26,3.05,-0.01,440.14,436.29,517.00,379.00,11_11_2021
NMB,44.29,405.00,405.00,393.00,399.00,399.06,"58,943.00",404.10,"23,521,701.40",480,-5.10,12.00,-1.26,3.05,-0.01,440.14,436.29,517.00,379.00,11_12_2021
NMB,44.29,405.00,405.00,393.00,399.00,399.06,"58,943.00",404.10,"23,521,701.40",480,-5.10,12.00,-1.26,3.05,-0.01,440.14,436.29,517.00,379.00,11_13_2021
NMB,42.24,398.00,399.00,392.00,394.50,394.92,"46,955.00",399.00,"18,543,431.00",365,-4.50,7.00,-1.13,1.79,-0.11,439.94,436.04,517.00,379.00,11_14_2021
NMB,42.12,395.00,400.00,394.00,394.80,396.87,"51,694.00",394.50,"20,515,631.10",354,0.30,6.00,0.08,1.52,-0.52,439.77,435.77,517.00,379.00,11_15_2021
NMB,43.28,398.80,399.00,395.00,399.00,396.76,"68,996.00",394.80,"27,374,896.80",376,4.20,4.00,1.06,1.01,0.56,439.63,435.54,517.00,379.00,11_16_2021
NMB,48.74,404.90,405.00,396.00,398.50,399.40,"47,947.00",399.00,"19,150,013.80",394,-0.50,9.00,-0.13,2.27,-0.23,439.43,435.31,517.00,379.00,11_17_2021
NMB,54.08,399.00,400.00,393.80,394.00,396.29,"49,610.00",398.50,"19,659,771.10",377,-4.50,6.20,-1.13,1.57,-0.58,439.17,435.00,517.00,379.00,11_18_2021
NMB,54.23,399.00,400.00,393.80,394.00,396.29,"49,610.00",398.50,"19,659,771.10",377,-4.50,6.20,-1.13,1.57,-0.58,439.17,435.00,517.00,379.00,11_19_2021
NMB,54.23,399.00,400.00,393.80,394.00,396.29,"49,610.00",398.50,"19,659,771.10",377,-4.50,6.20,-1.13,1.57,-0.58,439.17,435.00,517.00,379.00,11_20_2021
NMB,49.53,394.00,397.00,393.00,393.00,394.06,"24,380.00",394.00,"9,607,137.80",273,-1.00,4.00,-0.25,1.02,-0.27,438.90,434.57,517.00,379.00,11_21_2021
NMB,36.98,395.00,397.00,390.00,391.50,391.81,"38,405.00",393.00,"15,047,383.80",330,-1.50,7.00,-0.38,1.79,-0.08,438.61,434.12,517.00,379.00,11_22_2021
NMB,39.69,394.00,394.00,388.70,389.70,390.30,"40,645.00",391.50,"15,863,646.80",335,-1.80,5.30,-0.46,1.36,-0.15,438.28,433.65,517.00,379.00,11_23_2021
NMB,40.48,394.90,395.00,383.10,387.00,387.38,"38,419.00",389.70,"14,882,756.90",352,-2.70,11.90,-0.69,3.11,-0.10,437.87,433.17,517.00,379.00,11_24_2021
NMB,41.79,386.00,392.00,386.00,388.00,387.77,"49,647.00",387.00,"19,251,490.90",355,1.00,6.00,0.26,1.55,0.06,437.46,432.79,517.00,379.00,11_25_2021
NMB,50.73,386.00,392.00,386.00,388.00,387.77,"49,647.00",387.00,"19,251,490.90",355,1.00,6.00,0.26,1.55,0.06,437.46,432.79,517.00,379.00,11_26_2021
NMB,50.73,386.00,392.00,386.00,388.00,387.77,"49,647.00",387.00,"19,251,490.90",355,1.00,6.00,0.26,1.55,0.06,437.46,432.79,517.00,379.00,11_27_2021
NMB,47.83,388.00,388.00,377.40,379.00,381.26,"78,205.00",388.00,"29,816,727.50",561,-9.00,10.60,-2.32,2.81,-0.60,437.03,432.39,517.00,377.40,11_28_2021
NMB,48.87,379.00,383.00,373.40,374.00,376.74,"71,430.00",379.00,"26,910,681.10",500,-5.00,9.60,-1.32,2.57,-0.73,436.56,431.94,517.00,373.40,11_29_2021
NMB,46.97,374.10,381.00,370.10,376.00,374.94,"106,155.00",374.00,"39,801,677.50",366,2.00,10.90,0.53,2.95,0.28,436.05,431.55,517.00,370.10,11_30_2021
NMB,49.90,376.00,379.00,374.00,374.00,376.08,"65,797.00",376.00,"24,745,137.70",369,-2.00,5.00,-0.53,1.34,-0.56,435.55,431.24,517.00,370.10,12_01_2021
NMB,46.11,381.40,383.00,375.00,377.40,378.72,"87,242.00",374.00,"33,040,616.50",651,3.40,8.00,0.91,2.13,-0.35,435.11,430.92,517.00,370.10,12_02_2021
NMB,52.50,381.40,383.00,375.00,377.40,378.72,"87,242.00",374.00,"33,040,616.50",651,3.40,8.00,0.91,2.13,-0.35,435.11,430.92,517.00,370.10,12_03_2021
NMB,52.50,381.40,383.00,375.00,377.40,378.72,"87,242.00",374.00,"33,040,616.50",651,3.40,8.00,0.91,2.13,-0.35,435.11,430.92,517.00,370.10,12_04_2021
NMB,51.60,378.00,383.80,365.10,369.00,370.87,"94,079.00",377.40,"34,891,000.60",670,-8.40,18.70,-2.23,5.12,-0.51,434.58,430.62,517.00,365.10,12_05_2021
NMB,49.05,370.00,373.00,357.00,370.00,365.02,"98,163.00",369.00,"35,831,339.90",576,1.00,16.00,0.27,4.48,1.35,433.98,430.33,517.00,357.00,12_06_2021
