Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NMB50,52.47,15.74,15.89,15.55,15.75,15.68,"187,430.00",15.74,"2,939,287.70",65,0.01,0.34,0.06,2.19,0.43,14.20,13.17,18.47,9.00,09_01_2021
NMB50,60.30,12.04,12.10,11.98,12.04,12.02,"176,100.00",12.00,"2,116,266.00",24,0.04,0.12,0.33,1.00,0.19,14.03,13.44,18.47,9.45,11_03_2021
NMB50,62.30,12.04,12.10,11.98,12.04,12.02,"176,100.00",12.00,"2,116,266.00",24,0.04,0.12,0.33,1.00,0.19,14.03,13.44,18.47,9.45,11_05_2021
NMB50,62.30,12.04,12.10,11.98,12.04,12.02,"176,100.00",12.00,"2,116,266.00",24,0.04,0.12,0.33,1.00,0.19,14.03,13.44,18.47,9.45,11_06_2021
NMB50,62.30,12.04,12.10,11.98,12.04,12.02,"176,100.00",12.00,"2,116,266.00",24,0.04,0.12,0.33,1.00,0.19,14.03,13.44,18.47,9.45,11_07_2021
NMB50,63.08,12.27,12.27,12.10,12.10,12.15,"48,400.00",12.04,"588,267.00",15,0.06,0.17,0.50,1.40,-0.45,14.02,13.45,18.47,9.45,11_08_2021
NMB50,54.83,12.11,12.19,11.94,11.97,12.07,"142,800.00",12.10,"1,724,301.00",23,-0.13,0.25,-1.07,2.09,-0.88,14.02,13.45,18.47,9.51,11_09_2021
NMB50,54.26,12.11,12.19,11.94,11.97,12.07,"142,800.00",12.10,"1,724,301.00",23,-0.13,0.25,-1.07,2.09,-0.88,14.02,13.45,18.47,9.51,11_10_2021
NMB50,52.21,12.20,12.20,11.90,11.90,12.04,"20,800.00",11.97,"250,498.00",14,-0.07,0.30,-0.58,2.52,-1.20,14.02,13.45,18.47,9.62,11_11_2021
NMB50,43.41,12.20,12.20,11.90,11.90,12.04,"20,800.00",11.97,"250,498.00",14,-0.07,0.30,-0.58,2.52,-1.20,14.02,13.45,18.47,9.62,11_12_2021
NMB50,43.41,12.20,12.20,11.90,11.90,12.04,"20,800.00",11.97,"250,498.00",14,-0.07,0.30,-0.58,2.52,-1.20,14.02,13.45,18.47,9.62,11_13_2021
NMB50,41.36,12.10,12.10,11.73,11.98,11.78,"26,400.00",11.90,"310,982.13",14,0.08,0.37,0.67,3.15,1.67,14.01,13.46,18.47,9.75,11_14_2021
NMB50,41.01,11.98,12.10,11.76,11.76,11.94,"77,100.00",11.98,"920,686.00",23,-0.22,0.34,-1.84,2.89,-1.54,14.01,13.46,18.47,9.75,11_15_2021
NMB50,45.09,11.79,12.13,11.79,12.13,11.91,"2,200.00",11.76,"26,212.00",6,0.37,0.34,3.15,2.88,1.78,14.00,13.47,18.47,9.75,11_16_2021
NMB50,48.16,12.00,12.19,12.00,12.00,12.04,"40,100.00",12.13,"482,846.00",8,-0.13,0.19,-1.07,1.58,-0.34,14.00,13.47,18.47,9.75,11_17_2021
NMB50,49.83,11.94,11.95,11.80,11.95,11.84,"45,300.00",12.00,"536,475.00",14,-0.05,0.15,-0.42,1.27,0.90,13.99,13.47,18.47,9.75,11_18_2021
NMB50,46.68,11.94,11.95,11.80,11.95,11.84,"45,300.00",12.00,"536,475.00",14,-0.05,0.15,-0.42,1.27,0.90,13.99,13.47,18.47,9.75,11_19_2021
NMB50,46.68,11.94,11.95,11.80,11.95,11.84,"45,300.00",12.00,"536,475.00",14,-0.05,0.15,-0.42,1.27,0.90,13.99,13.47,18.47,9.75,11_20_2021
NMB50,41.98,12.00,12.05,11.85,11.99,11.93,"15,450.00",11.95,"184,317.50",9,0.04,0.20,0.33,1.69,0.50,13.98,13.47,18.47,9.82,11_21_2021
