Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NMBD2085,56.90,"1,015.00","1,020.00","1,015.00","1,020.00","1,015.28",177.00,"1,030.00","179,705.00",3,-10.00,5.00,-0.97,0.49,0.46,-,-,"1,030.00","1,015.00",11_08_2021
NMBD2085,52.76,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,020.00","25,000.00",1,-20.00,0.00,-1.96,0.00,0.00,-,-,"1,030.00","1,000.00",11_09_2021
NMBD2085,43.55,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,020.00","25,000.00",1,-20.00,0.00,-1.96,0.00,0.00,-,-,"1,030.00","1,000.00",11_10_2021
NMBD2085,41.50,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",50.00,"1,000.00","50,500.00",2,10.00,0.00,1.00,0.00,0.00,-,-,"1,030.00","1,000.00",11_11_2021
NMBD2085,43.55,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",50.00,"1,000.00","50,500.00",2,10.00,0.00,1.00,0.00,0.00,-,-,"1,030.00","1,000.00",11_12_2021
NMBD2085,43.55,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",50.00,"1,000.00","50,500.00",2,10.00,0.00,1.00,0.00,0.00,-,-,"1,030.00","1,000.00",11_13_2021
NMBD2085,41.50,"1,001.00","1,001.00","1,001.00","1,001.00","1,001.00",25.00,"1,010.00","25,025.00",1,-9.00,0.00,-0.89,0.00,0.00,-,-,"1,030.00","1,000.00",11_14_2021
NMBD2085,41.35,999.00,999.00,999.00,999.00,999.00,25.00,"1,001.00","24,975.00",1,-2.00,0.00,-0.20,0.00,0.00,-,-,"1,030.00",999.00,11_16_2021
NMBD2085,42.71,"1,000.00","1,000.50",999.60,"1,000.50","1,000.15",100.00,999.00,"100,015.00",4,1.50,0.90,0.15,0.09,0.03,-,-,"1,030.00",999.00,11_18_2021
NMBD2085,58.73,"1,000.00","1,000.50",999.60,"1,000.50","1,000.15",100.00,999.00,"100,015.00",4,1.50,0.90,0.15,0.09,0.03,-,-,"1,030.00",999.00,11_19_2021
NMBD2085,58.73,"1,000.00","1,000.50",999.60,"1,000.50","1,000.15",100.00,999.00,"100,015.00",4,1.50,0.90,0.15,0.09,0.03,-,-,"1,030.00",999.00,11_20_2021
NMBD2085,54.03,996.70,996.70,996.70,996.70,996.70,25.00,"1,000.50","24,917.50",1,-3.80,0.00,-0.38,0.00,0.00,-,-,"1,030.00",996.70,11_21_2021
NMBD2085,44.42,"1,000.00","1,000.00",999.10,999.10,999.42,50.00,996.70,"49,971.20",2,2.40,0.90,0.24,0.09,-0.03,-,-,"1,030.00",996.70,11_23_2021
NMBD2085,53.58,"1,017.90","1,018.00","1,015.00","1,018.00","1,017.39",75.00,999.10,"76,304.00",3,18.90,3.00,1.89,0.30,0.06,-,-,"1,030.00",996.70,11_24_2021
NMBD2085,53.55,"1,010.00","1,018.00","1,010.00","1,018.00","1,016.40",125.00,"1,018.00","127,050.00",2,0.00,8.00,0.00,0.79,0.16,-,-,"1,030.00",996.70,12_15_2021
NMBD2085,51.28,"1,000.00","1,000.00",992.50,992.50,995.50,25.00,"1,018.00","24,887.50",2,-25.50,7.50,-2.50,0.76,-0.30,-,-,"1,030.00",992.50,12_21_2021
NMBD2085,42.20,993.50,993.50,993.50,993.50,993.50,25.00,992.50,"24,837.50",1,1.00,0.00,0.10,0.00,0.00,-,-,"1,030.00",992.50,12_22_2021
NMBD2085,42.55,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",200.00,993.50,"200,000.00",1,6.50,0.00,0.65,0.00,0.00,-,-,"1,030.00",992.50,12_27_2021
NMBD2085,45.70,"1,005.00","1,005.00","1,005.00","1,005.00","1,005.00",50.00,"1,000.00","50,250.00",1,5.00,0.00,0.50,0.00,0.00,-,-,"1,030.00",992.50,01_02_2022
