Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NMBD87/88,0.00,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,000.00","25,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,000.00","1,000.00",11_30_2022
NMBD87/88,49.22,980.00,980.00,980.00,980.00,980.00,25.00,"1,000.00","24,500.00",1,-20.00,0.00,-2.00,0.00,0.00,0.00,0.00,"1,000.00",980.00,01_29_2023
NMBD87/88,29.49,960.40,960.40,886.60,886.60,930.76,85.00,980.00,"79,115.00",5,-93.40,73.80,-9.53,8.32,-4.98,0.00,0.00,"1,000.00",886.60,04_27_2023
NMBD87/88,30.21,960.40,960.40,886.60,886.60,930.76,85.00,980.00,"79,115.00",5,-93.40,73.80,-9.53,8.32,-4.98,0.00,0.00,"1,000.00",886.60,04_28_2023
NMBD87/88,30.21,960.40,960.40,886.60,886.60,930.76,85.00,980.00,"79,115.00",5,-93.40,73.80,-9.53,8.32,-4.98,0.00,0.00,"1,000.00",886.60,04_29_2023
NMBD87/88,25.11,869.00,869.00,834.70,834.70,844.03,55.00,886.60,"46,421.50",4,-51.90,34.30,-5.85,4.11,-1.12,0.00,0.00,"1,000.00",834.70,05_04_2023
NMBD87/88,28.94,869.00,869.00,834.70,834.70,844.03,55.00,886.60,"46,421.50",4,-51.90,34.30,-5.85,4.11,-1.12,0.00,0.00,"1,000.00",834.70,05_05_2023
NMBD87/88,28.94,869.00,869.00,834.70,834.70,844.03,55.00,886.60,"46,421.50",4,-51.90,34.30,-5.85,4.11,-1.12,0.00,0.00,"1,000.00",834.70,05_06_2023
NMBD87/88,28.94,818.10,818.10,755.00,761.00,766.32,155.00,834.70,"118,779.00",9,-73.70,63.10,-8.83,8.36,-0.70,0.00,0.00,"1,000.00",755.00,05_07_2023
NMBD87/88,24.36,756.10,762.00,747.10,756.30,756.60,215.00,761.00,"162,668.70",10,-4.70,14.90,-0.62,1.99,-0.04,0.00,0.00,"1,000.00",747.10,05_08_2023
NMBD87/88,29.43,771.40,780.00,771.20,772.00,772.72,166.00,756.30,"128,272.00",7,15.70,8.80,2.08,1.14,-0.09,0.00,0.00,"1,000.00",747.10,05_09_2023
NMBD87/88,29.15,760.00,821.90,760.00,776.00,781.91,120.00,772.00,"93,829.00",10,4.00,61.90,0.52,8.14,-0.76,0.00,0.00,"1,000.00",747.10,05_10_2023
NMBD87/88,35.88,763.20,763.20,762.10,762.10,762.92,70.00,776.00,"53,404.20",3,-13.90,1.10,-1.79,0.14,-0.11,0.00,0.00,"1,000.00",747.10,05_14_2023
NMBD87/88,39.97,763.50,763.50,763.50,763.50,763.50,70.00,762.10,"53,445.00",3,1.40,0.00,0.18,0.00,0.00,0.00,0.00,"1,000.00",747.10,05_17_2023
NMBD87/88,39.62,763.90,763.90,763.90,763.90,763.90,50.00,763.50,"38,195.00",2,0.40,0.00,0.05,0.00,0.00,0.00,0.00,"1,000.00",747.10,05_23_2023
NMBD87/88,39.77,765.00,765.00,765.00,765.00,765.00,25.00,763.90,"19,125.00",2,1.10,0.00,0.14,0.00,0.00,0.00,0.00,"1,000.00",747.10,05_24_2023
NMBD87/88,37.96,765.00,765.00,765.00,765.00,765.00,25.00,763.90,"19,125.00",2,1.10,0.00,0.14,0.00,0.00,0.00,0.00,"1,000.00",747.10,05_25_2023
NMBD87/88,37.96,765.00,765.00,765.00,765.00,765.00,25.00,763.90,"19,125.00",2,1.10,0.00,0.14,0.00,0.00,0.00,0.00,"1,000.00",747.10,05_26_2023
NMBD87/88,37.96,765.00,765.00,765.00,765.00,765.00,25.00,763.90,"19,125.00",2,1.10,0.00,0.14,0.00,0.00,0.00,0.00,"1,000.00",747.10,05_27_2023
NMBD87/88,40.71,765.00,827.00,765.00,811.00,792.71,100.00,765.00,"79,271.00",8,46.00,62.00,6.01,8.10,2.26,0.00,0.00,"1,000.00",747.10,05_28_2023
NMBD87/88,54.25,765.00,827.00,765.00,811.00,792.71,100.00,765.00,"79,271.00",8,46.00,62.00,6.01,8.10,2.26,0.00,0.00,"1,000.00",747.10,05_29_2023
NMBD87/88,54.55,810.00,810.00,810.00,810.00,810.00,10.00,811.00,"8,100.00",1,-1.00,0.00,-0.12,0.00,0.00,0.00,0.00,"1,000.00",747.10,05_30_2023
NMBD87/88,-,809.00,809.00,805.00,805.00,807.40,25.00,810.00,"20,185.00",2,-5.00,4.00,-0.62,0.50,-0.30,0.00,0.00,"1,000.00",747.10,06_06_2023
NMBD87/88,-,790.00,790.00,780.00,780.00,785.00,50.00,805.00,"39,250.00",2,-25.00,10.00,-3.11,1.28,-0.64,0.00,0.00,"1,000.00",747.10,06_07_2023
NMBD87/88,-,780.00,780.00,765.10,765.10,774.02,50.00,780.00,"38,701.00",3,-14.90,14.90,-1.91,1.95,-1.17,0.00,0.00,"1,000.00",747.10,06_08_2023
NMBD87/88,41.31,780.00,780.00,765.10,765.10,774.02,50.00,780.00,"38,701.00",3,-14.90,14.90,-1.91,1.95,-1.17,0.00,0.00,"1,000.00",747.10,06_09_2023
NMBD87/88,41.31,780.00,780.00,765.10,765.10,774.02,50.00,780.00,"38,701.00",3,-14.90,14.90,-1.91,1.95,-1.17,0.00,0.00,"1,000.00",747.10,06_10_2023
NMBD87/88,-,780.40,780.40,765.10,765.10,770.84,40.00,765.10,"30,833.50",2,0.00,15.30,0.00,2.00,-0.75,0.00,0.00,"1,000.00",747.10,06_14_2023
NMBD87/88,-,775.00,775.00,775.00,775.00,775.00,25.00,765.10,"19,375.00",1,9.90,0.00,1.29,0.00,0.00,0.00,0.00,"1,000.00",747.10,06_15_2023
NMBD87/88,44.96,775.00,775.00,775.00,775.00,775.00,25.00,765.10,"19,375.00",1,9.90,0.00,1.29,0.00,0.00,0.00,0.00,"1,000.00",747.10,06_16_2023
NMBD87/88,44.96,775.00,775.00,775.00,775.00,775.00,25.00,765.10,"19,375.00",1,9.90,0.00,1.29,0.00,0.00,0.00,0.00,"1,000.00",747.10,06_17_2023
