Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NMBHF1,48.41,13.92,14.00,13.85,13.95,13.90,"108,821.00",13.92,"1,512,663.14",29,0.03,0.15,0.22,1.08,0.36,12.84,12.04,16.25,9.16,09_01_2021
NMBHF1,43.79,11.68,11.76,11.68,11.76,11.73,300.00,11.75,"3,519.00",3,0.01,0.08,0.09,0.68,0.26,12.82,12.29,16.25,9.44,11_03_2021
NMBHF1,47.41,11.68,11.76,11.68,11.76,11.73,300.00,11.75,"3,519.00",3,0.01,0.08,0.09,0.68,0.26,12.82,12.29,16.25,9.44,11_05_2021
NMBHF1,47.41,11.68,11.76,11.68,11.76,11.73,300.00,11.75,"3,519.00",3,0.01,0.08,0.09,0.68,0.26,12.82,12.29,16.25,9.44,11_06_2021
NMBHF1,47.41,11.68,11.76,11.68,11.76,11.73,300.00,11.75,"3,519.00",3,0.01,0.08,0.09,0.68,0.26,12.82,12.29,16.25,9.44,11_07_2021
NMBHF1,48.19,11.75,11.98,11.75,11.98,11.93,"50,000.00",11.76,"596,669.58",15,0.22,0.23,1.87,1.96,0.39,12.82,12.30,16.25,9.57,11_08_2021
NMBHF1,54.11,11.80,11.81,11.55,11.55,11.72,"164,768.00",11.98,"1,931,095.40",19,-0.43,0.26,-3.59,2.25,-1.47,12.83,12.31,16.25,9.57,11_09_2021
NMBHF1,52.53,11.80,11.81,11.55,11.55,11.72,"164,768.00",11.98,"1,931,095.40",19,-0.43,0.26,-3.59,2.25,-1.47,12.83,12.31,16.25,9.57,11_10_2021
NMBHF1,50.48,11.60,11.65,11.55,11.59,11.58,"34,600.00",11.55,"400,520.00",10,0.04,0.10,0.35,0.87,0.12,12.83,12.31,16.25,9.67,11_11_2021
NMBHF1,46.76,11.60,11.65,11.55,11.59,11.58,"34,600.00",11.55,"400,520.00",10,0.04,0.10,0.35,0.87,0.12,12.83,12.31,16.25,9.67,11_12_2021
NMBHF1,46.76,11.60,11.65,11.55,11.59,11.58,"34,600.00",11.55,"400,520.00",10,0.04,0.10,0.35,0.87,0.12,12.83,12.31,16.25,9.67,11_13_2021
NMBHF1,44.71,11.51,11.55,11.51,11.55,11.51,"54,993.00",11.59,"633,156.67",9,-0.04,0.04,-0.35,0.35,0.32,12.83,12.32,16.25,9.67,11_14_2021
NMBHF1,46.05,11.55,11.60,11.55,11.56,11.57,"8,639.00",11.55,"99,943.21",6,0.01,0.05,0.09,0.43,-0.08,12.83,12.33,16.25,9.67,11_15_2021
NMBHF1,42.48,11.60,11.71,11.58,11.67,11.69,"75,354.00",11.56,"881,038.42",9,0.11,0.13,0.95,1.12,-0.19,12.83,12.33,16.25,9.67,11_16_2021
NMBHF1,54.23,11.89,11.89,11.63,11.63,11.70,"46,150.00",11.67,"539,817.50",15,-0.04,0.26,-0.34,2.24,-0.58,12.83,12.34,16.25,9.67,11_17_2021
NMBHF1,50.31,11.63,11.65,11.63,11.65,11.63,"21,002.00",11.63,"244,342.06",7,0.02,0.02,0.17,0.17,0.14,12.83,12.35,16.25,9.67,11_18_2021
NMBHF1,48.21,11.63,11.65,11.63,11.65,11.63,"21,002.00",11.63,"244,342.06",7,0.02,0.02,0.17,0.17,0.14,12.83,12.35,16.25,9.67,11_19_2021
NMBHF1,48.21,11.63,11.65,11.63,11.65,11.63,"21,002.00",11.63,"244,342.06",7,0.02,0.02,0.17,0.17,0.14,12.83,12.35,16.25,9.67,11_20_2021
NMBHF1,43.51,11.65,11.66,11.65,11.65,11.65,"13,430.00",11.65,"156,509.50",7,0.00,0.01,0.00,0.09,-0.03,12.83,12.35,16.25,9.67,11_21_2021
NMBHF1,42.89,11.70,11.70,11.65,11.67,11.67,"16,139.00",11.65,"188,358.99",11,0.02,0.05,0.17,0.43,-0.01,12.82,12.36,16.25,9.67,11_22_2021
NMBHF1,42.79,11.62,11.75,11.62,11.63,11.63,"6,286.00",11.67,"73,114.02",7,-0.04,0.13,-0.34,1.12,-0.01,12.82,12.36,16.25,9.67,11_23_2021
NMBHF1,40.19,11.64,11.70,11.62,11.70,11.64,"48,140.00",11.63,"560,342.40",13,0.07,0.08,0.60,0.69,0.51,12.82,12.36,16.25,9.67,11_24_2021
NMBHF1,50.03,11.62,11.63,11.62,11.62,11.62,"3,992.00",11.70,"46,388.04",4,-0.08,0.01,-0.68,0.09,0.00,12.82,12.36,16.25,9.67,11_25_2021
NMBHF1,39.59,11.62,11.63,11.62,11.62,11.62,"3,992.00",11.70,"46,388.04",4,-0.08,0.01,-0.68,0.09,0.00,12.82,12.36,16.25,9.67,11_26_2021
NMBHF1,39.59,11.62,11.63,11.62,11.62,11.62,"3,992.00",11.70,"46,388.04",4,-0.08,0.01,-0.68,0.09,0.00,12.82,12.36,16.25,9.67,11_27_2021
NMBHF1,36.69,11.62,11.62,11.46,11.46,11.50,"48,174.00",11.62,"553,881.32",16,-0.16,0.16,-1.38,1.40,-0.33,12.81,12.36,16.25,9.67,11_28_2021
NMBHF1,41.53,11.24,11.50,11.24,11.42,11.45,"13,667.00",11.46,"156,487.08",5,-0.04,0.26,-0.35,2.31,-0.26,12.81,12.36,16.25,9.67,11_29_2021
NMBHF1,42.07,11.44,11.47,11.44,11.47,11.46,"4,072.00",11.42,"46,667.58",5,0.05,0.03,0.44,0.26,0.08,12.80,12.36,16.25,9.67,11_30_2021
NMBHF1,33.55,11.47,11.50,11.40,11.45,11.47,"60,262.00",11.47,"691,249.90",18,-0.02,0.10,-0.17,0.88,-0.18,12.79,12.36,16.25,9.67,12_01_2021
NMBHF1,48.50,11.66,11.66,11.10,11.23,11.32,"173,989.00",11.45,"1,969,233.78",25,-0.22,0.56,-1.92,5.05,-0.78,12.78,12.36,16.25,9.67,12_02_2021
NMBHF1,49.10,11.66,11.66,11.10,11.23,11.32,"173,989.00",11.45,"1,969,233.78",25,-0.22,0.56,-1.92,5.05,-0.78,12.78,12.36,16.25,9.67,12_03_2021
NMBHF1,49.10,11.66,11.66,11.10,11.23,11.32,"173,989.00",11.45,"1,969,233.78",25,-0.22,0.56,-1.92,5.05,-0.78,12.78,12.36,16.25,9.67,12_04_2021
NMBHF1,48.20,11.11,11.11,11.00,11.00,11.07,"79,700.00",11.23,"882,337.72",21,-0.23,0.11,-2.05,1.00,-0.64,12.77,12.36,16.25,9.67,12_05_2021
NMBHF1,42.55,11.01,11.09,11.00,11.09,11.01,"32,766.00",11.00,"360,904.40",9,0.09,0.09,0.82,0.82,0.68,12.75,12.36,16.25,9.67,12_06_2021
NMBHF1,39.55,11.09,11.23,11.09,11.14,11.13,"43,242.00",11.09,"481,306.06",12,0.05,0.14,0.45,1.26,0.09,12.73,12.36,16.25,9.67,12_07_2021
NMBHF1,42.83,11.14,11.14,11.10,11.11,11.12,"19,225.00",11.14,"213,689.75",5,-0.03,0.04,-0.27,0.36,-0.05,12.72,12.36,16.25,9.67,12_08_2021
NMBHF1,41.54,11.10,11.11,11.10,11.11,11.10,"30,409.00",11.11,"337,548.22",6,0.00,0.01,0.00,0.09,0.09,12.70,12.36,16.25,9.67,12_09_2021
NMBHF1,49.36,11.10,11.11,11.10,11.11,11.10,"30,409.00",11.11,"337,548.22",6,0.00,0.01,0.00,0.09,0.09,12.70,12.36,16.25,9.67,12_10_2021
NMBHF1,49.36,11.10,11.11,11.10,11.11,11.10,"30,409.00",11.11,"337,548.22",6,0.00,0.01,0.00,0.09,0.09,12.70,12.36,16.25,9.67,12_11_2021
