Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NMBMF,44.21,"1,401.40","1,448.00","1,401.40","1,425.20","1,434.56","10,020.00","1,430.00","14,374,301.50",91,-4.80,46.60,-0.34,3.33,-0.66,"1,446.35","1,353.03","1,661.00",770.00,09_01_2021
NMBMF,55.74,"1,459.00","1,459.00","1,425.10","1,428.60","1,432.91","3,077.00","1,449.00","4,409,066.50",51,-20.40,33.90,-1.41,2.38,-0.30,"1,436.43","1,405.09","1,661.00",830.00,11_03_2021
NMBMF,48.00,"1,459.00","1,459.00","1,425.10","1,428.60","1,432.91","3,077.00","1,449.00","4,409,066.50",51,-20.40,33.90,-1.41,2.38,-0.30,"1,436.43","1,405.09","1,661.00",830.00,11_05_2021
NMBMF,48.00,"1,459.00","1,459.00","1,425.10","1,428.60","1,432.91","3,077.00","1,449.00","4,409,066.50",51,-20.40,33.90,-1.41,2.38,-0.30,"1,436.43","1,405.09","1,661.00",830.00,11_06_2021
NMBMF,48.00,"1,459.00","1,459.00","1,425.10","1,428.60","1,432.91","3,077.00","1,449.00","4,409,066.50",51,-20.40,33.90,-1.41,2.38,-0.30,"1,436.43","1,405.09","1,661.00",830.00,11_07_2021
NMBMF,48.79,"1,414.00","1,423.00","1,400.00","1,400.00","1,410.13","3,634.00","1,428.60","5,124,423.10",56,-28.60,23.00,-2.00,1.64,-0.72,"1,435.48","1,406.12","1,661.00",830.00,11_08_2021
NMBMF,49.67,"1,390.00","1,402.00","1,350.00","1,364.00","1,366.41","5,671.00","1,400.00","7,748,925.50",114,-36.00,52.00,-2.57,3.85,-0.18,"1,434.42","1,406.28","1,661.00",835.00,11_09_2021
NMBMF,47.49,"1,390.00","1,402.00","1,350.00","1,364.00","1,366.41","5,671.00","1,400.00","7,748,925.50",114,-36.00,52.00,-2.57,3.85,-0.18,"1,434.42","1,406.28","1,661.00",835.00,11_10_2021
NMBMF,45.44,"1,382.00","1,382.00","1,337.00","1,351.00","1,354.01","1,775.00","1,364.00","2,403,365.60",51,-13.00,45.00,-0.95,3.37,-0.22,"1,433.10","1,406.56","1,661.00",853.00,11_11_2021
NMBMF,40.18,"1,382.00","1,382.00","1,337.00","1,351.00","1,354.01","1,775.00","1,364.00","2,403,365.60",51,-13.00,45.00,-0.95,3.37,-0.22,"1,433.10","1,406.56","1,661.00",853.00,11_12_2021
NMBMF,40.18,"1,382.00","1,382.00","1,337.00","1,351.00","1,354.01","1,775.00","1,364.00","2,403,365.60",51,-13.00,45.00,-0.95,3.37,-0.22,"1,433.10","1,406.56","1,661.00",853.00,11_13_2021
NMBMF,38.13,"1,350.00","1,370.00","1,350.00","1,365.00","1,356.66","3,751.00","1,351.00","5,088,825.80",28,14.00,20.00,1.04,1.48,0.61,"1,431.75","1,407.09","1,661.00",875.00,11_14_2021
NMBMF,42.23,"1,390.00","1,410.00","1,375.00","1,381.00","1,390.68","2,785.00","1,365.00","3,873,046.50",49,16.00,35.00,1.17,2.55,-0.70,"1,430.68","1,407.80","1,661.00",875.00,11_15_2021
NMBMF,41.65,"1,398.90","1,407.10","1,381.00","1,405.00","1,398.69","3,966.00","1,381.00","5,547,201.50",60,24.00,26.10,1.74,1.89,0.45,"1,429.81","1,408.80","1,661.00",875.00,11_16_2021
NMBMF,59.50,"1,405.00","1,415.00","1,385.00","1,390.00","1,393.94","4,189.00","1,405.00","5,839,199.40",64,-15.00,30.00,-1.07,2.17,-0.28,"1,428.65","1,409.75","1,661.00",875.00,11_17_2021
NMBMF,60.24,"1,417.80","1,417.80","1,377.00","1,377.00","1,384.28","2,096.00","1,390.00","2,901,460.20",37,-13.00,40.80,-0.94,2.96,-0.53,"1,427.35","1,409.94","1,661.00",875.00,11_18_2021
NMBMF,47.16,"1,417.80","1,417.80","1,377.00","1,377.00","1,384.28","2,096.00","1,390.00","2,901,460.20",37,-13.00,40.80,-0.94,2.96,-0.53,"1,427.35","1,409.94","1,661.00",875.00,11_19_2021
NMBMF,47.16,"1,417.80","1,417.80","1,377.00","1,377.00","1,384.28","2,096.00","1,390.00","2,901,460.20",37,-13.00,40.80,-0.94,2.96,-0.53,"1,427.35","1,409.94","1,661.00",875.00,11_20_2021
NMBMF,42.46,"1,376.00","1,390.60","1,363.40","1,390.00","1,368.19","1,346.00","1,377.00","1,841,582.00",24,13.00,27.20,0.94,2.00,1.57,"1,425.82","1,410.44","1,661.00",879.00,11_21_2021
NMBMF,41.21,"1,385.00","1,394.50","1,376.00","1,376.00","1,379.73","1,836.00","1,390.00","2,533,181.00",32,-14.00,18.50,-1.01,1.34,-0.27,"1,424.08","1,410.95","1,661.00",879.00,11_22_2021
NMBMF,37.96,"1,368.20","1,371.00","1,350.00","1,355.00","1,359.37","3,881.00","1,376.00","5,275,708.60",44,-21.00,21.00,-1.53,1.56,-0.32,"1,422.30","1,411.44","1,661.00",879.00,11_23_2021
NMBMF,42.52,"1,346.00","1,360.00","1,330.00","1,351.00","1,346.18","4,711.00","1,355.00","6,341,876.00",36,-4.00,30.00,-0.30,2.26,0.36,"1,420.60","1,412.01","1,661.00",882.00,11_24_2021
NMBMF,44.28,"1,351.00","1,369.00","1,333.20","1,333.20","1,341.96","3,039.00","1,351.00","4,078,221.40",41,-17.80,35.80,-1.32,2.69,-0.66,"1,418.59","1,412.55","1,661.00",930.00,11_25_2021
NMBMF,42.07,"1,351.00","1,369.00","1,333.20","1,333.20","1,341.96","3,039.00","1,351.00","4,078,221.40",41,-17.80,35.80,-1.32,2.69,-0.66,"1,418.59","1,412.55","1,661.00",930.00,11_26_2021
NMBMF,42.07,"1,351.00","1,369.00","1,333.20","1,333.20","1,341.96","3,039.00","1,351.00","4,078,221.40",41,-17.80,35.80,-1.32,2.69,-0.66,"1,418.59","1,412.55","1,661.00",930.00,11_27_2021
NMBMF,39.17,"1,310.00","1,321.00","1,300.00","1,319.00","1,309.43","2,460.00","1,333.20","3,221,206.50",52,-14.20,21.00,-1.07,1.62,0.73,"1,416.50","1,413.12","1,661.00",968.00,11_28_2021
NMBMF,37.70,"1,319.50","1,320.00","1,300.00","1,302.00","1,305.13","2,026.00","1,319.00","2,644,202.00",25,-17.00,20.00,-1.29,1.54,-0.24,"1,414.90","1,413.46","1,661.00",968.00,11_29_2021
NMBMF,39.88,"1,302.00","1,325.00","1,277.00","1,282.00","1,286.48","4,837.00","1,302.00","6,222,722.00",36,-20.00,48.00,-1.54,3.76,-0.35,"1,413.50","1,413.79","1,661.00",968.00,11_30_2021
NMBMF,46.38,"1,300.00","1,300.00","1,279.00","1,279.00","1,289.54","1,156.00","1,282.00","1,490,708.00",25,-3.00,21.00,-0.23,1.64,-0.82,"1,412.16","1,414.39","1,661.00",968.00,12_01_2021
NMBMF,42.12,"1,275.00","1,279.00","1,250.00","1,255.00","1,259.19","6,833.00","1,279.00","8,604,021.60",69,-24.00,29.00,-1.88,2.32,-0.33,"1,410.71","1,414.55","1,661.00",968.00,12_02_2021
NMBMF,47.58,"1,275.00","1,279.00","1,250.00","1,255.00","1,259.19","6,833.00","1,279.00","8,604,021.60",69,-24.00,29.00,-1.88,2.32,-0.33,"1,410.71","1,414.55","1,661.00",968.00,12_03_2021
NMBMF,47.58,"1,275.00","1,279.00","1,250.00","1,255.00","1,259.19","6,833.00","1,279.00","8,604,021.60",69,-24.00,29.00,-1.88,2.32,-0.33,"1,410.71","1,414.55","1,661.00",968.00,12_04_2021
NMBMF,46.68,"1,240.00","1,270.00","1,200.00","1,200.00","1,213.44","9,986.00","1,255.00","12,117,423.60",95,-55.00,70.00,-4.38,5.83,-1.12,"1,408.41","1,414.62","1,661.00",968.00,12_05_2021
NMBMF,45.50,"1,178.00","1,224.00","1,177.00","1,205.00","1,189.22","4,886.00","1,200.00","5,810,528.60",68,5.00,47.00,0.42,3.99,1.31,"1,405.96","1,414.73","1,661.00",968.00,12_06_2021
NMBMF,45.11,"1,229.10","1,244.40","1,201.10","1,201.50","1,216.14","3,263.00","1,205.00","3,968,270.70",52,-3.50,43.30,-0.29,3.61,-1.22,"1,403.71","1,414.51","1,661.00",968.00,12_07_2021
NMBMF,42.00,"1,215.00","1,215.00","1,176.00","1,180.00","1,187.54","1,948.00","1,201.50","2,313,318.50",47,-21.50,39.00,-1.79,3.32,-0.64,"1,401.42","1,414.24","1,661.00",968.00,12_08_2021
NMBMF,39.20,"1,180.00","1,198.90","1,158.00","1,194.80","1,171.62",941.00,"1,180.00","1,102,492.00",35,14.80,40.90,1.25,3.53,1.94,"1,399.38","1,414.10","1,661.00",968.00,12_09_2021
NMBMF,42.94,"1,180.00","1,198.90","1,158.00","1,194.80","1,171.62",941.00,"1,180.00","1,102,492.00",35,14.80,40.90,1.25,3.53,1.94,"1,399.38","1,414.10","1,661.00",968.00,12_10_2021
NMBMF,42.94,"1,180.00","1,198.90","1,158.00","1,194.80","1,171.62",941.00,"1,180.00","1,102,492.00",35,14.80,40.90,1.25,3.53,1.94,"1,399.38","1,414.10","1,661.00",968.00,12_11_2021
NMBMF,42.29,"1,177.00","1,199.50","1,124.10","1,124.10","1,145.89","4,457.00","1,194.80","5,107,221.20",80,-70.70,75.40,-5.92,6.71,-1.94,"1,396.71","1,413.58","1,661.00",968.00,12_12_2021
