Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NMBPO,48.44,245.00,245.00,245.00,245.00,245.00,"10,294.00",245.00,"2,522,030.00",1,0.00,0.00,0.00,0.00,0.00,-,-,250.00,245.00,11_15_2021
NMBPO,38.52,245.00,245.00,245.00,245.00,245.00,"77,982.00",245.00,"19,105,590.00",1,0.00,0.00,0.00,0.00,0.00,-,-,250.00,245.00,11_21_2021
NMBPO,32.44,160.00,160.00,160.00,160.00,160.00,"168,405.00",157.00,"26,944,800.00",1,3.00,0.00,1.91,0.00,0.00,-,-,245.00,160.00,05_08_2022
NMBPO,33.76,160.00,160.00,160.00,160.00,160.00,"5,000.00",160.00,"800,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,245.00,160.00,05_24_2022
NMBPO,21.59,134.00,134.00,134.00,134.00,134.00,"2,000.00",134.00,"268,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,245.00,134.00,09_13_2022
NMBPO,39.76,134.00,134.00,134.00,134.00,134.00,"35,000.00",134.00,"4,690,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,134.00,01_19_2023
NMBPO,42.75,134.00,134.00,134.00,134.00,134.00,"35,000.00",134.00,"4,690,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,134.00,01_20_2023
NMBPO,42.75,134.00,134.00,134.00,134.00,134.00,"35,000.00",134.00,"4,690,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,134.00,01_21_2023
NMBPO,42.75,134.00,134.00,134.00,134.00,134.00,"35,000.00",134.00,"4,690,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,134.00,01_22_2023
NMBPO,41.48,134.00,134.00,134.00,134.00,180.00,"9,761.00",134.00,"1,756,980.00",1,0.00,0.00,0.00,0.00,-34.33,0.00,0.00,160.00,134.00,01_29_2023
NMBPO,32.09,131.40,131.40,131.40,131.40,131.40,"63,500.00",134.00,"8,343,900.00",1,-2.60,0.00,-1.94,0.00,0.00,0.00,0.00,160.00,131.40,03_20_2023
NMBPO,35.56,131.40,131.40,131.40,131.40,131.40,"63,500.00",134.00,"8,343,900.00",1,-2.60,0.00,-1.94,0.00,0.00,0.00,0.00,160.00,131.40,03_21_2023
NMBPO,42.80,131.40,131.40,131.40,131.40,180.00,"15,401.00",131.40,"2,772,180.00",1,0.00,0.00,0.00,0.00,-36.99,0.00,0.00,160.00,131.40,04_20_2023
NMBPO,39.09,131.40,131.40,131.40,131.40,180.00,"15,401.00",131.40,"2,772,180.00",1,0.00,0.00,0.00,0.00,-36.99,0.00,0.00,160.00,131.40,04_21_2023
NMBPO,39.09,131.40,131.40,131.40,131.40,180.00,"15,401.00",131.40,"2,772,180.00",1,0.00,0.00,0.00,0.00,-36.99,0.00,0.00,160.00,131.40,04_22_2023
NMBPO,39.09,131.40,131.40,131.40,131.40,131.40,"52,305.00",131.40,"6,872,877.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,131.40,04_23_2023
NMBPO,41.96,131.40,131.40,131.40,131.40,180.00,"52,305.00",131.40,"9,414,900.00",1,0.00,0.00,0.00,0.00,-36.99,0.00,0.00,160.00,131.40,04_25_2023
NMBPO,40.08,131.40,131.40,131.40,131.40,131.40,"63,462.00",131.40,"8,338,906.80",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,131.40,05_04_2023
NMBPO,44.19,131.40,131.40,131.40,131.40,131.40,"63,462.00",131.40,"8,338,906.80",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,131.40,05_05_2023
NMBPO,44.19,131.40,131.40,131.40,131.40,131.40,"63,462.00",131.40,"8,338,906.80",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,131.40,05_06_2023
NMBPO,-,131.40,131.40,131.40,131.40,131.40,"3,962.00",131.40,"520,606.80",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.00,131.40,06_15_2023
NMBPO,47.78,131.40,131.40,131.40,131.40,131.40,"3,962.00",131.40,"520,606.80",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.00,131.40,06_16_2023
NMBPO,47.78,131.40,131.40,131.40,131.40,131.40,"3,962.00",131.40,"520,606.80",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.00,131.40,06_17_2023
