Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NMFBSP,52.63,"1,537.00","1,537.00","1,537.00","1,537.00","1,031.00","2,000.00","1,537.00","2,062,000.00",1,0.00,0.00,0.00,0.00,32.92,-,-,"1,537.00",100.00,01_03_2022
NMFBSP,52.60,"1,537.00","1,537.00","1,537.00","1,537.00","1,042.57","39,550.00","1,537.00","41,233,796.00",17,0.00,0.00,0.00,0.00,32.17,-,-,"1,537.00",100.00,01_04_2022
NMFBSP,56.80,"1,537.00","1,537.00","1,537.00","1,537.00","1,037.68","3,850.00","1,537.00","3,995,075.00",13,0.00,0.00,0.00,0.00,32.49,-,-,"1,537.00",100.00,01_05_2022
NMFBSP,39.62,"1,537.00","1,537.00","1,537.00","1,537.00","1,022.00","36,500.00","1,537.00","37,303,000.00",1,0.00,0.00,0.00,0.00,33.51,-,-,"1,537.00",100.00,01_10_2022
NMFBSP,53.85,"1,537.00","1,537.00","1,537.00","1,537.00","1,537.00","3,000.00","1,537.00","4,611,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,537.00",100.00,01_20_2022
NMFBSP,47.62,"1,537.00","1,537.00","1,537.00","1,537.00","1,537.00","3,000.00","1,537.00","4,611,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,537.00",100.00,01_21_2022
NMFBSP,47.62,"1,537.00","1,537.00","1,537.00","1,537.00","1,537.00","3,000.00","1,537.00","4,611,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,537.00",100.00,01_22_2022
NMFBSP,26.84,"1,152.00","1,152.00","1,152.00","1,152.00","1,152.00","6,335.00","1,152.00","7,297,920.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,537.00","1,152.00",07_24_2022
NMFBSP,21.09,"1,152.00","1,152.00","1,152.00","1,152.00","1,152.00","2,534.00","1,152.00","2,919,168.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,537.00","1,152.00",09_05_2022
NMFBSP,18.06,"1,152.00","1,152.00","1,152.00","1,152.00",768.57,"61,930.00","1,152.00","47,597,845.00",13,0.00,0.00,0.00,0.00,33.28,-,-,"1,537.00","1,152.00",09_28_2022
NMFBSP,41.74,"1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","2,027.00","1,115.00","2,260,105.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,537.00","1,115.00",01_05_2023
NMFBSP,34.64,"1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","2,027.00","1,115.00","2,260,105.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,537.00","1,115.00",01_06_2023
NMFBSP,34.64,"1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","2,027.00","1,115.00","2,260,105.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,537.00","1,115.00",01_07_2023
NMFBSP,33.53,"1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","2,534.00","1,115.00","2,825,410.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,152.00","1,115.00",01_25_2023
