Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NRN,46.39,867.00,887.00,833.00,850.00,861.90,"38,619.00",850.00,"33,285,785.90",506,0.00,54.00,0.00,6.48,-1.40,655.96,562.56,990.00,319.00,09_01_2021
NRN,58.97,717.00,769.00,703.00,753.00,748.89,"65,781.00",703.00,"49,262,475.00",522,50.00,66.00,7.11,9.39,0.55,720.38,634.94,990.00,340.00,11_03_2021
NRN,65.97,717.00,769.00,703.00,753.00,748.89,"65,781.00",703.00,"49,262,475.00",522,50.00,66.00,7.11,9.39,0.55,720.38,634.94,990.00,340.00,11_05_2021
NRN,65.97,717.00,769.00,703.00,753.00,748.89,"65,781.00",703.00,"49,262,475.00",522,50.00,66.00,7.11,9.39,0.55,720.38,634.94,990.00,340.00,11_06_2021
NRN,65.97,717.00,769.00,703.00,753.00,748.89,"65,781.00",703.00,"49,262,475.00",522,50.00,66.00,7.11,9.39,0.55,720.38,634.94,990.00,340.00,11_07_2021
NRN,66.75,767.00,779.20,746.10,757.00,759.12,"26,097.00",753.00,"19,810,729.00",295,4.00,33.10,0.53,4.44,-0.28,721.37,637.09,990.00,340.00,11_08_2021
NRN,58.81,759.00,759.00,700.00,715.00,724.04,"43,023.00",757.00,"31,150,245.80",398,-42.00,59.00,-5.55,8.43,-1.26,722.16,638.93,990.00,342.00,11_09_2021
NRN,58.30,759.00,759.00,700.00,715.00,724.04,"43,023.00",757.00,"31,150,245.80",398,-42.00,59.00,-5.55,8.43,-1.26,722.16,638.93,990.00,342.00,11_10_2021
NRN,56.25,705.00,714.00,687.00,700.00,694.93,"27,991.00",715.00,"19,451,891.80",258,-15.00,27.00,-2.10,3.93,0.72,722.77,640.63,990.00,342.00,11_11_2021
NRN,49.82,705.00,714.00,687.00,700.00,694.93,"27,991.00",715.00,"19,451,891.80",258,-15.00,27.00,-2.10,3.93,0.72,722.77,640.63,990.00,342.00,11_12_2021
NRN,49.82,705.00,714.00,687.00,700.00,694.93,"27,991.00",715.00,"19,451,891.80",258,-15.00,27.00,-2.10,3.93,0.72,722.77,640.63,990.00,342.00,11_13_2021
NRN,47.77,690.00,717.00,676.00,700.00,697.28,"18,892.00",700.00,"13,172,921.10",223,0.00,41.00,0.00,6.07,0.39,722.94,642.38,990.00,342.00,11_14_2021
NRN,43.77,714.00,724.00,691.00,715.00,711.11,"34,352.00",700.00,"24,428,048.30",307,15.00,33.00,2.14,4.78,0.54,722.68,644.23,990.00,342.00,11_15_2021
NRN,46.20,715.10,733.00,706.00,728.50,724.11,"18,989.00",715.00,"13,750,180.50",237,13.50,27.00,1.89,3.82,0.60,722.17,646.10,990.00,342.00,11_16_2021
NRN,48.15,738.00,740.00,705.00,706.00,721.34,"28,920.00",728.50,"20,861,256.60",267,-22.50,35.00,-3.09,4.96,-2.17,721.70,647.79,990.00,342.00,11_17_2021
NRN,49.59,720.00,720.00,683.50,693.90,695.67,"30,169.00",706.00,"20,987,735.60",295,-12.10,36.50,-1.71,5.34,-0.26,720.81,649.37,990.00,342.00,11_18_2021
NRN,48.17,720.00,720.00,683.50,693.90,695.67,"30,169.00",706.00,"20,987,735.60",295,-12.10,36.50,-1.71,5.34,-0.26,720.81,649.37,990.00,342.00,11_19_2021
NRN,48.17,720.00,720.00,683.50,693.90,695.67,"30,169.00",706.00,"20,987,735.60",295,-12.10,36.50,-1.71,5.34,-0.26,720.81,649.37,990.00,342.00,11_20_2021
NRN,43.47,685.00,706.00,671.30,671.30,681.39,"17,186.00",693.90,"11,710,450.10",234,-22.60,34.70,-3.26,5.17,-1.50,719.77,650.85,990.00,342.00,11_21_2021
NRN,38.92,684.00,698.00,676.20,688.00,690.74,"11,529.00",671.30,"7,963,592.00",185,16.70,21.80,2.49,3.22,-0.40,719.15,652.43,990.00,342.00,11_22_2021
NRN,38.25,700.00,715.00,660.00,666.00,672.43,"19,545.00",688.00,"13,142,581.80",260,-22.00,55.00,-3.20,8.33,-0.96,718.36,653.90,990.00,342.00,11_23_2021
NRN,40.55,655.00,682.00,652.70,660.10,668.55,"24,992.00",666.00,"16,708,367.00",211,-5.90,29.30,-0.89,4.49,-1.28,717.46,655.34,990.00,342.00,11_24_2021
NRN,43.43,673.30,673.30,653.00,654.00,662.03,"17,243.00",660.10,"11,415,425.50",188,-6.10,20.30,-0.92,3.11,-1.23,716.50,656.79,990.00,342.00,11_25_2021
NRN,41.65,673.30,673.30,653.00,654.00,662.03,"17,243.00",660.10,"11,415,425.50",188,-6.10,20.30,-0.92,3.11,-1.23,716.50,656.79,990.00,342.00,11_26_2021
NRN,41.65,673.30,673.30,653.00,654.00,662.03,"17,243.00",660.10,"11,415,425.50",188,-6.10,20.30,-0.92,3.11,-1.23,716.50,656.79,990.00,342.00,11_27_2021
NRN,38.75,648.00,654.00,620.00,620.00,633.69,"21,113.00",654.00,"13,378,995.60",240,-34.00,34.00,-5.20,5.48,-2.21,715.38,658.06,990.00,342.00,11_28_2021
NRN,39.59,630.00,645.00,605.00,614.90,623.02,"21,925.00",620.00,"13,659,720.00",192,-5.10,40.00,-0.82,6.61,-1.32,714.27,659.28,990.00,342.00,11_29_2021
NRN,39.43,620.00,625.00,608.00,614.00,615.15,"12,468.00",614.90,"7,669,685.30",138,-0.90,17.00,-0.15,2.80,-0.19,713.19,660.54,990.00,342.00,11_30_2021
NRN,36.55,626.20,633.90,617.10,630.70,627.60,"14,799.00",614.00,"9,287,880.20",163,16.70,16.80,2.72,2.72,0.49,712.47,661.95,990.00,342.00,12_01_2021
NRN,44.48,635.00,635.00,610.00,612.00,614.84,"12,222.00",630.70,"7,514,597.00",132,-18.70,25.00,-2.96,4.10,-0.46,711.67,663.21,990.00,342.00,12_02_2021
NRN,45.88,635.00,635.00,610.00,612.00,614.84,"12,222.00",630.70,"7,514,597.00",132,-18.70,25.00,-2.96,4.10,-0.46,711.67,663.21,990.00,342.00,12_03_2021
NRN,45.88,635.00,635.00,610.00,612.00,614.84,"12,222.00",630.70,"7,514,597.00",132,-18.70,25.00,-2.96,4.10,-0.46,711.67,663.21,990.00,342.00,12_04_2021
NRN,44.98,600.00,613.00,592.00,592.00,599.24,"14,212.00",612.00,"8,516,331.40",167,-20.00,21.00,-3.27,3.55,-1.22,710.58,664.40,990.00,342.00,12_05_2021
NRN,41.94,583.00,610.00,571.00,610.00,591.17,"21,562.00",592.00,"12,746,889.20",225,18.00,39.00,3.04,6.83,3.09,709.63,665.71,990.00,342.00,12_06_2021
NRN,49.19,622.20,622.20,578.00,586.00,600.14,"11,583.00",610.00,"6,951,409.40",142,-24.00,44.20,-3.93,7.65,-2.41,708.59,666.81,990.00,342.00,12_07_2021
NRN,40.82,580.00,600.00,560.00,560.00,573.32,"10,773.00",586.00,"6,176,346.20",149,-26.00,40.00,-4.44,7.14,-2.38,707.43,667.74,990.00,342.00,12_08_2021
NRN,37.86,571.00,571.00,549.00,563.00,557.41,"15,058.00",560.00,"8,393,488.00",151,3.00,22.00,0.54,4.01,0.99,706.09,668.61,990.00,342.00,12_09_2021
NRN,41.23,571.00,571.00,549.00,563.00,557.41,"15,058.00",560.00,"8,393,488.00",151,3.00,22.00,0.54,4.01,0.99,706.09,668.61,990.00,342.00,12_10_2021
NRN,41.23,571.00,571.00,549.00,563.00,557.41,"15,058.00",560.00,"8,393,488.00",151,3.00,22.00,0.54,4.01,0.99,706.09,668.61,990.00,342.00,12_11_2021
NRN,40.58,556.00,563.00,522.50,522.50,536.39,"12,748.00",563.00,"6,837,939.00",217,-40.50,40.50,-7.19,7.75,-2.66,704.59,669.05,990.00,342.00,12_12_2021
NRN,32.50,513.00,522.50,502.00,513.00,511.24,"21,662.00",522.50,"11,074,464.60",185,-9.50,20.50,-1.82,4.08,0.34,702.87,669.55,990.00,342.00,12_13_2021
NRN,39.43,523.00,564.30,513.00,564.30,541.20,"8,630.00",513.00,"4,670,560.40",100,51.30,51.30,10.00,10.00,4.09,701.22,670.39,990.00,342.00,12_14_2021
NRN,44.79,575.50,596.00,544.00,560.00,572.11,"23,030.00",564.30,"13,175,660.50",233,-4.30,52.00,-0.76,9.56,-2.16,699.72,671.23,990.00,342.00,12_15_2021
NRN,46.24,571.20,571.20,525.00,532.00,537.17,"21,530.00",560.00,"11,565,295.50",185,-28.00,46.20,-5.00,8.80,-0.97,698.15,671.81,990.00,342.00,12_16_2021
NRN,48.20,571.20,571.20,525.00,532.00,537.17,"21,530.00",560.00,"11,565,295.50",185,-28.00,46.20,-5.00,8.80,-0.97,698.15,671.81,990.00,342.00,12_17_2021
NRN,48.20,571.20,571.20,525.00,532.00,537.17,"21,530.00",560.00,"11,565,295.50",185,-28.00,46.20,-5.00,8.80,-0.97,698.15,671.81,990.00,342.00,12_18_2021
NRN,48.20,571.20,571.20,525.00,532.00,537.17,"21,530.00",560.00,"11,565,295.50",185,-28.00,46.20,-5.00,8.80,-0.97,698.15,671.81,990.00,342.00,12_19_2021
NRN,45.51,522.00,525.30,505.00,513.50,512.48,"18,498.00",532.00,"9,479,800.40",195,-18.50,20.30,-3.48,4.02,0.20,696.62,672.35,990.00,342.00,12_20_2021
NRN,43.86,518.00,535.00,504.00,527.60,521.43,"7,549.00",513.50,"3,936,277.00",142,14.10,31.00,2.75,6.15,1.17,695.21,672.90,990.00,342.00,12_21_2021
NRN,39.58,538.00,569.00,528.00,546.00,551.07,"16,364.00",527.60,"9,017,757.40",170,18.40,41.00,3.49,7.77,-0.93,694.07,673.52,990.00,342.00,12_22_2021
NRN,44.90,540.00,561.00,537.00,543.00,550.32,"14,552.00",546.00,"8,008,210.40",163,-3.00,24.00,-0.55,4.47,-1.35,693.31,674.17,990.00,342.00,12_23_2021
NRN,50.56,540.00,561.00,537.00,543.00,550.32,"14,552.00",546.00,"8,008,210.40",163,-3.00,24.00,-0.55,4.47,-1.35,693.31,674.17,990.00,342.00,12_24_2021
NRN,50.56,540.00,561.00,537.00,543.00,550.32,"14,552.00",546.00,"8,008,210.40",163,-3.00,24.00,-0.55,4.47,-1.35,693.31,674.17,990.00,342.00,12_25_2021
NRN,48.93,532.30,570.00,532.30,555.00,552.86,"20,413.00",543.00,"11,285,554.30",210,12.00,37.70,2.21,7.08,0.39,692.27,674.68,990.00,342.00,12_26_2021
