Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NSIF2,0.00,10.00,10.00,9.90,10.00,9.99,"1,100.00",0.00,"10,990.00",7,10.00,0.10,0.00,1.01,0.09,0.00,0.00,10.00,9.90,04_03_2023
NSIF2,27.39,9.66,9.66,9.66,9.66,9.66,100.00,9.85,966.00,1,-0.19,0.00,-1.93,0.00,0.00,0.00,0.00,10.00,9.66,04_19_2023
NSIF2,31.33,9.47,9.47,8.69,8.69,8.75,"4,400.00",9.66,"38,493.50",21,-0.97,0.78,-10.04,8.98,-0.67,0.00,0.00,10.00,8.69,04_20_2023
NSIF2,29.88,9.47,9.47,8.69,8.69,8.75,"4,400.00",9.66,"38,493.50",21,-0.97,0.78,-10.04,8.98,-0.67,0.00,0.00,10.00,8.69,04_21_2023
NSIF2,29.88,9.47,9.47,8.69,8.69,8.75,"4,400.00",9.66,"38,493.50",21,-0.97,0.78,-10.04,8.98,-0.67,0.00,0.00,10.00,8.69,04_22_2023
NSIF2,29.88,8.52,8.52,7.87,8.06,8.02,"8,190.00",8.69,"65,700.80",55,-0.63,0.65,-7.25,8.26,0.47,0.00,0.00,10.00,7.87,04_23_2023
NSIF2,27.84,7.90,7.90,7.31,7.66,7.54,"2,950.00",8.06,"22,254.25",19,-0.40,0.59,-4.96,8.07,1.52,0.00,0.00,10.00,7.31,04_24_2023
NSIF2,24.14,7.70,7.95,7.70,7.84,7.84,"2,800.00",7.66,"21,952.00",15,0.18,0.25,2.35,3.25,0.00,0.00,0.00,10.00,7.31,04_25_2023
NSIF2,25.71,7.69,7.85,7.69,7.79,7.78,"5,950.00",7.84,"46,264.75",19,-0.05,0.16,-0.64,2.08,0.19,0.00,0.00,10.00,7.31,04_26_2023
NSIF2,34.01,7.64,7.86,7.64,7.80,7.71,"4,325.00",7.79,"33,355.75",13,0.01,0.22,0.13,2.88,1.12,0.00,0.00,10.00,7.31,04_27_2023
NSIF2,35.16,7.64,7.86,7.64,7.80,7.71,"4,325.00",7.79,"33,355.75",13,0.01,0.22,0.13,2.88,1.12,0.00,0.00,10.00,7.31,04_28_2023
NSIF2,35.16,7.64,7.86,7.64,7.80,7.71,"4,325.00",7.79,"33,355.75",13,0.01,0.22,0.13,2.88,1.12,0.00,0.00,10.00,7.31,04_29_2023
NSIF2,35.16,7.95,8.10,7.80,8.06,8.01,"5,100.00",7.80,"40,836.00",13,0.26,0.30,3.33,3.85,0.66,0.00,0.00,10.00,7.31,04_30_2023
NSIF2,45.45,7.95,8.10,7.80,8.06,8.01,"5,100.00",7.80,"40,836.00",13,0.26,0.30,3.33,3.85,0.66,0.00,0.00,10.00,7.31,05_01_2023
NSIF2,46.44,8.06,8.23,8.06,8.08,8.10,"3,400.00",8.06,"27,528.00",26,0.02,0.17,0.25,2.11,-0.20,0.00,0.00,10.00,7.31,05_02_2023
NSIF2,44.28,7.99,8.01,7.94,8.01,7.99,"6,800.00",8.08,"54,309.00",10,-0.07,0.07,-0.87,0.88,0.29,0.00,0.00,10.00,7.31,05_03_2023
NSIF2,45.12,7.86,8.48,7.85,8.32,8.20,"10,650.00",8.01,"87,298.00",18,0.31,0.63,3.87,8.03,1.48,0.00,0.00,10.00,7.31,05_04_2023
NSIF2,49.73,7.86,8.48,7.85,8.32,8.20,"10,650.00",8.01,"87,298.00",18,0.31,0.63,3.87,8.03,1.48,0.00,0.00,10.00,7.31,05_05_2023
NSIF2,49.73,7.86,8.48,7.85,8.32,8.20,"10,650.00",8.01,"87,298.00",18,0.31,0.63,3.87,8.03,1.48,0.00,0.00,10.00,7.31,05_06_2023
NSIF2,49.73,8.32,8.32,8.16,8.16,8.24,"2,175.00",8.32,"17,916.50",9,-0.16,0.16,-1.92,1.96,-0.95,0.00,0.00,10.00,7.31,05_07_2023
