Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NSLB,45.44,"1,740.00","1,809.00","1,683.00","1,800.00","1,741.01","3,254.00","1,740.00","5,665,247.50",47,60.00,126.00,3.45,7.49,3.28,"1,695.13","1,560.35","1,987.90",865.00,09_01_2021
NSLB,54.71,"1,544.00","1,544.00","1,469.50","1,500.00","1,484.49","2,962.00","1,516.00","4,397,057.20",42,-16.00,74.50,-1.06,5.07,1.03,"1,659.11","1,638.92","1,987.90",865.00,11_03_2021
NSLB,51.42,"1,544.00","1,544.00","1,469.50","1,500.00","1,484.49","2,962.00","1,516.00","4,397,057.20",42,-16.00,74.50,-1.06,5.07,1.03,"1,659.11","1,638.92","1,987.90",865.00,11_05_2021
NSLB,51.42,"1,544.00","1,544.00","1,469.50","1,500.00","1,484.49","2,962.00","1,516.00","4,397,057.20",42,-16.00,74.50,-1.06,5.07,1.03,"1,659.11","1,638.92","1,987.90",865.00,11_06_2021
NSLB,51.42,"1,544.00","1,544.00","1,469.50","1,500.00","1,484.49","2,962.00","1,516.00","4,397,057.20",42,-16.00,74.50,-1.06,5.07,1.03,"1,659.11","1,638.92","1,987.90",865.00,11_07_2021
NSLB,52.21,"1,526.90","1,526.90","1,473.00","1,489.90","1,479.78","1,450.00","1,500.00","2,145,680.00",17,-10.10,53.90,-0.67,3.66,0.68,"1,657.78","1,638.20","1,987.90",865.00,11_08_2021
NSLB,48.66,"1,475.00","1,475.00","1,440.00","1,440.00","1,458.99","1,265.00","1,489.90","1,845,618.00",21,-49.90,35.00,-3.35,2.43,-1.32,"1,656.21","1,636.30","1,987.90",865.00,11_09_2021
NSLB,42.60,"1,475.00","1,475.00","1,440.00","1,440.00","1,458.99","1,265.00","1,489.90","1,845,618.00",21,-49.90,35.00,-3.35,2.43,-1.32,"1,656.21","1,636.30","1,987.90",865.00,11_10_2021
NSLB,40.55,"1,425.00","1,425.00","1,391.00","1,406.00","1,409.16","2,063.00","1,440.00","2,907,092.00",24,-34.00,34.00,-2.36,2.44,-0.22,"1,654.18","1,634.44","1,987.90",865.00,11_11_2021
NSLB,42.25,"1,425.00","1,425.00","1,391.00","1,406.00","1,409.16","2,063.00","1,440.00","2,907,092.00",24,-34.00,34.00,-2.36,2.44,-0.22,"1,654.18","1,634.44","1,987.90",865.00,11_12_2021
NSLB,42.25,"1,425.00","1,425.00","1,391.00","1,406.00","1,409.16","2,063.00","1,440.00","2,907,092.00",24,-34.00,34.00,-2.36,2.44,-0.22,"1,654.18","1,634.44","1,987.90",865.00,11_13_2021
NSLB,40.20,"1,380.00","1,410.00","1,358.00","1,360.10","1,367.35","2,611.00","1,406.00","3,570,149.00",42,-45.90,52.00,-3.26,3.83,-0.53,"1,651.56","1,632.44","1,987.90",865.00,11_14_2021
NSLB,42.82,"1,386.90","1,386.90","1,350.00","1,373.00","1,359.52","1,764.00","1,360.10","2,398,185.10",30,12.90,36.90,0.95,2.73,0.98,"1,649.00","1,630.62","1,987.90",865.00,11_15_2021
NSLB,41.66,"1,370.00","1,428.40","1,370.00","1,373.00","1,388.31","1,530.00","1,373.00","2,124,112.00",17,0.00,58.40,0.00,4.26,-1.11,"1,646.46","1,629.33","1,987.90",865.00,11_16_2021
NSLB,40.31,"1,398.90","1,455.00","1,391.00","1,391.00","1,408.52","1,537.00","1,373.00","2,164,889.00",30,18.00,64.00,1.31,4.60,-1.26,"1,643.74","1,628.48","1,987.90",865.00,11_17_2021
NSLB,50.26,"1,380.00","1,400.00","1,369.00","1,390.00","1,383.42","2,030.00","1,391.00","2,808,346.00",24,-1.00,31.00,-0.07,2.26,0.47,"1,640.75","1,626.76","1,987.90",865.00,11_18_2021
NSLB,59.16,"1,380.00","1,400.00","1,369.00","1,390.00","1,383.42","2,030.00","1,391.00","2,808,346.00",24,-1.00,31.00,-0.07,2.26,0.47,"1,640.75","1,626.76","1,987.90",865.00,11_19_2021
NSLB,59.16,"1,380.00","1,400.00","1,369.00","1,390.00","1,383.42","2,030.00","1,391.00","2,808,346.00",24,-1.00,31.00,-0.07,2.26,0.47,"1,640.75","1,626.76","1,987.90",865.00,11_20_2021
NSLB,54.46,"1,400.00","1,410.00","1,371.40","1,373.60","1,386.16",776.00,"1,390.00","1,075,660.20",17,-16.40,38.60,-1.18,2.81,-0.91,"1,637.24","1,624.75","1,987.90",865.00,11_21_2021
NSLB,40.39,"1,376.00","1,376.00","1,353.00","1,361.00","1,361.28",575.00,"1,373.60","782,738.00",12,-12.60,23.00,-0.92,1.70,-0.02,"1,633.94","1,622.95","1,987.90",865.00,11_22_2021
NSLB,42.78,"1,361.00","1,387.80","1,351.00","1,353.00","1,365.86","1,184.00","1,361.00","1,617,181.50",25,-8.00,36.80,-0.59,2.72,-0.95,"1,630.70","1,621.06","1,987.90",865.00,11_23_2021
