Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NTC,52.43,"1,152.00","1,164.00","1,105.00","1,135.00","1,128.69","53,036.00","1,130.00","59,861,442.00",743,5.00,59.00,0.44,5.34,0.56,"1,289.68","1,288.54","1,500.00",669.00,09_01_2021
NTC,54.18,"1,224.00","1,225.00","1,182.00","1,199.00","1,204.28","20,534.00","1,200.00","24,728,699.20",203,-1.00,43.00,-0.08,3.64,-0.44,"1,227.96","1,253.10","1,500.00",726.00,11_03_2021
NTC,49.77,"1,224.00","1,225.00","1,182.00","1,199.00","1,204.28","20,534.00","1,200.00","24,728,699.20",203,-1.00,43.00,-0.08,3.64,-0.44,"1,227.96","1,253.10","1,500.00",726.00,11_05_2021
NTC,49.77,"1,224.00","1,225.00","1,182.00","1,199.00","1,204.28","20,534.00","1,200.00","24,728,699.20",203,-1.00,43.00,-0.08,3.64,-0.44,"1,227.96","1,253.10","1,500.00",726.00,11_06_2021
NTC,49.77,"1,224.00","1,225.00","1,182.00","1,199.00","1,204.28","20,534.00","1,200.00","24,728,699.20",203,-1.00,43.00,-0.08,3.64,-0.44,"1,227.96","1,253.10","1,500.00",726.00,11_07_2021
NTC,50.56,"1,202.00","1,220.00","1,176.00","1,200.00","1,195.10","15,470.00","1,199.00","18,488,253.70",149,1.00,44.00,0.08,3.74,0.41,"1,227.04","1,251.71","1,500.00",751.00,11_08_2021
NTC,50.83,"1,200.00","1,200.00","1,142.80","1,157.00","1,160.29","24,952.00","1,200.00","28,951,572.80",198,-43.00,57.20,-3.58,5.01,-0.28,"1,225.89","1,250.07","1,500.00",760.00,11_09_2021
NTC,47.34,"1,200.00","1,200.00","1,142.80","1,157.00","1,160.29","24,952.00","1,200.00","28,951,572.80",198,-43.00,57.20,-3.58,5.01,-0.28,"1,225.89","1,250.07","1,500.00",760.00,11_10_2021
NTC,45.29,"1,156.00","1,169.00","1,124.00","1,124.00","1,137.75","14,790.00","1,157.00","16,827,338.10",196,-33.00,45.00,-2.85,4.00,-1.22,"1,224.13","1,248.33","1,500.00",866.00,11_11_2021
NTC,42.28,"1,156.00","1,169.00","1,124.00","1,124.00","1,137.75","14,790.00","1,157.00","16,827,338.10",196,-33.00,45.00,-2.85,4.00,-1.22,"1,224.13","1,248.33","1,500.00",866.00,11_12_2021
NTC,42.28,"1,156.00","1,169.00","1,124.00","1,124.00","1,137.75","14,790.00","1,157.00","16,827,338.10",196,-33.00,45.00,-2.85,4.00,-1.22,"1,224.13","1,248.33","1,500.00",866.00,11_13_2021
NTC,40.23,"1,125.00","1,183.00","1,111.00","1,160.00","1,141.78","11,973.00","1,124.00","13,670,532.20",173,36.00,72.00,3.20,6.48,1.57,"1,222.57","1,246.95","1,500.00",909.00,11_14_2021
NTC,40.33,"1,170.00","1,183.20","1,157.00","1,161.00","1,169.23","20,746.00","1,160.00","24,256,810.00",132,1.00,26.20,0.09,2.26,-0.71,"1,221.10","1,245.53","1,500.00",909.00,11_15_2021
NTC,44.09,"1,184.00","1,277.10","1,176.50","1,277.10","1,248.33","131,647.00","1,161.00","164,339,249.90","1,190",116.10,100.60,10.00,8.55,2.25,"1,220.65","1,244.79","1,500.00",909.00,11_16_2021
NTC,58.28,"1,302.60","1,404.80","1,302.60","1,390.00","1,377.32","426,090.00","1,277.10","586,862,955.90","2,732",112.90,102.20,8.84,7.85,0.91,"1,221.07","1,245.02","1,500.00",909.00,11_17_2021
NTC,64.64,"1,395.00","1,457.50","1,355.00","1,438.00","1,406.40","429,788.00","1,390.00","604,455,412.90","2,543",48.00,102.50,3.45,7.56,2.20,"1,221.35","1,245.46","1,500.00",909.00,11_18_2021
NTC,63.31,"1,395.00","1,457.50","1,355.00","1,438.00","1,406.40","429,788.00","1,390.00","604,455,412.90","2,543",48.00,102.50,3.45,7.56,2.20,"1,221.35","1,245.46","1,500.00",909.00,11_19_2021
NTC,63.31,"1,395.00","1,457.50","1,355.00","1,438.00","1,406.40","429,788.00","1,390.00","604,455,412.90","2,543",48.00,102.50,3.45,7.56,2.20,"1,221.35","1,245.46","1,500.00",909.00,11_20_2021
NTC,58.61,"1,438.00","1,438.00","1,380.00","1,395.50","1,397.37","161,903.00","1,438.00","226,238,338.60",969,-42.50,58.00,-2.96,4.20,-0.13,"1,221.41","1,245.69","1,500.00",922.00,11_21_2021
NTC,54.80,"1,411.00","1,438.00","1,375.00","1,420.20","1,416.47","206,052.00","1,395.50","291,867,406.40","1,206",24.70,63.00,1.77,4.58,0.26,"1,221.67","1,246.19","1,500.00",922.00,11_22_2021
NTC,53.14,"1,402.00","1,470.00","1,402.00","1,457.00","1,448.38","287,027.00","1,420.20","415,724,063.20","1,712",36.80,68.00,2.59,4.85,0.59,"1,222.20","1,246.76","1,500.00",935.00,11_23_2021
NTC,51.46,"1,486.10","1,486.10","1,431.00","1,465.00","1,451.37","180,214.00","1,457.00","261,556,834.80",821,8.00,55.10,0.55,3.85,0.93,"1,222.82","1,247.38","1,500.00",935.00,11_24_2021
NTC,50.42,"1,450.00","1,495.00","1,450.00","1,484.00","1,477.43","179,849.00","1,465.00","265,713,736.30","1,056",19.00,45.00,1.30,3.10,0.44,"1,223.57","1,248.16","1,500.00",972.00,11_25_2021
NTC,54.49,"1,450.00","1,495.00","1,450.00","1,484.00","1,477.43","179,849.00","1,465.00","265,713,736.30","1,056",19.00,45.00,1.30,3.10,0.44,"1,223.57","1,248.16","1,500.00",972.00,11_26_2021
NTC,54.49,"1,450.00","1,495.00","1,450.00","1,484.00","1,477.43","179,849.00","1,465.00","265,713,736.30","1,056",19.00,45.00,1.30,3.10,0.44,"1,223.57","1,248.16","1,500.00",972.00,11_27_2021
NTC,51.59,"1,454.40","1,465.00","1,390.00","1,409.00","1,423.84","133,771.00","1,484.00","190,468,569.80",762,-75.00,75.00,-5.05,5.40,-1.05,"1,223.86","1,248.51","1,500.00",972.00,11_28_2021
NTC,45.25,"1,408.00","1,430.00","1,372.00","1,380.00","1,396.40","71,287.00","1,409.00","99,545,445.70",472,-29.00,58.00,-2.06,4.23,-1.19,"1,224.06","1,248.66","1,500.00",972.00,11_29_2021
NTC,39.56,"1,400.00","1,400.00","1,351.00","1,393.00","1,374.42","38,412.00","1,380.00","52,794,220.60",356,13.00,49.00,0.94,3.63,1.33,"1,224.72","1,249.02","1,500.00",972.00,11_30_2021
