Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
NUBL,44.84,"1,600.00","1,629.00","1,588.00","1,595.00","1,604.08","28,812.00","1,607.00","46,216,640.50",446,-12.00,41.00,-0.75,2.58,-0.57,"1,681.33","1,588.25","1,919.00",941.00,09_01_2021
NUBL,57.08,"1,580.00","1,644.00","1,580.00","1,630.00","1,603.80","57,625.00","1,575.00","92,419,112.90",481,55.00,64.00,3.49,4.05,1.61,"1,625.71","1,624.89","1,919.00",941.00,11_03_2021
NUBL,61.42,"1,580.00","1,644.00","1,580.00","1,630.00","1,603.80","57,625.00","1,575.00","92,419,112.90",481,55.00,64.00,3.49,4.05,1.61,"1,625.71","1,624.89","1,919.00",941.00,11_05_2021
NUBL,61.42,"1,580.00","1,644.00","1,580.00","1,630.00","1,603.80","57,625.00","1,575.00","92,419,112.90",481,55.00,64.00,3.49,4.05,1.61,"1,625.71","1,624.89","1,919.00",941.00,11_06_2021
NUBL,61.42,"1,580.00","1,644.00","1,580.00","1,630.00","1,603.80","57,625.00","1,575.00","92,419,112.90",481,55.00,64.00,3.49,4.05,1.61,"1,625.71","1,624.89","1,919.00",941.00,11_07_2021
NUBL,62.21,"1,630.00","1,645.00","1,596.00","1,616.00","1,615.97","28,687.00","1,630.00","46,357,283.80",263,-14.00,49.00,-0.86,3.07,0.00,"1,624.55","1,625.59","1,919.00",941.00,11_08_2021
NUBL,54.25,"1,620.00","1,620.00","1,540.00","1,560.00","1,576.63","33,307.00","1,616.00","52,512,729.30",376,-56.00,80.00,-3.47,5.19,-1.07,"1,623.18","1,625.15","1,919.00",941.00,11_09_2021
NUBL,50.90,"1,620.00","1,620.00","1,540.00","1,560.00","1,576.63","33,307.00","1,616.00","52,512,729.30",376,-56.00,80.00,-3.47,5.19,-1.07,"1,623.18","1,625.15","1,919.00",941.00,11_10_2021
NUBL,48.85,"1,540.00","1,555.00","1,516.00","1,520.50","1,532.97","17,414.00","1,560.00","26,695,222.70",242,-39.50,39.00,-2.53,2.57,-0.82,"1,621.26","1,624.52","1,919.00",941.00,11_11_2021
NUBL,42.36,"1,540.00","1,555.00","1,516.00","1,520.50","1,532.97","17,414.00","1,560.00","26,695,222.70",242,-39.50,39.00,-2.53,2.57,-0.82,"1,621.26","1,624.52","1,919.00",941.00,11_12_2021
NUBL,42.36,"1,540.00","1,555.00","1,516.00","1,520.50","1,532.97","17,414.00","1,560.00","26,695,222.70",242,-39.50,39.00,-2.53,2.57,-0.82,"1,621.26","1,624.52","1,919.00",941.00,11_13_2021
NUBL,40.31,"1,520.00","1,528.00","1,495.00","1,500.00","1,505.43","13,187.00","1,520.50","19,852,094.10",174,-20.50,33.00,-1.35,2.21,-0.36,"1,619.18","1,624.31","1,919.00",984.00,11_14_2021
NUBL,40.47,"1,530.00","1,540.00","1,509.00","1,536.00","1,528.12","13,856.00","1,500.00","21,173,657.70",134,36.00,31.00,2.40,2.05,0.51,"1,617.49","1,624.40","1,919.00",984.00,11_15_2021
NUBL,41.41,"1,536.00","1,545.00","1,520.00","1,539.00","1,528.12","15,938.00","1,536.00","24,355,119.10",161,3.00,25.00,0.20,1.64,0.71,"1,615.85","1,624.75","1,919.00",984.00,11_16_2021
NUBL,41.49,"1,550.00","1,560.00","1,523.00","1,523.00","1,546.54","12,034.00","1,539.00","18,611,003.60",158,-16.00,37.00,-1.04,2.43,-1.55,"1,613.86","1,625.16","1,919.00",984.00,11_17_2021
NUBL,46.28,"1,530.00","1,554.00","1,502.00","1,523.00","1,543.26","22,089.00","1,523.00","34,089,022.90",264,0.00,52.00,0.00,3.46,-1.33,"1,611.79","1,624.78","1,919.00",984.00,11_18_2021
NUBL,53.57,"1,530.00","1,554.00","1,502.00","1,523.00","1,543.26","22,089.00","1,523.00","34,089,022.90",264,0.00,52.00,0.00,3.46,-1.33,"1,611.79","1,624.78","1,919.00",984.00,11_19_2021
NUBL,53.57,"1,530.00","1,554.00","1,502.00","1,523.00","1,543.26","22,089.00","1,523.00","34,089,022.90",264,0.00,52.00,0.00,3.46,-1.33,"1,611.79","1,624.78","1,919.00",984.00,11_20_2021
NUBL,48.87,"1,523.00","1,549.00","1,521.00","1,530.00","1,528.36","5,710.00","1,523.00","8,726,934.50",91,7.00,28.00,0.46,1.84,0.11,"1,609.70","1,624.19","1,919.00",985.00,11_21_2021
NUBL,38.85,"1,530.00","1,532.90","1,525.00","1,532.00","1,529.47","5,373.00","1,530.00","8,217,854.50",68,2.00,7.90,0.13,0.52,0.16,"1,607.71","1,623.61","1,919.00",985.00,11_22_2021
NUBL,39.49,"1,513.00","1,530.00","1,495.00","1,500.10","1,508.18","13,435.00","1,532.00","20,262,424.40",169,-31.90,35.00,-2.08,2.34,-0.54,"1,605.49","1,622.88","1,919.00",985.00,11_23_2021
NUBL,40.45,"1,496.00","1,496.00","1,460.00","1,480.00","1,473.11","17,021.00","1,500.10","25,073,850.60",189,-20.10,36.00,-1.34,2.47,0.47,"1,603.26","1,621.99","1,919.00",987.00,11_24_2021
NUBL,43.40,"1,509.00","1,509.00","1,471.00","1,488.00","1,478.93","14,266.00","1,480.00","21,098,406.20",111,8.00,38.00,0.54,2.58,0.61,"1,601.11","1,621.22","1,919.00","1,000.00",11_25_2021
NUBL,42.94,"1,509.00","1,509.00","1,471.00","1,488.00","1,478.93","14,266.00","1,480.00","21,098,406.20",111,8.00,38.00,0.54,2.58,0.61,"1,601.11","1,621.22","1,919.00","1,000.00",11_26_2021
NUBL,42.94,"1,509.00","1,509.00","1,471.00","1,488.00","1,478.93","14,266.00","1,480.00","21,098,406.20",111,8.00,38.00,0.54,2.58,0.61,"1,601.11","1,621.22","1,919.00","1,000.00",11_27_2021
NUBL,40.04,"1,509.60","1,599.00","1,509.60","1,539.00","1,547.94","104,670.00","1,488.00","162,023,019.60","1,468",51.00,89.40,3.43,5.92,-0.58,"1,599.45","1,621.69","1,919.00","1,040.00",11_28_2021
NUBL,55.58,"1,540.00","1,561.00","1,527.00","1,530.00","1,538.40","28,319.00","1,539.00","43,565,870.60",419,-9.00,34.00,-0.58,2.23,-0.55,"1,598.17","1,622.11","1,919.00","1,040.00",11_29_2021
NUBL,57.92,"1,540.00","1,549.90","1,500.00","1,520.00","1,514.83","25,179.00","1,530.00","38,141,904.80",334,-10.00,49.90,-0.65,3.33,0.34,"1,597.05","1,622.64","1,919.00","1,070.00",11_30_2021
NUBL,57.01,"1,530.00","1,550.00","1,510.00","1,514.00","1,521.25","12,153.00","1,520.00","18,487,759.60",206,-6.00,40.00,-0.39,2.65,-0.48,"1,595.70","1,623.44","1,919.00","1,070.00",12_01_2021
NUBL,55.37,"1,520.00","1,520.00","1,498.00","1,500.00","1,504.69","14,448.00","1,514.00","21,739,712.20",287,-14.00,22.00,-0.92,1.47,-0.31,"1,594.16","1,624.04","1,919.00","1,110.00",12_02_2021
NUBL,40.70,"1,520.00","1,520.00","1,498.00","1,500.00","1,504.69","14,448.00","1,514.00","21,739,712.20",287,-14.00,22.00,-0.92,1.47,-0.31,"1,594.16","1,624.04","1,919.00","1,110.00",12_03_2021
NUBL,40.70,"1,520.00","1,520.00","1,498.00","1,500.00","1,504.69","14,448.00","1,514.00","21,739,712.20",287,-14.00,22.00,-0.92,1.47,-0.31,"1,594.16","1,624.04","1,919.00","1,110.00",12_04_2021
NUBL,39.80,"1,491.00","1,499.00","1,469.00","1,473.00","1,476.02","21,927.00","1,500.00","32,364,688.50",321,-27.00,30.00,-1.80,2.04,-0.21,"1,592.48","1,624.69","1,919.00","1,127.00",12_05_2021
NUBL,38.32,"1,473.00","1,497.00","1,441.00","1,487.00","1,464.26","16,612.00","1,473.00","24,324,297.60",290,14.00,56.00,0.95,3.89,1.53,"1,590.71","1,625.59","1,919.00","1,127.00",12_06_2021
NUBL,43.57,"1,516.00","1,545.00","1,470.00","1,470.00","1,494.53","13,481.00","1,487.00","20,147,803.40",201,-17.00,75.00,-1.14,5.10,-1.67,"1,588.63","1,625.71","1,919.00","1,127.00",12_07_2021
NUBL,41.34,"1,465.00","1,479.00","1,431.00","1,434.00","1,444.72","10,811.00","1,470.00","15,618,885.00",228,-36.00,48.00,-2.45,3.35,-0.75,"1,586.17","1,625.64","1,919.00","1,127.00",12_08_2021
NUBL,35.34,"1,421.10","1,460.00","1,410.00","1,440.00","1,442.95","10,714.00","1,434.00","15,459,739.20",154,6.00,50.00,0.42,3.55,-0.20,"1,584.03","1,625.65","1,919.00","1,127.00",12_09_2021
NUBL,36.67,"1,421.10","1,460.00","1,410.00","1,440.00","1,442.95","10,714.00","1,434.00","15,459,739.20",154,6.00,50.00,0.42,3.55,-0.20,"1,584.03","1,625.65","1,919.00","1,127.00",12_10_2021
NUBL,36.67,"1,421.10","1,460.00","1,410.00","1,440.00","1,442.95","10,714.00","1,434.00","15,459,739.20",154,6.00,50.00,0.42,3.55,-0.20,"1,584.03","1,625.65","1,919.00","1,127.00",12_11_2021
NUBL,36.02,"1,445.00","1,450.00","1,408.00","1,408.00","1,424.42","11,514.00","1,440.00","16,400,745.40",200,-32.00,42.00,-2.22,2.98,-1.17,"1,581.66","1,625.58","1,919.00","1,127.00",12_12_2021
NUBL,28.93,"1,393.00","1,398.00","1,360.00","1,365.00","1,374.26","16,364.00","1,408.00","22,488,352.80",281,-43.00,38.00,-3.05,2.79,-0.68,"1,579.11","1,625.34","1,919.00","1,127.00",12_13_2021
NUBL,34.33,"1,385.00","1,453.00","1,376.00","1,453.00","1,414.14","13,438.00","1,365.00","19,003,252.50",128,88.00,77.00,6.45,5.60,2.67,"1,577.30","1,625.60","1,919.00","1,131.00",12_14_2021
NUBL,49.87,"1,482.00","1,482.00","1,417.00","1,427.00","1,455.06","20,780.00","1,453.00","30,236,086.10",302,-26.00,65.00,-1.79,4.59,-1.97,"1,575.28","1,625.68","1,919.00","1,131.00",12_15_2021
NUBL,43.37,"1,429.90","1,430.00","1,392.00","1,400.00","1,408.15","6,306.00","1,427.00","8,879,782.50",127,-27.00,38.00,-1.89,2.73,-0.58,"1,573.11","1,625.34","1,919.00","1,131.00",12_16_2021
NUBL,39.79,"1,429.90","1,430.00","1,392.00","1,400.00","1,408.15","6,306.00","1,427.00","8,879,782.50",127,-27.00,38.00,-1.89,2.73,-0.58,"1,573.11","1,625.34","1,919.00","1,131.00",12_17_2021
