Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
OHL,46.30,580.00,625.00,578.20,605.00,605.05,"35,404.00",570.00,"21,421,081.80",376,35.00,46.80,6.14,8.09,-0.01,539.22,524.32,761.00,320.00,09_01_2021
OHL,66.32,545.00,555.00,529.00,535.00,534.72,"7,720.00",535.00,"4,128,048.00",34,0.00,26.00,0.00,4.91,0.05,560.57,533.22,761.00,370.00,11_03_2021
OHL,65.11,545.00,555.00,529.00,535.00,534.72,"7,720.00",535.00,"4,128,048.00",34,0.00,26.00,0.00,4.91,0.05,560.57,533.22,761.00,370.00,11_05_2021
OHL,65.11,545.00,555.00,529.00,535.00,534.72,"7,720.00",535.00,"4,128,048.00",34,0.00,26.00,0.00,4.91,0.05,560.57,533.22,761.00,370.00,11_06_2021
OHL,65.11,545.00,555.00,529.00,535.00,534.72,"7,720.00",535.00,"4,128,048.00",34,0.00,26.00,0.00,4.91,0.05,560.57,533.22,761.00,370.00,11_07_2021
OHL,65.90,540.00,540.00,528.00,532.50,530.80,"4,277.00",535.00,"2,270,244.50",43,-2.50,12.00,-0.47,2.27,0.32,561.62,533.35,761.00,374.00,11_08_2021
OHL,55.29,532.40,532.40,501.00,501.00,507.36,"9,563.00",532.50,"4,851,892.00",83,-31.50,31.40,-5.92,6.27,-1.27,562.44,533.22,761.00,380.00,11_09_2021
OHL,48.77,532.40,532.40,501.00,501.00,507.36,"9,563.00",532.50,"4,851,892.00",83,-31.50,31.40,-5.92,6.27,-1.27,562.44,533.22,761.00,380.00,11_10_2021
OHL,46.72,495.00,500.00,486.00,488.00,492.24,"11,668.00",501.00,"5,743,404.20",109,-13.00,14.00,-2.59,2.88,-0.87,563.13,533.04,761.00,389.00,11_11_2021
OHL,47.68,495.00,500.00,486.00,488.00,492.24,"11,668.00",501.00,"5,743,404.20",109,-13.00,14.00,-2.59,2.88,-0.87,563.13,533.04,761.00,389.00,11_12_2021
OHL,47.68,495.00,500.00,486.00,488.00,492.24,"11,668.00",501.00,"5,743,404.20",109,-13.00,14.00,-2.59,2.88,-0.87,563.13,533.04,761.00,389.00,11_13_2021
OHL,45.63,486.00,503.00,483.20,492.00,493.85,"16,236.00",488.00,"8,018,075.20",67,4.00,19.80,0.82,4.10,-0.38,563.86,532.90,761.00,389.00,11_14_2021
OHL,47.85,494.00,511.00,494.00,511.00,503.45,"10,988.00",492.00,"5,531,932.50",60,19.00,17.00,3.86,3.44,1.48,564.73,532.71,761.00,389.00,11_15_2021
OHL,46.09,520.00,520.00,503.00,520.00,511.87,"9,462.00",511.00,"4,843,288.70",52,9.00,17.00,1.76,3.38,1.56,565.68,532.69,761.00,389.00,11_16_2021
OHL,58.67,529.00,542.60,512.00,519.00,528.17,"9,813.00",520.00,"5,182,911.90",86,-1.00,30.60,-0.19,5.98,-1.77,566.53,532.67,761.00,389.00,11_17_2021
OHL,61.37,515.00,517.00,502.00,502.00,508.06,"8,457.00",519.00,"4,296,640.40",62,-17.00,15.00,-3.28,2.99,-1.21,567.21,532.51,761.00,389.00,11_18_2021
