Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PBD85,59.06,960.00,968.00,960.00,968.00,964.00,50.00,968.00,"48,200.00",2,0.00,8.00,0.00,0.83,0.41,-,-,"1,000.00",950.00,11_03_2021
PBD85,63.06,960.00,968.00,960.00,968.00,964.00,50.00,968.00,"48,200.00",2,0.00,8.00,0.00,0.83,0.41,-,-,"1,000.00",950.00,11_05_2021
PBD85,63.06,960.00,968.00,960.00,968.00,964.00,50.00,968.00,"48,200.00",2,0.00,8.00,0.00,0.83,0.41,-,-,"1,000.00",950.00,11_06_2021
PBD85,63.06,960.00,968.00,960.00,968.00,964.00,50.00,968.00,"48,200.00",2,0.00,8.00,0.00,0.83,0.41,-,-,"1,000.00",950.00,11_07_2021
PBD85,63.84,951.00,951.00,951.00,951.00,951.00,25.00,968.00,"23,775.00",1,-17.00,0.00,-1.76,0.00,0.00,-,-,"1,000.00",950.00,11_08_2021
PBD85,57.16,954.10,954.10,954.10,954.10,954.10,25.00,951.00,"23,852.50",1,3.10,0.00,0.33,0.00,0.00,-,-,"1,000.00",950.00,11_09_2021
PBD85,57.68,954.10,954.10,954.10,954.10,954.10,25.00,951.00,"23,852.50",1,3.10,0.00,0.33,0.00,0.00,-,-,"1,000.00",950.00,11_10_2021
PBD85,55.63,956.00,956.00,956.00,956.00,956.00,100.00,954.10,"95,600.00",2,1.90,0.00,0.20,0.00,0.00,-,-,"1,000.00",950.00,11_11_2021
PBD85,53.57,956.00,956.00,956.00,956.00,956.00,100.00,954.10,"95,600.00",2,1.90,0.00,0.20,0.00,0.00,-,-,"1,000.00",950.00,11_12_2021
PBD85,53.57,956.00,956.00,956.00,956.00,956.00,100.00,954.10,"95,600.00",2,1.90,0.00,0.20,0.00,0.00,-,-,"1,000.00",950.00,11_13_2021
PBD85,51.52,951.00,951.00,951.00,951.00,951.00,25.00,956.00,"23,775.00",1,-5.00,0.00,-0.52,0.00,0.00,-,-,"1,000.00",950.00,11_14_2021
PBD85,46.38,960.00,969.00,955.00,969.00,961.05,250.00,951.00,"240,263.50",6,18.00,14.00,1.89,1.47,0.82,-,-,"1,000.00",950.00,11_15_2021
PBD85,65.08,960.00,960.00,960.00,960.00,960.00,75.00,969.00,"72,000.00",2,-9.00,0.00,-0.93,0.00,0.00,-,-,"1,000.00",950.00,11_16_2021
PBD85,61.08,955.00,955.00,955.00,955.00,955.00,200.00,960.00,"191,000.00",1,-5.00,0.00,-0.52,0.00,0.00,-,-,"1,000.00",950.00,11_18_2021
PBD85,61.00,955.00,955.00,955.00,955.00,955.00,200.00,960.00,"191,000.00",1,-5.00,0.00,-0.52,0.00,0.00,-,-,"1,000.00",950.00,11_19_2021
PBD85,61.00,955.00,955.00,955.00,955.00,955.00,200.00,960.00,"191,000.00",1,-5.00,0.00,-0.52,0.00,0.00,-,-,"1,000.00",950.00,11_20_2021
PBD85,56.30,955.00,960.00,955.00,960.00,957.50,50.00,955.00,"47,875.00",2,5.00,5.00,0.52,0.52,0.26,-,-,"1,000.00",950.00,11_21_2021
PBD85,58.36,952.00,958.00,952.00,958.00,956.80,125.00,960.00,"119,600.00",2,-2.00,6.00,-0.21,0.63,0.13,-,-,"1,000.00",950.00,11_23_2021
PBD85,51.73,952.80,952.80,951.40,951.40,952.52,75.00,958.00,"71,439.00",3,-6.60,1.40,-0.69,0.15,-0.12,-,-,"1,000.00",950.00,11_28_2021
PBD85,41.59,951.20,951.20,951.20,951.20,951.20,25.00,951.40,"23,780.00",1,-0.20,0.00,-0.02,0.00,0.00,-,-,"1,000.00",950.00,11_29_2021
PBD85,45.19,951.20,951.20,951.20,951.20,951.20,25.00,951.20,"23,780.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,000.00",950.00,12_01_2021
