Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PBLD86,48.45,"1,017.00","1,035.00","1,017.00","1,030.00","1,028.09",275.00,"1,016.00","282,725.00",4,14.00,18.00,1.38,1.77,0.19,-,-,"1,088.00","1,000.00",11_08_2021
PBLD86,66.89,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",100.00,"1,030.00","103,500.00",1,5.00,0.00,0.49,0.00,0.00,-,-,"1,088.00","1,000.00",11_09_2021
PBLD86,60.57,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",100.00,"1,030.00","103,500.00",1,5.00,0.00,0.49,0.00,0.00,-,-,"1,088.00","1,000.00",11_10_2021
PBLD86,58.52,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",200.00,"1,035.00","207,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,088.00","1,000.00",11_11_2021
PBLD86,65.70,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",200.00,"1,035.00","207,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,088.00","1,000.00",11_12_2021
PBLD86,65.70,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",200.00,"1,035.00","207,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,088.00","1,000.00",11_13_2021
PBLD86,62.04,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",100.00,"1,035.00","103,500.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,088.00","1,000.00",11_22_2021
PBLD86,60.05,"1,045.00","1,045.00","1,045.00","1,045.00","1,045.00",25.00,"1,035.00","26,125.00",1,10.00,0.00,0.97,0.00,0.00,-,-,"1,088.00","1,000.00",11_24_2021
PBLD86,54.26,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",50.00,"1,045.00","51,250.00",1,-20.00,0.00,-1.91,0.00,0.00,-,-,"1,088.00","1,000.00",12_01_2021
PBLD86,42.06,"1,004.50","1,004.50","1,000.00","1,000.00","1,000.09",500.00,"1,025.00","500,045.00",2,-25.00,4.50,-2.44,0.45,-0.01,-,-,"1,088.00","1,000.00",12_05_2021
PBLD86,54.63,980.10,980.10,980.00,980.00,980.05,100.00,"1,000.00","98,005.00",2,-20.00,0.10,-2.00,0.01,-0.01,-,-,"1,088.00",980.00,01_16_2022
PBLD86,37.63,980.00,980.00,980.00,980.00,980.00,200.00,980.00,"196,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,088.00",980.00,03_21_2022
PBLD86,39.73,970.00,970.00,950.60,950.60,966.12,125.00,980.00,"120,765.00",2,-29.40,19.40,-3.00,2.04,-1.63,-,-,"1,088.00",950.60,03_27_2022
PBLD86,39.00,950.00,950.00,950.00,950.00,950.00,300.00,950.60,"285,000.00",1,-0.60,0.00,-0.06,0.00,0.00,-,-,"1,088.00",950.00,03_29_2022
PBLD86,38.72,943.50,943.50,940.00,940.00,941.68,100.00,950.00,"94,167.50",4,-10.00,3.50,-1.05,0.37,-0.18,-,-,"1,088.00",940.00,04_21_2022
PBLD86,35.36,943.50,943.50,940.00,940.00,941.68,100.00,950.00,"94,167.50",4,-10.00,3.50,-1.05,0.37,-0.18,-,-,"1,088.00",940.00,04_22_2022
PBLD86,35.36,943.50,943.50,940.00,940.00,941.68,100.00,950.00,"94,167.50",4,-10.00,3.50,-1.05,0.37,-0.18,-,-,"1,088.00",940.00,04_23_2022
PBLD86,36.12,939.00,939.00,939.00,939.00,939.00,25.00,940.00,"23,475.00",1,-1.00,0.00,-0.11,0.00,0.00,-,-,"1,088.00",939.00,05_25_2022
PBLD86,33.81,938.90,938.90,938.90,938.90,938.90,50.00,939.00,"46,945.00",1,-0.10,0.00,-0.01,0.00,0.00,-,-,"1,066.30",938.90,07_21_2022
PBLD86,39.03,921.00,921.00,920.50,920.50,920.80,100.00,938.90,"92,080.00",2,-18.40,0.50,-1.96,0.05,-0.03,-,-,"1,066.30",920.50,07_22_2022
PBLD86,38.85,921.00,921.00,920.50,920.50,920.80,100.00,938.90,"92,080.00",2,-18.40,0.50,-1.96,0.05,-0.03,-,-,"1,066.30",920.50,07_23_2022
PBLD86,36.05,920.50,920.50,920.50,920.50,920.50,300.00,920.50,"276,150.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,066.30",920.50,07_24_2022
PBLD86,47.40,903.00,903.00,902.10,902.10,902.82,75.00,920.50,"67,711.50",2,-18.40,0.90,-2.00,0.10,-0.08,-,-,"1,066.30",902.10,07_28_2022
PBLD86,32.12,900.10,900.10,900.10,900.10,900.10,25.00,902.10,"22,502.50",1,-2.00,0.00,-0.22,0.00,0.00,-,-,"1,050.00",900.10,08_14_2022
PBLD86,31.59,918.10,918.10,918.10,918.10,918.10,10.00,900.10,"9,181.00",1,18.00,0.00,2.00,0.00,0.00,-,-,"1,050.00",900.10,08_21_2022
PBLD86,35.01,936.30,936.40,936.30,936.40,936.34,65.00,918.10,"60,862.00",2,18.30,0.10,1.99,0.01,0.01,-,-,"1,050.00",900.10,08_28_2022
PBLD86,41.16,920.00,920.00,920.00,920.00,920.00,100.00,936.40,"92,000.00",1,-16.40,0.00,-1.75,0.00,0.00,-,-,"1,050.00",900.10,08_29_2022
PBLD86,42.63,938.40,938.40,938.40,938.40,938.40,225.00,920.00,"211,140.00",2,18.40,0.00,2.00,0.00,0.00,-,-,"1,050.00",900.10,08_30_2022
PBLD86,42.80,940.00,940.00,940.00,940.00,940.00,300.00,938.40,"282,000.00",1,1.60,0.00,0.17,0.00,0.00,-,-,"1,050.00",900.10,09_08_2022
PBLD86,46.11,940.00,940.00,940.00,940.00,940.00,300.00,938.40,"282,000.00",1,1.60,0.00,0.17,0.00,0.00,-,-,"1,050.00",900.10,09_09_2022
PBLD86,46.11,940.00,940.00,940.00,940.00,940.00,300.00,938.40,"282,000.00",1,1.60,0.00,0.17,0.00,0.00,-,-,"1,050.00",900.10,09_10_2022
PBLD86,45.17,925.50,925.50,925.50,925.50,925.50,165.00,940.00,"152,707.50",1,-14.50,0.00,-1.54,0.00,0.00,-,-,"1,045.00",900.10,09_12_2022
PBLD86,43.22,925.00,925.00,925.00,925.00,925.00,50.00,925.50,"46,250.00",1,-0.50,0.00,-0.05,0.00,0.00,-,-,"1,045.00",900.10,11_24_2022
PBLD86,42.03,925.00,925.00,925.00,925.00,925.00,50.00,925.50,"46,250.00",1,-0.50,0.00,-0.05,0.00,0.00,-,-,"1,045.00",900.10,11_25_2022
PBLD86,42.03,925.00,925.00,925.00,925.00,925.00,50.00,925.50,"46,250.00",1,-0.50,0.00,-0.05,0.00,0.00,-,-,"1,045.00",900.10,11_26_2022
