Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PCBL,47.55,500.00,504.90,496.00,502.00,500.81,"159,382.00",498.50,"79,820,372.60","1,185",3.50,8.90,0.70,1.79,0.24,464.66,455.79,540.00,273.00,09_01_2021
PCBL,51.74,471.00,478.10,470.00,474.90,473.61,"59,284.00",470.00,"28,077,599.20",397,4.90,8.10,1.04,1.72,0.27,479.60,467.40,540.00,333.00,11_03_2021
PCBL,46.95,471.00,478.10,470.00,474.90,473.61,"59,284.00",470.00,"28,077,599.20",397,4.90,8.10,1.04,1.72,0.27,479.60,467.40,540.00,333.00,11_05_2021
PCBL,46.95,471.00,478.10,470.00,474.90,473.61,"59,284.00",470.00,"28,077,599.20",397,4.90,8.10,1.04,1.72,0.27,479.60,467.40,540.00,333.00,11_06_2021
PCBL,46.95,471.00,478.10,470.00,474.90,473.61,"59,284.00",470.00,"28,077,599.20",397,4.90,8.10,1.04,1.72,0.27,479.60,467.40,540.00,333.00,11_07_2021
PCBL,47.74,474.00,480.00,466.00,470.00,471.32,"44,529.00",474.90,"20,987,280.10",334,-4.90,14.00,-1.03,3.00,-0.28,479.84,467.51,540.00,338.00,11_08_2021
PCBL,56.41,479.40,498.00,471.00,477.40,477.11,"437,988.00",470.00,"208,966,737.80","2,659",7.40,27.00,1.57,5.73,0.06,480.20,467.68,540.00,338.00,11_09_2021
PCBL,69.25,479.40,498.00,471.00,477.40,477.11,"437,988.00",470.00,"208,966,737.80","2,659",7.40,27.00,1.57,5.73,0.06,480.20,467.68,540.00,338.00,11_10_2021
PCBL,67.20,480.00,485.00,470.00,473.00,475.18,"94,095.00",477.40,"44,711,625.20",734,-4.40,15.00,-0.92,3.19,-0.46,480.53,467.74,540.00,341.00,11_11_2021
PCBL,62.50,480.00,485.00,470.00,473.00,475.18,"94,095.00",477.40,"44,711,625.20",734,-4.40,15.00,-0.92,3.19,-0.46,480.53,467.74,540.00,341.00,11_12_2021
PCBL,62.50,480.00,485.00,470.00,473.00,475.18,"94,095.00",477.40,"44,711,625.20",734,-4.40,15.00,-0.92,3.19,-0.46,480.53,467.74,540.00,341.00,11_13_2021
PCBL,60.45,471.00,475.00,465.00,467.00,469.41,"63,324.00",473.00,"29,724,823.30",563,-6.00,10.00,-1.27,2.15,-0.52,480.84,467.79,540.00,347.00,11_14_2021
PCBL,48.54,475.00,475.00,466.00,468.90,469.12,"79,457.00",467.00,"37,274,948.90",418,1.90,9.00,0.41,1.93,-0.05,481.18,467.82,540.00,347.00,11_15_2021
PCBL,56.03,476.00,476.00,465.00,469.50,468.13,"76,123.00",468.90,"35,635,223.40",496,0.60,11.00,0.13,2.37,0.29,481.51,467.84,540.00,347.00,11_16_2021
PCBL,43.80,473.00,476.00,469.00,470.00,471.72,"53,862.00",469.50,"25,407,849.40",431,0.50,7.00,0.11,1.49,-0.37,481.78,467.89,540.00,347.00,11_17_2021
PCBL,48.52,477.90,477.90,466.00,466.50,467.57,"51,189.00",470.00,"23,934,559.30",348,-3.50,11.90,-0.74,2.55,-0.23,482.02,467.89,540.00,347.00,11_18_2021
PCBL,41.87,477.90,477.90,466.00,466.50,467.57,"51,189.00",470.00,"23,934,559.30",348,-3.50,11.90,-0.74,2.55,-0.23,482.02,467.89,540.00,347.00,11_19_2021
PCBL,41.87,477.90,477.90,466.00,466.50,467.57,"51,189.00",470.00,"23,934,559.30",348,-3.50,11.90,-0.74,2.55,-0.23,482.02,467.89,540.00,347.00,11_20_2021
PCBL,37.17,466.50,469.00,461.20,463.00,463.66,"35,109.00",466.50,"16,278,563.40",360,-3.50,7.80,-0.75,1.69,-0.14,482.24,467.81,540.00,352.00,11_21_2021
PCBL,37.23,466.00,468.00,460.00,465.90,464.52,"41,654.00",463.00,"19,349,006.80",334,2.90,8.00,0.63,1.74,0.30,482.42,467.75,540.00,352.00,11_22_2021
PCBL,38.99,464.00,465.00,461.00,461.00,462.16,"31,187.00",465.90,"14,413,339.70",305,-4.90,4.00,-1.05,0.87,-0.25,482.55,467.64,540.00,365.00,11_23_2021
PCBL,38.30,461.00,461.00,452.00,458.70,456.05,"40,911.00",461.00,"18,657,267.50",339,-2.30,9.00,-0.50,1.99,0.58,482.63,467.52,540.00,374.00,11_24_2021
PCBL,41.26,458.10,462.00,455.00,458.00,459.00,"47,985.00",458.70,"22,025,067.50",392,-0.70,7.00,-0.15,1.54,-0.22,482.67,467.49,540.00,374.00,11_25_2021
