Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PFL,48.25,820.00,826.00,785.00,790.20,800.98,"56,544.00",810.00,"45,290,886.60",546,-19.80,41.00,-2.44,5.22,-1.36,502.62,412.38,920.00,146.00,09_01_2021
PFL,58.02,650.00,688.50,650.00,669.00,672.23,"41,211.00",650.00,"27,703,262.90",410,19.00,38.50,2.92,5.92,-0.48,617.52,505.44,920.00,164.00,11_03_2021
PFL,64.86,650.00,688.50,650.00,669.00,672.23,"41,211.00",650.00,"27,703,262.90",410,19.00,38.50,2.92,5.92,-0.48,617.52,505.44,920.00,164.00,11_05_2021
PFL,64.86,650.00,688.50,650.00,669.00,672.23,"41,211.00",650.00,"27,703,262.90",410,19.00,38.50,2.92,5.92,-0.48,617.52,505.44,920.00,164.00,11_06_2021
PFL,64.86,650.00,688.50,650.00,669.00,672.23,"41,211.00",650.00,"27,703,262.90",410,19.00,38.50,2.92,5.92,-0.48,617.52,505.44,920.00,164.00,11_07_2021
PFL,65.64,682.30,682.30,666.00,670.00,673.88,"16,197.00",669.00,"10,914,835.00",154,1.00,16.30,0.15,2.45,-0.58,620.69,507.70,920.00,164.00,11_08_2021
PFL,58.96,677.00,677.00,637.00,646.00,652.29,"33,293.00",670.00,"21,716,550.60",419,-24.00,40.00,-3.58,6.28,-0.97,623.73,509.79,920.00,164.00,11_09_2021
PFL,58.60,677.00,677.00,637.00,646.00,652.29,"33,293.00",670.00,"21,716,550.60",419,-24.00,40.00,-3.58,6.28,-0.97,623.73,509.79,920.00,164.00,11_10_2021
PFL,56.55,633.10,638.00,608.00,614.50,620.66,"35,311.00",646.00,"21,916,213.60",399,-31.50,30.00,-4.88,4.93,-1.00,626.50,511.69,920.00,164.00,11_11_2021
PFL,52.06,633.10,638.00,608.00,614.50,620.66,"35,311.00",646.00,"21,916,213.60",399,-31.50,30.00,-4.88,4.93,-1.00,626.50,511.69,920.00,164.00,11_12_2021
PFL,52.06,633.10,638.00,608.00,614.50,620.66,"35,311.00",646.00,"21,916,213.60",399,-31.50,30.00,-4.88,4.93,-1.00,626.50,511.69,920.00,164.00,11_13_2021
PFL,50.01,605.00,627.30,603.00,615.00,616.07,"16,176.00",614.50,"9,965,627.60",198,0.50,24.30,0.08,4.03,-0.17,629.19,513.55,920.00,164.00,11_14_2021
PFL,47.24,627.30,640.00,625.00,636.00,633.42,"15,703.00",615.00,"9,946,553.20",179,21.00,15.00,3.41,2.40,0.41,632.03,515.48,920.00,164.00,11_15_2021
PFL,47.24,648.00,654.00,626.00,647.00,646.52,"18,933.00",636.00,"12,240,497.80",194,11.00,28.00,1.73,4.47,0.07,634.84,517.50,920.00,164.00,11_16_2021
PFL,47.80,650.00,660.00,638.00,638.00,649.39,"17,805.00",647.00,"11,562,453.40",166,-9.00,22.00,-1.39,3.45,-1.79,637.59,519.49,920.00,164.00,11_17_2021
PFL,55.08,631.00,650.00,626.00,629.00,633.86,"15,284.00",638.00,"9,687,841.70",161,-9.00,24.00,-1.41,3.83,-0.77,640.29,521.32,920.00,164.00,11_18_2021
PFL,50.25,631.00,650.00,626.00,629.00,633.86,"15,284.00",638.00,"9,687,841.70",161,-9.00,24.00,-1.41,3.83,-0.77,640.29,521.32,920.00,164.00,11_19_2021
PFL,50.25,631.00,650.00,626.00,629.00,633.86,"15,284.00",638.00,"9,687,841.70",161,-9.00,24.00,-1.41,3.83,-0.77,640.29,521.32,920.00,164.00,11_20_2021
PFL,45.55,634.00,634.00,613.00,622.00,618.99,"13,972.00",629.00,"8,648,502.60",183,-7.00,21.00,-1.11,3.43,0.48,642.73,523.18,920.00,164.00,11_21_2021
PFL,45.45,620.00,630.00,615.00,616.00,620.68,"10,685.00",622.00,"6,631,936.10",130,-6.00,15.00,-0.96,2.44,-0.76,645.15,524.99,920.00,164.00,11_22_2021
PFL,38.89,616.00,625.00,576.00,589.00,591.88,"29,055.00",616.00,"17,197,159.30",319,-27.00,49.00,-4.38,8.51,-0.49,647.22,526.66,920.00,164.00,11_23_2021
