Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PICL,46.22,800.00,807.80,775.00,775.00,785.62,"39,673.00",788.00,"31,168,072.10",288,-13.00,32.80,-1.65,4.23,-1.37,831.96,784.48,994.00,506.00,09_01_2021
PICL,59.93,760.00,761.00,749.70,750.00,755.38,"11,014.00",765.00,"8,319,727.70",90,-15.00,11.30,-1.96,1.51,-0.72,788.84,801.37,994.00,507.00,11_03_2021
PICL,56.41,760.00,761.00,749.70,750.00,755.38,"11,014.00",765.00,"8,319,727.70",90,-15.00,11.30,-1.96,1.51,-0.72,788.84,801.37,994.00,507.00,11_05_2021
PICL,56.41,760.00,761.00,749.70,750.00,755.38,"11,014.00",765.00,"8,319,727.70",90,-15.00,11.30,-1.96,1.51,-0.72,788.84,801.37,994.00,507.00,11_06_2021
PICL,56.41,760.00,761.00,749.70,750.00,755.38,"11,014.00",765.00,"8,319,727.70",90,-15.00,11.30,-1.96,1.51,-0.72,788.84,801.37,994.00,507.00,11_07_2021
PICL,57.20,765.00,779.00,735.00,750.00,752.16,"5,088.00",750.00,"3,827,003.90",44,0.00,44.00,0.00,5.99,-0.29,788.66,800.95,994.00,507.00,11_08_2021
PICL,51.55,735.00,736.00,706.00,715.00,717.27,"10,552.00",750.00,"7,568,630.80",113,-35.00,30.00,-4.67,4.25,-0.32,788.23,799.94,994.00,507.00,11_09_2021
PICL,47.22,735.00,736.00,706.00,715.00,717.27,"10,552.00",750.00,"7,568,630.80",113,-35.00,30.00,-4.67,4.25,-0.32,788.23,799.94,994.00,507.00,11_10_2021
PICL,45.17,701.00,713.00,682.00,685.00,696.21,"14,590.00",715.00,"10,157,717.50",129,-30.00,31.00,-4.20,4.55,-1.64,787.59,798.93,994.00,507.00,11_11_2021
PICL,47.22,701.00,713.00,682.00,685.00,696.21,"14,590.00",715.00,"10,157,717.50",129,-30.00,31.00,-4.20,4.55,-1.64,787.59,798.93,994.00,507.00,11_12_2021
PICL,47.22,701.00,713.00,682.00,685.00,696.21,"14,590.00",715.00,"10,157,717.50",129,-30.00,31.00,-4.20,4.55,-1.64,787.59,798.93,994.00,507.00,11_13_2021
PICL,45.17,675.00,699.90,662.00,690.00,685.79,"7,278.00",685.00,"4,991,211.60",69,5.00,37.90,0.73,5.73,0.61,786.82,798.05,994.00,507.00,11_14_2021
PICL,42.08,698.00,717.00,691.20,706.00,704.12,"8,236.00",690.00,"5,799,100.60",61,16.00,25.80,2.32,3.73,0.27,786.20,797.31,994.00,507.00,11_15_2021
PICL,43.37,700.00,729.00,700.00,723.00,715.77,"8,655.00",706.00,"6,194,952.90",84,17.00,29.00,2.41,4.14,1.00,785.73,796.76,994.00,507.00,11_16_2021
PICL,49.58,737.00,737.00,715.00,724.00,726.11,"17,489.00",723.00,"12,698,943.00",125,1.00,22.00,0.14,3.08,-0.29,784.77,796.33,994.00,507.00,11_17_2021
PICL,63.82,726.00,726.00,704.00,705.50,714.56,"13,125.00",724.00,"9,378,612.00",68,-18.50,22.00,-2.56,3.13,-1.28,783.73,795.63,994.00,507.00,11_18_2021
PICL,53.80,726.00,726.00,704.00,705.50,714.56,"13,125.00",724.00,"9,378,612.00",68,-18.50,22.00,-2.56,3.13,-1.28,783.73,795.63,994.00,507.00,11_19_2021
PICL,53.80,726.00,726.00,704.00,705.50,714.56,"13,125.00",724.00,"9,378,612.00",68,-18.50,22.00,-2.56,3.13,-1.28,783.73,795.63,994.00,507.00,11_20_2021
