Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PLI,45.72,750.00,750.00,735.00,736.50,738.90,"7,913.00",735.90,"5,846,888.80",435,0.60,15.00,0.08,2.04,-0.33,781.60,-,"1,016.00",137.00,09_01_2021
PLI,60.60,673.00,691.00,649.00,664.00,668.60,"5,561.00",673.00,"3,718,071.00",160,-9.00,42.00,-1.34,6.47,-0.69,734.62,754.84,"1,016.00",137.00,11_03_2021
PLI,58.86,673.00,691.00,649.00,664.00,668.60,"5,561.00",673.00,"3,718,071.00",160,-9.00,42.00,-1.34,6.47,-0.69,734.62,754.84,"1,016.00",137.00,11_05_2021
PLI,58.86,673.00,691.00,649.00,664.00,668.60,"5,561.00",673.00,"3,718,071.00",160,-9.00,42.00,-1.34,6.47,-0.69,734.62,754.84,"1,016.00",137.00,11_06_2021
PLI,58.86,673.00,691.00,649.00,664.00,668.60,"5,561.00",673.00,"3,718,071.00",160,-9.00,42.00,-1.34,6.47,-0.69,734.62,754.84,"1,016.00",137.00,11_07_2021
PLI,59.65,677.00,677.00,651.00,651.00,659.72,"4,415.00",664.00,"2,912,643.00",182,-13.00,26.00,-1.96,3.99,-1.34,733.31,753.50,"1,016.00",137.00,11_08_2021
PLI,55.11,638.10,650.00,620.00,623.00,629.27,"8,091.00",651.00,"5,091,427.30",281,-28.00,30.00,-4.30,4.84,-1.01,731.86,752.09,"1,016.00",137.00,11_09_2021
PLI,48.48,638.10,650.00,620.00,623.00,629.27,"8,091.00",651.00,"5,091,427.30",281,-28.00,30.00,-4.30,4.84,-1.01,731.86,752.09,"1,016.00",137.00,11_10_2021
PLI,46.43,615.00,620.50,601.00,609.00,608.10,"7,156.00",623.00,"4,351,573.70",271,-14.00,19.50,-2.25,3.24,0.15,730.31,750.72,"1,016.00",137.00,11_11_2021
PLI,45.35,615.00,620.50,601.00,609.00,608.10,"7,156.00",623.00,"4,351,573.70",271,-14.00,19.50,-2.25,3.24,0.15,730.31,750.72,"1,016.00",137.00,11_12_2021
PLI,45.35,615.00,620.50,601.00,609.00,608.10,"7,156.00",623.00,"4,351,573.70",271,-14.00,19.50,-2.25,3.24,0.15,730.31,750.72,"1,016.00",137.00,11_13_2021
PLI,43.30,597.00,605.00,595.00,601.00,599.08,"4,558.00",609.00,"2,730,585.50",268,-8.00,10.00,-1.31,1.68,0.32,728.67,749.33,"1,016.00",137.00,11_14_2021
PLI,42.17,600.00,607.00,599.10,601.00,602.47,"5,931.00",601.00,"3,573,261.80",268,0.00,7.90,0.00,1.32,-0.24,727.08,748.00,"1,016.00",137.00,11_15_2021
PLI,44.07,595.00,639.00,595.00,638.50,618.30,"8,969.00",601.00,"5,545,568.50",428,37.50,44.00,6.24,7.39,3.16,725.83,746.95,"1,016.00",137.00,11_16_2021
PLI,57.10,639.00,650.00,628.00,632.00,637.63,"9,626.00",638.50,"6,137,830.50",358,-6.50,22.00,-1.02,3.50,-0.89,724.32,745.68,"1,016.00",137.00,11_17_2021
PLI,62.77,622.00,629.00,616.00,616.10,622.46,"4,628.00",632.00,"2,880,758.60",263,-15.90,13.00,-2.52,2.11,-1.03,722.72,744.26,"1,016.00",137.00,11_18_2021
PLI,57.91,622.00,629.00,616.00,616.10,622.46,"4,628.00",632.00,"2,880,758.60",263,-15.90,13.00,-2.52,2.11,-1.03,722.72,744.26,"1,016.00",137.00,11_19_2021
PLI,57.91,622.00,629.00,616.00,616.10,622.46,"4,628.00",632.00,"2,880,758.60",263,-15.90,13.00,-2.52,2.11,-1.03,722.72,744.26,"1,016.00",137.00,11_20_2021
PLI,53.21,605.00,610.00,601.00,603.10,604.82,"6,154.00",616.10,"3,722,060.90",372,-13.00,9.00,-2.11,1.50,-0.29,720.99,742.79,"1,016.00",137.00,11_21_2021
PLI,46.04,615.00,617.00,603.00,604.90,608.51,"5,762.00",603.10,"3,506,260.00",383,1.80,14.00,0.30,2.32,-0.60,719.24,741.41,"1,016.00",137.00,11_22_2021
PLI,41.27,600.00,601.00,590.00,595.00,595.06,"6,179.00",604.90,"3,676,894.50",285,-9.90,11.00,-1.64,1.86,-0.01,717.48,740.05,"1,016.00",137.00,11_23_2021
PLI,41.91,588.00,600.00,578.00,598.00,587.76,"6,660.00",595.00,"3,914,511.00",324,3.00,22.00,0.50,3.81,1.71,715.76,738.76,"1,016.00",137.00,11_24_2021
