Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PLIC,45.97,940.00,963.00,927.00,928.00,939.98,"26,182.00",927.00,"24,610,608.50",155,1.00,36.00,0.11,3.88,-1.29,937.76,910.16,"1,133.00",621.00,09_01_2021
PLIC,59.71,902.00,937.00,892.00,912.90,905.57,"17,388.00",920.00,"15,746,010.10",114,-7.10,45.00,-0.77,5.04,0.80,940.97,918.39,"1,133.00",666.00,11_03_2021
PLIC,56.91,902.00,937.00,892.00,912.90,905.57,"17,388.00",920.00,"15,746,010.10",114,-7.10,45.00,-0.77,5.04,0.80,940.97,918.39,"1,133.00",666.00,11_05_2021
PLIC,56.91,902.00,937.00,892.00,912.90,905.57,"17,388.00",920.00,"15,746,010.10",114,-7.10,45.00,-0.77,5.04,0.80,940.97,918.39,"1,133.00",666.00,11_06_2021
PLIC,56.91,902.00,937.00,892.00,912.90,905.57,"17,388.00",920.00,"15,746,010.10",114,-7.10,45.00,-0.77,5.04,0.80,940.97,918.39,"1,133.00",666.00,11_07_2021
PLIC,57.70,931.10,931.10,898.00,898.00,910.16,"6,591.00",912.90,"5,998,877.70",52,-14.90,33.10,-1.63,3.69,-1.35,941.25,918.23,"1,133.00",681.00,11_08_2021
PLIC,47.67,898.00,900.00,880.00,890.00,886.01,"19,546.00",898.00,"17,317,920.60",137,-8.00,20.00,-0.89,2.27,0.45,941.62,917.66,"1,133.00",682.00,11_09_2021
PLIC,51.83,898.00,900.00,880.00,890.00,886.01,"19,546.00",898.00,"17,317,920.60",137,-8.00,20.00,-0.89,2.27,0.45,941.62,917.66,"1,133.00",682.00,11_10_2021
PLIC,49.78,873.10,900.00,873.00,887.00,881.71,"6,861.00",890.00,"6,049,403.50",83,-3.00,27.00,-0.34,3.09,0.60,941.93,917.19,"1,133.00",700.00,11_11_2021
PLIC,41.71,873.10,900.00,873.00,887.00,881.71,"6,861.00",890.00,"6,049,403.50",83,-3.00,27.00,-0.34,3.09,0.60,941.93,917.19,"1,133.00",700.00,11_12_2021
PLIC,41.71,873.10,900.00,873.00,887.00,881.71,"6,861.00",890.00,"6,049,403.50",83,-3.00,27.00,-0.34,3.09,0.60,941.93,917.19,"1,133.00",700.00,11_13_2021
PLIC,39.66,871.00,888.00,865.10,888.00,877.36,"6,911.00",887.00,"6,063,449.70",71,1.00,22.90,0.11,2.65,1.20,942.13,916.89,"1,133.00",705.00,11_14_2021
PLIC,40.50,901.00,906.00,886.00,895.00,896.80,"6,433.00",888.00,"5,769,143.60",70,7.00,20.00,0.79,2.26,-0.20,942.44,916.69,"1,133.00",705.00,11_15_2021
PLIC,44.16,890.00,913.90,888.00,906.00,902.07,"10,900.00",895.00,"9,832,563.10",92,11.00,25.90,1.23,2.92,0.43,942.76,916.63,"1,133.00",705.00,11_16_2021
PLIC,50.33,922.00,922.00,895.00,896.00,902.46,"13,293.00",906.00,"11,996,355.60",111,-10.00,27.00,-1.10,3.02,-0.72,942.66,916.59,"1,133.00",705.00,11_17_2021
PLIC,51.28,888.00,899.00,882.00,886.20,889.47,"7,994.00",896.00,"7,110,405.00",68,-9.80,17.00,-1.09,1.93,-0.37,942.54,916.18,"1,133.00",705.00,11_18_2021
PLIC,45.49,888.00,899.00,882.00,886.20,889.47,"7,994.00",896.00,"7,110,405.00",68,-9.80,17.00,-1.09,1.93,-0.37,942.54,916.18,"1,133.00",705.00,11_19_2021
PLIC,45.49,888.00,899.00,882.00,886.20,889.47,"7,994.00",896.00,"7,110,405.00",68,-9.80,17.00,-1.09,1.93,-0.37,942.54,916.18,"1,133.00",705.00,11_20_2021
PLIC,40.79,888.20,900.00,881.00,887.00,886.08,"9,696.00",886.20,"8,591,385.40",67,0.80,19.00,0.09,2.16,0.10,942.31,915.88,"1,133.00",725.00,11_21_2021
PLIC,42.07,903.90,903.90,885.00,886.00,891.77,"7,820.00",887.00,"6,973,633.30",78,-1.00,18.90,-0.11,2.14,-0.65,942.12,915.64,"1,133.00",725.00,11_22_2021
PLIC,39.44,875.20,891.00,871.10,871.10,875.87,"8,546.00",886.00,"7,485,192.00",75,-14.90,19.90,-1.68,2.28,-0.55,941.84,915.33,"1,133.00",725.00,11_23_2021
PLIC,40.12,871.00,875.90,859.00,873.50,865.69,"9,174.00",871.10,"7,941,795.20",77,2.40,16.90,0.28,1.97,0.89,941.42,915.15,"1,133.00",725.00,11_24_2021
PLIC,42.70,890.00,890.00,844.90,870.00,866.33,"57,524.00",873.50,"49,834,875.20",378,-3.50,45.10,-0.40,5.34,0.42,940.94,915.05,"1,133.00",736.00,11_25_2021
PLIC,47.69,890.00,890.00,844.90,870.00,866.33,"57,524.00",873.50,"49,834,875.20",378,-3.50,45.10,-0.40,5.34,0.42,940.94,915.05,"1,133.00",736.00,11_26_2021
