Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PMHPL,56.55,395.00,405.00,380.00,392.00,394.88,"25,715.00",392.00,"10,154,254.70",263,0.00,25.00,0.00,6.58,-0.73,276.50,229.15,484.00,85.00,09_01_2021
PMHPL,62.79,358.00,360.00,345.00,345.00,352.76,"19,171.00",355.00,"6,762,669.00",127,-10.00,15.00,-2.82,4.35,-2.25,326.07,274.08,484.00,111.00,11_03_2021
PMHPL,56.48,358.00,360.00,345.00,345.00,352.76,"19,171.00",355.00,"6,762,669.00",127,-10.00,15.00,-2.82,4.35,-2.25,326.07,274.08,484.00,111.00,11_05_2021
PMHPL,56.48,358.00,360.00,345.00,345.00,352.76,"19,171.00",355.00,"6,762,669.00",127,-10.00,15.00,-2.82,4.35,-2.25,326.07,274.08,484.00,111.00,11_06_2021
PMHPL,56.48,358.00,360.00,345.00,345.00,352.76,"19,171.00",355.00,"6,762,669.00",127,-10.00,15.00,-2.82,4.35,-2.25,326.07,274.08,484.00,111.00,11_07_2021
PMHPL,57.26,350.00,355.00,341.00,341.00,344.68,"15,545.00",345.00,"5,358,047.00",99,-4.00,14.00,-1.16,4.11,-1.08,327.09,275.25,484.00,111.00,11_08_2021
PMHPL,54.17,335.20,341.00,315.00,325.00,325.56,"22,452.00",341.00,"7,309,439.50",183,-16.00,26.00,-4.69,8.25,-0.17,328.01,276.31,484.00,111.00,11_09_2021
PMHPL,52.70,335.20,341.00,315.00,325.00,325.56,"22,452.00",341.00,"7,309,439.50",183,-16.00,26.00,-4.69,8.25,-0.17,328.01,276.31,484.00,111.00,11_10_2021
PMHPL,50.65,329.00,331.50,310.00,310.50,317.74,"9,888.00",325.00,"3,141,787.50",115,-14.50,21.50,-4.46,6.94,-2.33,328.80,277.28,484.00,111.00,11_11_2021
PMHPL,46.41,329.00,331.50,310.00,310.50,317.74,"9,888.00",325.00,"3,141,787.50",115,-14.50,21.50,-4.46,6.94,-2.33,328.80,277.28,484.00,111.00,11_12_2021
PMHPL,46.41,329.00,331.50,310.00,310.50,317.74,"9,888.00",325.00,"3,141,787.50",115,-14.50,21.50,-4.46,6.94,-2.33,328.80,277.28,484.00,111.00,11_13_2021
PMHPL,44.36,304.30,326.40,300.00,312.00,312.94,"19,124.00",310.50,"5,984,666.00",130,1.50,26.40,0.48,8.80,-0.30,329.59,278.24,484.00,111.00,11_14_2021
PMHPL,48.08,315.00,324.30,315.00,321.00,319.65,"20,409.00",312.00,"6,523,799.50",163,9.00,9.30,2.88,2.95,0.42,330.39,279.22,484.00,111.00,11_15_2021
PMHPL,49.08,321.00,353.10,321.00,353.10,347.22,"84,821.00",321.00,"29,451,541.60",435,32.10,32.10,10.00,10.00,1.67,331.37,280.35,484.00,111.00,11_16_2021
PMHPL,63.83,360.00,388.40,360.00,388.40,388.30,"53,645.00",353.10,"20,830,428.30",335,35.30,28.40,10.00,7.89,0.03,332.64,281.68,484.00,111.00,11_17_2021
PMHPL,69.91,396.10,411.00,373.00,376.00,389.33,"118,272.00",388.40,"46,047,212.80",906,-12.40,38.00,-3.19,10.19,-3.55,333.62,282.98,484.00,111.00,11_18_2021
PMHPL,69.87,396.10,411.00,373.00,376.00,389.33,"118,272.00",388.40,"46,047,212.80",906,-12.40,38.00,-3.19,10.19,-3.55,333.62,282.98,484.00,111.00,11_19_2021
PMHPL,69.87,396.10,411.00,373.00,376.00,389.33,"118,272.00",388.40,"46,047,212.80",906,-12.40,38.00,-3.19,10.19,-3.55,333.62,282.98,484.00,111.00,11_20_2021
PMHPL,65.17,383.00,383.00,364.00,373.00,374.86,"52,474.00",376.00,"19,670,551.90",356,-3.00,19.00,-0.80,5.22,-0.50,334.36,284.28,484.00,111.00,11_21_2021
