Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PPCL,44.66,518.00,537.00,490.00,490.00,514.54,"10,406.00",508.00,"5,354,278.80",130,-18.00,47.00,-3.54,9.59,-5.01,366.39,319.13,642.00,122.00,09_01_2021
PPCL,68.21,546.00,556.00,525.00,545.00,534.82,"27,683.00",546.00,"14,805,450.80",190,-1.00,31.00,-0.18,5.90,1.87,420.50,370.64,642.00,182.00,11_03_2021
PPCL,65.24,546.00,556.00,525.00,545.00,534.82,"27,683.00",546.00,"14,805,450.80",190,-1.00,31.00,-0.18,5.90,1.87,420.50,370.64,642.00,182.00,11_05_2021
PPCL,65.24,546.00,556.00,525.00,545.00,534.82,"27,683.00",546.00,"14,805,450.80",190,-1.00,31.00,-0.18,5.90,1.87,420.50,370.64,642.00,182.00,11_06_2021
PPCL,65.24,546.00,556.00,525.00,545.00,534.82,"27,683.00",546.00,"14,805,450.80",190,-1.00,31.00,-0.18,5.90,1.87,420.50,370.64,642.00,182.00,11_07_2021
PPCL,66.03,555.90,578.00,499.00,518.00,518.32,"84,980.00",545.00,"44,046,471.00",397,-27.00,79.00,-4.95,15.83,-0.06,422.19,372.25,642.00,184.00,11_08_2021
PPCL,65.20,528.30,528.30,495.00,496.50,503.62,"44,876.00",518.00,"22,600,293.40",273,-21.50,33.30,-4.15,6.73,-1.43,423.81,373.76,642.00,184.00,11_09_2021
PPCL,50.63,528.30,528.30,495.00,496.50,503.62,"44,876.00",518.00,"22,600,293.40",273,-21.50,33.30,-4.15,6.73,-1.43,423.81,373.76,642.00,184.00,11_10_2021
PPCL,48.58,490.00,518.90,481.00,510.80,506.06,"38,039.00",496.50,"19,249,931.80",295,14.30,37.90,2.88,7.88,0.93,425.50,375.22,642.00,184.00,11_11_2021
PPCL,46.55,490.00,518.90,481.00,510.80,506.06,"38,039.00",496.50,"19,249,931.80",295,14.30,37.90,2.88,7.88,0.93,425.50,375.22,642.00,184.00,11_12_2021
PPCL,46.55,490.00,518.90,481.00,510.80,506.06,"38,039.00",496.50,"19,249,931.80",295,14.30,37.90,2.88,7.88,0.93,425.50,375.22,642.00,184.00,11_13_2021
PPCL,44.50,501.00,516.00,491.20,510.00,507.49,"21,414.00",510.80,"10,867,474.30",148,-0.80,24.80,-0.16,5.05,0.49,427.21,376.55,642.00,184.00,11_14_2021
PPCL,43.78,515.00,518.90,505.00,506.50,510.19,"26,750.00",510.00,"13,647,522.80",185,-3.50,13.90,-0.69,2.75,-0.73,428.81,377.84,642.00,184.00,11_15_2021
PPCL,47.94,516.60,525.90,507.10,515.00,517.81,"28,449.00",506.50,"14,731,210.40",197,8.50,18.80,1.68,3.71,-0.55,430.42,379.27,642.00,184.00,11_16_2021
PPCL,50.58,525.00,562.00,520.00,540.00,546.42,"95,133.00",515.00,"51,982,942.30",537,25.00,42.00,4.85,8.08,-1.19,432.29,380.83,642.00,184.00,11_17_2021
PPCL,55.95,548.00,549.90,515.00,525.00,528.65,"27,036.00",540.00,"14,292,475.00",187,-15.00,34.90,-2.78,6.78,-0.69,433.82,382.27,642.00,184.00,11_18_2021
PPCL,49.66,548.00,549.90,515.00,525.00,528.65,"27,036.00",540.00,"14,292,475.00",187,-15.00,34.90,-2.78,6.78,-0.69,433.82,382.27,642.00,184.00,11_19_2021
PPCL,49.66,548.00,549.90,515.00,525.00,528.65,"27,036.00",540.00,"14,292,475.00",187,-15.00,34.90,-2.78,6.78,-0.69,433.82,382.27,642.00,184.00,11_20_2021
PPCL,44.96,525.00,535.50,509.00,517.00,516.97,"10,287.00",525.00,"5,318,043.40",116,-8.00,26.50,-1.52,5.21,0.01,435.04,383.76,642.00,184.00,11_21_2021
PPCL,43.10,526.90,530.00,508.00,518.00,522.65,"11,083.00",517.00,"5,792,530.90",97,1.00,22.00,0.19,4.33,-0.90,436.31,385.23,642.00,184.00,11_22_2021
PPCL,43.24,527.00,527.00,492.00,501.00,501.42,"37,492.00",518.00,"18,799,262.50",169,-17.00,35.00,-3.28,7.11,-0.08,437.63,386.62,642.00,184.00,11_23_2021
PPCL,43.95,511.00,526.30,485.00,514.00,513.25,"31,567.00",501.00,"16,201,674.10",193,13.00,41.30,2.59,8.52,0.15,439.00,388.03,642.00,184.00,11_24_2021
PPCL,47.13,524.00,533.00,506.00,508.00,515.70,"16,985.00",514.00,"8,759,115.90",133,-6.00,27.00,-1.17,5.34,-1.52,440.31,389.42,642.00,184.00,11_25_2021
PPCL,43.68,524.00,533.00,506.00,508.00,515.70,"16,985.00",514.00,"8,759,115.90",133,-6.00,27.00,-1.17,5.34,-1.52,440.31,389.42,642.00,184.00,11_26_2021
PPCL,43.68,524.00,533.00,506.00,508.00,515.70,"16,985.00",514.00,"8,759,115.90",133,-6.00,27.00,-1.17,5.34,-1.52,440.31,389.42,642.00,184.00,11_27_2021
PPCL,40.78,497.90,514.00,488.00,490.30,498.45,"17,839.00",508.00,"8,891,832.50",132,-17.70,26.00,-3.48,5.33,-1.66,441.39,390.74,642.00,184.00,11_28_2021
PPCL,37.56,499.90,515.00,479.00,489.00,490.81,"24,610.00",490.30,"12,078,848.50",170,-1.30,36.00,-0.27,7.52,-0.37,442.33,392.06,642.00,184.00,11_29_2021
PPCL,40.22,498.70,506.80,481.40,495.00,490.25,"9,348.00",489.00,"4,582,890.60",77,6.00,25.40,1.23,5.28,0.96,443.34,393.40,642.00,184.00,11_30_2021
PPCL,34.65,489.00,500.00,489.00,490.10,494.73,"8,204.00",495.00,"4,058,760.50",67,-4.90,11.00,-0.99,2.25,-0.94,444.52,394.79,642.00,184.00,12_01_2021
PPCL,34.18,498.90,507.00,475.10,476.10,482.73,"15,229.00",490.10,"7,351,512.40",120,-14.00,31.90,-2.86,6.71,-1.39,445.54,396.10,642.00,184.00,12_02_2021
PPCL,41.90,498.90,507.00,475.10,476.10,482.73,"15,229.00",490.10,"7,351,512.40",120,-14.00,31.90,-2.86,6.71,-1.39,445.54,396.10,642.00,184.00,12_03_2021
