Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PPL,0.00,284.10,305.80,255.70,255.70,268.31,"23,578.00",284.10,"6,326,271.50",740,-28.40,50.10,-10.00,19.59,-4.93,-,-,305.80,255.70,10_16_2022
PPL,32.56,256.00,256.00,230.20,230.20,230.64,"7,417.00",255.70,"1,710,688.40",296,-25.50,25.80,-9.97,11.21,-0.19,-,-,305.80,230.20,10_17_2022
PPL,20.73,256.00,256.00,230.20,230.20,230.64,"7,417.00",255.70,"1,710,688.40",296,-25.50,25.80,-9.97,11.21,-0.19,-,-,305.80,230.20,10_18_2022
PPL,19.91,225.60,225.60,207.30,213.00,210.82,"46,633.00",230.20,"9,830,954.50","3,097",-17.20,18.30,-7.47,8.83,1.03,-,-,305.80,207.30,10_19_2022
PPL,25.18,208.80,225.00,205.00,217.00,216.40,"14,121.00",213.00,"3,055,821.10","1,097",4.00,20.00,1.88,9.76,0.28,-,-,305.80,205.00,10_20_2022
PPL,21.16,208.80,225.00,205.00,217.00,216.40,"14,121.00",213.00,"3,055,821.10","1,097",4.00,20.00,1.88,9.76,0.28,-,-,305.80,205.00,10_21_2022
PPL,21.16,208.80,225.00,205.00,217.00,216.40,"14,121.00",213.00,"3,055,821.10","1,097",4.00,20.00,1.88,9.76,0.28,-,-,305.80,205.00,10_22_2022
PPL,21.16,213.00,217.80,207.10,216.00,213.49,"7,780.00",217.00,"1,660,922.50",471,-1.00,10.70,-0.46,5.17,1.16,-,-,305.80,205.00,10_23_2022
PPL,19.79,213.00,217.80,207.10,216.00,213.49,"7,780.00",217.00,"1,660,922.50",471,-1.00,10.70,-0.46,5.17,1.16,-,-,305.80,205.00,10_24_2022
PPL,19.79,213.00,217.80,207.10,216.00,213.49,"7,780.00",217.00,"1,660,922.50",471,-1.00,10.70,-0.46,5.17,1.16,-,-,305.80,205.00,10_25_2022
PPL,19.79,213.00,217.80,207.10,216.00,213.49,"7,780.00",217.00,"1,660,922.50",471,-1.00,10.70,-0.46,5.17,1.16,-,-,305.80,205.00,10_26_2022
PPL,19.79,213.00,217.80,207.10,216.00,213.49,"7,780.00",217.00,"1,660,922.50",471,-1.00,10.70,-0.46,5.17,1.16,-,-,305.80,205.00,10_27_2022
PPL,19.79,213.00,217.80,207.10,216.00,213.49,"7,780.00",217.00,"1,660,922.50",471,-1.00,10.70,-0.46,5.17,1.16,-,-,305.80,205.00,10_28_2022
PPL,19.79,213.00,217.80,207.10,216.00,213.49,"7,780.00",217.00,"1,660,922.50",471,-1.00,10.70,-0.46,5.17,1.16,-,-,305.80,205.00,10_29_2022
PPL,19.79,213.00,217.80,207.10,216.00,213.49,"7,780.00",217.00,"1,660,922.50",471,-1.00,10.70,-0.46,5.17,1.16,-,-,305.80,205.00,10_30_2022
PPL,19.93,213.00,214.90,209.00,210.00,212.01,"11,450.00",216.00,"2,427,566.00",631,-6.00,5.90,-2.78,2.82,-0.96,-,-,305.80,205.00,10_31_2022
PPL,25.63,205.80,221.20,204.10,220.80,210.75,"20,105.00",210.00,"4,237,046.90",705,10.80,17.10,5.14,8.38,4.55,-,-,305.80,204.10,11_01_2022
PPL,42.21,225.20,225.20,213.00,219.80,219.28,"19,520.00",220.80,"4,280,323.00",649,-1.00,12.20,-0.45,5.73,0.24,-,-,305.80,204.10,11_02_2022
PPL,42.39,215.50,221.00,211.50,213.00,215.39,"8,393.00",219.80,"1,807,773.00",383,-6.80,9.50,-3.09,4.49,-1.12,-,-,305.80,204.10,11_03_2022
PPL,34.67,215.50,221.00,211.50,213.00,215.39,"8,393.00",219.80,"1,807,773.00",383,-6.80,9.50,-3.09,4.49,-1.12,-,-,305.80,204.10,11_04_2022
PPL,34.67,215.50,221.00,211.50,213.00,215.39,"8,393.00",219.80,"1,807,773.00",383,-6.80,9.50,-3.09,4.49,-1.12,-,-,305.80,204.10,11_05_2022
PPL,32.35,210.00,219.00,210.00,217.50,215.73,"7,350.00",213.00,"1,585,612.00",497,4.50,9.00,2.11,4.29,0.81,-,-,305.80,204.10,11_06_2022
PPL,39.10,221.00,222.60,213.00,213.00,218.38,"27,195.00",217.50,"5,938,953.00",643,-4.50,9.60,-2.07,4.51,-2.53,-,-,305.80,204.10,11_07_2022
PPL,39.26,208.80,216.50,208.80,213.00,214.39,"5,581.00",213.00,"1,196,512.50",301,0.00,7.70,0.00,3.69,-0.65,-,-,305.80,204.10,11_08_2022
PPL,34.16,213.00,215.00,207.00,207.00,210.74,"7,623.00",213.00,"1,606,438.60",378,-6.00,8.00,-2.82,3.86,-1.80,-,-,305.80,204.10,11_09_2022
PPL,35.75,207.00,209.00,202.00,203.00,204.13,"12,388.00",207.00,"2,528,795.70",287,-4.00,7.00,-1.93,3.47,-0.56,-,-,305.80,202.00,11_10_2022
PPL,35.75,207.00,209.00,202.00,203.00,204.13,"12,388.00",207.00,"2,528,795.70",287,-4.00,7.00,-1.93,3.47,-0.56,-,-,305.80,202.00,11_10_2022
PPL,37.55,207.00,209.00,202.00,203.00,204.13,"12,388.00",207.00,"2,528,795.70",287,-4.00,7.00,-1.93,3.47,-0.56,-,-,305.80,202.00,11_11_2022
PPL,37.55,207.00,209.00,202.00,203.00,204.13,"12,388.00",207.00,"2,528,795.70",287,-4.00,7.00,-1.93,3.47,-0.56,-,-,305.80,202.00,11_12_2022
PPL,33.70,203.00,203.00,199.80,203.00,201.41,"5,337.00",203.00,"1,074,898.80",257,0.00,3.20,0.00,1.60,0.79,-,-,305.80,199.80,11_13_2022
PPL,34.17,202.10,207.00,200.00,206.90,203.19,"4,600.00",203.00,"934,663.00",238,3.90,7.00,1.92,3.50,1.79,-,-,305.80,199.80,11_14_2022
PPL,37.64,203.00,206.50,200.00,202.00,203.50,"7,171.00",206.90,"1,459,286.10",316,-4.90,6.50,-2.37,3.25,-0.74,-,-,305.80,199.80,11_15_2022
PPL,39.76,202.00,209.00,200.90,203.00,203.48,"8,432.00",202.00,"1,715,703.00",324,1.00,8.10,0.50,4.03,-0.23,-,-,305.80,199.80,11_16_2022
PPL,40.77,203.00,212.80,203.00,206.00,209.14,"11,306.00",203.00,"2,364,587.00",306,3.00,9.80,1.48,4.83,-1.53,-,-,305.80,199.80,11_17_2022
PPL,43.99,203.00,212.80,203.00,206.00,209.14,"11,306.00",203.00,"2,364,587.00",306,3.00,9.80,1.48,4.83,-1.53,-,-,305.80,199.80,11_18_2022
PPL,43.99,203.00,212.80,203.00,206.00,209.14,"11,306.00",203.00,"2,364,587.00",306,3.00,9.80,1.48,4.83,-1.53,-,-,305.80,199.80,11_19_2022
PPL,43.99,203.00,212.80,203.00,206.00,209.14,"11,306.00",203.00,"2,364,587.00",306,3.00,9.80,1.48,4.83,-1.53,-,-,305.80,199.80,11_20_2022
PPL,43.99,203.00,212.80,203.00,206.00,209.14,"11,306.00",203.00,"2,364,587.00",306,3.00,9.80,1.48,4.83,-1.53,-,-,305.80,199.80,11_21_2022
PPL,46.91,202.10,211.00,202.10,204.20,206.10,"6,585.00",206.00,"1,357,139.30",343,-1.80,8.90,-0.87,4.40,-0.93,-,-,305.80,199.80,11_22_2022
PPL,39.94,201.30,214.50,201.30,214.40,204.26,"7,472.00",204.20,"1,526,255.60",281,10.20,13.20,5.00,6.56,4.73,-,-,305.80,199.80,11_23_2022
PPL,45.68,211.00,215.00,205.00,211.00,210.09,"7,005.00",214.40,"1,471,709.50",351,-3.40,10.00,-1.59,4.88,0.43,-,-,305.80,199.80,11_24_2022
PPL,45.50,211.00,215.00,205.00,211.00,210.09,"7,005.00",214.40,"1,471,709.50",351,-3.40,10.00,-1.59,4.88,0.43,-,-,305.80,199.80,11_25_2022
PPL,45.50,211.00,215.00,205.00,211.00,210.09,"7,005.00",214.40,"1,471,709.50",351,-3.40,10.00,-1.59,4.88,0.43,-,-,305.80,199.80,11_26_2022
PPL,48.95,207.00,215.20,207.00,212.00,209.36,"7,568.00",211.00,"1,584,431.40",415,1.00,8.20,0.47,3.96,1.25,-,-,305.80,199.80,11_27_2022
PPL,49.55,208.00,216.20,208.00,211.80,210.93,"6,509.00",212.00,"1,372,940.00",288,-0.20,8.20,-0.09,3.94,0.41,-,-,305.80,199.80,11_28_2022
PPL,51.04,207.80,212.00,205.20,210.00,209.09,"7,070.00",211.80,"1,478,290.50",247,-1.80,6.80,-0.85,3.31,0.43,-,-,305.80,199.80,11_29_2022
PPL,33.28,210.00,214.00,206.00,208.00,207.91,"6,690.00",210.00,"1,390,918.00",303,-2.00,8.00,-0.95,3.88,0.04,-,-,305.80,199.80,11_30_2022
PPL,30.48,205.00,211.00,204.80,210.90,208.43,"7,934.00",208.00,"1,653,644.40",309,2.90,6.20,1.39,3.03,1.17,-,-,305.80,199.80,12_01_2022
PPL,41.43,205.00,211.00,204.80,210.90,208.43,"7,934.00",208.00,"1,653,644.40",309,2.90,6.20,1.39,3.03,1.17,-,-,305.80,199.80,12_02_2022
PPL,41.43,205.00,211.00,204.80,210.90,208.43,"7,934.00",208.00,"1,653,644.40",309,2.90,6.20,1.39,3.03,1.17,-,-,305.80,199.80,12_03_2022
PPL,42.76,210.00,218.40,209.00,209.10,212.61,"8,006.00",210.90,"1,702,168.80",378,-1.80,9.40,-0.85,4.50,-1.68,-,-,305.80,199.80,12_04_2022
PPL,40.68,209.00,211.10,202.40,204.00,204.41,"12,794.00",209.10,"2,615,164.80",241,-5.10,8.70,-2.44,4.30,-0.20,-,-,305.80,199.80,12_05_2022
PPL,38.44,201.00,210.00,201.00,204.50,205.43,"6,755.00",204.00,"1,387,708.00",259,0.50,9.00,0.25,4.48,-0.46,-,-,305.80,199.80,12_06_2022
PPL,39.86,200.80,205.00,200.80,201.50,202.40,"6,620.00",204.50,"1,339,905.20",211,-3.00,4.20,-1.47,2.09,-0.45,-,-,305.80,199.80,12_07_2022
PPL,28.72,200.80,205.00,200.80,201.50,202.40,"6,620.00",204.50,"1,339,905.20",211,-3.00,4.20,-1.47,2.09,-0.45,-,-,305.80,199.80,12_08_2022
PPL,28.72,200.80,205.00,200.80,201.50,202.40,"6,620.00",204.50,"1,339,905.20",211,-3.00,4.20,-1.47,2.09,-0.45,-,-,305.80,199.80,12_09_2022
PPL,28.72,200.80,205.00,200.80,201.50,202.40,"6,620.00",204.50,"1,339,905.20",211,-3.00,4.20,-1.47,2.09,-0.45,-,-,305.80,199.80,12_10_2022
PPL,30.14,201.60,201.60,198.00,198.00,199.21,"6,901.00",201.50,"1,374,769.00",290,-3.50,3.60,-1.74,1.82,-0.61,-,-,305.80,198.00,12_11_2022
PPL,30.91,201.90,203.50,195.00,202.00,200.02,"3,095.00",198.00,"619,057.00",178,4.00,8.50,2.02,4.36,0.98,-,-,305.80,195.00,12_12_2022
PPL,33.95,198.20,206.00,198.20,204.90,202.17,"3,333.00",202.00,"673,837.00",177,2.90,7.80,1.44,3.94,1.33,-,-,305.80,195.00,12_13_2022
PPL,35.49,208.90,208.90,199.90,204.00,201.84,"4,530.00",204.90,"914,333.00",270,-0.90,9.00,-0.44,4.50,1.06,-,-,305.80,195.00,12_14_2022
PPL,43.29,204.00,207.00,196.20,200.00,199.50,"6,335.00",204.00,"1,263,801.80",379,-4.00,10.80,-1.96,5.50,0.25,-,-,305.80,195.00,12_15_2022
PPL,45.13,204.00,207.00,196.20,200.00,199.50,"6,335.00",204.00,"1,263,801.80",379,-4.00,10.80,-1.96,5.50,0.25,-,-,305.80,195.00,12_16_2022
PPL,45.13,204.00,207.00,196.20,200.00,199.50,"6,335.00",204.00,"1,263,801.80",379,-4.00,10.80,-1.96,5.50,0.25,-,-,305.80,195.00,12_17_2022
PPL,44.90,198.00,204.00,195.00,198.00,197.80,"6,260.00",200.00,"1,238,213.60",351,-2.00,9.00,-1.00,4.62,0.10,-,-,305.80,195.00,12_18_2022
PPL,28.20,194.20,203.70,194.20,194.80,195.68,"13,969.00",198.00,"2,733,486.50",393,-3.20,9.50,-1.62,4.89,-0.45,-,-,305.80,194.20,12_19_2022
PPL,31.55,198.60,200.00,191.30,199.00,195.27,"8,085.00",194.80,"1,578,761.50",313,4.20,8.70,2.16,4.55,1.87,-,-,305.80,191.30,12_20_2022
PPL,31.04,195.10,200.00,191.20,192.50,194.35,"4,160.00",199.00,"808,503.00",238,-6.50,8.80,-3.27,4.60,-0.96,-,-,305.80,191.20,12_21_2022
PPL,28.19,190.00,196.00,190.00,196.00,191.42,"3,556.00",192.50,"680,676.10",229,3.50,6.00,1.82,3.16,2.34,-,-,305.80,190.00,12_22_2022
PPL,35.90,190.00,196.00,190.00,196.00,191.42,"3,556.00",192.50,"680,676.10",229,3.50,6.00,1.82,3.16,2.34,-,-,305.80,190.00,12_23_2022
PPL,35.90,190.00,196.00,190.00,196.00,191.42,"3,556.00",192.50,"680,676.10",229,3.50,6.00,1.82,3.16,2.34,-,-,305.80,190.00,12_24_2022
PPL,35.90,190.00,196.00,190.00,196.00,191.42,"3,556.00",192.50,"680,676.10",229,3.50,6.00,1.82,3.16,2.34,-,-,305.80,190.00,12_25_2022
PPL,35.73,192.10,202.80,190.00,202.80,199.22,"14,025.00",196.00,"2,794,071.00",331,6.80,12.80,3.47,6.74,1.76,-,-,305.80,190.00,12_26_2022
PPL,50.34,206.80,211.00,202.00,208.00,206.91,"27,582.00",202.80,"5,706,989.00",436,5.20,9.00,2.56,4.46,0.52,-,-,305.80,190.00,12_27_2022
