Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PROFL,57.79,535.00,558.00,530.00,540.00,545.60,"177,299.00",535.00,"96,735,086.10","1,046",5.00,28.00,0.93,5.28,-1.04,308.09,255.01,574.00,101.00,09_01_2021
PROFL,65.02,463.00,470.00,446.00,447.00,456.05,"28,389.00",454.00,"12,946,680.60",251,-7.00,24.00,-1.54,5.38,-2.02,395.11,319.25,574.00,116.00,11_03_2021
PROFL,59.55,463.00,470.00,446.00,447.00,456.05,"28,389.00",454.00,"12,946,680.60",251,-7.00,24.00,-1.54,5.38,-2.02,395.11,319.25,574.00,116.00,11_05_2021
PROFL,59.55,463.00,470.00,446.00,447.00,456.05,"28,389.00",454.00,"12,946,680.60",251,-7.00,24.00,-1.54,5.38,-2.02,395.11,319.25,574.00,116.00,11_06_2021
PROFL,59.55,463.00,470.00,446.00,447.00,456.05,"28,389.00",454.00,"12,946,680.60",251,-7.00,24.00,-1.54,5.38,-2.02,395.11,319.25,574.00,116.00,11_07_2021
PROFL,60.34,450.00,458.00,434.00,442.00,448.06,"17,717.00",447.00,"7,938,296.70",156,-5.00,24.00,-1.12,5.53,-1.37,397.29,320.82,574.00,116.00,11_08_2021
PROFL,55.28,442.00,446.00,413.00,419.40,425.48,"37,623.00",442.00,"16,007,848.20",364,-22.60,33.00,-5.11,7.99,-1.45,399.29,322.26,574.00,116.00,11_09_2021
PROFL,52.90,442.00,446.00,413.00,419.40,425.48,"37,623.00",442.00,"16,007,848.20",364,-22.60,33.00,-5.11,7.99,-1.45,399.29,322.26,574.00,116.00,11_10_2021
PROFL,50.85,411.20,428.00,400.00,400.00,406.93,"51,106.00",419.40,"20,796,540.80",392,-19.40,28.00,-4.63,7.00,-1.73,401.14,323.60,574.00,116.00,11_11_2021
PROFL,51.29,411.20,428.00,400.00,400.00,406.93,"51,106.00",419.40,"20,796,540.80",392,-19.40,28.00,-4.63,7.00,-1.73,401.14,323.60,574.00,116.00,11_12_2021
PROFL,51.29,411.20,428.00,400.00,400.00,406.93,"51,106.00",419.40,"20,796,540.80",392,-19.40,28.00,-4.63,7.00,-1.73,401.14,323.60,574.00,116.00,11_13_2021
PROFL,49.24,401.00,430.00,392.00,411.00,411.46,"42,631.00",400.00,"17,540,929.00",362,11.00,38.00,2.75,9.69,-0.11,403.08,324.97,574.00,116.00,11_14_2021
PROFL,48.97,419.00,433.00,416.00,425.40,425.51,"24,677.00",411.00,"10,500,341.90",210,14.40,17.00,3.50,4.09,-0.03,405.09,326.41,574.00,116.00,11_15_2021
PROFL,46.87,428.00,440.00,417.10,435.00,433.85,"38,635.00",425.40,"16,761,807.20",252,9.60,22.90,2.26,5.49,0.26,407.03,327.91,574.00,116.00,11_16_2021
PROFL,55.38,441.60,461.00,427.00,430.00,442.44,"39,856.00",435.00,"17,633,731.90",302,-5.00,34.00,-1.15,7.96,-2.89,408.76,329.41,574.00,116.00,11_17_2021
PROFL,65.42,422.00,435.00,415.00,421.00,425.27,"24,590.00",430.00,"10,457,474.40",235,-9.00,20.00,-2.09,4.82,-1.02,410.24,330.83,574.00,116.00,11_18_2021
PROFL,54.49,422.00,435.00,415.00,421.00,425.27,"24,590.00",430.00,"10,457,474.40",235,-9.00,20.00,-2.09,4.82,-1.02,410.24,330.83,574.00,116.00,11_19_2021
PROFL,54.49,422.00,435.00,415.00,421.00,425.27,"24,590.00",430.00,"10,457,474.40",235,-9.00,20.00,-2.09,4.82,-1.02,410.24,330.83,574.00,116.00,11_20_2021
PROFL,49.79,421.00,443.90,421.00,422.00,426.20,"21,586.00",421.00,"9,199,875.10",169,1.00,22.90,0.24,5.44,-0.99,411.52,332.28,574.00,116.00,11_21_2021
PROFL,42.07,425.00,432.00,422.00,424.00,426.04,"16,328.00",422.00,"6,956,416.60",130,2.00,10.00,0.47,2.37,-0.48,412.93,333.71,574.00,116.00,11_22_2021
PROFL,43.84,420.00,423.00,406.70,408.00,412.35,"25,603.00",424.00,"10,557,451.80",253,-16.00,16.30,-3.77,4.01,-1.07,414.15,335.03,574.00,116.00,11_23_2021
PROFL,45.04,400.00,424.00,395.00,418.90,412.17,"26,520.00",408.00,"10,930,792.20",245,10.90,29.00,2.67,7.34,1.61,415.38,336.41,574.00,116.00,11_24_2021
PROFL,50.34,425.00,425.00,415.00,415.00,418.75,"18,834.00",418.90,"7,886,818.50",152,-3.90,10.00,-0.93,2.41,-0.90,416.59,337.77,574.00,116.00,11_25_2021
PROFL,36.96,425.00,425.00,415.00,415.00,418.75,"18,834.00",418.90,"7,886,818.50",152,-3.90,10.00,-0.93,2.41,-0.90,416.59,337.77,574.00,116.00,11_26_2021
PROFL,36.96,425.00,425.00,415.00,415.00,418.75,"18,834.00",418.90,"7,886,818.50",152,-3.90,10.00,-0.93,2.41,-0.90,416.59,337.77,574.00,116.00,11_27_2021
PROFL,34.06,413.00,413.00,396.00,396.00,402.11,"36,270.00",415.00,"14,584,488.50",318,-19.00,17.00,-4.58,4.29,-1.54,417.48,339.03,574.00,116.00,11_28_2021
PROFL,41.65,388.50,410.00,388.50,398.00,399.87,"27,223.00",396.00,"10,885,572.60",261,2.00,21.50,0.51,5.53,-0.47,418.40,340.29,574.00,116.00,11_29_2021
PROFL,45.31,398.00,404.90,392.50,399.90,396.35,"27,382.00",398.00,"10,852,763.40",157,1.90,12.40,0.48,3.16,0.89,419.25,341.60,574.00,116.00,11_30_2021
PROFL,38.63,400.00,408.00,400.00,402.00,402.37,"14,864.00",399.90,"5,980,876.10",147,2.10,8.00,0.53,2.00,-0.09,420.20,342.93,574.00,116.00,12_01_2021
PROFL,43.96,400.00,400.00,384.00,388.00,389.24,"25,460.00",402.00,"9,910,093.70",203,-14.00,16.00,-3.48,4.17,-0.32,421.02,344.19,574.00,116.00,12_02_2021
PROFL,47.40,400.00,400.00,384.00,388.00,389.24,"25,460.00",402.00,"9,910,093.70",203,-14.00,16.00,-3.48,4.17,-0.32,421.02,344.19,574.00,116.00,12_03_2021
PROFL,47.40,400.00,400.00,384.00,388.00,389.24,"25,460.00",402.00,"9,910,093.70",203,-14.00,16.00,-3.48,4.17,-0.32,421.02,344.19,574.00,116.00,12_04_2021
PROFL,46.50,383.00,388.10,368.00,370.00,375.62,"29,445.00",388.00,"11,060,105.50",214,-18.00,20.10,-4.64,5.46,-1.52,421.47,345.35,574.00,116.00,12_05_2021
PROFL,42.03,377.00,396.00,342.00,389.00,373.80,"32,141.00",370.00,"12,014,251.60",320,19.00,54.00,5.14,15.79,3.91,421.96,346.64,574.00,116.00,12_06_2021
PROFL,46.69,396.00,410.00,370.60,380.00,387.06,"40,689.00",389.00,"15,749,180.60",281,-9.00,39.40,-2.31,10.63,-1.86,422.47,347.85,574.00,116.00,12_07_2021
PROFL,44.65,374.00,387.00,363.00,366.00,371.85,"17,404.00",380.00,"6,471,761.70",148,-14.00,24.00,-3.68,6.61,-1.60,422.68,349.00,574.00,116.00,12_08_2021
PROFL,37.74,370.00,374.90,359.00,365.00,366.43,"23,307.00",366.00,"8,540,365.50",185,-1.00,15.90,-0.27,4.43,-0.39,422.59,350.15,574.00,116.00,12_09_2021
PROFL,42.95,370.00,374.90,359.00,365.00,366.43,"23,307.00",366.00,"8,540,365.50",185,-1.00,15.90,-0.27,4.43,-0.39,422.59,350.15,574.00,116.00,12_10_2021
PROFL,42.95,370.00,374.90,359.00,365.00,366.43,"23,307.00",366.00,"8,540,365.50",185,-1.00,15.90,-0.27,4.43,-0.39,422.59,350.15,574.00,116.00,12_11_2021
PROFL,42.30,360.00,361.00,334.20,335.00,346.76,"43,553.00",365.00,"15,102,591.70",326,-30.00,26.80,-8.22,8.02,-3.51,422.27,351.12,574.00,116.00,12_12_2021
PROFL,34.05,329.00,335.00,306.00,311.00,318.61,"36,759.00",335.00,"11,711,613.00",293,-24.00,29.00,-7.16,9.48,-2.45,421.67,351.99,574.00,116.00,12_13_2021
PROFL,35.62,317.00,342.10,317.00,342.10,334.93,"13,789.00",311.00,"4,618,364.30",155,31.10,25.10,10.00,7.92,2.10,421.01,353.04,574.00,116.00,12_14_2021
PROFL,39.53,348.90,376.30,337.00,357.00,362.84,"49,076.00",342.10,"17,806,590.40",451,14.90,39.30,4.36,11.66,-1.64,420.32,354.16,574.00,116.00,12_15_2021
PROFL,46.30,350.00,357.00,342.10,346.00,347.83,"20,106.00",357.00,"6,993,505.60",140,-11.00,14.90,-3.08,4.36,-0.53,419.70,355.19,574.00,116.00,12_16_2021
PROFL,47.62,350.00,357.00,342.10,346.00,347.83,"20,106.00",357.00,"6,993,505.60",140,-11.00,14.90,-3.08,4.36,-0.53,419.70,355.19,574.00,116.00,12_17_2021
PROFL,47.62,350.00,357.00,342.10,346.00,347.83,"20,106.00",357.00,"6,993,505.60",140,-11.00,14.90,-3.08,4.36,-0.53,419.70,355.19,574.00,116.00,12_18_2021
PROFL,47.62,350.00,357.00,342.10,346.00,347.83,"20,106.00",357.00,"6,993,505.60",140,-11.00,14.90,-3.08,4.36,-0.53,419.70,355.19,574.00,116.00,12_19_2021
PROFL,44.93,347.00,352.00,329.00,335.00,335.43,"15,934.00",346.00,"5,344,786.10",165,-11.00,23.00,-3.18,6.99,-0.13,419.33,356.17,574.00,116.00,12_20_2021
PROFL,45.16,341.70,360.00,336.00,346.00,344.94,"17,878.00",335.00,"6,166,787.50",106,11.00,24.00,3.28,7.14,0.31,418.96,357.21,574.00,116.00,12_21_2021
PROFL,46.36,352.10,370.00,346.00,368.00,363.75,"29,195.00",346.00,"10,619,721.00",205,22.00,24.00,6.36,6.94,1.15,418.95,358.37,574.00,119.00,12_22_2021
PROFL,51.84,368.00,377.00,363.10,366.00,369.79,"27,807.00",368.00,"10,282,723.80",203,-2.00,13.90,-0.54,3.83,-1.04,419.19,359.54,574.00,119.00,12_23_2021
PROFL,53.76,368.00,377.00,363.10,366.00,369.79,"27,807.00",368.00,"10,282,723.80",203,-2.00,13.90,-0.54,3.83,-1.04,419.19,359.54,574.00,119.00,12_24_2021
PROFL,53.76,368.00,377.00,363.10,366.00,369.79,"27,807.00",368.00,"10,282,723.80",203,-2.00,13.90,-0.54,3.83,-1.04,419.19,359.54,574.00,119.00,12_25_2021
PROFL,52.13,372.00,372.00,355.00,364.50,363.33,"26,709.00",366.00,"9,704,049.30",214,-1.50,17.00,-0.41,4.79,0.32,419.15,360.68,574.00,119.00,12_26_2021
PROFL,52.25,365.00,365.00,339.00,343.10,350.63,"33,778.00",364.50,"11,843,635.50",228,-21.40,26.00,-5.87,7.67,-2.20,418.93,361.72,574.00,119.00,12_27_2021
PROFL,49.07,336.30,358.00,330.00,350.00,344.37,"21,220.00",343.10,"7,307,468.20",156,6.90,28.00,2.01,8.48,1.61,418.80,362.78,574.00,119.00,12_28_2021
PROFL,40.19,350.00,355.90,343.00,350.00,348.75,"18,448.00",350.00,"6,433,779.00",101,0.00,12.90,0.00,3.76,0.36,418.78,363.84,574.00,119.00,12_29_2021
PROFL,41.93,350.00,355.90,343.00,350.00,348.75,"18,448.00",350.00,"6,433,779.00",101,0.00,12.90,0.00,3.76,0.36,418.78,363.84,574.00,119.00,12_30_2021
PROFL,41.93,350.00,355.90,343.00,350.00,348.75,"18,448.00",350.00,"6,433,779.00",101,0.00,12.90,0.00,3.76,0.36,418.78,363.84,574.00,119.00,12_31_2021
PROFL,41.93,350.00,355.90,343.00,350.00,348.75,"18,448.00",350.00,"6,433,779.00",101,0.00,12.90,0.00,3.76,0.36,418.78,363.84,574.00,119.00,01_01_2022
PROFL,43.47,346.00,357.00,345.00,354.90,352.57,"26,954.00",350.00,"9,503,097.50",152,4.90,12.00,1.40,3.48,0.66,418.91,364.93,574.00,119.00,01_02_2022
PROFL,48.54,338.30,352.90,338.00,345.00,347.12,"29,472.00",331.68,"10,230,417.90",224,13.32,14.90,4.02,4.41,-0.62,419.20,365.96,574.00,119.00,01_03_2022
PROFL,54.91,351.90,379.00,343.00,368.00,356.18,"41,795.00",345.00,"14,886,708.60",226,23.00,36.00,6.67,10.50,3.21,419.43,367.07,574.00,122.00,01_04_2022
PROFL,59.16,372.00,372.90,350.00,360.00,363.37,"39,967.00",368.00,"14,522,779.60",277,-8.00,22.90,-2.17,6.54,-0.94,419.54,368.14,574.00,126.00,01_05_2022
PROFL,58.78,360.00,365.00,355.00,360.10,361.01,"22,883.00",360.00,"8,261,018.10",158,0.10,10.00,0.03,2.82,-0.25,419.68,369.20,574.00,127.00,01_06_2022
PROFL,56.62,360.00,365.00,355.00,360.10,361.01,"22,883.00",360.00,"8,261,018.10",158,0.10,10.00,0.03,2.82,-0.25,419.68,369.20,574.00,127.00,01_07_2022
PROFL,56.62,360.00,365.00,355.00,360.10,361.01,"22,883.00",360.00,"8,261,018.10",158,0.10,10.00,0.03,2.82,-0.25,419.68,369.20,574.00,127.00,01_08_2022
PROFL,57.09,367.00,393.70,367.00,393.70,382.68,"60,031.00",360.10,"22,972,783.20",405,33.60,26.70,9.33,7.28,2.80,420.13,370.44,574.00,127.00,01_09_2022
PROFL,63.72,401.00,410.00,382.20,398.00,399.90,"74,179.00",393.70,"29,664,484.90",488,4.30,27.80,1.09,7.27,-0.48,420.69,371.67,574.00,127.00,01_10_2022
PROFL,66.99,390.10,437.80,390.10,424.00,414.80,"75,176.00",398.00,"31,183,192.00",551,26.00,47.70,6.53,12.23,2.17,421.50,373.03,574.00,128.00,01_11_2022
PROFL,66.83,415.60,440.00,410.00,411.00,423.96,"87,808.00",424.00,"37,227,192.10",572,-13.00,30.00,-3.07,7.32,-3.15,422.13,374.33,574.00,128.00,01_12_2022
PROFL,61.84,410.00,423.20,403.00,420.10,418.56,"50,624.00",411.00,"21,189,046.30",339,9.10,20.20,2.21,5.01,0.37,422.57,375.59,574.00,132.00,01_13_2022
PROFL,57.56,410.00,423.20,403.00,420.10,418.56,"50,624.00",411.00,"21,189,046.30",339,9.10,20.20,2.21,5.01,0.37,422.57,375.59,574.00,132.00,01_14_2022
PROFL,57.56,410.00,423.20,403.00,420.10,418.56,"50,624.00",411.00,"21,189,046.30",339,9.10,20.20,2.21,5.01,0.37,422.57,375.59,574.00,132.00,01_15_2022
PROFL,58.76,428.00,442.00,426.30,429.00,434.90,"68,732.00",420.10,"29,891,478.80",409,8.90,15.70,2.12,3.68,-1.38,423.11,376.91,574.00,134.00,01_16_2022
