Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PROFLP,38.92,119.00,119.00,119.00,119.00,119.00,"19,161.00",119.00,"2,280,159.00",8,0.00,0.00,0.00,0.00,0.00,-,-,119.00,119.00,07_13_2022
PROFLP,-,119.00,119.00,119.00,119.00,119.00,"111,042.00",119.00,"13,213,998.00",9,0.00,0.00,0.00,0.00,0.00,-,-,119.00,119.00,07_14_2022
PROFLP,46.26,119.00,119.00,119.00,119.00,119.00,"15,069.00",119.00,"1,793,211.00",6,0.00,0.00,0.00,0.00,0.00,-,-,119.00,119.00,07_20_2022
PROFLP,42.77,119.00,119.00,119.00,119.00,119.00,"3,239.00",119.00,"385,441.00",1,0.00,0.00,0.00,0.00,0.00,-,-,119.00,119.00,07_21_2022
PROFLP,41.79,119.00,119.00,119.00,119.00,119.00,"3,239.00",119.00,"385,441.00",1,0.00,0.00,0.00,0.00,0.00,-,-,119.00,119.00,07_22_2022
PROFLP,27.67,119.00,119.00,119.00,119.00,119.00,"3,239.00",119.00,"385,441.00",1,0.00,0.00,0.00,0.00,0.00,-,-,119.00,119.00,07_23_2022
PROFLP,21.98,119.00,119.00,119.00,119.00,119.00,"35,720.00",119.00,"4,250,680.00",8,0.00,0.00,0.00,0.00,0.00,-,-,119.00,119.00,09_06_2022
PROFLP,28.87,119.00,119.00,119.00,119.00,119.00,"166,209.00",119.00,"19,778,871.00",26,0.00,0.00,0.00,0.00,0.00,-,-,119.00,119.00,10_13_2022
PROFLP,32.65,119.00,119.00,119.00,119.00,119.00,"166,209.00",119.00,"19,778,871.00",26,0.00,0.00,0.00,0.00,0.00,-,-,119.00,119.00,10_14_2022
PROFLP,32.65,119.00,119.00,119.00,119.00,119.00,"166,209.00",119.00,"19,778,871.00",26,0.00,0.00,0.00,0.00,0.00,-,-,119.00,119.00,10_15_2022
PROFLP,32.77,119.00,119.00,119.00,119.00,119.00,"54,019.00",119.00,"6,428,261.00",17,0.00,0.00,0.00,0.00,0.00,-,-,119.00,119.00,10_16_2022
