Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PRVU,50.87,448.00,455.00,441.00,444.00,447.63,"183,817.00",444.00,"82,281,189.80","1,102",0.00,14.00,0.00,3.17,-0.82,456.47,443.35,525.00,226.00,09_01_2021
PRVU,48.61,393.80,396.00,387.00,387.50,388.69,"49,891.00",386.10,"19,392,146.20",329,1.40,9.00,0.36,2.33,-0.31,444.43,446.65,525.00,250.00,11_03_2021
PRVU,48.23,393.80,396.00,387.00,387.50,388.69,"49,891.00",386.10,"19,392,146.20",329,1.40,9.00,0.36,2.33,-0.31,444.43,446.65,525.00,250.00,11_05_2021
PRVU,48.23,393.80,396.00,387.00,387.50,388.69,"49,891.00",386.10,"19,392,146.20",329,1.40,9.00,0.36,2.33,-0.31,444.43,446.65,525.00,250.00,11_06_2021
PRVU,48.23,393.80,396.00,387.00,387.50,388.69,"49,891.00",386.10,"19,392,146.20",329,1.40,9.00,0.36,2.33,-0.31,444.43,446.65,525.00,250.00,11_07_2021
PRVU,49.02,395.00,395.00,385.00,385.20,387.96,"47,630.00",387.50,"18,478,735.50",304,-2.30,10.00,-0.59,2.60,-0.72,444.05,446.39,525.00,266.00,11_08_2021
PRVU,48.81,389.00,389.00,371.70,373.80,377.60,"94,797.00",385.20,"35,795,339.90",573,-11.40,17.30,-2.96,4.65,-1.02,443.58,446.04,525.00,268.00,11_09_2021
PRVU,49.98,389.00,389.00,371.70,373.80,377.60,"94,797.00",385.20,"35,795,339.90",573,-11.40,17.30,-2.96,4.65,-1.02,443.58,446.04,525.00,268.00,11_10_2021
PRVU,47.93,366.40,366.40,366.40,366.40,366.40,100.00,373.80,"36,640.00",1,-7.40,0.00,-1.98,0.00,0.00,443.03,445.43,525.00,272.00,11_11_2021
PRVU,39.83,366.40,366.40,366.40,366.40,366.40,100.00,373.80,"36,640.00",1,-7.40,0.00,-1.98,0.00,0.00,443.03,445.43,525.00,272.00,11_12_2021
PRVU,39.83,366.40,366.40,366.40,366.40,366.40,100.00,373.80,"36,640.00",1,-7.40,0.00,-1.98,0.00,0.00,443.03,445.43,525.00,272.00,11_13_2021
PRVU,37.78,366.00,370.00,360.00,363.00,363.40,"64,587.00",366.40,"23,470,593.70",537,-3.40,10.00,-0.93,2.78,-0.11,442.46,444.84,525.00,285.00,11_14_2021
PRVU,46.54,370.00,370.20,362.00,364.00,364.09,"96,416.00",363.00,"35,103,759.30",405,1.00,8.20,0.28,2.27,-0.02,441.90,444.13,525.00,285.00,11_15_2021
PRVU,48.62,364.00,368.00,360.00,366.40,364.93,"76,765.00",364.00,"28,014,176.20",417,2.40,8.00,0.66,2.22,0.40,441.34,443.50,525.00,285.00,11_16_2021
PRVU,53.02,373.70,381.00,368.00,375.00,373.15,"56,375.00",366.40,"21,036,410.70",358,8.60,13.00,2.35,3.53,0.49,440.78,442.95,525.00,285.00,11_17_2021
