Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PRVUPO,48.34,204.00,204.00,204.00,204.00,204.00,"100,000.00",200.00,"20,400,000.00",1,4.00,0.00,2.00,0.00,0.00,167.56,-,204.00,128.00,09_01_2021
PRVUPO,33.55,193.00,193.00,193.00,193.00,193.00,"106,226.00",193.00,"20,501,618.00",2,0.00,0.00,0.00,0.00,0.00,168.21,165.48,296.00,130.00,11_21_2021
PRVUPO,46.95,193.00,193.00,193.00,193.00,193.00,"45,401.00",193.00,"8,762,393.00",1,0.00,0.00,0.00,0.00,0.00,168.24,165.78,296.00,130.00,11_24_2021
PRVUPO,41.06,195.00,195.00,195.00,195.00,195.00,"13,847.00",193.00,"2,700,165.00",1,2.00,0.00,1.04,0.00,0.00,168.30,166.13,296.00,130.00,11_29_2021
PRVUPO,42.55,191.10,191.10,191.10,191.10,191.10,"262,001.00",195.00,"50,068,391.10",1,-3.90,0.00,-2.00,0.00,0.00,168.31,166.52,296.00,168.00,12_12_2021
PRVUPO,41.78,191.10,191.10,191.10,191.10,191.10,"6,968.00",191.10,"1,331,584.80",2,0.00,0.00,0.00,0.00,0.00,168.32,166.96,296.00,168.00,12_16_2021
PRVUPO,35.13,191.10,191.10,191.10,191.10,191.10,"6,968.00",191.10,"1,331,584.80",2,0.00,0.00,0.00,0.00,0.00,168.32,166.96,296.00,168.00,12_17_2021
PRVUPO,35.13,191.10,191.10,191.10,191.10,191.10,"6,968.00",191.10,"1,331,584.80",2,0.00,0.00,0.00,0.00,0.00,168.32,166.96,296.00,168.00,12_18_2021
PRVUPO,35.13,191.10,191.10,191.10,191.10,191.10,"6,968.00",191.10,"1,331,584.80",2,0.00,0.00,0.00,0.00,0.00,168.32,166.96,296.00,168.00,12_19_2021
PRVUPO,33.72,141.70,145.00,141.70,145.00,145.00,"884,000.00",139.00,"128,179,962.00",5,6.00,3.30,4.32,2.33,0.00,167.95,167.19,296.00,141.70,05_19_2022
PRVUPO,34.60,145.00,145.00,145.00,145.00,200.00,"880,375.00",145.00,"176,075,000.00",4,0.00,0.00,0.00,0.00,-37.93,167.57,167.44,296.00,141.70,05_27_2022
