Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
PSF,55.02,10.10,10.15,10.05,10.05,10.07,"36,543.00",10.13,"368,157.79",37,-0.08,0.10,-0.79,1.00,-0.25,-,-,11.22,9.85,09_01_2021
PSF,53.06,9.54,9.85,9.54,9.70,9.70,"32,422.00",9.69,"314,651.84",37,0.01,0.31,0.10,3.25,-0.05,-,-,11.22,9.09,11_03_2021
PSF,56.50,9.54,9.85,9.54,9.70,9.70,"32,422.00",9.69,"314,651.84",37,0.01,0.31,0.10,3.25,-0.05,-,-,11.22,9.09,11_05_2021
PSF,56.50,9.54,9.85,9.54,9.70,9.70,"32,422.00",9.69,"314,651.84",37,0.01,0.31,0.10,3.25,-0.05,-,-,11.22,9.09,11_06_2021
PSF,56.50,9.54,9.85,9.54,9.70,9.70,"32,422.00",9.69,"314,651.84",37,0.01,0.31,0.10,3.25,-0.05,-,-,11.22,9.09,11_07_2021
PSF,57.29,9.58,9.85,9.58,9.80,9.73,"24,330.00",9.70,"236,770.40",33,0.10,0.27,1.03,2.82,0.70,-,-,11.22,9.09,11_08_2021
PSF,60.78,9.80,9.99,9.50,9.69,9.63,"30,272.00",9.80,"291,404.68",27,-0.11,0.49,-1.12,5.16,0.66,-,-,11.22,9.09,11_09_2021
PSF,54.89,9.80,9.99,9.50,9.69,9.63,"30,272.00",9.80,"291,404.68",27,-0.11,0.49,-1.12,5.16,0.66,-,-,11.22,9.09,11_10_2021
PSF,52.84,9.50,9.60,9.42,9.50,9.49,"22,604.00",9.69,"214,513.00",26,-0.19,0.18,-1.96,1.91,0.10,-,-,11.22,9.09,11_11_2021
PSF,52.13,9.50,9.60,9.42,9.50,9.49,"22,604.00",9.69,"214,513.00",26,-0.19,0.18,-1.96,1.91,0.10,-,-,11.22,9.09,11_12_2021
PSF,52.13,9.50,9.60,9.42,9.50,9.49,"22,604.00",9.69,"214,513.00",26,-0.19,0.18,-1.96,1.91,0.10,-,-,11.22,9.09,11_13_2021
PSF,50.08,9.32,9.77,9.32,9.60,9.58,"29,650.00",9.50,"284,071.60",20,0.10,0.45,1.05,4.83,0.20,-,-,11.22,9.09,11_14_2021
PSF,44.21,9.41,9.59,9.40,9.52,9.46,"22,536.00",9.60,"213,103.74",35,-0.08,0.19,-0.83,2.02,0.67,-,-,11.22,9.09,11_15_2021
PSF,43.69,9.33,9.71,9.33,9.67,9.48,"22,248.00",9.52,"210,813.58",23,0.15,0.38,1.58,4.07,2.01,-,-,11.22,9.09,11_16_2021
PSF,52.89,9.49,9.50,9.42,9.47,9.49,"32,500.00",9.67,"308,348.20",39,-0.20,0.08,-2.07,0.85,-0.19,-,-,11.22,9.09,11_17_2021
PSF,55.84,9.50,9.50,9.32,9.50,9.43,"11,950.00",9.47,"112,735.50",37,0.03,0.18,0.32,1.93,0.70,-,-,11.22,9.09,11_18_2021
PSF,41.16,9.50,9.50,9.32,9.50,9.43,"11,950.00",9.47,"112,735.50",37,0.03,0.18,0.32,1.93,0.70,-,-,11.22,9.09,11_19_2021
PSF,41.16,9.50,9.50,9.32,9.50,9.43,"11,950.00",9.47,"112,735.50",37,0.03,0.18,0.32,1.93,0.70,-,-,11.22,9.09,11_20_2021
PSF,36.46,9.31,9.45,9.31,9.43,9.41,"14,950.00",9.50,"140,685.00",30,-0.07,0.14,-0.74,1.50,0.21,-,-,11.22,9.09,11_21_2021
PSF,38.47,9.34,9.61,9.34,9.51,9.54,"24,900.00",9.43,"237,602.00",44,0.08,0.27,0.85,2.89,-0.34,-,-,11.22,9.09,11_22_2021
PSF,41.94,9.45,9.60,9.41,9.44,9.47,"15,700.00",9.51,"148,714.00",34,-0.07,0.19,-0.74,2.02,-0.34,-,-,11.22,9.09,11_23_2021
PSF,44.09,9.29,9.50,9.29,9.40,9.39,"10,805.00",9.44,"101,470.75",25,-0.04,0.21,-0.42,2.26,0.09,-,-,11.22,9.09,11_24_2021
PSF,48.29,9.52,9.52,9.33,9.41,9.43,"11,780.00",9.40,"111,074.90",24,0.01,0.19,0.11,2.04,-0.20,-,-,11.22,9.09,11_25_2021
PSF,49.54,9.52,9.52,9.33,9.41,9.43,"11,780.00",9.40,"111,074.90",24,0.01,0.19,0.11,2.04,-0.20,-,-,11.22,9.09,11_26_2021
PSF,49.54,9.52,9.52,9.33,9.41,9.43,"11,780.00",9.40,"111,074.90",24,0.01,0.19,0.11,2.04,-0.20,-,-,11.22,9.09,11_27_2021
PSF,46.64,9.26,9.35,9.08,9.08,9.20,"80,121.00",9.41,"737,381.92",38,-0.33,0.27,-3.51,2.97,-1.36,-,-,11.22,9.08,11_28_2021
PSF,43.90,9.22,9.35,9.22,9.28,9.28,"20,500.00",9.08,"190,181.00",31,0.20,0.13,2.20,1.41,0.03,-,-,11.22,9.08,11_29_2021
PSF,45.20,9.12,9.30,9.12,9.22,9.23,"9,625.00",9.28,"88,822.10",26,-0.06,0.18,-0.65,1.97,-0.09,-,-,11.22,9.08,11_30_2021
PSF,40.66,9.35,9.35,9.17,9.30,9.23,"14,000.00",9.22,"129,238.00",23,0.08,0.18,0.87,1.96,0.74,-,-,11.22,9.08,12_01_2021
PSF,42.29,9.13,9.25,9.13,9.20,9.21,"36,999.00",9.30,"340,675.79",35,-0.10,0.12,-1.08,1.31,-0.08,-,-,11.22,9.08,12_02_2021
PSF,57.51,9.13,9.25,9.13,9.20,9.21,"36,999.00",9.30,"340,675.79",35,-0.10,0.12,-1.08,1.31,-0.08,-,-,11.22,9.08,12_03_2021
PSF,57.51,9.13,9.25,9.13,9.20,9.21,"36,999.00",9.30,"340,675.79",35,-0.10,0.12,-1.08,1.31,-0.08,-,-,11.22,9.08,12_04_2021
PSF,56.61,9.05,9.20,9.00,9.10,9.06,"136,269.00",9.20,"1,234,069.02",43,-0.10,0.20,-1.09,2.22,0.48,-,-,11.22,9.00,12_05_2021
PSF,48.03,9.12,9.16,8.95,9.16,9.09,"25,700.00",9.10,"233,505.00",33,0.06,0.21,0.66,2.35,0.81,-,-,11.22,8.95,12_06_2021
PSF,47.82,9.02,9.25,9.02,9.14,9.15,"11,495.00",9.16,"105,203.20",28,-0.02,0.23,-0.22,2.55,-0.13,-,-,11.22,8.95,12_07_2021
PSF,43.35,9.32,10.05,9.00,9.10,9.97,"564,200.00",9.14,"5,622,745.00",37,-0.04,1.05,-0.44,11.67,-9.52,-,-,11.22,8.95,12_08_2021
PSF,50.05,8.98,9.09,8.98,9.02,9.04,"10,910.00",9.10,"98,587.20",15,-0.08,0.11,-0.88,1.22,-0.18,-,-,11.22,8.95,12_09_2021
