Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RBCLPO,50.00,"14,810.00","15,300.00","14,810.00","15,250.00","15,176.71",100.00,"14,701.00","1,517,671.00",8,549.00,490.00,3.73,3.31,0.48,"16,703.74","15,776.30","20,185.00","8,400.00",09_01_2021
RBCLPO,63.79,"14,501.00","14,502.00","14,500.00","14,500.00","14,500.74",78.00,"14,779.00","1,131,058.00",5,-279.00,2.00,-1.89,0.01,-0.01,"16,070.11","15,816.93","20,185.00","11,799.00",11_03_2021
RBCLPO,55.63,"14,501.00","14,502.00","14,500.00","14,500.00","14,500.74",78.00,"14,779.00","1,131,058.00",5,-279.00,2.00,-1.89,0.01,-0.01,"16,070.11","15,816.93","20,185.00","11,799.00",11_05_2021
RBCLPO,55.63,"14,501.00","14,502.00","14,500.00","14,500.00","14,500.74",78.00,"14,779.00","1,131,058.00",5,-279.00,2.00,-1.89,0.01,-0.01,"16,070.11","15,816.93","20,185.00","11,799.00",11_06_2021
RBCLPO,55.63,"14,501.00","14,502.00","14,500.00","14,500.00","14,500.74",78.00,"14,779.00","1,131,058.00",5,-279.00,2.00,-1.89,0.01,-0.01,"16,070.11","15,816.93","20,185.00","11,799.00",11_07_2021
RBCLPO,56.42,"14,500.00","14,500.00","14,500.00","14,500.00","14,500.00",12.00,"14,500.00","174,000.00",1,0.00,0.00,0.00,0.00,0.00,"16,065.06","15,823.59","20,185.00","11,891.00",11_08_2021
RBCLPO,45.82,"14,421.00","14,421.00","13,929.00","14,000.00","14,177.50",100.00,"14,500.00","1,417,750.00",8,-500.00,492.00,-3.45,3.53,-1.27,"16,053.31","15,829.15","20,185.00","12,300.00",11_09_2021
RBCLPO,42.69,"14,421.00","14,421.00","13,929.00","14,000.00","14,177.50",100.00,"14,500.00","1,417,750.00",8,-500.00,492.00,-3.45,3.53,-1.27,"16,053.31","15,829.15","20,185.00","12,300.00",11_10_2021
RBCLPO,40.64,"14,000.00","14,000.00","13,260.00","13,260.00","13,458.45",220.00,"14,000.00","2,960,860.00",14,-740.00,740.00,-5.29,5.58,-1.50,"16,022.56","15,830.59","20,185.00","12,485.00",11_11_2021
RBCLPO,42.97,"14,000.00","14,000.00","13,260.00","13,260.00","13,458.45",220.00,"14,000.00","2,960,860.00",14,-740.00,740.00,-5.29,5.58,-1.50,"16,022.56","15,830.59","20,185.00","12,485.00",11_12_2021
RBCLPO,42.97,"14,000.00","14,000.00","13,260.00","13,260.00","13,458.45",220.00,"14,000.00","2,960,860.00",14,-740.00,740.00,-5.29,5.58,-1.50,"16,022.56","15,830.59","20,185.00","12,485.00",11_13_2021
RBCLPO,40.92,"13,191.30","13,525.00","13,101.00","13,175.00","13,186.83",770.00,"13,260.00","10,153,856.00",16,-85.00,424.00,-0.64,3.24,-0.09,"15,990.68","15,830.28","20,185.00","12,600.00",11_14_2021
RBCLPO,44.77,"13,437.00","13,756.00","13,430.00","13,755.00","13,563.68",500.00,"13,175.00","6,781,840.00",26,580.00,326.00,4.40,2.43,1.39,"15,962.81","15,829.33","20,185.00","12,600.00",11_15_2021
RBCLPO,46.78,"13,800.00","13,800.00","13,530.00","13,755.00","13,681.03",735.00,"13,755.00","10,055,555.50",32,0.00,270.00,0.00,2.00,0.54,"15,937.42","15,828.25","20,185.00","12,600.00",11_16_2021
