Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RFPL,0.00,263.90,290.20,263.90,290.20,289.76,"60,760.00",263.90,"17,605,819.40","2,753",26.30,26.30,9.97,9.97,0.15,-,-,290.20,263.90,06_16_2022
RFPL,32.93,296.00,301.90,270.00,273.00,278.26,"52,534.00",290.20,"14,617,918.70","3,311",-17.20,31.90,-5.93,11.81,-1.93,-,-,301.90,263.90,06_17_2022
RFPL,22.38,296.00,301.90,270.00,273.00,278.26,"52,534.00",290.20,"14,617,918.70","3,311",-17.20,31.90,-5.93,11.81,-1.93,-,-,301.90,263.90,06_18_2022
RFPL,21.88,267.60,267.60,245.80,246.90,251.61,"19,420.00",273.00,"4,886,187.00","1,840",-26.10,21.80,-9.56,8.87,-1.91,-,-,301.90,245.80,06_19_2022
RFPL,18.61,250.00,250.00,222.30,224.10,223.69,"31,226.00",246.90,"6,985,049.70","1,091",-22.80,27.70,-9.23,12.46,0.18,-,-,301.90,222.30,06_20_2022
RFPL,20.41,224.00,246.50,211.30,244.00,232.22,"20,128.00",224.10,"4,674,223.20",718,19.90,35.20,8.88,16.66,4.83,-,-,301.90,211.30,06_21_2022
RFPL,20.49,248.80,253.70,227.00,233.50,232.08,"6,830.00",244.00,"1,585,135.00",426,-10.50,26.70,-4.30,11.76,0.61,-,-,301.90,211.30,06_22_2022
RFPL,15.94,238.10,238.10,212.00,216.00,216.75,"11,649.00",233.50,"2,524,901.60",410,-17.50,26.10,-7.49,12.31,-0.35,-,-,301.90,211.30,06_23_2022
RFPL,46.08,228.00,240.00,221.00,223.00,227.47,"12,329.00",231.00,"2,804,460.10",373,-8.00,19.00,-3.46,8.60,-2.00,-,-,301.90,200.00,07_05_2022
RFPL,33.55,223.00,234.00,218.70,225.00,222.49,"9,290.00",223.00,"2,066,905.00",470,2.00,15.30,0.90,7.00,1.12,-,-,301.90,200.00,07_06_2022
RFPL,35.91,225.00,234.60,218.20,224.00,224.71,"13,889.00",225.00,"3,120,943.00",398,-1.00,16.40,-0.44,7.52,-0.32,-,-,301.90,200.00,07_07_2022
RFPL,33.82,219.60,220.00,214.00,215.00,216.07,"7,726.00",224.00,"1,669,379.40",203,-9.00,6.00,-4.02,2.80,-0.50,-,-,301.90,200.00,07_08_2022
RFPL,32.06,219.60,220.00,214.00,215.00,216.07,"7,726.00",224.00,"1,669,379.40",203,-9.00,6.00,-4.02,2.80,-0.50,-,-,301.90,200.00,07_09_2022
RFPL,32.06,219.60,220.00,214.00,215.00,216.07,"7,726.00",224.00,"1,669,379.40",203,-9.00,6.00,-4.02,2.80,-0.50,-,-,301.90,200.00,07_10_2022
RFPL,29.85,211.00,214.00,201.00,203.10,205.30,"14,254.00",215.00,"2,926,275.20",352,-11.90,13.00,-5.53,6.47,-1.08,-,-,301.90,200.00,07_11_2022
RFPL,37.17,202.00,211.00,200.00,203.80,205.01,"8,467.00",203.10,"1,735,784.10",223,0.70,11.00,0.34,5.50,-0.59,-,-,301.90,200.00,07_12_2022
RFPL,32.39,207.00,220.30,205.00,219.00,214.41,"9,792.00",203.80,"2,099,507.50",393,15.20,15.30,7.46,7.46,2.10,-,-,301.90,200.00,07_13_2022
RFPL,-,216.00,233.30,213.00,233.00,219.91,"17,479.00",219.00,"3,843,840.80",526,14.00,20.30,6.39,9.53,5.62,-,-,301.90,200.00,07_14_2022
RFPL,51.46,237.60,237.60,220.00,222.00,223.84,"9,792.00",233.00,"2,191,828.70",317,-11.00,17.60,-4.72,8.00,-0.83,-,-,301.90,200.00,07_15_2022
RFPL,46.59,237.60,237.60,220.00,222.00,223.84,"9,792.00",233.00,"2,191,828.70",317,-11.00,17.60,-4.72,8.00,-0.83,-,-,301.90,200.00,07_16_2022
RFPL,43.81,218.00,225.40,215.00,222.00,220.15,"8,151.00",222.00,"1,794,447.30",374,0.00,10.40,0.00,4.84,0.83,-,-,301.90,200.00,07_17_2022
RFPL,42.80,226.40,226.40,213.30,226.40,221.19,"11,432.00",222.00,"2,528,642.20",364,4.40,13.10,1.98,6.14,2.30,-,-,301.90,200.00,07_18_2022
RFPL,43.68,222.00,231.00,218.10,223.00,226.10,"12,170.00",226.40,"2,751,676.70",407,-3.40,12.90,-1.50,5.91,-1.39,-,-,301.90,200.00,07_19_2022
RFPL,28.41,220.00,225.80,219.50,221.00,221.71,"7,531.00",223.00,"1,669,670.50",300,-2.00,6.30,-0.90,2.87,-0.32,-,-,301.90,200.00,07_20_2022
RFPL,38.98,217.20,223.00,215.00,218.00,218.27,"10,772.00",221.00,"2,351,226.10",257,-3.00,8.00,-1.36,3.72,-0.12,-,-,301.90,200.00,07_21_2022
RFPL,33.81,214.00,221.00,210.00,212.00,212.68,"6,494.00",218.00,"1,381,156.80",180,-6.00,11.00,-2.75,5.24,-0.32,-,-,301.90,200.00,07_22_2022
RFPL,29.04,214.00,221.00,210.00,212.00,212.68,"6,494.00",218.00,"1,381,156.80",180,-6.00,11.00,-2.75,5.24,-0.32,-,-,301.90,200.00,07_23_2022
RFPL,26.24,215.00,233.10,212.00,231.50,223.55,"25,996.00",212.00,"5,811,488.20",555,19.50,21.10,9.20,9.95,3.43,-,-,301.90,200.00,07_24_2022
RFPL,50.16,231.50,244.80,223.50,237.20,237.28,"23,825.00",231.50,"5,653,255.40",594,5.70,21.30,2.46,9.53,-0.03,-,-,301.90,200.00,07_25_2022
RFPL,55.10,232.50,241.00,223.00,223.00,229.59,"19,600.00",237.20,"4,499,867.00",412,-14.20,18.00,-5.99,8.07,-2.95,-,-,301.90,200.00,07_26_2022
RFPL,46.80,223.00,242.00,223.00,239.00,234.08,"56,227.00",223.00,"13,161,655.00",688,16.00,19.00,7.17,8.52,2.06,-,-,301.90,200.00,07_27_2022
RFPL,54.15,240.00,262.90,240.00,258.00,259.19,"53,624.00",239.00,"13,898,882.70",680,19.00,22.90,7.95,9.54,-0.46,-,-,301.90,200.00,07_28_2022
RFPL,61.25,263.00,269.00,254.80,264.00,262.46,"17,567.00",258.00,"4,610,705.00",506,6.00,14.20,2.33,5.57,0.58,-,-,301.90,200.00,07_29_2022
RFPL,52.43,263.00,269.00,254.80,264.00,262.46,"17,567.00",258.00,"4,610,705.00",506,6.00,14.20,2.33,5.57,0.58,-,-,301.90,200.00,07_30_2022
RFPL,50.01,258.80,267.00,253.70,260.50,259.46,"28,364.00",264.00,"7,359,317.50",764,-3.50,13.30,-1.33,5.24,0.40,-,-,301.90,200.00,07_31_2022
RFPL,52.05,260.00,270.30,246.10,258.00,260.67,"41,098.00",260.50,"10,713,102.60",722,-2.50,24.20,-0.96,9.83,-1.04,-,-,301.90,200.00,08_01_2022
RFPL,54.79,258.00,282.00,255.30,280.00,271.42,"36,730.00",258.00,"9,969,195.90",879,22.00,26.70,8.53,10.46,3.06,-,-,301.90,200.00,08_02_2022
RFPL,49.49,278.00,308.00,274.10,299.00,295.60,"60,118.00",280.00,"17,770,679.10","1,035",19.00,33.90,6.79,12.37,1.14,-,-,308.00,200.00,08_03_2022
RFPL,52.38,304.00,320.00,284.00,315.00,306.17,"69,198.00",299.00,"21,186,252.70","1,140",16.00,36.00,5.35,12.68,2.80,-,-,320.00,200.00,08_04_2022
RFPL,53.49,310.00,321.00,304.00,307.00,312.89,"37,903.00",315.00,"11,859,510.70",608,-8.00,17.00,-2.54,5.59,-1.92,-,-,321.00,200.00,08_05_2022
RFPL,49.42,310.00,321.00,304.00,307.00,312.89,"37,903.00",315.00,"11,859,510.70",608,-8.00,17.00,-2.54,5.59,-1.92,-,-,321.00,200.00,08_06_2022
RFPL,46.14,305.00,313.00,299.00,308.00,307.43,"40,781.00",307.00,"12,537,192.70",910,1.00,14.00,0.33,4.68,0.19,-,-,321.00,200.00,08_07_2022
RFPL,44.95,310.00,325.00,307.00,314.00,317.21,"34,766.00",308.00,"11,028,028.20",815,6.00,18.00,1.95,5.86,-1.02,-,-,325.00,200.00,08_08_2022
RFPL,43.47,317.00,317.00,297.00,299.10,302.57,"23,544.00",314.00,"7,123,713.10",570,-14.90,20.00,-4.75,6.73,-1.16,-,-,325.00,200.00,08_09_2022
RFPL,35.77,293.20,298.00,284.10,290.00,290.87,"19,990.00",299.10,"5,814,558.80",514,-9.10,13.90,-3.04,4.89,-0.30,-,-,325.00,200.00,08_10_2022
RFPL,32.05,295.80,297.00,285.00,288.60,292.15,"17,515.00",290.00,"5,117,009.50",444,-1.40,12.00,-0.48,4.21,-1.23,-,-,325.00,200.00,08_11_2022
RFPL,29.41,295.80,297.00,285.00,288.60,292.15,"17,515.00",290.00,"5,117,009.50",444,-1.40,12.00,-0.48,4.21,-1.23,-,-,325.00,200.00,08_12_2022
RFPL,29.41,295.80,297.00,285.00,288.60,292.15,"17,515.00",290.00,"5,117,009.50",444,-1.40,12.00,-0.48,4.21,-1.23,-,-,325.00,200.00,08_13_2022
RFPL,25.94,282.90,293.00,277.00,277.20,283.79,"13,651.00",288.60,"3,873,960.00",433,-11.40,16.00,-3.95,5.78,-2.38,-,-,325.00,200.00,08_14_2022
RFPL,24.79,273.00,304.90,273.00,304.90,293.39,"15,715.00",277.20,"4,610,657.40",527,27.70,31.90,9.99,11.68,3.77,-,-,325.00,200.00,08_15_2022
RFPL,35.46,310.90,317.10,290.00,291.90,299.64,"39,575.00",304.90,"11,858,243.70",572,-13.00,27.10,-4.26,9.34,-2.65,-,-,325.00,200.00,08_16_2022
RFPL,34.66,292.00,308.90,286.20,298.00,294.92,"13,259.00",291.90,"3,910,318.30",382,6.10,22.70,2.09,7.93,1.03,-,-,325.00,200.00,08_17_2022
RFPL,30.12,302.00,312.00,297.00,308.00,305.88,"37,341.00",298.00,"11,421,968.20",768,10.00,15.00,3.36,5.05,0.69,-,-,325.00,200.00,08_18_2022
RFPL,41.55,302.00,312.00,297.00,308.00,305.88,"37,341.00",298.00,"11,421,968.20",768,10.00,15.00,3.36,5.05,0.69,-,-,325.00,200.00,08_19_2022
RFPL,41.55,302.00,312.00,297.00,308.00,305.88,"37,341.00",298.00,"11,421,968.20",768,10.00,15.00,3.36,5.05,0.69,-,-,325.00,200.00,08_20_2022
RFPL,41.55,306.00,314.00,290.00,292.00,302.67,"16,872.00",308.00,"5,106,704.10",636,-16.00,24.00,-5.19,8.28,-3.66,-,-,325.00,200.00,08_21_2022
RFPL,-,293.00,308.00,288.00,295.00,296.89,"22,188.00",292.00,"6,587,478.00",621,3.00,20.00,1.03,6.94,-0.64,-,-,325.00,200.00,08_22_2022
RFPL,34.05,296.00,303.00,293.10,294.40,295.73,"10,840.00",295.00,"3,205,766.80",445,-0.60,9.90,-0.20,3.38,-0.45,-,-,325.00,200.00,08_23_2022
RFPL,27.21,290.10,300.90,289.60,298.50,294.84,"27,752.00",294.40,"8,182,262.00",560,4.10,11.30,1.39,3.90,1.23,-,-,325.00,200.00,08_24_2022
RFPL,29.91,297.00,306.00,287.10,288.00,292.37,"27,460.00",298.50,"8,028,585.70",430,-10.50,18.90,-3.52,6.58,-1.52,-,-,325.00,200.00,08_25_2022
RFPL,32.34,290.00,290.00,280.00,280.00,282.83,"8,763.00",288.00,"2,478,439.70",205,-8.00,10.00,-2.78,3.57,-1.01,-,-,325.00,200.00,08_26_2022
RFPL,28.65,290.00,290.00,280.00,280.00,282.83,"8,763.00",288.00,"2,478,439.70",205,-8.00,10.00,-2.78,3.57,-1.01,-,-,325.00,200.00,08_27_2022
RFPL,28.65,275.00,280.00,263.50,265.00,270.29,"23,824.00",280.00,"6,439,311.30",451,-15.00,16.50,-5.36,6.26,-1.99,-,-,325.00,200.00,08_28_2022
