Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RHGCL,0.00,319.00,350.90,319.00,322.10,335.77,"97,653.00",319.00,"32,789,341.30","5,357",3.10,31.90,0.97,10.00,-4.25,-,-,350.90,319.00,08_31_2022
RHGCL,35.91,322.00,322.00,298.10,308.00,304.59,"31,303.00",322.10,"9,534,637.60","2,562",-14.10,23.90,-4.38,8.02,1.11,-,-,350.90,298.10,09_01_2022
RHGCL,24.14,308.00,313.00,298.40,308.90,304.08,"8,910.00",308.00,"2,709,357.00",853,0.90,14.60,0.29,4.89,1.56,-,-,350.90,298.10,09_02_2022
RHGCL,21.35,308.00,313.00,298.40,308.90,304.08,"8,910.00",308.00,"2,709,357.00",853,0.90,14.60,0.29,4.89,1.56,-,-,350.90,298.10,09_03_2022
RHGCL,20.85,310.00,322.00,302.70,310.00,307.90,"15,867.00",308.90,"4,885,445.30","1,278",1.10,19.30,0.36,6.38,0.68,-,-,350.90,298.10,09_04_2022
RHGCL,23.04,305.10,312.00,304.00,307.00,307.61,"13,743.00",310.00,"4,227,495.10",986,-3.00,8.00,-0.97,2.63,-0.20,-,-,350.90,298.10,09_05_2022
RHGCL,23.19,303.00,307.00,299.00,299.00,301.75,"12,826.00",307.00,"3,870,205.10",635,-8.00,8.00,-2.61,2.68,-0.92,-,-,350.90,298.10,09_06_2022
RHGCL,27.74,293.20,296.00,287.30,296.00,291.42,"9,955.00",299.00,"2,901,040.80",536,-3.00,8.70,-1.00,3.03,1.55,-,-,350.90,287.30,09_07_2022
RHGCL,25.16,296.00,310.00,287.00,303.00,298.92,"13,203.00",296.00,"3,946,593.50",576,7.00,23.00,2.36,8.01,1.35,-,-,350.90,287.00,09_08_2022
RHGCL,30.23,296.00,310.00,287.00,303.00,298.92,"13,203.00",296.00,"3,946,593.50",576,7.00,23.00,2.36,8.01,1.35,-,-,350.90,287.00,09_09_2022
RHGCL,30.23,296.00,310.00,287.00,303.00,298.92,"13,203.00",296.00,"3,946,593.50",576,7.00,23.00,2.36,8.01,1.35,-,-,350.90,287.00,09_10_2022
RHGCL,29.60,297.00,309.00,293.00,298.00,297.59,"8,300.00",303.00,"2,469,996.00",550,-5.00,16.00,-1.65,5.46,0.14,-,-,350.90,287.00,09_11_2022
RHGCL,27.36,297.00,297.00,284.20,291.00,291.48,"11,426.00",298.00,"3,330,455.00",414,-7.00,12.80,-2.35,4.50,-0.17,-,-,350.90,284.20,09_12_2022
RHGCL,30.72,291.00,299.80,285.00,295.10,292.72,"6,500.00",291.00,"1,902,710.00",380,4.10,14.80,1.41,5.19,0.80,-,-,350.90,284.20,09_13_2022
RHGCL,33.36,289.20,304.00,289.20,300.00,299.20,"14,405.00",295.10,"4,309,966.00",479,4.90,14.80,1.66,5.12,0.27,-,-,350.90,284.20,09_14_2022
RHGCL,36.82,294.00,302.10,279.00,284.00,286.37,"16,379.00",300.00,"4,690,389.20",395,-16.00,23.10,-5.33,8.28,-0.83,-,-,350.90,279.00,09_15_2022
RHGCL,33.49,278.40,278.40,263.70,274.00,268.78,"10,641.00",284.00,"2,860,098.10",203,-10.00,14.70,-3.52,5.57,1.90,-,-,350.90,263.70,09_16_2022
RHGCL,30.86,278.40,278.40,263.70,274.00,268.78,"10,641.00",284.00,"2,860,098.10",203,-10.00,14.70,-3.52,5.57,1.90,-,-,350.90,263.70,09_17_2022
RHGCL,28.93,268.60,278.00,249.90,254.00,257.51,"22,806.00",274.00,"5,872,715.50",455,-20.00,28.10,-7.30,11.24,-1.38,-,-,350.90,249.90,09_18_2022
RHGCL,26.99,268.60,278.00,249.90,254.00,257.51,"22,806.00",274.00,"5,872,715.50",455,-20.00,28.10,-7.30,11.24,-1.38,-,-,350.90,249.90,09_19_2022
RHGCL,27.37,249.00,249.00,235.00,239.90,238.82,"8,516.00",254.00,"2,033,806.20",327,-14.10,14.00,-5.55,5.96,0.45,-,-,350.90,235.00,09_20_2022
RHGCL,22.09,244.60,244.60,232.40,232.40,237.21,"5,731.00",239.90,"1,359,473.90",199,-7.50,12.20,-3.13,5.25,-2.07,-,-,350.90,232.40,09_21_2022
RHGCL,24.63,232.40,232.50,225.20,230.00,227.59,"8,612.00",232.40,"1,960,000.70",266,-2.40,7.30,-1.03,3.24,1.05,-,-,350.90,225.20,09_22_2022
RHGCL,26.36,232.40,232.50,225.20,230.00,227.59,"8,612.00",232.40,"1,960,000.70",266,-2.40,7.30,-1.03,3.24,1.05,-,-,350.90,225.20,09_23_2022
RHGCL,26.36,232.40,232.50,225.20,230.00,227.59,"8,612.00",232.40,"1,960,000.70",266,-2.40,7.30,-1.03,3.24,1.05,-,-,350.90,225.20,09_24_2022
RHGCL,24.21,225.40,225.40,217.00,224.00,219.20,"6,236.00",230.00,"1,366,947.60",238,-6.00,8.40,-2.61,3.87,2.14,-,-,350.90,217.00,09_25_2022
RHGCL,25.28,225.40,225.40,217.00,224.00,219.20,"6,236.00",230.00,"1,366,947.60",238,-6.00,8.40,-2.61,3.87,2.14,-,-,350.90,217.00,09_26_2022
RHGCL,26.03,224.00,242.00,216.70,231.00,226.38,"4,490.00",224.00,"1,016,435.00",197,7.00,25.30,3.13,11.68,2.00,-,-,350.90,216.70,09_27_2022
RHGCL,30.51,226.40,240.30,209.00,217.00,220.65,"5,269.00",231.00,"1,162,605.00",163,-14.00,31.30,-6.06,14.98,-1.68,-,-,350.90,209.00,09_28_2022
RHGCL,31.23,215.10,225.70,215.10,220.90,220.55,"1,820.00",217.00,"401,408.00",77,3.90,10.60,1.80,4.93,0.16,-,-,350.90,209.00,09_29_2022
RHGCL,29.14,215.10,225.70,215.10,220.90,220.55,"1,820.00",217.00,"401,408.00",77,3.90,10.60,1.80,4.93,0.16,-,-,350.90,209.00,09_30_2022
RHGCL,29.14,215.10,225.70,215.10,220.90,220.55,"1,820.00",217.00,"401,408.00",77,3.90,10.60,1.80,4.93,0.16,-,-,350.90,209.00,10_01_2022
RHGCL,29.14,215.10,225.70,215.10,220.90,220.55,"1,820.00",217.00,"401,408.00",77,3.90,10.60,1.80,4.93,0.16,-,-,350.90,209.00,10_02_2022
RHGCL,29.14,215.10,225.70,215.10,220.90,220.55,"1,820.00",217.00,"401,408.00",77,3.90,10.60,1.80,4.93,0.16,-,-,350.90,209.00,10_03_2022
RHGCL,29.14,215.10,225.70,215.10,220.90,220.55,"1,820.00",217.00,"401,408.00",77,3.90,10.60,1.80,4.93,0.16,-,-,350.90,209.00,10_04_2022
RHGCL,29.14,215.10,225.70,215.10,220.90,220.55,"1,820.00",217.00,"401,408.00",77,3.90,10.60,1.80,4.93,0.16,-,-,350.90,209.00,10_05_2022
RHGCL,29.14,215.10,225.70,215.10,220.90,220.55,"1,820.00",217.00,"401,408.00",77,3.90,10.60,1.80,4.93,0.16,-,-,350.90,209.00,10_06_2022
RHGCL,29.14,215.10,225.70,215.10,220.90,220.55,"1,820.00",217.00,"401,408.00",77,3.90,10.60,1.80,4.93,0.16,-,-,350.90,209.00,10_07_2022
RHGCL,29.14,215.10,225.70,215.10,220.90,220.55,"1,820.00",217.00,"401,408.00",77,3.90,10.60,1.80,4.93,0.16,-,-,350.90,209.00,10_08_2022
RHGCL,31.93,220.00,229.00,216.00,226.00,224.03,"3,347.00",220.90,"749,813.20",112,5.10,13.00,2.31,6.02,0.87,-,-,350.90,209.00,10_09_2022
RHGCL,37.55,221.50,225.00,216.00,216.10,219.33,"5,525.00",226.00,"1,211,820.50",116,-9.90,9.00,-4.38,4.17,-1.50,-,-,350.90,209.00,10_10_2022
RHGCL,36.19,216.00,224.00,212.10,224.00,213.33,"2,855.00",216.10,"609,047.50",103,7.90,11.90,3.66,5.61,4.76,-,-,350.90,209.00,10_11_2022
RHGCL,37.84,219.60,224.00,209.00,220.50,216.97,"3,706.00",224.00,"804,073.10",110,-3.50,15.00,-1.56,7.18,1.60,-,-,350.90,209.00,10_12_2022
RHGCL,37.25,216.10,224.00,212.80,215.20,216.48,"4,501.00",220.50,"974,384.10",143,-5.30,11.20,-2.40,5.26,-0.60,-,-,350.90,209.00,10_13_2022
RHGCL,35.74,216.10,224.00,212.80,215.20,216.48,"4,501.00",220.50,"974,384.10",143,-5.30,11.20,-2.40,5.26,-0.60,-,-,350.90,209.00,10_14_2022
RHGCL,35.74,216.10,224.00,212.80,215.20,216.48,"4,501.00",220.50,"974,384.10",143,-5.30,11.20,-2.40,5.26,-0.60,-,-,350.90,209.00,10_15_2022
RHGCL,35.87,212.00,222.00,212.00,222.00,215.75,"5,782.00",215.20,"1,247,468.60",163,6.80,10.00,3.16,4.72,2.82,-,-,350.90,209.00,10_16_2022
RHGCL,41.73,218.00,222.30,214.00,218.00,216.92,"3,480.00",222.00,"754,879.00",183,-4.00,8.30,-1.80,3.88,0.50,-,-,350.90,209.00,10_17_2022
RHGCL,35.23,218.00,222.30,214.00,218.00,216.92,"3,480.00",222.00,"754,879.00",183,-4.00,8.30,-1.80,3.88,0.50,-,-,350.90,209.00,10_18_2022
RHGCL,34.42,213.70,216.00,210.00,210.40,212.22,"5,745.00",218.00,"1,219,205.30",215,-7.60,6.00,-3.49,2.86,-0.87,-,-,350.90,209.00,10_19_2022
RHGCL,35.51,206.20,214.00,203.10,210.00,206.89,"4,795.00",210.40,"992,030.00",210,-0.40,10.90,-0.19,5.37,1.48,-,-,350.90,203.10,10_20_2022
RHGCL,36.69,206.20,214.00,203.10,210.00,206.89,"4,795.00",210.40,"992,030.00",210,-0.40,10.90,-0.19,5.37,1.48,-,-,350.90,203.10,10_21_2022
RHGCL,36.69,206.20,214.00,203.10,210.00,206.89,"4,795.00",210.40,"992,030.00",210,-0.40,10.90,-0.19,5.37,1.48,-,-,350.90,203.10,10_22_2022
RHGCL,36.69,206.00,211.10,204.00,210.00,207.73,"2,980.00",210.00,"619,044.00",105,0.00,7.10,0.00,3.48,1.08,-,-,350.90,203.10,10_23_2022
RHGCL,32.96,206.00,211.10,204.00,210.00,207.73,"2,980.00",210.00,"619,044.00",105,0.00,7.10,0.00,3.48,1.08,-,-,350.90,203.10,10_24_2022
RHGCL,32.96,206.00,211.10,204.00,210.00,207.73,"2,980.00",210.00,"619,044.00",105,0.00,7.10,0.00,3.48,1.08,-,-,350.90,203.10,10_25_2022
RHGCL,32.96,206.00,211.10,204.00,210.00,207.73,"2,980.00",210.00,"619,044.00",105,0.00,7.10,0.00,3.48,1.08,-,-,350.90,203.10,10_26_2022
RHGCL,32.96,206.00,211.10,204.00,210.00,207.73,"2,980.00",210.00,"619,044.00",105,0.00,7.10,0.00,3.48,1.08,-,-,350.90,203.10,10_27_2022
RHGCL,32.96,206.00,211.10,204.00,210.00,207.73,"2,980.00",210.00,"619,044.00",105,0.00,7.10,0.00,3.48,1.08,-,-,350.90,203.10,10_28_2022
