Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RIDI,0.00,694.50,694.50,637.80,637.80,640.87,"9,881.00",0.00,"6,332,414.30",70,637.80,56.70,0.00,8.89,-0.48,-,-,694.50,637.80,08_15_2022
RIDI,41.87,625.10,658.90,580.00,628.00,620.20,"658,249.00",637.80,"408,247,888.90","3,021",-9.80,78.90,-1.54,13.60,1.24,-,-,694.50,580.00,08_16_2022
RIDI,32.12,615.50,659.00,615.50,644.00,642.52,"286,860.00",628.00,"184,311,898.00","1,148",16.00,43.50,2.55,7.07,0.23,-,-,694.50,580.00,08_17_2022
RIDI,44.22,650.00,650.00,629.00,632.00,638.44,"163,459.00",644.00,"104,358,855.60",870,-12.00,21.00,-1.86,3.34,-1.02,-,-,694.50,580.00,08_18_2022
RIDI,27.67,650.00,650.00,629.00,632.00,638.44,"163,459.00",644.00,"104,358,855.60",870,-12.00,21.00,-1.86,3.34,-1.02,-,-,694.50,580.00,08_19_2022
RIDI,27.67,650.00,650.00,629.00,632.00,638.44,"163,459.00",644.00,"104,358,855.60",870,-12.00,21.00,-1.86,3.34,-1.02,-,-,694.50,580.00,08_20_2022
RIDI,27.67,632.00,632.00,611.00,612.00,617.27,"199,022.00",632.00,"122,850,968.20","1,252",-20.00,21.00,-3.16,3.44,-0.86,-,-,694.50,580.00,08_21_2022
RIDI,-,612.00,618.90,603.00,609.80,609.04,"139,622.00",612.00,"85,035,696.00",706,-2.20,15.90,-0.36,2.64,0.12,-,-,694.50,580.00,08_22_2022
RIDI,30.83,600.00,625.00,600.00,615.00,617.58,"124,029.00",609.80,"76,597,740.40",616,5.20,25.00,0.85,4.17,-0.42,-,-,694.50,580.00,08_23_2022
RIDI,26.13,610.00,630.00,610.00,616.00,619.68,"91,124.00",615.00,"56,467,680.60",487,1.00,20.00,0.16,3.28,-0.60,-,-,694.50,580.00,08_24_2022
