Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RLFL,60.20,750.20,763.00,725.30,727.00,740.91,"149,438.00",743.00,"110,719,537.20",972,-16.00,37.70,-2.15,5.20,-1.91,416.23,345.61,814.00,122.00,09_01_2021
RLFL,63.99,614.00,616.50,600.00,604.00,606.63,"31,763.00",602.00,"19,268,372.50",234,2.00,16.50,0.33,2.75,-0.44,525.93,431.75,814.00,156.00,11_03_2021
RLFL,58.07,614.00,616.50,600.00,604.00,606.63,"31,763.00",602.00,"19,268,372.50",234,2.00,16.50,0.33,2.75,-0.44,525.93,431.75,814.00,156.00,11_05_2021
RLFL,58.07,614.00,616.50,600.00,604.00,606.63,"31,763.00",602.00,"19,268,372.50",234,2.00,16.50,0.33,2.75,-0.44,525.93,431.75,814.00,156.00,11_06_2021
RLFL,58.07,614.00,616.50,600.00,604.00,606.63,"31,763.00",602.00,"19,268,372.50",234,2.00,16.50,0.33,2.75,-0.44,525.93,431.75,814.00,156.00,11_07_2021
RLFL,58.86,616.00,620.00,594.00,596.00,605.36,"27,135.00",604.00,"16,426,443.10",229,-8.00,26.00,-1.32,4.38,-1.57,528.87,433.76,814.00,156.00,11_08_2021
RLFL,54.14,596.00,607.90,546.00,558.00,572.02,"78,484.00",596.00,"44,894,483.00",551,-38.00,61.90,-6.38,11.34,-2.51,531.53,435.58,814.00,156.00,11_09_2021
RLFL,54.39,596.00,607.90,546.00,558.00,572.02,"78,484.00",596.00,"44,894,483.00",551,-38.00,61.90,-6.38,11.34,-2.51,531.53,435.58,814.00,156.00,11_10_2021
RLFL,52.34,550.00,572.00,530.00,542.00,550.58,"47,103.00",558.00,"25,933,968.50",359,-16.00,42.00,-2.87,7.92,-1.58,534.05,437.32,814.00,156.00,11_11_2021
RLFL,48.75,550.00,572.00,530.00,542.00,550.58,"47,103.00",558.00,"25,933,968.50",359,-16.00,42.00,-2.87,7.92,-1.58,534.05,437.32,814.00,156.00,11_12_2021
RLFL,48.75,550.00,572.00,530.00,542.00,550.58,"47,103.00",558.00,"25,933,968.50",359,-16.00,42.00,-2.87,7.92,-1.58,534.05,437.32,814.00,156.00,11_13_2021
RLFL,46.70,542.00,570.00,540.00,555.00,554.09,"43,467.00",542.00,"24,084,477.70",304,13.00,30.00,2.40,5.56,0.16,536.63,439.11,814.00,156.00,11_14_2021
RLFL,47.26,566.10,583.40,559.00,564.00,567.15,"84,658.00",555.00,"48,013,711.60",376,9.00,24.40,1.62,4.36,-0.56,539.23,440.87,814.00,156.00,11_15_2021
RLFL,51.93,575.00,586.00,564.00,585.00,575.94,"41,697.00",564.00,"24,015,156.90",258,21.00,22.00,3.72,3.90,1.55,541.82,442.81,814.00,156.00,11_16_2021
RLFL,57.55,596.70,634.00,588.00,621.10,616.83,"157,101.00",585.00,"96,904,664.90",734,36.10,46.00,6.17,7.82,0.69,544.72,444.96,814.00,156.00,11_17_2021
RLFL,69.20,633.50,633.50,606.00,611.00,616.47,"95,221.00",621.10,"58,700,817.60",471,-10.10,27.50,-1.63,4.54,-0.90,547.54,447.05,814.00,156.00,11_18_2021
RLFL,62.77,633.50,633.50,606.00,611.00,616.47,"95,221.00",621.10,"58,700,817.60",471,-10.10,27.50,-1.63,4.54,-0.90,547.54,447.05,814.00,156.00,11_19_2021
RLFL,62.77,633.50,633.50,606.00,611.00,616.47,"95,221.00",621.10,"58,700,817.60",471,-10.10,27.50,-1.63,4.54,-0.90,547.54,447.05,814.00,156.00,11_20_2021
RLFL,58.07,623.20,623.20,599.10,614.00,614.07,"45,471.00",611.00,"27,922,201.40",279,3.00,24.10,0.49,4.02,-0.01,550.18,449.18,814.00,156.00,11_21_2021
RLFL,53.47,620.00,620.00,595.00,595.20,605.11,"34,590.00",614.00,"20,930,835.80",226,-18.80,25.00,-3.06,4.20,-1.67,552.77,451.20,814.00,156.00,11_22_2021
RLFL,50.03,585.00,600.00,570.00,578.00,582.55,"57,410.00",595.20,"33,444,119.90",387,-17.20,30.00,-2.89,5.26,-0.79,555.05,453.12,814.00,156.00,11_23_2021
RLFL,42.35,589.50,600.00,563.50,587.00,581.95,"51,122.00",578.00,"29,750,438.20",304,9.00,36.50,1.56,6.48,0.86,557.19,455.11,814.00,156.00,11_24_2021
RLFL,42.73,590.00,599.00,585.00,586.00,591.63,"31,627.00",587.00,"18,711,372.00",254,-1.00,14.00,-0.17,2.39,-0.96,559.36,457.09,814.00,156.00,11_25_2021
RLFL,40.90,590.00,599.00,585.00,586.00,591.63,"31,627.00",587.00,"18,711,372.00",254,-1.00,14.00,-0.17,2.39,-0.96,559.36,457.09,814.00,156.00,11_26_2021
RLFL,40.90,590.00,599.00,585.00,586.00,591.63,"31,627.00",587.00,"18,711,372.00",254,-1.00,14.00,-0.17,2.39,-0.96,559.36,457.09,814.00,156.00,11_27_2021
RLFL,38.00,575.00,584.90,554.10,554.10,566.86,"46,508.00",586.00,"26,363,748.10",319,-31.90,30.80,-5.44,5.56,-2.30,561.22,458.93,814.00,156.00,11_28_2021
RLFL,39.49,565.00,580.00,548.00,555.00,559.56,"40,570.00",554.10,"22,701,151.40",265,0.90,32.00,0.16,5.84,-0.82,562.98,460.76,814.00,156.00,11_29_2021
RLFL,38.50,544.00,571.00,544.00,555.00,554.40,"71,046.00",555.00,"39,388,199.70",268,0.00,27.00,0.00,4.96,0.11,564.48,462.59,814.00,156.00,11_30_2021
RLFL,41.28,566.00,573.00,552.00,560.00,563.83,"31,413.00",555.00,"17,711,695.40",192,5.00,21.00,0.90,3.80,-0.68,566.06,464.48,814.00,156.00,12_01_2021
RLFL,40.85,555.00,557.00,529.00,530.10,540.71,"44,401.00",560.00,"24,008,099.60",290,-29.90,28.00,-5.34,5.29,-2.00,567.37,466.17,814.00,156.00,12_02_2021
RLFL,43.74,555.00,557.00,529.00,530.10,540.71,"44,401.00",560.00,"24,008,099.60",290,-29.90,28.00,-5.34,5.29,-2.00,567.37,466.17,814.00,156.00,12_03_2021
RLFL,43.74,555.00,557.00,529.00,530.10,540.71,"44,401.00",560.00,"24,008,099.60",290,-29.90,28.00,-5.34,5.29,-2.00,567.37,466.17,814.00,156.00,12_04_2021
RLFL,42.84,520.00,535.00,511.10,515.60,517.53,"43,215.00",530.10,"22,365,043.90",266,-14.50,23.90,-2.74,4.68,-0.37,568.27,467.82,814.00,156.00,12_05_2021
RLFL,38.76,514.90,530.00,488.00,530.00,508.35,"63,162.00",515.60,"32,108,217.40",378,14.40,42.00,2.79,8.61,4.09,569.34,469.57,814.00,156.00,12_06_2021
RLFL,44.18,540.00,540.60,500.00,500.00,521.15,"71,183.00",530.00,"37,096,725.00",286,-30.00,40.60,-5.66,8.12,-4.23,570.02,471.11,814.00,156.00,12_07_2021
RLFL,39.47,505.00,515.00,476.00,479.00,486.24,"61,539.00",500.00,"29,922,424.10",338,-21.00,39.00,-4.20,8.19,-1.51,570.19,472.47,814.00,156.00,12_08_2021
RLFL,36.37,479.00,500.00,461.00,475.00,475.67,"36,029.00",479.00,"17,137,935.30",224,-4.00,39.00,-0.84,8.46,-0.14,569.94,473.85,814.00,156.00,12_09_2021
RLFL,33.86,479.00,500.00,461.00,475.00,475.67,"36,029.00",479.00,"17,137,935.30",224,-4.00,39.00,-0.84,8.46,-0.14,569.94,473.85,814.00,156.00,12_10_2021
RLFL,33.86,479.00,500.00,461.00,475.00,475.67,"36,029.00",479.00,"17,137,935.30",224,-4.00,39.00,-0.84,8.46,-0.14,569.94,473.85,814.00,156.00,12_11_2021
RLFL,33.21,476.00,480.00,441.00,445.00,459.77,"38,358.00",475.00,"17,635,669.70",256,-30.00,39.00,-6.32,8.84,-3.32,569.64,475.04,814.00,156.00,12_12_2021
RLFL,29.45,437.00,445.70,411.00,418.00,423.06,"47,766.00",445.00,"20,207,930.40",304,-27.00,34.70,-6.07,8.44,-1.21,568.87,476.10,814.00,156.00,12_13_2021
RLFL,33.81,422.00,452.00,420.00,451.00,440.29,"28,537.00",418.00,"12,564,493.00",162,33.00,32.00,7.89,7.62,2.38,567.94,477.35,814.00,156.00,12_14_2021
RLFL,40.20,460.00,489.90,436.00,468.00,468.22,"61,699.00",451.00,"28,888,583.00",409,17.00,53.90,3.77,12.36,-0.05,567.21,478.70,814.00,156.00,12_15_2021
RLFL,45.04,470.00,470.00,440.00,446.00,448.15,"33,495.00",468.00,"15,010,921.30",208,-22.00,30.00,-4.70,6.82,-0.48,566.44,479.90,814.00,156.00,12_16_2021
RLFL,43.76,470.00,470.00,440.00,446.00,448.15,"33,495.00",468.00,"15,010,921.30",208,-22.00,30.00,-4.70,6.82,-0.48,566.44,479.90,814.00,156.00,12_17_2021
RLFL,43.76,470.00,470.00,440.00,446.00,448.15,"33,495.00",468.00,"15,010,921.30",208,-22.00,30.00,-4.70,6.82,-0.48,566.44,479.90,814.00,156.00,12_18_2021
RLFL,43.76,470.00,470.00,440.00,446.00,448.15,"33,495.00",468.00,"15,010,921.30",208,-22.00,30.00,-4.70,6.82,-0.48,566.44,479.90,814.00,156.00,12_19_2021
RLFL,41.07,454.90,465.90,445.00,454.00,455.45,"38,041.00",446.00,"17,325,897.40",260,8.00,20.90,1.79,4.70,-0.32,565.97,481.15,814.00,156.00,12_20_2021
RLFL,46.32,463.00,490.60,453.00,490.00,468.70,"51,400.00",454.00,"24,090,946.50",225,36.00,37.60,7.93,8.30,4.35,565.69,482.57,814.00,156.00,12_21_2021
