Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RLFLPO,55.63,322.00,322.00,322.00,322.00,322.00,563.00,322.00,"181,286.00",1,0.00,0.00,0.00,0.00,0.00,-,-,346.00,109.00,11_30_2021
RLFLPO,43.74,316.00,316.00,316.00,316.00,316.00,"17,864.00",322.00,"5,645,024.00",1,-6.00,0.00,-1.86,0.00,0.00,-,-,346.00,109.00,12_09_2021
RLFLPO,51.20,316.00,316.00,316.00,316.00,316.00,"17,864.00",322.00,"5,645,024.00",1,-6.00,0.00,-1.86,0.00,0.00,-,-,346.00,109.00,12_10_2021
RLFLPO,51.20,316.00,316.00,316.00,316.00,316.00,"17,864.00",322.00,"5,645,024.00",1,-6.00,0.00,-1.86,0.00,0.00,-,-,346.00,109.00,12_11_2021
RLFLPO,55.74,316.00,316.00,316.00,316.00,316.00,"1,326.00",316.00,"419,016.00",1,0.00,0.00,0.00,0.00,0.00,-,-,346.00,109.00,01_02_2022
RLFLPO,36.27,316.00,316.00,316.00,316.00,316.00,"12,300.00",316.00,"3,886,800.00",9,0.00,0.00,0.00,0.00,0.00,-,-,346.00,109.00,01_03_2022
RLFLPO,34.62,177.00,177.00,177.00,177.00,177.00,"17,961.00",177.00,"3,179,097.00",1,0.00,0.00,0.00,0.00,0.00,-,-,346.00,177.00,05_12_2022
RLFLPO,31.16,177.00,177.00,177.00,177.00,177.00,"17,961.00",177.00,"3,179,097.00",1,0.00,0.00,0.00,0.00,0.00,-,-,346.00,177.00,05_13_2022
RLFLPO,31.16,177.00,177.00,177.00,177.00,177.00,"17,961.00",177.00,"3,179,097.00",1,0.00,0.00,0.00,0.00,0.00,-,-,346.00,177.00,05_14_2022
RLFLPO,31.16,177.00,177.00,177.00,177.00,177.00,"17,961.00",177.00,"3,179,097.00",1,0.00,0.00,0.00,0.00,0.00,-,-,346.00,177.00,05_15_2022
RLFLPO,31.16,177.00,177.00,177.00,177.00,177.00,"17,961.00",177.00,"3,179,097.00",1,0.00,0.00,0.00,0.00,0.00,-,-,346.00,177.00,05_16_2022
RLFLPO,25.58,164.00,164.00,164.00,164.00,164.00,"2,695.00",164.00,"441,980.00",1,0.00,0.00,0.00,0.00,0.00,-,-,322.00,164.00,10_13_2022
RLFLPO,23.47,164.00,164.00,164.00,164.00,164.00,"2,695.00",164.00,"441,980.00",1,0.00,0.00,0.00,0.00,0.00,-,-,322.00,164.00,10_14_2022
RLFLPO,23.47,164.00,164.00,164.00,164.00,164.00,"2,695.00",164.00,"441,980.00",1,0.00,0.00,0.00,0.00,0.00,-,-,322.00,164.00,10_15_2022
RLFLPO,27.09,164.00,164.00,164.00,164.00,164.00,"8,162.00",164.00,"1,338,568.00",1,0.00,0.00,0.00,0.00,0.00,-,-,322.00,164.00,11_16_2022
RLFLPO,33.13,164.00,164.00,164.00,164.00,164.00,"10,000.00",164.00,"1,640,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,316.00,164.00,01_02_2023
RLFLPO,44.47,164.00,164.00,164.00,164.00,164.00,"20,655.00",164.00,"3,387,420.00",1,0.00,0.00,0.00,0.00,0.00,-,-,177.00,164.00,01_09_2023
RLFLPO,31.28,164.00,164.00,164.00,164.00,164.00,"14,244.00",164.00,"2,336,016.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.00,164.00,03_09_2023
RLFLPO,36.32,164.00,164.00,164.00,164.00,164.00,"14,244.00",164.00,"2,336,016.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.00,164.00,03_10_2023
RLFLPO,36.32,164.00,164.00,164.00,164.00,164.00,"14,244.00",164.00,"2,336,016.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.00,164.00,03_11_2023
RLFLPO,32.86,164.00,164.00,164.00,164.00,164.00,"12,387.00",164.00,"2,031,468.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.00,164.00,03_27_2023
